practitioner_id,measurement_date,institution,monitoring_level,monitoring_changed,monitoring_direction,stress_score,autonomy_score,trust_in_institution,output_quality,output_volume,sick_days,error_rate,creative_attempts
SSR-0033,Year_878_M01,Traders Guild,periodic,false,unchanged,5,6,6,0.82,1.20,2,0.08,2
SSR-0033,Year_878_M06,Traders Guild,periodic,false,unchanged,5,6,6,0.83,1.22,2,0.07,2
SSR-0033,Year_879_M01,Traders Guild,continuous,true,increased,7,4,4,0.77,1.12,3,0.11,1
SSR-0033,Year_879_M06,Traders Guild,continuous,false,unchanged,8,3,3,0.75,1.08,4,0.13,0
SSR-0033,Year_880_M01,Traders Guild,continuous,false,unchanged,8,3,3,0.74,1.05,5,0.14,0
SSR-0034,Year_878_M01,Capital Archive,periodic,false,unchanged,5,6,6,0.81,1.14,2,0.08,2
SSR-0034,Year_878_M06,Capital Archive,periodic,false,unchanged,4,7,7,0.83,1.16,1,0.07,3
SSR-0034,Year_879_M01,Capital Archive,minimal,true,decreased,3,8,8,0.86,1.20,1,0.05,4
SSR-0034,Year_879_M06,Capital Archive,minimal,false,unchanged,2,9,9,0.89,1.24,0,0.04,5
SSR-0034,Year_880_M01,Capital Archive,minimal,false,unchanged,2,9,9,0.91,1.28,0,0.03,5
SSR-0035,Year_878_M01,Cartographer's Guild,minimal,false,unchanged,3,8,8,0.87,1.22,0,0.05,4
SSR-0035,Year_878_M06,Cartographer's Guild,minimal,false,unchanged,3,8,8,0.88,1.24,0,0.04,4
SSR-0035,Year_879_M01,Cartographer's Guild,minimal,false,unchanged,2,9,9,0.89,1.26,0,0.04,5
SSR-0035,Year_879_M06,Cartographer's Guild,minimal,false,unchanged,2,9,9,0.90,1.28,0,0.03,5
SSR-0035,Year_880_M01,Cartographer's Guild,minimal,false,unchanged,2,9,9,0.91,1.30,0,0.03,6
SSR-0036,Year_878_M01,Traders Guild,continuous,false,unchanged,8,2,3,0.74,1.06,5,0.14,0
SSR-0036,Year_878_M06,Traders Guild,continuous,false,unchanged,8,2,3,0.73,1.04,5,0.15,0
SSR-0036,Year_879_M01,Traders Guild,minimal,true,decreased,4,7,7,0.82,1.14,1,0.07,3
SSR-0036,Year_879_M06,Traders Guild,minimal,false,unchanged,3,8,8,0.86,1.18,0,0.05,4
SSR-0036,Year_880_M01,Traders Guild,minimal,false,unchanged,3,8,8,0.88,1.22,0,0.04,5
SSR-0037,Year_878_M01,Capital Archive,continuous,false,unchanged,9,1,2,0.69,0.94,7,0.19,0
SSR-0037,Year_878_M06,Capital Archive,continuous,false,unchanged,9,1,2,0.68,0.92,7,0.20,0
SSR-0037,Year_879_M01,Capital Archive,continuous,false,unchanged,10,1,1,0.66,0.90,8,0.22,0
SSR-0037,Year_879_M06,Capital Archive,periodic,true,decreased,6,5,5,0.75,1.02,3,0.12,1
SSR-0037,Year_880_M01,Capital Archive,periodic,false,unchanged,5,6,6,0.79,1.08,2,0.09,2
SSR-0038,Year_878_M01,Cartographer's Guild,periodic,false,unchanged,5,6,6,0.82,1.18,2,0.07,2
SSR-0038,Year_878_M06,Cartographer's Guild,periodic,false,unchanged,4,7,7,0.84,1.20,1,0.06,3
SSR-0038,Year_879_M01,Cartographer's Guild,periodic,false,unchanged,4,7,7,0.85,1.22,1,0.06,3
SSR-0038,Year_879_M06,Cartographer's Guild,minimal,true,decreased,3,8,8,0.88,1.26,0,0.04,4
SSR-0038,Year_880_M01,Cartographer's Guild,minimal,false,unchanged,2,9,9,0.90,1.30,0,0.03,5
SSR-0039,Year_878_M01,Traders Guild,minimal,false,unchanged,4,7,7,0.84,1.24,1,0.06,3
SSR-0039,Year_878_M06,Traders Guild,minimal,false,unchanged,3,8,8,0.86,1.26,0,0.05,4
SSR-0039,Year_879_M01,Traders Guild,periodic,true,increased,6,5,5,0.81,1.18,2,0.08,1
SSR-0039,Year_879_M06,Traders Guild,periodic,false,unchanged,6,5,5,0.80,1.16,2,0.09,1
SSR-0039,Year_880_M01,Traders Guild,periodic,false,unchanged,6,5,5,0.79,1.14,3,0.10,1
SSR-0040,Year_878_M01,Capital Archive,continuous,false,unchanged,7,3,4,0.77,1.10,4,0.12,0
SSR-0040,Year_878_M06,Capital Archive,continuous,false,unchanged,8,2,3,0.75,1.06,5,0.14,0
SSR-0040,Year_879_M01,Capital Archive,periodic,true,decreased,5,6,6,0.81,1.12,2,0.08,2
SSR-0040,Year_879_M06,Capital Archive,periodic,false,unchanged,4,7,7,0.84,1.16,1,0.06,3
SSR-0040,Year_880_M01,Capital Archive,periodic,false,unchanged,4,7,7,0.86,1.20,1,0.05,3
SSR-0041,Year_878_M01,Cartographer's Guild,continuous,false,unchanged,8,2,3,0.73,1.02,5,0.15,0
SSR-0041,Year_878_M06,Cartographer's Guild,continuous,false,unchanged,8,2,3,0.72,1.00,6,0.16,0
SSR-0041,Year_879_M01,Cartographer's Guild,periodic,true,decreased,5,6,6,0.80,1.10,2,0.09,2
SSR-0041,Year_879_M06,Cartographer's Guild,periodic,false,unchanged,4,7,7,0.83,1.14,1,0.07,3
SSR-0041,Year_880_M01,Cartographer's Guild,periodic,false,unchanged,4,7,7,0.85,1.18,1,0.06,3
SSR-0042,Year_878_M01,Traders Guild,periodic,false,unchanged,5,6,6,0.81,1.18,2,0.08,2
SSR-0042,Year_878_M06,Traders Guild,periodic,false,unchanged,5,6,6,0.82,1.20,2,0.07,2
SSR-0042,Year_879_M01,Traders Guild,minimal,true,decreased,3,8,8,0.86,1.26,1,0.05,4
SSR-0042,Year_879_M06,Traders Guild,minimal,false,unchanged,3,8,8,0.88,1.28,0,0.04,4
SSR-0042,Year_880_M01,Traders Guild,minimal,false,unchanged,2,9,9,0.90,1.32,0,0.03,5
SSR-0043,Year_878_M01,Capital Archive,periodic,false,unchanged,5,6,6,0.80,1.12,2,0.09,2
SSR-0043,Year_878_M06,Capital Archive,periodic,false,unchanged,5,6,6,0.81,1.14,2,0.08,2
SSR-0043,Year_879_M01,Capital Archive,continuous,true,increased,7,4,4,0.76,1.04,3,0.12,1
SSR-0043,Year_879_M06,Capital Archive,continuous,false,unchanged,8,3,3,0.74,1.00,4,0.14,0
SSR-0043,Year_880_M01,Capital Archive,continuous,false,unchanged,8,3,3,0.73,0.98,5,0.15,0
SSR-0044,Year_878_M01,Cartographer's Guild,minimal,false,unchanged,3,8,8,0.87,1.22,0,0.05,4
SSR-0044,Year_878_M06,Cartographer's Guild,minimal,false,unchanged,3,8,8,0.88,1.24,0,0.04,4
SSR-0044,Year_879_M01,Cartographer's Guild,minimal,false,unchanged,2,9,9,0.89,1.26,0,0.04,5
SSR-0044,Year_879_M06,Cartographer's Guild,minimal,false,unchanged,2,9,9,0.90,1.28,0,0.03,5
SSR-0044,Year_880_M01,Cartographer's Guild,minimal,false,unchanged,2,9,9,0.91,1.30,0,0.03,6
SSR-0045,Year_878_M01,Traders Guild,continuous,false,unchanged,7,3,4,0.75,1.08,4,0.13,0
SSR-0045,Year_878_M06,Traders Guild,continuous,false,unchanged,8,2,3,0.73,1.04,5,0.15,0
SSR-0045,Year_879_M01,Traders Guild,periodic,true,decreased,5,6,6,0.80,1.12,2,0.09,2
SSR-0045,Year_879_M06,Traders Guild,periodic,false,unchanged,4,7,7,0.84,1.16,1,0.06,3
SSR-0045,Year_880_M01,Traders Guild,periodic,false,unchanged,4,7,7,0.86,1.20,1,0.05,3
SSR-0046,Year_878_M01,Capital Archive,continuous,false,unchanged,8,2,3,0.74,1.06,5,0.14,0
SSR-0046,Year_878_M06,Capital Archive,continuous,false,unchanged,9,1,2,0.71,1.02,6,0.17,0
SSR-0046,Year_879_M01,Capital Archive,periodic,true,decreased,6,5,5,0.78,1.08,3,0.10,1
SSR-0046,Year_879_M06,Capital Archive,periodic,false,unchanged,5,6,6,0.82,1.12,2,0.08,2
SSR-0046,Year_880_M01,Capital Archive,periodic,false,unchanged,4,7,7,0.85,1.16,1,0.06,3
SSR-0047,Year_878_M01,Cartographer's Guild,periodic,false,unchanged,5,6,6,0.81,1.16,2,0.08,2
SSR-0047,Year_878_M06,Cartographer's Guild,periodic,false,unchanged,4,7,7,0.83,1.18,1,0.07,3
SSR-0047,Year_879_M01,Cartographer's Guild,minimal,true,decreased,3,8,8,0.86,1.22,1,0.05,4
SSR-0047,Year_879_M06,Cartographer's Guild,minimal,false,unchanged,2,9,9,0.89,1.26,0,0.04,5
SSR-0047,Year_880_M01,Cartographer's Guild,minimal,false,unchanged,2,9,9,0.91,1.30,0,0.03,5
SSR-0048,Year_878_M01,Traders Guild,minimal,false,unchanged,4,7,7,0.84,1.24,1,0.06,3
SSR-0048,Year_878_M06,Traders Guild,minimal,false,unchanged,3,8,8,0.86,1.26,0,0.05,4
SSR-0048,Year_879_M01,Traders Guild,minimal,false,unchanged,3,8,8,0.87,1.28,0,0.05,4
SSR-0048,Year_879_M06,Traders Guild,minimal,false,unchanged,3,8,8,0.88,1.30,0,0.04,4
SSR-0048,Year_880_M01,Traders Guild,minimal,false,unchanged,2,9,9,0.89,1.32,0,0.04,5
SSR-0049,Year_878_M01,Capital Archive,continuous,false,unchanged,7,3,4,0.76,1.08,4,0.13,0
SSR-0049,Year_878_M06,Capital Archive,continuous,false,unchanged,8,2,3,0.74,1.04,5,0.14,0
SSR-0049,Year_879_M01,Capital Archive,minimal,true,decreased,4,7,7,0.83,1.14,1,0.07,3
SSR-0049,Year_879_M06,Capital Archive,minimal,false,unchanged,3,8,8,0.87,1.18,0,0.05,4
SSR-0049,Year_880_M01,Capital Archive,minimal,false,unchanged,2,9,9,0.90,1.22,0,0.04,5
SSR-0050,Year_878_M01,Cartographer's Guild,continuous,false,unchanged,8,2,3,0.73,1.02,5,0.15,0
SSR-0050,Year_878_M06,Cartographer's Guild,continuous,false,unchanged,9,1,2,0.70,0.98,6,0.18,0
