measurement_id,boundary_id,entity_a_id,entity_b_id,measurement_year,strength_value,strength_change,permeability_value,tension_value,tension_gradient,measurement_context,external_factors,measurer,method,confidence,notes
BS-0013,EB-0232,MS-0098,MS-0034,1839,0.37,-0.15,0.52,0.32,0.098,routine_survey,Classification attempt,Western Archive Team,tension_probe,0.9,
BS-0014,EB-0113,MS-0099,MS-0072,928,0.57,-0.09,0.45,0.15,-0.077,boundary_incident,Creature migration,Boundary Commission,trajectory_deviation,0.92,
BS-0015,EB-0228,MS-0078,MS-0012,924,0.76,0.14,0.3,0.14,-0.011,post_violation,None observed,P. Tross,historical_inference,0.77,
BS-0016,EB-0228,MS-0039,MS-0011,1842,0.83,0.05,0.15,0.58,-0.188,routine_survey,None observed,Boundary Commission,tension_probe,0.79,
BS-0017,EB-0241,MS-0027,MS-0058,927,0.64,0.12,0.43,0.34,-0.137,routine_survey,Dens proximity event,Boundary Commission,classification_differential,0.81,
BS-0018,EB-0187,MS-0049,MS-0031,929,0.23,-0.1,0.83,0.16,0.04,routine_survey,Creature migration,T. Vells,classification_differential,0.81,
BS-0019,EB-0339,MS-0075,MS-0065,927,0.46,0.06,0.64,0.11,-0.071,boundary_incident,None observed,Archive Survey Team,classification_differential,0.5,
BS-0020,EB-0248,MS-0061,MS-0031,1831,0.84,0.11,0.08,0.34,0.093,routine_survey,None observed,T. Vells,permeability_test,0.87,
BS-0021,EB-0169,MS-0003,MS-0041,929,0.17,-0.03,0.8,0.44,-0.119,seasonal,None observed,K. Strand,trajectory_deviation,0.76,
BS-0022,EB-0007,MS-0008,MS-0060,1843,0.74,0.22,0.22,0.59,0.078,routine_survey,Survey activity,Boundary Commission,permeability_test,0.79,
BS-0023,EB-0223,MS-0100,MS-0077,927,0.33,-0.05,0.7,0.62,0.061,boundary_incident,Classification attempt,Western Archive Team,permeability_test,0.8,
BS-0024,EB-0001,MS-0032,MS-0089,1837,0.59,-0.07,0.54,0.36,-0.015,post_violation,Creature migration,P. Tross,trajectory_deviation,0.75,
BS-0025,EB-0257,MS-0042,MS-0093,930,0.33,-0.04,0.77,0.64,-0.032,routine_survey,Creature migration,Boundary Commission,trajectory_deviation,0.59,
BS-0026,EB-0267,MS-0053,MS-0006,1840,0.87,-0.07,0.14,0.84,0.042,historical_reconstruction,None observed,Boundary Commission,classification_differential,0.9,
BS-0027,EB-0223,MS-0087,MS-0046,913,0.31,-0.2,0.73,0.74,0.096,stress_test,None observed,Boundary Commission,trajectory_deviation,0.74,
BS-0028,EB-0002,MS-0021,MS-0032,1844,0.57,-0.04,0.34,0.27,-0.005,historical_reconstruction,Seasonal fluctuation,Archive Survey Team,classification_differential,0.87,
BS-0029,EB-0032,MS-0015,MS-0064,915,0.54,-0.16,0.39,0.62,-0.155,stress_test,None observed,P. Tross,historical_inference,0.6,
BS-0030,EB-0195,MS-0089,MS-0083,923,0.71,-0.19,0.34,0.8,-0.098,boundary_incident,Survey activity,K. Strand,historical_inference,0.72,
BS-0031,EB-0202,MS-0005,MS-0024,925,0.45,0.3,0.55,0.73,-0.159,seasonal,None observed,K. Strand,tension_probe,0.69,
BS-0032,EB-0321,MS-0007,MS-0045,1832,0.3,0.02,0.68,0.41,0.119,routine_survey,None observed,K. Strand,classification_differential,0.94,
BS-0033,EB-0284,MS-0046,MS-0081,1843,0.54,-0.07,0.48,0.19,0.016,boundary_incident,Classification attempt,T. Vells,permeability_test,0.87,
BS-0034,EB-0245,MS-0006,MS-0060,1842,0.7,-0.14,0.34,0.7,-0.02,boundary_incident,None observed,T. Vells,permeability_test,0.83,
BS-0035,EB-0154,MS-0061,MS-0030,1839,0.51,-0.02,0.5,0.44,0.026,seasonal,Survey activity,Archive Survey Team,trajectory_deviation,0.75,
BS-0036,EB-0294,MS-0016,MS-0022,1830,0.18,-0.17,0.86,0.3,-0.007,historical_reconstruction,Classification attempt,Western Archive Team,classification_differential,0.55,
BS-0037,EB-0078,MS-0042,MS-0061,1848,0.82,0.25,0.21,0.34,-0.025,stress_test,Survey activity,Boundary Commission,trajectory_deviation,0.65,
BS-0038,EB-0143,MS-0036,MS-0030,915,0.57,0.29,0.43,0.41,-0.178,routine_survey,Dens proximity event,P. Tross,classification_differential,0.66,
BS-0039,EB-0130,MS-0068,MS-0087,1847,0.86,0.07,0.12,0.23,-0.048,boundary_incident,Dens proximity event,P. Tross,tension_probe,0.93,
BS-0040,EB-0288,MS-0098,MS-0037,925,0.86,0.01,0.08,0.54,-0.046,routine_survey,Creature migration,Archive Survey Team,trajectory_deviation,0.59,
BS-0041,EB-0246,MS-0046,MS-0044,916,0.16,0.19,0.83,0.73,-0.022,routine_survey,Classification attempt,P. Tross,tension_probe,0.94,
BS-0042,EB-0289,MS-0047,MS-0066,913,0.66,-0.1,0.17,0.64,-0.059,boundary_incident,Adjacent boundary dissolution,P. Tross,historical_inference,0.6,
BS-0043,EB-0193,MS-0075,MS-0052,1850,0.83,0.06,0.13,0.63,-0.012,post_violation,None observed,T. Vells,permeability_test,0.68,
BS-0044,EB-0335,MS-0028,MS-0058,1836,0.91,-0.18,0.16,0.1,-0.162,stress_test,None observed,Boundary Commission,trajectory_deviation,0.95,
BS-0045,EB-0193,MS-0045,MS-0087,1837,0.71,-0.13,0.23,0.69,-0.176,stress_test,Survey activity,T. Vells,classification_differential,0.86,
BS-0046,EB-0325,MS-0073,MS-0041,919,0.67,-0.02,0.39,0.14,0.035,historical_reconstruction,None observed,P. Tross,trajectory_deviation,0.72,
BS-0047,EB-0338,MS-0077,MS-0004,1838,0.19,0.22,0.72,0.7,-0.128,routine_survey,Seasonal fluctuation,Boundary Commission,trajectory_deviation,0.62,
BS-0048,EB-0039,MS-0060,MS-0093,1846,0.42,-0.17,0.5,0.27,-0.007,historical_reconstruction,None observed,Archive Survey Team,tension_probe,0.78,
BS-0049,EB-0085,MS-0065,MS-0070,922,0.15,0.29,0.93,0.13,-0.138,routine_survey,Dens proximity event,Western Archive Team,classification_differential,0.85,
BS-0050,EB-0238,MS-0037,MS-0023,1851,0.85,0.0,0.08,0.24,-0.116,historical_reconstruction,Creature migration,P. Tross,classification_differential,0.67,
BS-0051,EB-0013,MS-0084,MS-0050,1832,0.65,-0.1,0.33,0.54,-0.004,routine_survey,Dens proximity event,T. Vells,classification_differential,0.63,
BS-0052,EB-0343,MS-0071,MS-0044,1839,0.6,-0.17,0.4,0.61,0.047,stress_test,None observed,Archive Survey Team,classification_differential,0.81,
BS-0053,EB-0278,MS-0029,MS-0066,914,0.32,0.07,0.75,0.24,0.281,stress_test,None observed,T. Vells,tension_probe,0.89,
BS-0054,EB-0043,MS-0057,MS-0065,920,0.88,0.02,0.08,0.74,-0.033,stress_test,None observed,P. Tross,tension_probe,0.83,
BS-0055,EB-0239,MS-0020,MS-0025,1837,0.43,-0.07,0.55,0.19,0.109,routine_survey,Adjacent boundary dissolution,P. Tross,tension_probe,0.58,
BS-0056,EB-0230,MS-0030,MS-0033,1839,0.49,0.05,0.54,0.73,-0.04,post_violation,None observed,K. Strand,trajectory_deviation,0.92,
BS-0057,EB-0038,MS-0019,MS-0038,915,0.91,0.01,0.28,0.26,-0.138,routine_survey,Dens proximity event,T. Vells,tension_probe,0.89,
BS-0058,EB-0220,MS-0010,MS-0054,1836,0.71,0.23,0.24,0.38,-0.168,historical_reconstruction,Classification attempt,T. Vells,historical_inference,0.88,
BS-0059,EB-0178,MS-0071,MS-0062,921,0.72,0.1,0.33,0.86,-0.047,routine_survey,Adjacent boundary dissolution,T. Vells,permeability_test,0.84,
BS-0060,EB-0349,MS-0071,MS-0094,1849,0.21,-0.01,0.9,0.51,0.102,historical_reconstruction,Creature migration,Archive Survey Team,historical_inference,0.62,
BS-0061,EB-0242,MS-0013,MS-0052,1840,0.85,-0.16,0.26,0.35,0.118,post_violation,None observed,Western Archive Team,permeability_test,0.52,
BS-0062,EB-0153,MS-0015,MS-0021,914,0.9,-0.16,0.05,0.74,-0.024,stress_test,None observed,Archive Survey Team,trajectory_deviation,0.83,
BS-0063,EB-0140,MS-0033,MS-0097,1831,0.5,0.09,0.35,0.79,-0.028,routine_survey,Dens proximity event,P. Tross,trajectory_deviation,0.6,
BS-0064,EB-0143,MS-0017,MS-0077,1838,0.9,-0.13,0.21,0.75,0.03,routine_survey,Survey activity,T. Vells,historical_inference,0.76,
BS-0065,EB-0085,MS-0035,MS-0075,1851,0.6,0.16,0.48,0.59,-0.026,post_violation,Dens proximity event,Boundary Commission,classification_differential,0.83,
BS-0066,EB-0068,MS-0073,MS-0032,1843,0.35,-0.03,0.66,0.63,0.144,historical_reconstruction,None observed,T. Vells,tension_probe,0.86,
BS-0067,EB-0291,MS-0092,MS-0076,930,0.49,0.14,0.61,0.64,-0.113,routine_survey,None observed,T. Vells,permeability_test,0.79,
BS-0068,EB-0253,MS-0084,MS-0087,927,0.72,-0.13,0.18,0.63,-0.076,boundary_incident,Creature migration,P. Tross,tension_probe,0.65,
BS-0069,EB-0030,MS-0075,MS-0043,920,0.63,-0.08,0.44,0.1,0.138,post_violation,Seasonal fluctuation,Boundary Commission,trajectory_deviation,0.55,
BS-0070,EB-0177,MS-0013,MS-0097,1846,0.57,0.33,0.42,0.63,-0.037,stress_test,Classification attempt,Boundary Commission,tension_probe,0.94,
BS-0071,EB-0022,MS-0070,MS-0063,914,0.3,0.12,0.65,0.67,0.24,post_violation,Classification attempt,Western Archive Team,classification_differential,0.72,
BS-0072,EB-0196,MS-0091,MS-0037,925,0.68,0.23,0.3,0.18,-0.006,historical_reconstruction,None observed,Archive Survey Team,tension_probe,0.94,
BS-0073,EB-0051,MS-0099,MS-0009,922,0.94,0.04,0.07,0.31,-0.167,historical_reconstruction,Adjacent boundary dissolution,P. Tross,classification_differential,0.53,
BS-0074,EB-0156,MS-0021,MS-0072,1850,0.16,-0.19,0.91,0.87,-0.078,post_violation,Dens proximity event,T. Vells,permeability_test,0.88,
BS-0075,EB-0274,MS-0033,MS-0081,1844,0.89,0.15,0.08,0.52,0.209,stress_test,Dens proximity event,Archive Survey Team,tension_probe,0.8,
BS-0076,EB-0046,MS-0072,MS-0069,1843,0.71,0.11,0.25,0.28,-0.089,routine_survey,Dens proximity event,Archive Survey Team,classification_differential,0.73,
BS-0077,EB-0281,MS-0047,MS-0041,916,0.7,-0.18,0.17,0.57,-0.02,seasonal,None observed,P. Tross,tension_probe,0.89,
BS-0078,EB-0311,MS-0009,MS-0024,922,0.83,0.01,0.16,0.41,-0.09,boundary_incident,None observed,Archive Survey Team,trajectory_deviation,0.68,
BS-0079,EB-0253,MS-0023,MS-0099,1834,0.46,-0.11,0.51,0.82,0.0,seasonal,Seasonal fluctuation,T. Vells,historical_inference,0.85,
BS-0080,EB-0338,MS-0038,MS-0046,926,0.15,-0.04,0.77,0.33,0.024,historical_reconstruction,Survey activity,Archive Survey Team,permeability_test,0.64,
BS-0081,EB-0214,MS-0021,MS-0059,1830,0.74,0.08,0.16,0.3,-0.022,boundary_incident,None observed,P. Tross,tension_probe,0.79,
BS-0082,EB-0221,MS-0080,MS-0063,921,0.64,-0.1,0.33,0.44,-0.077,routine_survey,Dens proximity event,Western Archive Team,permeability_test,0.63,
BS-0083,EB-0178,MS-0011,MS-0029,918,0.7,-0.13,0.36,0.48,-0.12,historical_reconstruction,Dens proximity event,K. Strand,trajectory_deviation,0.72,
BS-0084,EB-0324,MS-0036,MS-0012,1849,0.77,0.24,0.32,0.44,-0.163,post_violation,Creature migration,Archive Survey Team,classification_differential,0.81,
BS-0085,EB-0050,MS-0035,MS-0058,1836,0.23,-0.02,0.79,0.19,-0.091,routine_survey,Survey activity,T. Vells,permeability_test,0.56,
BS-0086,EB-0128,MS-0018,MS-0090,1841,0.73,-0.13,0.24,0.21,-0.025,historical_reconstruction,Adjacent boundary dissolution,T. Vells,trajectory_deviation,0.55,
BS-0087,EB-0157,MS-0077,MS-0020,1851,0.86,0.05,0.11,0.89,0.167,routine_survey,Survey activity,P. Tross,classification_differential,0.6,
BS-0088,EB-0149,MS-0096,MS-0021,926,0.59,-0.12,0.34,0.52,-0.034,routine_survey,None observed,T. Vells,tension_probe,0.7,
BS-0089,EB-0153,MS-0053,MS-0011,923,0.72,0.01,0.33,0.49,-0.125,stress_test,Dens proximity event,K. Strand,classification_differential,0.9,
BS-0090,EB-0340,MS-0008,MS-0053,920,0.51,0.23,0.37,0.69,-0.128,routine_survey,Classification attempt,K. Strand,tension_probe,0.88,
BS-0091,EB-0034,MS-0015,MS-0031,1847,0.2,-0.27,0.82,0.25,0.08,routine_survey,Seasonal fluctuation,T. Vells,permeability_test,0.51,
BS-0092,EB-0203,MS-0042,MS-0084,921,0.59,-0.0,0.42,0.33,0.186,routine_survey,Seasonal fluctuation,T. Vells,historical_inference,0.94,
BS-0093,EB-0247,MS-0100,MS-0096,920,0.89,-0.05,0.1,0.68,0.03,historical_reconstruction,Seasonal fluctuation,T. Vells,historical_inference,0.87,
BS-0094,EB-0051,MS-0091,MS-0098,927,0.77,-0.11,0.09,0.37,0.126,boundary_incident,None observed,P. Tross,historical_inference,0.65,
BS-0095,EB-0151,MS-0026,MS-0099,930,0.41,0.04,0.48,0.79,0.035,stress_test,Creature migration,K. Strand,trajectory_deviation,0.75,
BS-0096,EB-0198,MS-0073,MS-0032,1837,0.51,0.2,0.34,0.35,-0.027,routine_survey,Survey activity,Archive Survey Team,historical_inference,0.58,
BS-0097,EB-0281,MS-0071,MS-0005,1850,0.49,-0.1,0.46,0.83,-0.006,routine_survey,None observed,Boundary Commission,tension_probe,0.58,
BS-0098,EB-0328,MS-0089,MS-0045,916,0.63,0.01,0.33,0.43,0.034,seasonal,Classification attempt,Boundary Commission,trajectory_deviation,0.8,
BS-0099,EB-0328,MS-0097,MS-0043,923,0.64,0.05,0.3,0.27,-0.199,seasonal,Seasonal fluctuation,T. Vells,historical_inference,0.84,
BS-0100,EB-0274,MS-0005,MS-0033,930,0.23,-0.01,0.95,0.68,0.016,routine_survey,Creature migration,T. Vells,trajectory_deviation,0.65,
BS-0101,EB-0225,MS-0043,MS-0091,1844,0.41,-0.03,0.58,0.65,-0.05,historical_reconstruction,Dens proximity event,T. Vells,trajectory_deviation,0.7,
BS-0102,EB-0043,MS-0080,MS-0034,918,0.93,0.14,0.11,0.76,0.004,boundary_incident,Seasonal fluctuation,P. Tross,tension_probe,0.82,
BS-0103,EB-0175,MS-0023,MS-0023,912,0.95,0.01,0.05,0.1,0.191,routine_survey,Classification attempt,K. Strand,trajectory_deviation,0.52,
BS-0104,EB-0286,MS-0054,MS-0046,916,0.25,0.11,0.68,0.7,0.012,post_violation,None observed,Boundary Commission,historical_inference,0.75,
BS-0105,EB-0135,MS-0052,MS-0091,1841,0.18,-0.08,0.7,0.84,-0.019,historical_reconstruction,Classification attempt,Western Archive Team,tension_probe,0.6,
BS-0106,EB-0284,MS-0017,MS-0009,917,0.62,-0.04,0.52,0.75,-0.132,post_violation,Seasonal fluctuation,T. Vells,tension_probe,0.87,
BS-0107,EB-0031,MS-0082,MS-0034,928,0.83,0.21,0.22,0.9,-0.105,historical_reconstruction,None observed,Western Archive Team,classification_differential,0.6,
BS-0108,EB-0113,MS-0091,MS-0010,928,0.66,-0.05,0.38,0.87,0.087,routine_survey,Adjacent boundary dissolution,K. Strand,historical_inference,0.64,
BS-0109,EB-0295,MS-0086,MS-0081,1840,0.36,-0.09,0.63,0.78,-0.016,boundary_incident,Creature migration,T. Vells,permeability_test,0.53,
BS-0110,EB-0108,MS-0059,MS-0038,928,0.93,-0.21,0.05,0.71,0.162,post_violation,None observed,T. Vells,classification_differential,0.92,
BS-0111,EB-0144,MS-0064,MS-0058,922,0.77,-0.11,0.05,0.3,0.107,historical_reconstruction,Dens proximity event,Archive Survey Team,classification_differential,0.77,
BS-0112,EB-0337,MS-0006,MS-0095,927,0.69,-0.07,0.38,0.46,0.055,stress_test,Seasonal fluctuation,K. Strand,historical_inference,0.6,
BS-0113,EB-0338,MS-0049,MS-0050,1846,0.3,0.09,0.63,0.2,-0.057,routine_survey,Dens proximity event,T. Vells,trajectory_deviation,0.77,
BS-0114,EB-0291,MS-0085,MS-0013,914,0.16,0.02,0.85,0.26,-0.015,stress_test,Creature migration,K. Strand,permeability_test,0.81,
BS-0115,EB-0003,MS-0020,MS-0043,930,0.62,0.14,0.45,0.38,-0.063,routine_survey,Seasonal fluctuation,T. Vells,tension_probe,0.53,
BS-0116,EB-0144,MS-0024,MS-0020,1839,0.46,-0.27,0.55,0.69,-0.032,historical_reconstruction,Creature migration,T. Vells,tension_probe,0.91,
BS-0117,EB-0328,MS-0044,MS-0100,1836,0.66,0.03,0.29,0.89,0.129,boundary_incident,None observed,P. Tross,classification_differential,0.72,
BS-0118,EB-0204,MS-0079,MS-0040,915,0.73,0.11,0.21,0.52,0.038,routine_survey,Seasonal fluctuation,Archive Survey Team,classification_differential,0.63,
BS-0119,EB-0140,MS-0015,MS-0073,920,0.36,-0.15,0.57,0.14,0.036,historical_reconstruction,None observed,Archive Survey Team,classification_differential,0.88,
BS-0120,EB-0259,MS-0021,MS-0038,1843,0.7,0.14,0.32,0.46,0.123,boundary_incident,Dens proximity event,K. Strand,trajectory_deviation,0.58,
BS-0121,EB-0301,MS-0020,MS-0049,1830,0.85,-0.24,0.24,0.67,-0.141,boundary_incident,None observed,Archive Survey Team,trajectory_deviation,0.6,
BS-0122,EB-0313,MS-0048,MS-0087,925,0.53,0.12,0.53,0.29,-0.003,historical_reconstruction,None observed,T. Vells,classification_differential,0.85,
BS-0123,EB-0021,MS-0046,MS-0051,1848,0.24,0.02,0.7,0.77,-0.115,historical_reconstruction,Dens proximity event,T. Vells,trajectory_deviation,0.57,
BS-0124,EB-0255,MS-0077,MS-0034,1837,0.55,-0.0,0.51,0.14,0.031,historical_reconstruction,Seasonal fluctuation,T. Vells,trajectory_deviation,0.83,
BS-0125,EB-0214,MS-0064,MS-0021,1850,0.63,0.21,0.27,0.23,-0.21,post_violation,Seasonal fluctuation,Archive Survey Team,trajectory_deviation,0.86,
BS-0126,EB-0343,MS-0001,MS-0050,922,0.88,-0.1,0.13,0.88,0.07,boundary_incident,None observed,P. Tross,permeability_test,0.51,
BS-0127,EB-0223,MS-0084,MS-0077,1845,0.7,-0.08,0.29,0.12,-0.07,historical_reconstruction,Classification attempt,T. Vells,trajectory_deviation,0.63,
BS-0128,EB-0107,MS-0089,MS-0004,1845,0.65,-0.24,0.57,0.37,0.128,seasonal,Seasonal fluctuation,T. Vells,tension_probe,0.65,
BS-0129,EB-0283,MS-0087,MS-0032,912,0.7,0.03,0.21,0.73,0.061,routine_survey,Seasonal fluctuation,Western Archive Team,tension_probe,0.77,
BS-0130,EB-0264,MS-0085,MS-0044,1839,0.46,0.26,0.66,0.22,-0.063,seasonal,Classification attempt,K. Strand,tension_probe,0.93,
BS-0131,EB-0171,MS-0056,MS-0077,918,0.84,-0.06,0.23,0.29,0.136,boundary_incident,Survey activity,Western Archive Team,permeability_test,0.86,
BS-0132,EB-0025,MS-0003,MS-0024,1841,0.88,-0.27,0.19,0.58,0.048,routine_survey,None observed,Archive Survey Team,trajectory_deviation,0.9,
BS-0133,EB-0200,MS-0007,MS-0002,1841,0.94,-0.0,0.05,0.48,0.103,boundary_incident,Survey activity,Western Archive Team,classification_differential,0.81,
BS-0134,EB-0306,MS-0053,MS-0017,917,0.2,-0.08,0.76,0.72,0.169,routine_survey,Seasonal fluctuation,T. Vells,permeability_test,0.5,
BS-0135,EB-0135,MS-0074,MS-0069,924,0.45,-0.08,0.57,0.72,0.067,historical_reconstruction,Dens proximity event,T. Vells,trajectory_deviation,0.65,
BS-0136,EB-0002,MS-0030,MS-0061,914,0.83,0.05,0.23,0.59,0.029,routine_survey,Seasonal fluctuation,P. Tross,trajectory_deviation,0.61,
BS-0137,EB-0212,MS-0098,MS-0015,926,0.36,-0.07,0.65,0.34,0.026,historical_reconstruction,Classification attempt,T. Vells,historical_inference,0.79,
BS-0138,EB-0290,MS-0003,MS-0002,920,0.77,0.11,0.1,0.79,0.087,routine_survey,Seasonal fluctuation,Boundary Commission,tension_probe,0.77,
BS-0139,EB-0084,MS-0092,MS-0027,921,0.22,-0.06,0.66,0.46,0.03,post_violation,Dens proximity event,P. Tross,permeability_test,0.55,
BS-0140,EB-0150,MS-0094,MS-0083,926,0.46,0.15,0.5,0.84,0.012,routine_survey,Dens proximity event,P. Tross,permeability_test,0.74,
BS-0141,EB-0066,MS-0052,MS-0092,929,0.54,0.32,0.49,0.24,0.084,historical_reconstruction,Classification attempt,T. Vells,historical_inference,0.8,
BS-0142,EB-0157,MS-0036,MS-0090,926,0.24,-0.41,0.78,0.82,0.239,boundary_incident,None observed,Western Archive Team,tension_probe,0.53,
BS-0143,EB-0109,MS-0009,MS-0023,915,0.89,0.0,0.05,0.51,0.061,routine_survey,Classification attempt,P. Tross,permeability_test,0.76,
BS-0144,EB-0277,MS-0099,MS-0010,1836,0.94,0.25,0.05,0.21,0.063,routine_survey,Dens proximity event,K. Strand,classification_differential,0.63,
BS-0145,EB-0026,MS-0079,MS-0080,1830,0.49,0.13,0.49,0.16,0.14,stress_test,Adjacent boundary dissolution,P. Tross,classification_differential,0.67,
BS-0146,EB-0300,MS-0016,MS-0051,1844,0.36,-0.09,0.78,0.79,-0.006,historical_reconstruction,Creature migration,P. Tross,permeability_test,0.89,
BS-0147,EB-0192,MS-0080,MS-0048,1837,0.82,0.02,0.3,0.29,-0.138,post_violation,None observed,T. Vells,classification_differential,0.56,
BS-0148,EB-0136,MS-0093,MS-0081,929,0.57,0.05,0.49,0.15,-0.013,post_violation,Seasonal fluctuation,P. Tross,historical_inference,0.77,
BS-0149,EB-0225,MS-0053,MS-0046,912,0.17,0.09,0.77,0.3,-0.207,post_violation,None observed,K. Strand,classification_differential,0.74,
BS-0150,EB-0051,MS-0096,MS-0027,1831,0.55,0.1,0.43,0.16,-0.127,seasonal,Survey activity,Western Archive Team,historical_inference,0.72,
BS-0151,EB-0053,MS-0063,MS-0083,1834,0.48,0.07,0.63,0.43,-0.185,seasonal,None observed,K. Strand,classification_differential,0.95,
BS-0152,EB-0159,MS-0079,MS-0029,927,0.49,0.05,0.49,0.38,-0.061,historical_reconstruction,Survey activity,P. Tross,classification_differential,0.55,
BS-0153,EB-0149,MS-0080,MS-0019,1832,0.32,-0.13,0.89,0.74,-0.111,seasonal,None observed,Western Archive Team,historical_inference,0.59,
BS-0154,EB-0045,MS-0072,MS-0063,1851,0.78,-0.04,0.29,0.56,0.048,historical_reconstruction,Seasonal fluctuation,P. Tross,trajectory_deviation,0.72,
BS-0155,EB-0083,MS-0083,MS-0095,1832,0.41,0.17,0.65,0.63,0.036,seasonal,None observed,T. Vells,trajectory_deviation,0.82,
BS-0156,EB-0274,MS-0084,MS-0007,1830,0.52,-0.11,0.54,0.39,0.074,seasonal,None observed,K. Strand,historical_inference,0.74,
BS-0157,EB-0328,MS-0083,MS-0021,1836,0.9,-0.12,0.36,0.25,0.123,seasonal,Creature migration,P. Tross,historical_inference,0.76,
BS-0158,EB-0268,MS-0069,MS-0074,1849,0.71,-0.1,0.23,0.6,0.057,post_violation,None observed,T. Vells,permeability_test,0.83,
BS-0159,EB-0136,MS-0055,MS-0031,1844,0.29,-0.1,0.72,0.11,0.073,routine_survey,Creature migration,Boundary Commission,permeability_test,0.7,
BS-0160,EB-0214,MS-0065,MS-0074,922,0.43,0.04,0.49,0.35,-0.087,boundary_incident,Creature migration,Archive Survey Team,tension_probe,0.5,
BS-0161,EB-0197,MS-0034,MS-0011,923,0.32,0.22,0.69,0.57,0.072,routine_survey,None observed,P. Tross,classification_differential,0.87,
BS-0162,EB-0099,MS-0088,MS-0063,1841,0.42,-0.05,0.49,0.67,0.07,post_violation,Seasonal fluctuation,Western Archive Team,tension_probe,0.54,
BS-0163,EB-0076,MS-0030,MS-0082,929,0.34,-0.18,0.7,0.44,0.02,boundary_incident,Classification attempt,P. Tross,permeability_test,0.53,
BS-0164,EB-0249,MS-0029,MS-0037,1843,0.29,0.03,0.58,0.13,0.016,routine_survey,Adjacent boundary dissolution,Western Archive Team,tension_probe,0.85,
BS-0165,EB-0164,MS-0043,MS-0043,927,0.77,0.09,0.09,0.73,-0.204,routine_survey,Creature migration,P. Tross,trajectory_deviation,0.66,
BS-0166,EB-0235,MS-0049,MS-0005,912,0.19,-0.01,0.76,0.47,0.045,historical_reconstruction,Classification attempt,Archive Survey Team,tension_probe,0.8,
BS-0167,EB-0271,MS-0028,MS-0083,917,0.94,0.02,0.05,0.81,0.053,routine_survey,Creature migration,Boundary Commission,historical_inference,0.77,
BS-0168,EB-0249,MS-0083,MS-0080,925,0.32,-0.04,0.78,0.35,0.034,historical_reconstruction,Dens proximity event,K. Strand,permeability_test,0.51,
BS-0169,EB-0011,MS-0077,MS-0034,1848,0.2,-0.04,0.65,0.35,0.164,routine_survey,None observed,T. Vells,trajectory_deviation,0.88,
BS-0170,EB-0260,MS-0009,MS-0049,1840,0.88,0.25,0.21,0.41,-0.154,stress_test,None observed,Boundary Commission,tension_probe,0.68,
BS-0171,EB-0013,MS-0014,MS-0010,1846,0.55,-0.37,0.51,0.69,-0.093,post_violation,Survey activity,P. Tross,trajectory_deviation,0.95,
BS-0172,EB-0040,MS-0048,MS-0092,930,0.62,-0.09,0.31,0.85,-0.011,historical_reconstruction,None observed,T. Vells,historical_inference,0.58,
BS-0173,EB-0208,MS-0098,MS-0040,915,0.21,0.04,0.74,0.71,-0.193,seasonal,None observed,Western Archive Team,permeability_test,0.65,
BS-0174,EB-0026,MS-0032,MS-0053,928,0.8,0.19,0.21,0.22,0.137,stress_test,Creature migration,P. Tross,permeability_test,0.62,
