training_id,experiment_name,year,experimenter,epoch,total_epochs,learning_rate,batch_size,dictionary_size,hidden_dim,sparsity_penalty,l1_loss,reconstruction_loss,total_loss,sparsity,active_features,dead_features,mean_activation,max_activation,feature_density,explained_variance,gradient_norm,weight_norm,encoder_norm,decoder_norm,convergence_metric,training_phase,densworld_analog,notes
SAE-003-E10000,Low Sparsity SAE,922,Prenn Vash,10000,10000,0.0003,64,512,128,0.001,0.006,0.009,0.015,0.45,498,14,0.112,0.934,0.289,0.985,0.34,0.445,0.756,0.778,converged,final,Maximum fidelity,Low sparsity high reconstruction
SAE-004-E0000,Large Dictionary SAE,923,Prenn Vash,0,15000,0.0003,64,1024,128,0.01,0.567,0.456,1.023,0.08,1024,0,0.198,0.989,0.423,0.198,18.90,0.112,0.423,0.445,random,initialization,Vast chaos,Larger dictionary
SAE-004-E2000,Large Dictionary SAE,923,Prenn Vash,2000,15000,0.0003,64,1024,128,0.01,0.123,0.045,0.168,0.67,945,79,0.067,0.889,0.134,0.867,2.34,0.378,0.712,0.734,rapid_learning,feature_formation,Expanded catalog,More features available
SAE-004-E8000,Large Dictionary SAE,923,Prenn Vash,8000,15000,0.0003,64,1024,128,0.01,0.056,0.023,0.079,0.86,978,46,0.034,0.867,0.078,0.945,0.78,0.456,0.789,0.812,near_convergence,convergence,Rich clarity,Many interpretable features
SAE-004-E15000,Large Dictionary SAE,923,Prenn Vash,15000,15000,0.0003,64,1024,128,0.01,0.048,0.019,0.067,0.88,987,37,0.028,0.856,0.067,0.956,0.34,0.478,0.812,0.834,converged,final,Complete catalog,Training complete
SAE-005-E0000,TopK SAE,924,Prenn Vash,0,10000,0.0003,64,512,128,na,0.000,0.456,0.456,0.00,512,0,0.234,0.987,0.456,0.234,12.45,0.123,0.456,0.478,random,initialization,Chaos state,TopK instead of L1
SAE-005-E1000,TopK SAE,924,Prenn Vash,1000,10000,0.0003,64,512,128,na,0.000,0.034,0.034,0.88,498,14,0.056,0.912,0.112,0.912,1.45,0.389,0.689,0.712,rapid_descent,specialization,Selective activation,TopK k=32
SAE-005-E5000,TopK SAE,924,Prenn Vash,5000,10000,0.0003,64,512,128,na,0.000,0.023,0.023,0.90,501,11,0.034,0.889,0.078,0.956,0.56,0.445,0.745,0.767,near_convergence,convergence,Precise selection,Clean feature activation
SAE-005-E10000,TopK SAE,924,Prenn Vash,10000,10000,0.0003,64,512,128,na,0.000,0.021,0.021,0.91,498,14,0.029,0.878,0.067,0.967,0.28,0.467,0.767,0.789,converged,final,TopK clarity,Excellent results with TopK
SAE-006-E0000,Gated SAE,924,Prenn Vash,0,12000,0.0003,64,512,128,0.01,0.456,0.456,0.912,0.12,512,0,0.234,0.987,0.456,0.234,14.56,0.123,0.456,0.478,random,initialization,Chaos state,Gated architecture
SAE-006-E2000,Gated SAE,924,Prenn Vash,2000,12000,0.0003,64,512,128,0.01,0.089,0.034,0.123,0.78,498,14,0.056,0.889,0.112,0.912,1.67,0.389,0.689,0.712,rapid_learning,specialization,Gated selection,Gate learning to activate
SAE-006-E6000,Gated SAE,924,Prenn Vash,6000,12000,0.0003,64,512,128,0.01,0.045,0.021,0.066,0.86,505,7,0.034,0.867,0.078,0.956,0.56,0.445,0.756,0.778,near_convergence,convergence,Gated clarity,Few dead features
SAE-006-E12000,Gated SAE,924,Prenn Vash,12000,12000,0.0003,64,512,128,0.01,0.038,0.018,0.056,0.87,502,10,0.031,0.856,0.072,0.963,0.23,0.478,0.778,0.801,converged,final,Full gated,Best dead feature ratio
SAE-007-E0000,Anthropic-Style SAE,925,Prenn Vash,0,20000,0.0001,128,4096,128,0.01,0.678,0.456,1.134,0.08,4096,0,0.178,0.992,0.389,0.178,25.67,0.098,0.389,0.412,random,initialization,Vast chaos,Large-scale following Anthropic
SAE-007-E5000,Anthropic-Style SAE,925,Prenn Vash,5000,20000,0.0001,128,4096,128,0.01,0.134,0.034,0.168,0.78,3845,251,0.045,0.867,0.098,0.912,2.34,0.345,0.623,0.645,rapid_learning,feature_formation,Massive catalog,Many features forming
SAE-007-E10000,Anthropic-Style SAE,925,Prenn Vash,10000,20000,0.0001,128,4096,128,0.01,0.067,0.018,0.085,0.89,3923,173,0.023,0.834,0.056,0.956,0.89,0.423,0.689,0.712,stabilizing,refinement,Refinement,Continued improvement
SAE-007-E20000,Anthropic-Style SAE,925,Prenn Vash,20000,20000,0.0001,128,4096,128,0.01,0.045,0.012,0.057,0.91,3912,184,0.019,0.812,0.045,0.972,0.34,0.467,0.723,0.745,converged,final,Complete,Production-quality extraction
