measurement_id,entity_id,entity_type,entity_name,entity_scale,spatial_extent_km,temporal_extent_days,social_extent_individuals,abstract_extent_score,horizon_volume,horizon_shape,strand_profile,measurement_year,measurement_context,dens_proximity_km,stress_level,horizon_stability,recent_change,change_trigger,measurer,method_reference,confidence,notes
HM-0011,ENT-0011,creature,stakdur colony,organ,0.89,0.8,4,0.1,1.0,social_dominant,survivor,916,behavioral_inference,255.2,low,0.55,stable,,Independent Observer,strand_protocol_v2,0.61,
HM-0012,ENT-0012,creature,digger collective,small_group,114.45,1050.5,54,0.04,1.0,asymmetric,standard_student,934,field_observation,159.7,moderate,0.74,stable,,Klutch CC Counseling,strand_protocol_v2,0.52,
HM-0013,ENT-0013,collective,Collective C-013,large_collective,2460.54,22602.3,11067,0.47,2918.4603,asymmetric,caretaker,916,self_report,115.5,low,0.83,stable,,R. Voss,field_estimation,0.63,
HM-0014,ENT-0014,institution,Institution I-014,institution,2791.26,20258.7,159338,0.51,2860.6492,social_dominant,caretaker,934,field_observation,219.7,minimal,0.87,stable,,R. Voss,strand_protocol_v1,0.79,
HM-0015,ENT-0015,creature,digger collective,small_group,521.42,1977.7,31,0.05,1.0,asymmetric,standard_worker,920,behavioral_inference,212.5,low,0.53,stable,,P. Anster,strand_protocol_v1,0.86,
HM-0016,ENT-0016,collective,Collective C-016,large_collective,1617.21,10661.3,9654,0.7,1973.1059,balanced,caretaker,919,historical_reconstruction,396.7,low,0.58,stable,,Archive Survey Team,behavioral_inference,0.79,
HM-0017,ENT-0017,person,Subject P-017,individual,90.11,1862.1,28,0.85,1.0,temporal_dominant,standard_student,938,historical_reconstruction,134.2,moderate,0.72,contracting,trauma,Boundary Commission,strand_protocol_v2,0.55,
HM-0018,ENT-0018,institution,Institution I-018,institution,2637.92,12355.3,61678,0.33,1106.7919,social_dominant,caretaker,932,clinical_assessment,290.0,moderate,0.78,stable,,M. Strand,field_estimation,0.72,
HM-0019,ENT-0019,creature,stakdur colony,individual,337.83,2853.3,27,0.09,1.0,balanced,standard_student,914,historical_reconstruction,182.6,low,0.54,stable,,Boundary Commission,strand_protocol_v2,0.51,
HM-0020,ENT-0020,collective,Collective C-020,small_group,638.36,2685.1,4,0.34,1.0,balanced,standard_student,921,clinical_assessment,308.9,low,0.61,expanding,trauma,K. Strand,behavioral_inference,0.89,
HM-0021,ENT-0021,person,Subject P-021,individual,312.96,1336.4,246,0.36,1.0499,asymmetric,standard_worker,926,behavioral_inference,333.5,moderate,0.71,stable,,T. Vells,strand_protocol_v1,0.74,
HM-0022,ENT-0022,person,Subject P-022,individual,38.68,1234.6,390,0.16,1.0,temporal_dominant,standard_student,932,historical_reconstruction,65.9,low,0.78,stable,,C. Vells,field_estimation,0.6,
HM-0023,ENT-0023,creature,cave bat swarm,organ,0.02,0.5,1,0.1,1.0,temporal_dominant,survivor,935,clinical_assessment,40.7,extreme,0.25,expanding,new_purpose,C. Vells,behavioral_inference,0.92,
HM-0024,ENT-0024,creature,leatherback,individual,271.97,3429.7,172,0.09,1.0,temporal_dominant,standard_student,920,historical_reconstruction,19.2,high,0.2,stable,,Archive Survey Team,strand_protocol_v1,0.66,
HM-0025,ENT-0025,collective,Collective C-025,small_group,756.98,1029.0,103,0.34,1.0,balanced,standard_student,921,clinical_assessment,273.4,low,0.69,stable,,T. Vells,anster_modified,0.73,
HM-0026,ENT-0026,person,Subject P-026,individual,111.7,3717.5,180,0.58,1.2547,temporal_dominant,standard_worker,922,self_report,132.9,minimal,0.78,stable,,K. Strand,behavioral_inference,0.73,
HM-0027,ENT-0027,institution,Institution I-027,institution,2072.94,46149.7,116562,0.76,7648.9288,temporal_dominant,caretaker,935,self_report,15.2,high,0.51,stable,,R. Voss,anster_modified,0.57,
HM-0028,ENT-0028,institution,Institution I-028,institution,1634.3,40744.0,34633,0.61,6086.9522,temporal_dominant,caretaker,913,self_report,356.0,moderate,0.75,stable,,P. Anster,strand_protocol_v1,0.7,
HM-0029,ENT-0029,collective,Collective C-029,large_collective,1404.23,1634.1,9363,0.39,162.4349,social_dominant,caretaker,914,behavioral_inference,223.4,minimal,0.73,stable,,Archive Survey Team,behavioral_inference,0.82,
HM-0030,ENT-0030,person,Subject P-030,individual,308.45,3135.6,44,0.64,1.0,temporal_dominant,standard_student,916,field_observation,336.5,minimal,0.72,stable,,T. Vells,field_estimation,0.63,
HM-0031,ENT-0031,collective,Collective C-031,small_group,694.03,5773.2,79,0.8,7.7945,abstract_dominant,standard_worker,940,self_report,161.1,moderate,0.92,expanding,new_purpose,K. Strand,behavioral_inference,0.87,
HM-0032,ENT-0032,institution,Institution I-032,large_collective,2198.2,9243.2,4674,0.59,705.2441,asymmetric,caretaker,927,clinical_assessment,438.3,minimal,0.6,stable,,Archive Survey Team,anster_modified,0.92,
HM-0033,ENT-0033,institution,Institution I-033,institution,1134.08,3342.8,16125,0.31,280.5926,social_dominant,caretaker,939,clinical_assessment,294.3,moderate,0.52,stable,,M. Strand,field_estimation,0.68,
HM-0034,ENT-0034,creature,leatherback,organ,0.73,0.1,5,0.11,1.0,social_dominant,survivor,937,self_report,405.4,moderate,0.54,stable,,M. Strand,field_estimation,0.54,
HM-0035,ENT-0035,person,Subject P-035,individual,337.61,1712.7,318,0.79,4.1241,abstract_dominant,standard_worker,921,field_observation,330.5,minimal,0.93,stable,,Boundary Commission,behavioral_inference,0.69,
HM-0036,ENT-0036,creature,ridge runner pack,small_group,435.49,4171.9,16,0.16,1.0,balanced,standard_student,912,historical_reconstruction,448.3,minimal,0.92,expanding,,Boundary Commission,field_estimation,0.65,
HM-0037,ENT-0037,institution,Institution I-037,institution,3258.54,4619.2,109592,0.32,410.2952,social_dominant,caretaker,932,behavioral_inference,8.6,extreme,0.48,stable,,Archive Survey Team,strand_protocol_v2,0.86,
HM-0038,ENT-0038,collective,Collective C-038,small_group,581.28,3009.6,68,0.66,2.481,balanced,standard_worker,923,historical_reconstruction,172.2,low,0.9,stable,,T. Vells,field_estimation,0.73,
HM-0039,ENT-0039,creature,digger collective,small_group,309.73,5752.5,13,0.02,1.0,temporal_dominant,standard_student,928,field_observation,260.3,minimal,0.67,stable,,P. Anster,behavioral_inference,0.7,
HM-0040,ENT-0040,person,Subject P-040,individual,475.43,445.4,180,0.24,1.0,asymmetric,standard_worker,923,clinical_assessment,337.5,moderate,0.72,contracting,trauma,K. Strand,strand_protocol_v1,0.87,
HM-0041,ENT-0041,creature,ridge runner pack,small_group,741.38,877.9,103,0.19,1.0,balanced,standard_student,926,field_observation,65.5,moderate,0.6,stable,,C. Vells,anster_modified,0.87,
HM-0042,ENT-0042,creature,stakdur colony,individual,305.75,1580.3,6,0.06,1.0,asymmetric,standard_worker,915,historical_reconstruction,21.4,extreme,0.32,stable,,K. Strand,strand_protocol_v1,0.71,
HM-0043,ENT-0043,collective,Collective C-043,small_group,596.37,7526.6,35,0.67,3.7288,temporal_dominant,visionary,923,behavioral_inference,334.7,moderate,0.85,stable,,Klutch CC Counseling,strand_protocol_v2,0.51,
HM-0044,ENT-0044,creature,tunnel cat,organ,0.46,0.4,0,0.15,1.0,asymmetric,survivor,915,behavioral_inference,446.9,moderate,0.56,stable,,M. Strand,strand_protocol_v1,0.64,
HM-0045,ENT-0045,collective,Collective C-045,small_group,281.61,7709.0,135,0.79,6.7859,temporal_dominant,visionary,912,self_report,389.9,low,0.52,stable,,Klutch CC Counseling,behavioral_inference,0.8,
HM-0046,ENT-0046,person,Subject P-046,individual,422.81,4146.5,58,0.5,1.639,asymmetric,standard_student,921,field_observation,360.1,minimal,0.64,stable,,Klutch CC Counseling,anster_modified,0.66,
HM-0047,ENT-0047,institution,Institution I-047,large_collective,2249.41,5782.2,4778,0.55,418.084,asymmetric,caretaker,913,historical_reconstruction,377.1,moderate,0.67,stable,,T. Vells,strand_protocol_v1,0.76,
HM-0048,ENT-0048,institution,Institution I-048,large_collective,1792.43,2040.4,8457,0.58,273.6621,social_dominant,caretaker,914,historical_reconstruction,111.3,low,0.73,stable,,K. Strand,strand_protocol_v1,0.9,
HM-0049,ENT-0049,institution,Institution I-049,institution,3445.27,23660.9,162599,0.46,2986.2133,social_dominant,caretaker,930,historical_reconstruction,16.3,high,0.21,stable,,K. Strand,strand_protocol_v1,0.92,
HM-0050,ENT-0050,collective,Collective C-050,small_group,839.5,7522.3,28,0.73,4.8282,abstract_dominant,jackson_type,928,clinical_assessment,269.6,low,0.76,oscillating,dens_exposure,R. Voss,field_estimation,0.67,
HM-0051,ENT-0051,creature,ridge runner pack,organ,0.13,0.6,1,0.02,1.0,social_dominant,survivor,938,clinical_assessment,29.8,high,0.54,stable,,M. Strand,strand_protocol_v1,0.75,
HM-0052,ENT-0052,person,Subject P-052,individual,107.73,187.6,81,0.43,1.0,asymmetric,standard_student,933,historical_reconstruction,443.6,minimal,0.74,stable,,Klutch CC Counseling,field_estimation,0.67,
HM-0053,ENT-0053,collective,Collective C-053,large_collective,3190.98,7348.6,10206,0.65,1311.7666,social_dominant,caretaker,913,clinical_assessment,465.6,minimal,0.63,contracting,dens_exposure,T. Vells,anster_modified,0.94,
HM-0054,ENT-0054,creature,ridge runner pack,individual,166.17,4036.4,184,0.17,1.0,temporal_dominant,standard_student,932,historical_reconstruction,405.2,low,0.57,stable,,M. Strand,anster_modified,0.66,
HM-0055,ENT-0055,collective,Collective C-055,small_group,840.96,4705.2,72,0.47,4.1667,asymmetric,standard_student,913,historical_reconstruction,48.9,high,0.29,stable,,P. Anster,field_estimation,0.5,
HM-0056,ENT-0056,institution,Institution I-056,large_collective,3830.73,1352.5,9599,0.34,121.091,social_dominant,caretaker,921,clinical_assessment,105.9,moderate,0.7,oscillating,trauma,Independent Observer,anster_modified,0.64,
HM-0057,ENT-0057,institution,Institution I-057,large_collective,539.58,17283.1,8914,0.61,1399.049,temporal_dominant,caretaker,940,self_report,287.0,moderate,0.56,stable,,M. Strand,field_estimation,0.61,
HM-0058,ENT-0058,person,Subject P-058,individual,256.82,4910.8,268,0.18,1.7275,temporal_dominant,standard_worker,920,clinical_assessment,29.8,extreme,0.24,stable,,T. Vells,field_estimation,0.51,
HM-0059,ENT-0059,collective,Collective C-059,small_group,948.85,4226.0,34,0.63,3.0585,asymmetric,standard_worker,931,self_report,282.7,moderate,0.74,stable,,T. Vells,anster_modified,0.53,
HM-0060,ENT-0060,institution,Institution I-060,large_collective,650.59,32065.5,556,0.35,113.1577,temporal_dominant,institutional,915,field_observation,223.9,low,0.89,stable,,Klutch CC Counseling,field_estimation,0.66,
HM-0061,ENT-0061,institution,Institution I-061,institution,2474.09,33181.0,43367,0.59,5370.5672,temporal_dominant,caretaker,923,field_observation,427.7,low,0.82,stable,,Archive Survey Team,strand_protocol_v1,0.85,
HM-0062,ENT-0062,creature,digger collective,organ,0.9,1.1,3,0.18,1.0,social_dominant,survivor,920,field_observation,198.3,moderate,0.88,expanding,,Archive Survey Team,strand_protocol_v2,0.64,
HM-0063,ENT-0063,collective,Collective C-063,small_group,957.1,2127.3,108,0.4,2.6407,balanced,standard_student,913,clinical_assessment,334.8,low,0.83,stable,,K. Strand,field_estimation,0.94,
HM-0064,ENT-0064,person,Subject P-064,individual,350.18,5457.4,54,0.49,1.6323,temporal_dominant,standard_worker,929,behavioral_inference,426.3,minimal,0.85,stable,,R. Voss,strand_protocol_v2,0.64,
HM-0065,ENT-0065,institution,Institution I-065,large_collective,3531.19,1353.5,20725,0.56,207.3308,social_dominant,caretaker,923,self_report,489.5,low,0.69,stable,,Independent Observer,strand_protocol_v1,0.83,
HM-0066,ENT-0066,creature,tunnel cat,individual,138.99,257.6,121,0.0,1.0,balanced,standard_worker,920,behavioral_inference,95.2,moderate,0.61,stable,,Independent Observer,strand_protocol_v2,0.84,
HM-0067,ENT-0067,institution,Institution I-067,institution,3751.91,24915.4,4037,0.55,1520.4596,balanced,visionary,938,self_report,107.5,minimal,0.95,stable,,Boundary Commission,behavioral_inference,0.62,
HM-0068,ENT-0068,person,Subject P-068,individual,195.62,981.9,63,0.7,1.0,abstract_dominant,standard_worker,922,historical_reconstruction,337.1,moderate,0.79,stable,,R. Voss,anster_modified,0.54,
HM-0069,ENT-0069,person,Subject P-069,individual,402.95,1995.4,21,0.85,1.0,abstract_dominant,standard_worker,931,field_observation,268.2,moderate,0.55,stable,,Independent Observer,strand_protocol_v1,0.59,
HM-0070,ENT-0070,collective,Collective C-070,small_group,627.74,11305.2,19,0.64,3.6214,temporal_dominant,visionary,924,self_report,146.4,minimal,0.84,stable,,Archive Survey Team,strand_protocol_v1,0.89,
HM-0071,ENT-0071,institution,Institution I-071,large_collective,2930.91,5047.0,15816,0.53,733.1569,social_dominant,caretaker,938,field_observation,285.5,moderate,0.56,stable,,M. Strand,field_estimation,0.7,
HM-0072,ENT-0072,collective,Collective C-072,large_collective,2981.16,19018.4,915,0.68,325.9552,asymmetric,visionary,927,field_observation,180.5,moderate,0.86,expanding,loss,R. Voss,strand_protocol_v1,0.7,
HM-0073,ENT-0073,institution,Institution I-073,institution,680.39,39403.2,88279,0.62,4204.6573,temporal_dominant,caretaker,929,behavioral_inference,360.8,minimal,0.92,expanding,trauma,P. Anster,strand_protocol_v2,0.95,
HM-0074,ENT-0074,person,Subject P-074,individual,115.5,2947.2,119,0.24,1.0,temporal_dominant,standard_student,927,self_report,115.9,low,0.83,stable,,K. Strand,behavioral_inference,0.77,
HM-0075,ENT-0075,institution,Institution I-075,institution,3514.33,5656.7,104589,0.42,660.6512,social_dominant,caretaker,939,self_report,202.0,low,0.74,stable,,Boundary Commission,field_estimation,0.84,
HM-0076,ENT-0076,creature,digger collective,small_group,391.81,8935.5,55,0.1,1.0,temporal_dominant,standard_worker,934,behavioral_inference,163.0,moderate,0.61,stable,,Boundary Commission,strand_protocol_v1,0.91,
HM-0077,ENT-0077,institution,Institution I-077,large_collective,4972.84,21050.4,28078,0.77,4451.3522,social_dominant,caretaker,921,clinical_assessment,481.4,low,0.61,stable,,Archive Survey Team,field_estimation,0.72,
HM-0078,ENT-0078,person,Subject P-078,individual,80.82,1606.4,40,0.61,1.0,temporal_dominant,standard_student,938,self_report,237.6,minimal,0.67,stable,,Klutch CC Counseling,field_estimation,0.67,
HM-0079,ENT-0079,creature,stakdur colony,individual,188.77,4810.5,97,0.08,1.0,temporal_dominant,standard_worker,926,self_report,191.7,minimal,0.54,stable,,Klutch CC Counseling,strand_protocol_v2,0.75,
HM-0080,ENT-0080,person,Subject P-080,individual,226.73,6189.8,233,0.38,3.5885,temporal_dominant,standard_worker,923,behavioral_inference,276.8,moderate,0.8,stable,,T. Vells,behavioral_inference,0.71,
HM-0081,ENT-0081,person,Subject P-081,individual,42.38,2667.2,102,0.63,1.0,temporal_dominant,standard_worker,939,self_report,84.3,low,0.57,stable,,Independent Observer,behavioral_inference,0.66,
HM-0082,ENT-0082,creature,cave bat swarm,individual,57.18,808.4,224,0.01,1.0,temporal_dominant,standard_worker,927,clinical_assessment,406.9,low,0.63,stable,,K. Strand,field_estimation,0.93,
HM-0083,ENT-0083,institution,Institution I-083,large_collective,2039.19,6244.6,3490,0.76,458.0176,abstract_dominant,caretaker,940,clinical_assessment,154.2,minimal,0.53,stable,,Boundary Commission,field_estimation,0.95,
HM-0084,ENT-0084,institution,Institution I-084,institution,4812.17,17574.2,167640,0.56,2703.9462,social_dominant,caretaker,929,historical_reconstruction,419.9,minimal,0.51,stable,,Boundary Commission,strand_protocol_v1,0.85,
HM-0085,ENT-0085,collective,Collective C-085,large_collective,1599.08,22581.4,5339,0.76,2534.491,temporal_dominant,visionary,930,self_report,459.9,moderate,0.6,stable,,Archive Survey Team,field_estimation,0.5,
HM-0086,ENT-0086,collective,Collective C-086,large_collective,4761.03,7252.0,1424,0.57,162.103,asymmetric,institutional,935,historical_reconstruction,334.6,minimal,0.81,stable,,C. Vells,anster_modified,0.62,
HM-0087,ENT-0087,creature,cave bat swarm,individual,439.77,4969.9,69,0.09,1.0,temporal_dominant,standard_student,932,historical_reconstruction,187.0,minimal,0.85,stable,,P. Anster,behavioral_inference,0.89,
HM-0088,ENT-0088,institution,Institution I-088,institution,2569.71,12934.2,120936,0.41,1456.7459,social_dominant,caretaker,912,historical_reconstruction,283.6,moderate,0.54,stable,,Klutch CC Counseling,strand_protocol_v2,0.83,
HM-0089,ENT-0089,institution,Institution I-089,institution,1722.1,10273.7,226594,0.43,1203.9579,social_dominant,caretaker,912,clinical_assessment,27.6,extreme,0.36,stable,,K. Strand,strand_protocol_v2,0.79,
HM-0090,ENT-0090,creature,tunnel cat,organ,0.74,1.5,1,0.06,1.0,balanced,survivor,933,historical_reconstruction,178.6,minimal,0.82,stable,,Klutch CC Counseling,field_estimation,0.6,
HM-0091,ENT-0091,creature,digger collective,organ,0.23,0.5,4,0.19,1.0,social_dominant,survivor,925,behavioral_inference,133.9,moderate,0.88,stable,,T. Vells,behavioral_inference,0.6,
HM-0092,ENT-0092,institution,Institution I-092,institution,4464.28,39581.8,73832,0.57,5730.0747,social_dominant,caretaker,917,field_observation,18.9,extreme,0.34,expanding,new_purpose,R. Voss,field_estimation,0.58,
HM-0093,ENT-0093,person,Subject P-093,individual,350.58,1954.5,274,0.26,1.3707,balanced,standard_worker,927,clinical_assessment,388.7,minimal,0.73,stable,,R. Voss,field_estimation,0.74,
HM-0094,ENT-0094,person,Subject P-094,individual,86.32,893.5,105,0.64,1.0,temporal_dominant,standard_worker,932,field_observation,219.7,minimal,0.69,stable,,C. Vells,behavioral_inference,0.68,
HM-0095,ENT-0095,creature,stakdur colony,individual,117.33,1168.5,101,0.03,1.0,asymmetric,standard_student,919,behavioral_inference,373.7,minimal,0.92,oscillating,new_purpose,R. Voss,field_estimation,0.66,
HM-0096,ENT-0096,creature,cave bat swarm,individual,239.66,3371.7,269,0.06,1.0,temporal_dominant,standard_student,935,field_observation,44.0,high,0.51,stable,,R. Voss,anster_modified,0.76,
HM-0097,ENT-0097,collective,Collective C-097,small_group,679.2,6343.7,54,0.46,3.4577,balanced,standard_student,920,historical_reconstruction,306.4,low,0.68,oscillating,loss,K. Strand,field_estimation,0.61,
HM-0098,ENT-0098,collective,Collective C-098,small_group,895.07,1445.3,79,0.59,1.8649,asymmetric,standard_student,912,historical_reconstruction,473.1,moderate,0.64,stable,,K. Strand,behavioral_inference,0.71,
HM-0099,ENT-0099,person,Subject P-099,individual,249.61,432.2,207,0.86,1.0,abstract_dominant,standard_worker,930,behavioral_inference,328.0,moderate,0.68,stable,,M. Strand,anster_modified,0.73,
HM-0100,ENT-0100,institution,Institution I-100,large_collective,119.41,21125.1,22859,0.76,527.4545,temporal_dominant,caretaker,917,clinical_assessment,224.1,moderate,0.66,stable,,P. Anster,anster_modified,0.94,
HM-0101,ENT-0101,collective,Collective C-101,small_group,666.8,11284.8,12,0.75,3.4126,temporal_dominant,jackson_type,925,clinical_assessment,5.7,extreme,0.38,oscillating,loss,P. Anster,behavioral_inference,0.71,
HM-0102,ENT-0102,institution,Institution I-102,institution,910.87,7611.8,18517,0.74,1407.2988,social_dominant,caretaker,936,clinical_assessment,166.5,low,0.76,stable,,R. Voss,behavioral_inference,0.56,
HM-0103,ENT-0103,collective,Collective C-103,small_group,716.5,5245.4,22,0.33,1.0917,balanced,standard_worker,912,clinical_assessment,370.1,moderate,0.81,stable,,R. Voss,strand_protocol_v1,0.82,
HM-0104,ENT-0104,creature,ridge runner pack,organ,0.61,0.3,0,0.17,1.0,balanced,survivor,922,clinical_assessment,380.3,moderate,0.87,stable,,P. Anster,strand_protocol_v2,0.72,
HM-0105,ENT-0105,collective,Collective C-105,large_collective,3497.64,17366.7,5914,0.78,2199.4286,abstract_dominant,caretaker,914,self_report,154.3,moderate,0.64,stable,,P. Anster,strand_protocol_v2,0.95,
HM-0106,ENT-0106,person,Subject P-106,individual,239.82,1210.4,30,0.61,1.0,balanced,standard_student,919,behavioral_inference,488.8,moderate,0.52,oscillating,maturation,K. Strand,strand_protocol_v1,0.92,
HM-0107,ENT-0107,institution,Institution I-107,institution,3853.55,34939.0,81924,0.47,4508.2817,social_dominant,caretaker,912,self_report,294.8,minimal,0.79,contracting,,T. Vells,behavioral_inference,0.74,
HM-0108,ENT-0108,collective,Collective C-108,large_collective,4946.64,5066.1,20194,0.8,1106.0904,social_dominant,caretaker,912,self_report,462.8,low,0.77,stable,,Boundary Commission,strand_protocol_v2,0.61,
HM-0109,ENT-0109,institution,Institution I-109,institution,1543.38,27309.5,68021,0.52,3896.6616,temporal_dominant,caretaker,940,clinical_assessment,204.6,minimal,0.68,stable,,R. Voss,anster_modified,0.85,
HM-0110,ENT-0110,collective,Collective C-110,large_collective,1002.05,2259.8,4626,0.66,189.4476,social_dominant,caretaker,928,clinical_assessment,404.4,moderate,0.74,contracting,trauma,R. Voss,field_estimation,0.67,
HM-0111,ENT-0111,institution,Institution I-111,institution,1232.73,39585.5,17841,0.35,3464.5157,temporal_dominant,caretaker,916,historical_reconstruction,117.4,low,0.67,contracting,new_purpose,P. Anster,strand_protocol_v1,0.58,
HM-0112,ENT-0112,collective,Collective C-112,large_collective,846.04,14165.0,5344,0.31,541.7657,temporal_dominant,caretaker,926,historical_reconstruction,473.5,moderate,0.81,stable,,T. Vells,strand_protocol_v1,0.65,
HM-0113,ENT-0113,institution,Institution I-113,institution,3264.48,11833.6,112775,0.71,2318.0319,social_dominant,caretaker,914,behavioral_inference,100.7,low,0.63,stable,,K. Strand,strand_protocol_v1,0.61,
HM-0114,ENT-0114,institution,Institution I-114,large_collective,1973.78,23386.3,14011,0.54,3483.112,temporal_dominant,caretaker,915,historical_reconstruction,29.3,extreme,0.35,expanding,,M. Strand,strand_protocol_v2,0.93,
HM-0115,ENT-0115,collective,Collective C-115,small_group,384.67,3158.3,31,0.34,1.0,asymmetric,standard_worker,926,field_observation,202.9,moderate,0.56,stable,,Independent Observer,field_estimation,0.8,
HM-0116,ENT-0116,collective,Collective C-116,large_collective,114.46,22321.1,5753,0.3,122.185,temporal_dominant,institutional,918,behavioral_inference,211.4,low,0.54,stable,,R. Voss,strand_protocol_v2,0.92,
HM-0117,ENT-0117,creature,ridge runner pack,small_group,182.43,2809.0,47,0.16,1.0,temporal_dominant,standard_student,935,self_report,185.7,minimal,0.77,stable,,R. Voss,strand_protocol_v1,0.61,
HM-0118,ENT-0118,institution,Institution I-118,institution,911.52,64032.1,252078,0.41,3723.8039,temporal_dominant,caretaker,931,self_report,293.2,low,0.89,stable,,Independent Observer,strand_protocol_v1,0.61,
HM-0119,ENT-0119,collective,Collective C-119,large_collective,2201.08,8888.5,1988,0.52,255.4812,balanced,visionary,924,clinical_assessment,232.2,moderate,0.73,contracting,trauma,Klutch CC Counseling,behavioral_inference,0.83,
HM-0120,ENT-0120,collective,Collective C-120,small_group,344.63,6792.7,14,0.6,1.0,temporal_dominant,standard_worker,924,clinical_assessment,156.4,minimal,0.79,stable,,R. Voss,anster_modified,0.89,
HM-0121,ENT-0121,collective,Collective C-121,large_collective,1335.04,2217.9,28294,0.5,307.0789,social_dominant,caretaker,930,historical_reconstruction,293.9,minimal,0.78,oscillating,maturation,Boundary Commission,anster_modified,0.81,
HM-0122,ENT-0122,collective,Collective C-122,small_group,59.56,2455.2,87,0.78,1.0,temporal_dominant,standard_worker,926,clinical_assessment,368.0,low,0.56,stable,,Boundary Commission,field_estimation,0.81,
HM-0123,ENT-0123,institution,Institution I-123,large_collective,566.12,11480.0,4342,0.4,307.3108,temporal_dominant,caretaker,931,clinical_assessment,140.7,minimal,0.86,stable,,Klutch CC Counseling,strand_protocol_v1,0.76,
HM-0124,ENT-0124,collective,Collective C-124,large_collective,4894.94,2602.0,5965,0.52,223.4039,social_dominant,caretaker,921,behavioral_inference,88.0,moderate,0.65,stable,,Archive Survey Team,field_estimation,0.75,
HM-0125,ENT-0125,collective,Collective C-125,small_group,944.95,4477.4,38,0.48,2.6785,balanced,standard_student,912,clinical_assessment,23.0,extreme,0.53,expanding,,T. Vells,field_estimation,0.77,
HM-0126,ENT-0126,creature,tunnel cat,individual,174.49,3163.5,116,0.13,1.0,temporal_dominant,standard_student,924,behavioral_inference,32.4,extreme,0.51,expanding,new_purpose,T. Vells,behavioral_inference,0.78,
HM-0127,ENT-0127,institution,Institution I-127,institution,3158.34,21528.4,100730,0.57,3375.2107,social_dominant,caretaker,926,self_report,476.1,moderate,0.77,stable,,Boundary Commission,field_estimation,0.81,
HM-0128,ENT-0128,collective,Collective C-128,small_group,861.2,2918.7,21,0.7,1.487,asymmetric,standard_worker,934,field_observation,492.9,low,0.89,stable,,R. Voss,field_estimation,0.62,
HM-0129,ENT-0129,creature,leatherback,small_group,527.53,10651.7,30,0.14,1.0,temporal_dominant,standard_student,913,clinical_assessment,257.5,minimal,0.68,stable,,R. Voss,behavioral_inference,0.73,
HM-0130,ENT-0130,creature,cave bat swarm,small_group,213.06,1915.7,7,0.05,1.0,asymmetric,standard_student,933,historical_reconstruction,102.9,moderate,0.54,stable,,R. Voss,field_estimation,0.89,
HM-0131,ENT-0131,institution,Institution I-131,institution,4111.34,16996.3,55346,0.56,2598.7934,social_dominant,caretaker,936,field_observation,145.1,moderate,0.81,stable,,C. Vells,strand_protocol_v1,0.56,
