formation_id,federation_name,founding_agents_count,founding_agent_scale,founding_agent_level_avg,pre_integration_score,formation_trigger,formation_year,formation_duration_days,formation_mode,communication_established,coordination_mechanism,boundary_definition,post_integration_score,collective_level_achieved,emergent_capabilities,emergent_goals,formation_success,stability_rating,years_persisted,documented_year,documenter,documentation_source,confidence,notes
FF-0037,Western Trade Coalition 20,386,small_group,3.5,0.24,resource_opportunity,831,320,sudden_crystallization,shared_procedures,consensus,formal_membership,0.76,4.3,resource_optimization,none,True,stable,19,926,Colony Observation Unit,historical_record,0.94,
FF-0038,Central Mill Crew 1,328,tissue,2.4,0.24,task_complexity,810,825,gradual_accumulation,physical_proximity,stigmergy,formal_membership,0.17,2.4,none,none,False,stable,0,940,Archive Survey Team,direct_observation,0.73,
FF-0039,Third Boundary Watch 15,377,individual,1.7,0.18,communication_density,881,3,emergent_self_organization,shared_procedures,hierarchy,formal_membership,0.71,2.3,resource_optimization,none,True,robust,15,936,Archive Survey Team,direct_observation,0.62,
FF-0040,Western Scholar Assembly 18,439,large_collective,2.2,0.27,task_complexity,916,872,gradual_accumulation,physical_proximity,mixed,formal_membership,0.95,3.0,complex_construction,expansion,True,moderate,11,926,Colony Observation Unit,historical_record,0.69,
FF-0041,Third Archive Committee 7,305,individual,3.1,0.06,goal_alignment,898,977,sudden_crystallization,chemical_signaling,hierarchy,formal_membership,0.74,3.7,complex_construction,none,True,robust,21,931,Colony Observation Unit,direct_observation,0.73,
FF-0042,Western Mill Crew 6,175,individual,3.0,0.02,external_threat,802,832,emergent_self_organization,regular_meetings,hierarchy,formal_membership,0.87,3.9,threat_response_coordination,knowledge_accumulation,True,robust,51,916,M. Strand,direct_observation,0.82,
FF-0043,Western Recovery Team 18,228,small_group,2.0,0.13,resource_opportunity,816,872,emergent_self_organization,distributed_memory,network,behavioral_synchrony,0.81,2.8,adaptive_reorganization,expansion,True,stable,107,931,Colony Observation Unit,testimony,0.94,
FF-0044,Eastern Survey Team 3,385,individual,2.8,0.01,external_threat,919,544,planned_establishment,chemical_signaling,market,formal_membership,0.45,3.3,resource_optimization,status,True,moderate,15,931,Boundary Commission,historical_record,0.9,
FF-0045,Third Boundary Watch 6,436,large_collective,2.5,0.28,external_threat,893,64,gradual_accumulation,chemical_signaling,mixed,formal_membership,0.61,3.0,multi-generational_preservation,status,True,stable,33,918,T. Mord,direct_observation,0.68,
FF-0046,Central Observer Network 6,365,mixed,2.4,0.25,task_complexity,843,454,planned_establishment,distributed_memory,network,behavioral_synchrony,0.72,3.0,resource_optimization,status,True,fragile,19,929,Archive Survey Team,historical_record,0.78,
FF-0047,Eastern Scholar Assembly 12,185,small_group,2.7,0.03,proximity_pressure,829,157,gradual_accumulation,physical_proximity,consensus,chemical_signature,0.36,2.7,none,none,False,stable,1,940,M. Strand,direct_observation,0.81,
FF-0048,Central Survey Team 20,211,small_group,2.0,0.27,proximity_pressure,869,750,emergent_self_organization,distributed_memory,mixed,behavioral_synchrony,0.42,2.3,threat_response_coordination,none,True,robust,25,927,T. Crost,inference,0.63,
FF-0049,Eastern Recovery Team 9,342,cellular,3.1,0.23,imposed_structure,843,818,planned_establishment,distributed_memory,consensus,unclear,0.26,3.1,none,none,False,fragile,4,920,Klutch CC Research,direct_observation,0.88,
FF-0050,Central Recovery Team 8,57,individual,3.0,0.28,external_threat,891,7,fission_from_larger,formal_protocols,consensus,spatial_proximity,0.59,3.6,threat_response_coordination,expansion,True,robust,43,918,Archive Survey Team,historical_record,0.64,
FF-0051,Western Scholar Assembly 14,155,small_group,2.5,0.19,reproduction,906,965,emergent_self_organization,shared_procedures,hierarchy,functional_role,0.59,3.1,complex_construction,self_preservation,True,stable,8,914,T. Crost,historical_record,0.84,
FF-0052,Central Preservation Unit 4,85,small_group,2.0,0.08,communication_density,883,589,planned_establishment,physical_proximity,market,formal_membership,0.89,2.8,distributed_cognition,knowledge_accumulation,True,unstable,44,920,Klutch CC Research,historical_record,0.82,
FF-0053,Central Research Circle 5,432,individual,1.7,0.04,resource_opportunity,922,835,planned_establishment,physical_proximity,market,behavioral_synchrony,0.95,2.5,adaptive_reorganization,none,True,robust,4,936,Colony Observation Unit,direct_observation,0.94,
FF-0054,Eastern Boundary Watch 13,462,individual,3.1,0.03,task_complexity,920,165,planned_establishment,shared_procedures,hierarchy,formal_membership,0.57,3.5,multi-generational_preservation,knowledge_accumulation,True,stable,4,933,Boundary Commission,direct_observation,0.74,
FF-0055,Eastern Archive Committee 12,128,individual,2.8,0.23,goal_alignment,845,646,gradual_accumulation,distributed_memory,consensus,behavioral_synchrony,0.53,3.2,multi-generational_preservation,none,True,stable,31,916,M. Strand,historical_record,0.77,
FF-0056,Third Navigation Guild 20,94,individual,3.2,0.24,imposed_structure,880,429,emergent_self_organization,formal_protocols,market,spatial_proximity,0.12,3.2,none,none,False,unstable,2,915,Archive Survey Team,historical_record,0.95,
FF-0057,Eastern Archive Committee 6,468,small_group,3.3,0.24,task_complexity,810,178,planned_establishment,formal_protocols,market,formal_membership,0.46,3.8,complex_construction,knowledge_accumulation,True,stable,127,921,O. Venn,inference,0.62,
FF-0058,Western Survey Team 4,85,individual,3.1,0.09,resource_opportunity,839,593,gradual_accumulation,regular_meetings,market,functional_role,0.63,3.6,complex_construction,knowledge_accumulation,True,robust,70,920,T. Crost,historical_record,0.89,
FF-0059,Third Preservation Unit 10,71,individual,2.5,0.18,task_complexity,852,446,sudden_crystallization,physical_proximity,network,spatial_proximity,0.78,3.2,adaptive_reorganization,none,True,stable,26,940,P. Anster,historical_record,0.86,
FF-0060,Eastern Scholar Assembly 1,195,small_group,2.2,0.01,task_complexity,803,28,gradual_accumulation,shared_procedures,network,behavioral_synchrony,0.9,3.2,threat_response_coordination,none,True,robust,33,921,Colony Observation Unit,direct_observation,0.73,
FF-0061,Third Navigation Guild 7,71,small_group,1.8,0.14,task_complexity,875,997,emergent_self_organization,formal_protocols,mixed,formal_membership,0.14,1.8,none,none,False,fragile,10,935,Klutch CC Research,biological_observation,0.83,
FF-0062,Western Scholar Assembly 10,187,individual,1.6,0.19,imposed_structure,886,514,gradual_accumulation,shared_procedures,network,spatial_proximity,0.75,2.2,multi-generational_preservation,status,True,stable,43,929,Boundary Commission,historical_record,0.71,
FF-0063,Western Research Circle 16,297,individual,3.1,0.25,reproduction,896,338,emergent_self_organization,distributed_memory,stigmergy,formal_membership,0.34,3.1,none,none,False,unstable,0,927,T. Crost,direct_observation,0.9,
FF-0064,Eastern Observer Network 1,423,individual,2.2,0.25,task_complexity,917,445,planned_establishment,formal_protocols,mixed,unclear,0.64,2.8,distributed_cognition,knowledge_accumulation,True,moderate,14,912,Boundary Commission,direct_observation,0.85,
FF-0065,New Observer Network 19,222,individual,3.4,0.22,goal_alignment,856,32,planned_establishment,chemical_signaling,market,chemical_signature,0.56,3.8,threat_response_coordination,knowledge_accumulation,True,stable,64,924,P. Anster,historical_record,0.72,
FF-0066,Western Preservation Unit 20,441,small_group,3.4,0.2,proximity_pressure,900,149,gradual_accumulation,distributed_memory,hierarchy,formal_membership,0.56,4.1,adaptive_reorganization,none,True,moderate,25,937,P. Anster,historical_record,0.94,
FF-0067,New Research Circle 5,285,small_group,3.0,0.27,imposed_structure,882,712,gradual_accumulation,physical_proximity,network,chemical_signature,0.42,3.3,resource_optimization,self_preservation,True,stable,29,919,T. Mord,historical_record,0.86,
FF-0068,Eastern Navigation Guild 4,58,individual,1.6,0.05,resource_opportunity,923,211,emergent_self_organization,formal_protocols,hierarchy,functional_role,0.92,2.3,resource_optimization,expansion,True,robust,5,914,Colony Observation Unit,testimony,0.91,
FF-0069,Western Archive Committee 8,130,small_group,1.6,0.1,goal_alignment,892,534,sudden_crystallization,shared_procedures,hierarchy,behavioral_synchrony,0.82,2.4,multi-generational_preservation,none,True,stable,35,919,Archive Survey Team,inference,0.85,
FF-0070,Third Scholar Assembly 6,95,small_group,2.1,0.14,proximity_pressure,871,8,sudden_crystallization,regular_meetings,network,spatial_proximity,0.5,2.7,distributed_cognition,self_preservation,True,robust,39,935,Klutch CC Research,testimony,0.88,
FF-0071,Digger Colony 23,273,individual,3.0,0.03,external_threat,839,16,emergent_self_organization,regular_meetings,hierarchy,formal_membership,0.58,3.6,complex_construction,none,True,fragile,75,933,P. Anster,direct_observation,0.85,
FF-0072,Central Archive Committee 20,233,small_group,2.7,0.29,proximity_pressure,918,314,sudden_crystallization,formal_protocols,mixed,spatial_proximity,0.49,3.2,complex_construction,self_preservation,True,moderate,22,916,P. Anster,testimony,0.78,
FF-0073,New Trade Coalition 11,254,individual,2.6,0.19,external_threat,933,477,planned_establishment,formal_protocols,hierarchy,functional_role,0.74,3.3,adaptive_reorganization,status,True,robust,7,926,P. Anster,direct_observation,0.6,
FF-0074,Central Trade Coalition 10,445,small_group,2.8,0.09,reproduction,887,776,planned_establishment,regular_meetings,hierarchy,behavioral_synchrony,0.78,3.7,resource_optimization,none,True,robust,52,929,P. Anster,biological_observation,0.75,
FF-0075,Eastern Boundary Watch 15,7,individual,2.4,0.04,task_complexity,933,834,sudden_crystallization,regular_meetings,stigmergy,functional_role,0.71,3.2,multi-generational_preservation,self_preservation,True,moderate,7,934,M. Strand,historical_record,0.86,
FF-0076,Third Navigation Guild 11,207,individual,1.7,0.23,external_threat,804,198,gradual_accumulation,formal_protocols,hierarchy,formal_membership,0.79,2.6,distributed_cognition,none,True,moderate,38,937,P. Anster,direct_observation,0.87,
FF-0077,Eastern Research Circle 20,395,tissue,2.1,0.24,proximity_pressure,872,336,planned_establishment,shared_procedures,network,formal_membership,0.57,2.6,threat_response_coordination,none,True,stable,66,934,Archive Survey Team,historical_record,0.74,
FF-0078,Central Mill Crew 20,125,individual,2.3,0.05,communication_density,848,205,gradual_accumulation,formal_protocols,network,formal_membership,0.11,2.3,none,none,False,fragile,6,913,Independent Observer,historical_record,0.8,
FF-0079,Digger Colony 40,67,small_group,2.2,0.1,communication_density,934,989,sudden_crystallization,physical_proximity,stigmergy,formal_membership,0.32,2.2,none,none,False,stable,7,913,Independent Observer,biological_observation,0.79,
FF-0080,Central Scholar Assembly 6,337,individual,1.8,0.25,reproduction,869,850,gradual_accumulation,distributed_memory,hierarchy,behavioral_synchrony,0.24,1.8,none,none,False,unstable,4,938,P. Anster,historical_record,0.85,
FF-0081,Digger Colony 40,234,individual,2.5,0.3,task_complexity,869,389,planned_establishment,regular_meetings,network,unclear,0.9,3.4,multi-generational_preservation,none,True,moderate,14,913,P. Anster,direct_observation,0.71,
FF-0082,Third Preservation Unit 17,173,individual,1.9,0.29,imposed_structure,866,836,gradual_accumulation,distributed_memory,consensus,behavioral_synchrony,0.68,2.7,threat_response_coordination,none,True,stable,57,936,M. Strand,historical_record,0.61,
FF-0083,Western Trade Coalition 6,222,large_collective,2.8,0.14,communication_density,870,579,planned_establishment,shared_procedures,hierarchy,behavioral_synchrony,0.44,3.2,multi-generational_preservation,none,True,robust,19,932,Independent Observer,direct_observation,0.95,
FF-0084,New Mill Crew 11,461,small_group,3.5,0.28,task_complexity,887,426,gradual_accumulation,regular_meetings,network,formal_membership,0.49,4.0,threat_response_coordination,self_preservation,True,moderate,27,934,P. Anster,historical_record,0.7,
FF-0085,Digger Colony 44,237,individual,2.6,0.04,resource_opportunity,913,341,planned_establishment,regular_meetings,hierarchy,functional_role,0.58,3.1,resource_optimization,self_preservation,True,fragile,4,938,Boundary Commission,direct_observation,0.72,
FF-0086,Third Scholar Assembly 7,310,individual,2.1,0.04,imposed_structure,856,330,emergent_self_organization,distributed_memory,stigmergy,chemical_signature,0.34,2.1,none,none,False,fragile,6,930,Klutch CC Research,direct_observation,0.69,
FF-0087,Third Trade Coalition 11,368,individual,2.1,0.2,task_complexity,909,661,planned_establishment,distributed_memory,mixed,formal_membership,0.55,2.6,resource_optimization,none,True,stable,9,920,T. Crost,historical_record,0.73,
FF-0088,Digger Colony 48,266,individual,2.4,0.13,proximity_pressure,829,822,gradual_accumulation,regular_meetings,network,behavioral_synchrony,0.38,2.4,none,none,False,unstable,3,924,Archive Survey Team,historical_record,0.66,
FF-0089,Eastern Survey Team 20,179,small_group,3.5,0.2,communication_density,910,120,gradual_accumulation,distributed_memory,consensus,spatial_proximity,0.51,3.9,complex_construction,self_preservation,True,stable,14,917,Colony Observation Unit,testimony,0.69,
FF-0090,New Observer Network 7,109,individual,2.3,0.24,goal_alignment,871,485,sudden_crystallization,distributed_memory,hierarchy,spatial_proximity,0.72,2.9,threat_response_coordination,expansion,True,moderate,10,932,Klutch CC Research,direct_observation,0.62,
FF-0091,Third Research Circle 11,84,individual,2.4,0.2,resource_opportunity,837,546,planned_establishment,regular_meetings,network,spatial_proximity,0.73,3.0,resource_optimization,knowledge_accumulation,True,moderate,37,926,Archive Survey Team,direct_observation,0.93,
FF-0092,Western Scholar Assembly 12,149,large_collective,3.3,0.08,communication_density,861,129,emergent_self_organization,formal_protocols,consensus,functional_role,0.15,3.3,none,none,False,unstable,5,926,Klutch CC Research,direct_observation,0.7,
FF-0093,New Survey Team 6,130,small_group,2.7,0.08,external_threat,801,576,sudden_crystallization,formal_protocols,consensus,functional_role,0.61,3.4,multi-generational_preservation,status,True,stable,64,935,Colony Observation Unit,historical_record,0.77,
FF-0094,Western Navigation Guild 17,12,tissue,1.7,0.0,resource_opportunity,806,486,emergent_self_organization,regular_meetings,hierarchy,spatial_proximity,0.35,1.7,none,none,False,fragile,0,931,Archive Survey Team,historical_record,0.69,
FF-0095,Western Scholar Assembly 2,310,small_group,2.6,0.13,proximity_pressure,858,389,emergent_self_organization,distributed_memory,hierarchy,formal_membership,0.58,3.2,complex_construction,expansion,True,stable,16,929,Klutch CC Research,direct_observation,0.83,
FF-0096,Third Trade Coalition 17,195,large_collective,3.2,0.16,imposed_structure,846,787,emergent_self_organization,regular_meetings,mixed,spatial_proximity,0.81,3.9,resource_optimization,expansion,True,stable,35,924,Colony Observation Unit,historical_record,0.61,
FF-0097,New Preservation Unit 14,37,tissue,1.7,0.21,external_threat,907,979,sudden_crystallization,chemical_signaling,market,formal_membership,0.75,2.5,threat_response_coordination,none,True,robust,19,930,M. Strand,historical_record,0.93,
FF-0098,Digger Colony 17,284,individual,2.0,0.1,external_threat,915,790,gradual_accumulation,shared_procedures,market,spatial_proximity,0.11,2.0,none,none,False,unstable,1,922,Colony Observation Unit,direct_observation,0.82,
FF-0099,Third Trade Coalition 10,41,individual,2.5,0.1,task_complexity,826,725,planned_establishment,chemical_signaling,stigmergy,functional_role,0.22,2.5,none,none,False,moderate,6,921,Boundary Commission,testimony,0.65,
FF-0100,Digger Colony 12,17,small_group,2.0,0.11,resource_opportunity,884,18,sudden_crystallization,chemical_signaling,consensus,chemical_signature,0.61,2.6,threat_response_coordination,self_preservation,True,moderate,41,940,P. Anster,historical_record,0.67,
FF-0101,Eastern Recovery Team 15,238,individual,2.6,0.1,resource_opportunity,885,172,planned_establishment,chemical_signaling,hierarchy,formal_membership,0.71,3.3,resource_optimization,self_preservation,True,unstable,51,914,Independent Observer,testimony,0.61,
FF-0102,Western Scholar Assembly 19,141,individual,2.0,0.04,external_threat,834,307,fission_from_larger,shared_procedures,hierarchy,functional_role,0.75,2.7,multi-generational_preservation,self_preservation,True,robust,53,920,O. Venn,testimony,0.71,
FF-0103,Eastern Mill Crew 14,321,large_collective,2.1,0.0,external_threat,864,107,sudden_crystallization,formal_protocols,hierarchy,formal_membership,0.67,2.8,resource_optimization,self_preservation,True,fragile,47,925,T. Crost,inference,0.63,
FF-0104,New Preservation Unit 4,157,individual,2.2,0.09,external_threat,815,368,gradual_accumulation,chemical_signaling,consensus,chemical_signature,0.61,2.8,complex_construction,self_preservation,True,unstable,66,930,Colony Observation Unit,biological_observation,0.86,
FF-0105,Eastern Trade Coalition 17,317,tissue,1.6,0.17,task_complexity,885,726,emergent_self_organization,physical_proximity,hierarchy,functional_role,0.2,1.6,none,none,False,moderate,3,934,Independent Observer,inference,0.72,
FF-0106,Western Preservation Unit 17,79,individual,2.6,0.01,goal_alignment,817,712,fission_from_larger,chemical_signaling,hierarchy,formal_membership,0.23,2.6,none,none,False,fragile,0,926,O. Venn,historical_record,0.72,
FF-0107,Digger Colony 10,331,individual,1.7,0.06,imposed_structure,851,850,sudden_crystallization,shared_procedures,hierarchy,behavioral_synchrony,0.78,2.3,adaptive_reorganization,none,True,stable,80,927,T. Crost,testimony,0.92,
FF-0108,Western Archive Committee 16,313,small_group,3.4,0.18,goal_alignment,839,592,planned_establishment,distributed_memory,network,unclear,0.89,4.3,complex_construction,none,True,moderate,3,923,Independent Observer,biological_observation,0.66,
FF-0109,Third Observer Network 6,488,individual,2.9,0.24,external_threat,826,287,emergent_self_organization,chemical_signaling,hierarchy,unclear,0.13,2.9,none,none,False,fragile,9,926,Klutch CC Research,direct_observation,0.87,
FF-0110,Central Scholar Assembly 4,2,large_collective,1.8,0.14,external_threat,900,783,gradual_accumulation,distributed_memory,network,spatial_proximity,0.54,2.4,adaptive_reorganization,status,True,moderate,13,930,Boundary Commission,historical_record,0.92,
FF-0111,Digger Colony 21,284,small_group,1.7,0.19,resource_opportunity,926,803,planned_establishment,physical_proximity,stigmergy,formal_membership,0.51,2.1,distributed_cognition,expansion,True,stable,7,924,Klutch CC Research,historical_record,0.62,
FF-0112,Central Recovery Team 7,236,individual,2.4,0.2,proximity_pressure,846,597,planned_establishment,chemical_signaling,network,functional_role,0.45,2.9,complex_construction,none,True,moderate,74,925,O. Venn,historical_record,0.9,
FF-0113,Eastern Boundary Watch 3,452,individual,3.0,0.08,imposed_structure,893,761,planned_establishment,chemical_signaling,stigmergy,formal_membership,0.66,3.6,multi-generational_preservation,self_preservation,True,fragile,9,912,Colony Observation Unit,historical_record,0.91,
FF-0114,Digger Colony 23,214,individual,1.6,0.16,goal_alignment,889,531,planned_establishment,formal_protocols,hierarchy,functional_role,0.82,2.4,multi-generational_preservation,knowledge_accumulation,True,stable,35,926,Independent Observer,inference,0.88,
FF-0115,Central Scholar Assembly 10,397,large_collective,2.0,0.01,goal_alignment,806,88,gradual_accumulation,shared_procedures,hierarchy,functional_role,0.6,2.7,complex_construction,knowledge_accumulation,True,fragile,77,926,Archive Survey Team,direct_observation,0.64,
FF-0116,Central Survey Team 14,322,individual,2.0,0.25,communication_density,876,722,gradual_accumulation,formal_protocols,hierarchy,formal_membership,0.6,2.7,adaptive_reorganization,status,True,stable,29,921,T. Crost,direct_observation,0.66,
FF-0117,New Research Circle 6,214,individual,1.7,0.08,imposed_structure,932,717,emergent_self_organization,physical_proximity,hierarchy,functional_role,0.82,2.6,resource_optimization,none,True,stable,2,919,P. Anster,historical_record,0.65,
FF-0118,Western Preservation Unit 9,274,cellular,3.2,0.05,communication_density,921,732,emergent_self_organization,formal_protocols,hierarchy,chemical_signature,0.49,3.6,threat_response_coordination,none,True,fragile,10,935,Independent Observer,direct_observation,0.92,
FF-0119,Central Boundary Watch 3,414,small_group,2.2,0.11,goal_alignment,849,219,planned_establishment,regular_meetings,hierarchy,chemical_signature,0.92,3.2,multi-generational_preservation,expansion,True,stable,87,922,Klutch CC Research,direct_observation,0.63,
FF-0120,New Trade Coalition 6,166,mixed,3.5,0.19,external_threat,803,839,gradual_accumulation,regular_meetings,network,formal_membership,0.77,4.2,adaptive_reorganization,none,True,robust,25,925,M. Strand,direct_observation,0.76,
