event_id,event_name,delegator_id,delegator_scale,delegator_level,delegate_id,delegate_scale,delegate_level,task_type,task_description,specification_level,autonomy_granted,trust_required,reversibility,delegation_year,completion_status,outcome_quality,trust_change,success_factor,failure_factor,documented_year,documenter,documentation_source,confidence,notes
DE-0027,Crew Mission Assessment,AG-0088,large_collective,2.9,AG-0256,individual,3.6,coordination,Complete urgent task,micromanaged,moderate,0.43,partially_reversible,868,completed_as_specified,0.82,trust_increased,competency_match,,919,Klutch CC Research,institutional_record,0.92,
DE-0028,Colony Tunnel Repair,AG-0044,large_collective,3.1,AG-0332,tissue,1.3,resource,Complete assigned mission,outcome_only,substantial,0.84,partially_reversible,861,completed_as_specified,0.84,trust_increased,clear_outcome_spec,,919,M. Strand,institutional_record,0.85,
DE-0029,Colony Tunnel Repair,AG-0091,large_collective,3.1,AG-0246,small_group,3.1,response,Complete routine objective,outcome_only,moderate,0.5,partially_reversible,921,completed_as_specified,0.96,trust_unchanged,clear_outcome_spec,,926,T. Mord,institutional_record,0.82,
DE-0030,Crew Mission Extension,AG-0070,large_collective,3.2,AG-0217,individual,2.9,decision,Complete urgent operation,high_level,moderate,0.58,partially_reversible,927,completed_as_specified,0.87,trust_unchanged,appropriate_autonomy,,931,Boundary Commission,testimony,0.62,
DE-0031,Archive Tunnel Integration,AG-0046,organ,2.5,AG-0310,cellular,0.6,maintenance,Complete assigned operation,outcome_only,substantial,0.75,difficult_to_reverse,866,completed_as_specified,0.84,trust_increased,competency_match,,912,Colony Observation Unit,testimony,0.82,
DE-0032,Survey Project Response,AG-0023,large_collective,3.3,AG-0171,organ,2.4,maintenance,Complete routine task,high_level,minimal,0.86,difficult_to_reverse,876,completed_modified,0.77,trust_unchanged,high_trust,,934,T. Mord,inference,0.81,
DE-0033,Survey Mission Extension,AG-0048,large_collective,2.7,AG-0287,cellular,0.9,protection,Complete standard task,detailed,moderate,0.64,fully_reversible,921,completed_as_specified,0.8,trust_increased,competency_match,,914,T. Mord,institutional_record,0.8,
DE-0034,Guild Task Extension,AG-0095,large_collective,3.2,AG-0197,individual,2.9,coordination,Complete urgent operation,micromanaged,substantial,0.81,difficult_to_reverse,929,completed_as_specified,0.96,trust_increased,competency_match,,919,P. Anster,inference,0.9,
DE-0035,Survey Project Integration,AG-0016,tissue,1.9,AG-0351,cellular,1.4,resource,Complete standard objective,detailed,complete,0.65,irreversible,867,completed_modified,0.77,trust_unchanged,competency_match,,914,Klutch CC Research,biological_observation,0.91,
DE-0036,Colony Tunnel Extension,AG-0006,small_group,2.6,AG-0297,organ,2.4,response,Complete urgent task,detailed,moderate,0.6,partially_reversible,901,completed_as_specified,0.85,trust_increased,clear_outcome_spec,,912,Boundary Commission,institutional_record,0.89,
DE-0037,Guild Project Response,AG-0031,large_collective,2.5,AG-0187,small_group,3.3,protection,Complete routine operation,outcome_only,substantial,0.76,fully_reversible,868,ongoing,,trust_unchanged,,,924,Archive Survey Team,institutional_record,0.76,
DE-0038,Archive Task Response,AG-0055,small_group,3.4,AG-0394,individual,3.5,resource,Complete standard operation,high_level,moderate,0.61,partially_reversible,855,completed_modified,0.99,trust_unchanged,competency_match,,912,Independent Observer,institutional_record,0.61,
DE-0039,Colony Document Extension,AG-0099,institution,4.5,AG-0167,individual,2.2,information,Complete routine mission,micromanaged,substantial,0.81,irreversible,871,failed,0.06,trust_unchanged,,unclear_specification,917,T. Crost,testimony,0.7,
DE-0040,Crew Project Repair,AG-0032,institution,4.4,AG-0213,large_collective,2.8,coordination,Complete assigned objective,detailed,moderate,0.92,partially_reversible,893,completed_as_specified,0.83,trust_unchanged,high_trust,,919,Klutch CC Research,inference,0.87,
DE-0041,Survey Document Response,AG-0084,organism,3.3,AG-0192,organ,2.1,decision,Complete routine task,detailed,substantial,0.47,partially_reversible,882,completed_modified,0.94,trust_increased,appropriate_autonomy,,915,O. Venn,institutional_record,0.79,
DE-0042,Colony Task Assessment,AG-0018,small_group,3.1,AG-0104,tissue,1.5,resource,Complete routine objective,high_level,substantial,0.5,difficult_to_reverse,926,completed_modified,0.72,trust_increased,good_communication,,940,M. Strand,inference,0.65,
DE-0043,Archive Mission Response,AG-0006,small_group,3.3,AG-0108,organ,2.3,protection,Complete standard objective,high_level,moderate,0.48,partially_reversible,866,failed,0.32,trust_unchanged,,trust_failure,917,T. Crost,institutional_record,0.71,
DE-0044,Colony Tunnel Repair,AG-0030,institution,4.0,AG-0331,cellular,0.9,construction,Complete assigned task,micromanaged,none,0.47,fully_reversible,926,completed_modified,0.92,trust_unchanged,high_trust,,921,Archive Survey Team,direct_observation,0.71,
DE-0045,Survey Mission Response,AG-0053,large_collective,2.8,AG-0389,individual,2.3,coordination,Complete assigned mission,detailed,minimal,0.55,partially_reversible,938,completed_modified,0.98,trust_increased,competency_match,,935,Colony Observation Unit,institutional_record,0.71,
DE-0046,Survey Task Assessment,AG-0075,large_collective,3.2,AG-0257,organ,1.8,information,Complete routine operation,high_level,minimal,0.65,difficult_to_reverse,925,completed_as_specified,0.88,trust_increased,appropriate_autonomy,,924,Klutch CC Research,inference,0.86,
DE-0047,Survey Mission Assessment,AG-0046,organ,1.8,AG-0324,cellular,1.1,response,Complete assigned objective,high_level,moderate,0.92,partially_reversible,910,failed,0.07,trust_unchanged,,communication_breakdown,936,Archive Survey Team,testimony,0.71,
DE-0048,Crew Tunnel Integration,AG-0008,large_collective,2.6,AG-0154,tissue,1.5,decision,Complete urgent operation,outcome_only,substantial,0.73,difficult_to_reverse,897,completed_modified,0.78,trust_increased,appropriate_autonomy,,930,Klutch CC Research,testimony,0.75,
DE-0049,Survey Tunnel Extension,AG-0024,small_group,3.4,AG-0303,individual,2.6,response,Complete assigned operation,detailed,substantial,0.5,difficult_to_reverse,871,completed_modified,0.91,trust_increased,clear_outcome_spec,,928,T. Crost,direct_observation,0.75,
DE-0050,Colony Project Assessment,AG-0076,tissue,1.6,AG-0386,cellular,1.1,maintenance,Complete standard mission,outcome_only,substantial,0.49,partially_reversible,874,partially_completed,0.51,trust_unchanged,,,920,Colony Observation Unit,inference,0.92,
DE-0051,Archive Mission Extension,AG-0069,large_collective,3.0,AG-0255,individual,3.2,maintenance,Complete urgent mission,detailed,minimal,0.82,partially_reversible,918,completed_modified,0.89,trust_increased,competency_match,,917,O. Venn,institutional_record,0.63,
DE-0052,Guild Mission Assessment,AG-0051,small_group,3.3,AG-0234,cellular,1.3,construction,Complete standard mission,detailed,moderate,0.66,difficult_to_reverse,861,completed_modified,0.94,trust_unchanged,competency_match,,929,Boundary Commission,testimony,0.84,
DE-0053,Guild Project Response,AG-0014,large_collective,3.1,AG-0155,individual,2.8,coordination,Complete assigned operation,high_level,substantial,0.62,difficult_to_reverse,867,completed_as_specified,0.73,trust_increased,good_communication,,926,Klutch CC Research,testimony,0.6,
DE-0054,Colony Mission Response,AG-0064,large_collective,2.8,AG-0200,individual,2.8,response,Complete urgent mission,outcome_only,moderate,0.9,difficult_to_reverse,874,failed,0.14,trust_decreased,,competency_mismatch,935,Colony Observation Unit,direct_observation,0.7,
DE-0055,Survey Document Integration,AG-0013,organism,3.5,AG-0262,cellular,0.9,information,Complete standard task,outcome_only,substantial,0.53,fully_reversible,937,completed_as_specified,0.76,trust_increased,good_communication,,919,Klutch CC Research,institutional_record,0.85,
DE-0056,Crew Tunnel Integration,AG-0094,large_collective,3.3,AG-0361,cellular,1.0,resource,Complete standard operation,high_level,substantial,0.62,difficult_to_reverse,897,ongoing,,trust_unchanged,,,927,Colony Observation Unit,inference,0.76,
DE-0057,Crew Mission Extension,AG-0049,small_group,3.0,AG-0254,individual,3.1,construction,Complete standard task,outcome_only,substantial,0.57,partially_reversible,893,ongoing,,trust_unchanged,,,928,T. Mord,institutional_record,0.82,
DE-0058,Colony Task Extension,AG-0080,small_group,2.7,AG-0392,tissue,1.8,protection,Complete standard mission,outcome_only,moderate,0.45,fully_reversible,874,completed_modified,0.88,trust_increased,high_trust,,935,Independent Observer,institutional_record,0.82,
DE-0059,Crew Tunnel Repair,AG-0075,small_group,3.4,AG-0175,organ,2.5,resource,Complete urgent operation,outcome_only,substantial,0.75,fully_reversible,886,completed_modified,0.9,trust_unchanged,competency_match,,916,T. Mord,inference,0.85,
DE-0060,Survey Document Repair,AG-0081,institution,3.2,AG-0310,large_collective,2.6,coordination,Complete routine operation,high_level,moderate,0.51,partially_reversible,853,completed_modified,0.91,trust_increased,good_communication,,914,T. Crost,direct_observation,0.65,
DE-0061,Survey Task Integration,AG-0005,large_collective,3.3,AG-0289,tissue,1.1,decision,Complete standard objective,high_level,substantial,0.53,difficult_to_reverse,895,completed_as_specified,0.95,trust_unchanged,competency_match,,922,Independent Observer,institutional_record,0.61,
DE-0062,Crew Document Integration,AG-0053,small_group,3.1,AG-0190,organ,2.5,construction,Complete standard task,high_level,moderate,0.66,partially_reversible,901,abandoned,0.19,trust_decreased,,competency_mismatch,912,P. Anster,inference,0.9,
DE-0063,Survey Project Integration,AG-0041,small_group,3.3,AG-0376,individual,3.5,coordination,Complete assigned operation,micromanaged,substantial,0.66,irreversible,894,completed_as_specified,0.76,trust_unchanged,clear_outcome_spec,,927,Colony Observation Unit,biological_observation,0.74,
DE-0064,Archive Mission Assessment,AG-0011,institution,3.6,AG-0399,cellular,1.3,decision,Complete routine operation,outcome_only,substantial,0.61,partially_reversible,858,ongoing,,trust_unchanged,,,929,Independent Observer,direct_observation,0.71,
DE-0065,Crew Mission Extension,AG-0006,institution,3.7,AG-0119,individual,3.5,protection,Complete assigned task,outcome_only,moderate,0.45,fully_reversible,889,ongoing,,trust_unchanged,,,938,Independent Observer,testimony,0.68,
DE-0066,Guild Document Response,AG-0078,large_collective,3.4,AG-0220,cellular,1.3,response,Complete standard task,high_level,moderate,0.9,difficult_to_reverse,870,partially_completed,0.57,trust_unchanged,,,939,O. Venn,institutional_record,0.82,
DE-0067,Colony Tunnel Repair,AG-0088,organism,3.7,AG-0191,organ,1.8,resource,Complete routine objective,high_level,substantial,0.65,partially_reversible,913,completed_modified,0.8,trust_unchanged,appropriate_autonomy,,922,Colony Observation Unit,biological_observation,0.95,
DE-0068,Guild Document Extension,AG-0091,institution,3.7,AG-0312,tissue,1.6,information,Complete assigned operation,high_level,moderate,0.65,difficult_to_reverse,863,failed,0.17,trust_decreased,,trust_failure,929,M. Strand,inference,0.82,
DE-0069,Colony Mission Response,AG-0028,tissue,1.5,AG-0249,cellular,0.8,resource,Complete standard task,micromanaged,complete,0.81,difficult_to_reverse,893,completed_as_specified,0.95,trust_increased,competency_match,,920,Archive Survey Team,institutional_record,0.76,
DE-0070,Archive Tunnel Response,AG-0036,small_group,3.1,AG-0218,organ,1.9,decision,Complete urgent mission,detailed,complete,0.6,fully_reversible,904,partially_completed,0.54,trust_unchanged,,,930,M. Strand,institutional_record,0.76,
DE-0071,Survey Document Response,AG-0058,small_group,2.5,AG-0248,tissue,1.1,protection,Complete standard operation,outcome_only,moderate,0.44,difficult_to_reverse,913,completed_modified,0.87,trust_increased,high_trust,,930,O. Venn,biological_observation,0.87,
DE-0072,Guild Tunnel Assessment,AG-0072,large_collective,3.5,AG-0331,organ,1.8,response,Complete standard mission,high_level,substantial,0.44,partially_reversible,924,completed_as_specified,0.87,trust_unchanged,good_communication,,938,Klutch CC Research,direct_observation,0.71,
DE-0073,Colony Task Repair,AG-0094,large_collective,3.1,AG-0222,tissue,1.3,decision,Complete urgent objective,detailed,complete,0.92,partially_reversible,852,completed_modified,0.76,trust_increased,good_communication,,912,Archive Survey Team,institutional_record,0.68,
DE-0074,Crew Mission Response,AG-0050,large_collective,2.6,AG-0161,individual,3.6,coordination,Complete assigned task,detailed,moderate,0.63,partially_reversible,900,partially_completed,0.56,trust_unchanged,,,923,T. Mord,testimony,0.9,
DE-0075,Archive Mission Extension,AG-0047,small_group,2.8,AG-0161,individual,3.2,protection,Complete standard task,high_level,moderate,0.84,fully_reversible,901,completed_modified,0.85,trust_unchanged,appropriate_autonomy,,935,Klutch CC Research,testimony,0.92,
DE-0076,Colony Tunnel Response,AG-0092,small_group,2.6,AG-0244,individual,3.2,decision,Complete assigned objective,micromanaged,substantial,0.89,partially_reversible,867,partially_completed,0.42,trust_unchanged,,,916,Colony Observation Unit,direct_observation,0.89,
DE-0077,Archive Mission Response,AG-0063,organism,4.1,AG-0168,tissue,1.4,coordination,Complete urgent operation,outcome_only,moderate,0.53,partially_reversible,858,completed_as_specified,0.87,trust_increased,backup_available,,920,Independent Observer,institutional_record,0.93,
DE-0078,Guild Project Integration,AG-0054,large_collective,2.7,AG-0246,individual,3.7,information,Complete routine mission,outcome_only,substantial,0.9,partially_reversible,898,partially_completed,0.68,trust_unchanged,,,922,T. Crost,institutional_record,0.77,
DE-0079,Guild Task Repair,AG-0023,small_group,2.9,AG-0378,individual,3.0,response,Complete assigned objective,outcome_only,substantial,0.55,fully_reversible,931,completed_modified,0.75,trust_unchanged,competency_match,,935,Independent Observer,biological_observation,0.88,
DE-0080,Guild Tunnel Repair,AG-0069,organism,3.1,AG-0198,individual,3.4,maintenance,Complete assigned mission,high_level,moderate,0.81,difficult_to_reverse,890,completed_as_specified,0.87,trust_increased,appropriate_autonomy,,928,T. Mord,testimony,0.77,
DE-0081,Archive Mission Assessment,AG-0073,organ,2.4,AG-0379,tissue,1.1,protection,Complete standard task,high_level,minimal,0.68,partially_reversible,863,completed_as_specified,0.8,trust_unchanged,backup_available,,924,T. Mord,institutional_record,0.67,
DE-0082,Crew Mission Extension,AG-0097,institution,3.4,AG-0141,small_group,2.6,resource,Complete assigned operation,detailed,moderate,0.43,difficult_to_reverse,871,failed,0.0,trust_decreased,,competency_mismatch,934,Independent Observer,testimony,0.92,
DE-0083,Crew Document Repair,AG-0014,large_collective,2.6,AG-0260,individual,3.8,construction,Complete urgent task,high_level,complete,0.5,partially_reversible,896,ongoing,,trust_unchanged,,,938,P. Anster,inference,0.88,
DE-0084,Colony Mission Repair,AG-0071,large_collective,3.2,AG-0256,individual,2.6,resource,Complete assigned mission,high_level,moderate,0.69,difficult_to_reverse,852,completed_as_specified,0.75,trust_unchanged,clear_outcome_spec,,913,T. Mord,institutional_record,0.81,
DE-0085,Colony Tunnel Integration,AG-0087,large_collective,3.2,AG-0358,individual,2.6,coordination,Complete urgent mission,high_level,substantial,0.42,difficult_to_reverse,909,completed_as_specified,0.75,trust_unchanged,clear_outcome_spec,,917,Boundary Commission,testimony,0.74,
DE-0086,Guild Tunnel Repair,AG-0049,institution,3.3,AG-0273,individual,3.2,decision,Complete assigned operation,detailed,substantial,0.47,partially_reversible,931,partially_completed,0.5,trust_unchanged,,,915,Klutch CC Research,direct_observation,0.68,
DE-0087,Colony Document Assessment,AG-0051,small_group,3.2,AG-0217,organ,2.1,construction,Complete routine objective,detailed,minimal,0.63,partially_reversible,864,partially_completed,0.44,trust_unchanged,,,917,Independent Observer,direct_observation,0.7,
DE-0088,Survey Tunnel Integration,AG-0098,small_group,3.3,AG-0116,cellular,0.5,construction,Complete assigned objective,outcome_only,moderate,0.51,partially_reversible,935,completed_as_specified,0.85,trust_unchanged,clear_outcome_spec,,926,Archive Survey Team,institutional_record,0.92,
DE-0089,Survey Project Assessment,AG-0045,organism,4.4,AG-0100,cellular,1.1,maintenance,Complete urgent task,detailed,substantial,0.58,difficult_to_reverse,913,ongoing,,trust_unchanged,,,928,O. Venn,direct_observation,0.62,
DE-0090,Guild Document Extension,AG-0034,organism,4.4,AG-0204,tissue,1.6,response,Complete urgent operation,high_level,minimal,0.46,partially_reversible,913,partially_completed,0.52,trust_unchanged,,,916,P. Anster,institutional_record,0.87,
DE-0091,Survey Document Repair,AG-0024,small_group,3.1,AG-0193,cellular,1.4,decision,Complete standard task,outcome_only,none,0.52,fully_reversible,866,completed_modified,0.88,trust_unchanged,competency_match,,936,M. Strand,testimony,0.89,
DE-0092,Survey Tunnel Integration,AG-0054,institution,4.2,AG-0266,cellular,1.2,construction,Complete standard task,high_level,complete,0.92,partially_reversible,888,completed_as_specified,0.72,trust_unchanged,competency_match,,935,Archive Survey Team,direct_observation,0.71,
DE-0093,Guild Task Response,AG-0100,large_collective,2.9,AG-0360,individual,3.2,coordination,Complete routine task,detailed,substantial,0.46,difficult_to_reverse,890,completed_as_specified,0.85,trust_unchanged,competency_match,,922,Independent Observer,testimony,0.84,
DE-0094,Colony Project Integration,AG-0004,small_group,3.2,AG-0237,cellular,0.7,protection,Complete urgent mission,outcome_only,minimal,0.62,fully_reversible,877,completed_as_specified,0.99,trust_unchanged,competency_match,,918,Klutch CC Research,testimony,0.66,
DE-0095,Archive Task Response,AG-0023,small_group,3.4,AG-0282,organ,1.8,coordination,Complete standard operation,outcome_only,moderate,0.62,partially_reversible,868,failed,0.21,trust_decreased,,communication_breakdown,924,Boundary Commission,testimony,0.94,
DE-0096,Guild Project Response,AG-0016,institution,4.1,AG-0375,organ,2.2,resource,Complete routine operation,micromanaged,moderate,0.69,fully_reversible,868,ongoing,,trust_unchanged,,,935,T. Mord,institutional_record,0.7,
DE-0097,Crew Document Repair,AG-0011,institution,4.4,AG-0124,cellular,1.0,information,Complete standard objective,high_level,complete,0.42,irreversible,867,completed_as_specified,0.75,trust_unchanged,competency_match,,933,Archive Survey Team,institutional_record,0.92,
DE-0098,Archive Document Integration,AG-0031,large_collective,2.7,AG-0258,tissue,1.7,response,Complete routine objective,detailed,complete,0.8,difficult_to_reverse,874,failed,0.36,trust_decreased,,communication_breakdown,932,T. Crost,institutional_record,0.79,
DE-0099,Survey Document Repair,AG-0052,small_group,3.3,AG-0368,cellular,0.9,maintenance,Complete standard mission,high_level,complete,0.68,fully_reversible,897,completed_as_specified,0.92,trust_increased,good_communication,,912,T. Mord,biological_observation,0.71,
DE-0100,Crew Mission Repair,AG-0094,organism,4.3,AG-0191,individual,2.4,coordination,Complete urgent task,outcome_only,moderate,0.56,fully_reversible,856,completed_as_specified,0.88,trust_unchanged,clear_outcome_spec,,926,M. Strand,biological_observation,0.75,
DE-0101,Crew Task Assessment,AG-0003,organ,1.6,AG-0246,cellular,1.3,construction,Complete assigned mission,high_level,minimal,0.5,difficult_to_reverse,899,completed_as_specified,0.82,trust_increased,competency_match,,937,Boundary Commission,direct_observation,0.69,
DE-0102,Guild Project Extension,AG-0056,large_collective,2.8,AG-0142,small_group,2.9,decision,Complete assigned task,high_level,moderate,0.73,irreversible,864,partially_completed,0.52,trust_unchanged,,,919,Colony Observation Unit,institutional_record,0.75,
DE-0103,Colony Tunnel Extension,AG-0064,large_collective,3.0,AG-0279,tissue,1.4,resource,Complete assigned mission,high_level,moderate,0.69,irreversible,864,failed,0.15,trust_decreased,,competency_mismatch,923,T. Crost,inference,0.78,
DE-0104,Guild Mission Extension,AG-0012,organism,4.1,AG-0300,individual,2.9,coordination,Complete standard task,high_level,minimal,0.89,fully_reversible,899,ongoing,,trust_unchanged,,,921,T. Crost,direct_observation,0.69,
DE-0105,Archive Mission Response,AG-0052,small_group,3.4,AG-0203,tissue,1.6,response,Complete routine task,high_level,substantial,0.69,difficult_to_reverse,925,completed_modified,0.98,trust_increased,clear_outcome_spec,,938,T. Mord,direct_observation,0.95,
DE-0106,Colony Document Integration,AG-0070,large_collective,2.6,AG-0389,cellular,0.9,resource,Complete routine operation,high_level,minimal,0.79,partially_reversible,851,completed_as_specified,0.98,trust_unchanged,appropriate_autonomy,,919,Independent Observer,testimony,0.79,
DE-0107,Archive Document Extension,AG-0052,organism,4.3,AG-0400,organ,1.8,response,Complete urgent operation,detailed,minimal,0.88,difficult_to_reverse,883,partially_completed,0.52,trust_unchanged,,,930,T. Mord,inference,0.73,
DE-0108,Colony Tunnel Repair,AG-0046,large_collective,3.1,AG-0258,organ,2.0,information,Complete routine objective,high_level,substantial,0.46,fully_reversible,928,abandoned,0.06,trust_decreased,,trust_failure,917,T. Crost,biological_observation,0.92,
DE-0109,Archive Task Assessment,AG-0091,organ,2.4,AG-0302,cellular,1.2,construction,Complete routine task,high_level,substantial,0.78,partially_reversible,912,abandoned,0.23,trust_decreased,,autonomy_insufficient,928,P. Anster,institutional_record,0.94,
DE-0110,Guild Document Integration,AG-0014,organ,2.3,AG-0141,cellular,1.1,maintenance,Complete urgent task,high_level,substantial,0.4,irreversible,887,completed_modified,0.94,trust_increased,competency_match,,921,O. Venn,testimony,0.84,
DE-0111,Survey Document Response,AG-0009,small_group,2.6,AG-0339,individual,4.0,maintenance,Complete standard mission,high_level,substantial,0.48,irreversible,936,partially_completed,0.61,trust_unchanged,,,931,T. Crost,institutional_record,0.65,
DE-0112,Survey Document Response,AG-0062,institution,3.6,AG-0159,small_group,3.2,construction,Complete urgent mission,high_level,substantial,0.6,partially_reversible,862,partially_completed,0.67,trust_unchanged,,,920,Klutch CC Research,institutional_record,0.86,
DE-0113,Colony Tunnel Integration,AG-0097,large_collective,3.4,AG-0292,organ,2.1,coordination,Complete standard task,outcome_only,moderate,0.45,difficult_to_reverse,865,ongoing,,trust_unchanged,,,936,T. Crost,direct_observation,0.93,
DE-0114,Colony Tunnel Response,AG-0099,large_collective,2.6,AG-0126,cellular,1.2,maintenance,Complete standard task,outcome_only,substantial,0.56,partially_reversible,890,completed_as_specified,0.71,trust_increased,competency_match,,919,Klutch CC Research,institutional_record,0.83,
