agent_id,agent_name,agent_scale,anster_level,agent_type,competency_domain,competency_level,autonomy_level,parent_agent_id,federation_role,delegation_accepts,delegation_gives,integration_score,communication_channels,memory_distributed,turnover_resilient,temporal_horizon_days,spatial_horizon_km,trust_given_score,trust_received_score,documented_year,documenter,region,confidence,notes
AG-0132,Boundary The Academy,institution,3.0,human_group,preservation,master,autonomous,,coordinator,True,True,0.63,11,True,False,33823.9,347.4,0.54,0.7,920,Archive Survey Team,Northo,0.85,
AG-0133,Capital Circle 18,small_group,2.5,human_group,decision_making,competent,supervised,,interface,True,True,0.56,8,True,False,1701.1,166.8,0.93,0.86,913,Independent Observer,Tower of Mirado,0.74,
AG-0134,Multiple Federation,large_collective,3.5,human_group,adaptation,expert,autonomous,,specialist,True,True,0.66,2,True,False,8974.1,468.6,0.9,0.77,926,T. Crost,Multiple,0.77,
AG-0135,Cave Bat Specimen 135,individual,3.3,creature,preservation,master,sovereign,,component,True,True,0.02,5,False,False,326.4,441.7,0.94,0.57,925,T. Crost,Capital,0.71,
AG-0136,Maw Beast Specimen 136,individual,3.0,creature,resource_acquisition,expert,autonomous,,generalist,False,False,0.02,2,False,False,2626.4,789.6,0.68,0.56,939,Independent Observer,Unknown,0.88,
AG-0137,Central The Archive,institution,4.0,creature_colony,coordination,basic,autonomous,,component,True,False,0.63,14,True,True,13146.5,336.1,0.67,0.52,920,O. Venn,Tower of Mirado,0.93,
AG-0138,Cell Cluster 138-A,cellular,0.8,organism,signaling,competent,semi_autonomous,,component,True,False,0.95,3,True,True,0.0,560.9,0.0,0.73,923,Klutch CC Research,Capital,0.77,
AG-0139,Capital Team 13,small_group,2.9,human_group,decision_making,competent,autonomous,AG-0002,component,True,True,0.65,11,True,False,5520.1,166.5,0.32,0.71,935,O. Venn,Northo,0.82,
AG-0140,Ferris Tall,individual,2.3,person,signaling,competent,semi_autonomous,AG-0005,component,True,False,0.01,9,True,False,3609.0,511.6,0.0,0.8,922,Klutch CC Research,Tower of Mirado,0.9,
AG-0141,Night Stalker Specimen 141,individual,2.8,creature,signaling,expert,semi_autonomous,,generalist,True,False,0.0,3,False,False,1769.2,282.1,0.34,0.74,921,Klutch CC Research,Tower of Mirado,0.86,
AG-0142,Boundary Squad 10,small_group,2.7,human_group,coordination,competent,supervised,AG-0001,generalist,False,True,0.61,11,False,True,6793.8,427.8,0.74,0.78,932,Klutch CC Research,Yeller Quarry,0.75,
AG-0143,Northo Consortium,large_collective,2.5,institution,coordination,competent,semi_autonomous,,component,True,True,0.75,14,True,True,7548.7,542.1,0.56,0.82,925,M. Strand,Tower of Mirado,0.63,
AG-0144,Orra Tross,individual,3.0,person,document_processing,expert,semi_autonomous,,component,True,False,0.0,4,False,False,1002.8,471.4,0.63,0.5,940,Archive Survey Team,Capital,0.92,
AG-0145,Stakdur Specimen 145,individual,3.0,creature,adaptation,competent,semi_autonomous,AG-0007,coordinator,True,True,0.0,9,False,False,2145.8,420.8,0.64,0.68,920,Independent Observer,Unknown,0.78,
AG-0146,Archive Team 19,small_group,3.2,creature_colony,protection,competent,semi_autonomous,AG-0011,component,True,True,0.68,10,False,False,1653.7,754.7,0.41,0.43,940,P. Anster,Multiple,0.64,
AG-0147,Unknown Consortium,large_collective,2.6,institution,adaptation,expert,fully_dependent,,component,True,False,0.52,11,True,False,17485.8,132.4,0.52,0.78,919,Klutch CC Research,Densmok,0.62,
AG-0148,Capital Consortium,large_collective,2.6,human_group,adaptation,expert,supervised,,component,True,True,0.59,2,True,True,15864.8,781.2,0.51,0.6,922,P. Anster,Unknown,0.61,
AG-0149,Boundary Crew 9,small_group,2.6,human_group,protection,expert,autonomous,,specialist,True,True,0.5,3,True,False,6109.2,617.1,0.86,0.85,915,P. Anster,Yeller Quarry,0.93,
AG-0150,Neural Cluster 150,organ,2.0,organism,coordination,expert,supervised,,component,True,False,0.97,12,True,False,1.8,71.6,0.0,0.72,937,M. Strand,Tower of Mirado,0.66,
AG-0151,Western Circle 14,small_group,3.0,human_group,protection,competent,autonomous,AG-0018,component,True,True,0.33,13,False,False,5784.1,381.7,0.51,0.63,927,P. Anster,Yeller Quarry,0.9,
AG-0152,Kellen Keth,individual,2.6,person,communication,expert,supervised,AG-0020,specialist,False,True,0.0,5,False,False,1656.2,237.5,0.47,0.94,914,M. Strand,Multiple,0.61,
AG-0153,Border Creature Specimen 153,individual,3.6,creature,signaling,expert,semi_autonomous,,component,True,True,0.18,1,False,False,43.6,809.9,0.43,0.85,919,Colony Observation Unit,Multiple,0.73,
AG-0154,Civilization Fragment 5,civilization_fragment,4.4,institution,memory_storage,competent,autonomous,,generalist,True,True,0.47,14,False,False,18769.9,142.8,0.37,0.72,918,Boundary Commission,Capital,0.67,
AG-0155,Kira Crost,individual,3.4,person,coordination,expert,semi_autonomous,,coordinator,True,True,0.1,5,False,False,66.7,30.9,0.94,0.85,939,Archive Survey Team,Northo,0.65,
AG-0156,Civilization Fragment 1,civilization_fragment,3.6,institution,memory_storage,basic,autonomous,,sovereign,True,True,0.49,4,False,False,13898.4,302.0,0.93,0.43,932,P. Anster,Tower of Mirado,0.93,
AG-0157,Civilization Fragment 9,civilization_fragment,3.6,institution,communication,expert,semi_autonomous,,specialist,False,True,0.59,12,True,True,19660.3,775.3,0.43,0.71,924,Archive Survey Team,Capital,0.95,
AG-0158,Petra Strand,individual,2.4,person,threat_response,expert,supervised,,generalist,True,False,0.0,8,False,False,2601.0,492.3,0.0,0.54,919,Archive Survey Team,Unknown,0.88,
AG-0159,Northo Alliance,large_collective,3.3,institution,coordination,expert,autonomous,,interface,False,True,0.45,9,False,False,15023.6,612.3,0.66,0.59,913,Klutch CC Research,Unknown,0.77,
AG-0160,Cell Cluster 160-D,cellular,1.3,organism,signaling,expert,semi_autonomous,,component,True,False,0.86,1,True,True,0.0,203.9,0.0,0.41,917,T. Crost,Yeller Quarry,0.63,
AG-0161,Petra Brent,individual,3.7,person,memory_storage,expert,autonomous,,specialist,True,True,0.19,1,False,False,2918.7,951.4,0.87,0.84,928,Klutch CC Research,Dens boundary,0.67,
AG-0162,Marsh Strand,individual,2.8,person,construction,master,supervised,,component,True,False,0.0,4,False,False,119.7,75.0,0.66,0.8,940,Klutch CC Research,Multiple,0.74,
AG-0163,Eastern Squad 17,small_group,2.8,human_group,protection,competent,semi_autonomous,,component,True,True,0.53,9,False,False,5950.4,201.4,0.39,0.9,932,Archive Survey Team,Unknown,0.66,
AG-0164,Boundary Section 13,small_group,3.2,human_group,resource_acquisition,basic,semi_autonomous,,specialist,True,True,0.61,3,False,True,5864.9,665.7,0.57,0.7,937,P. Anster,Unknown,0.68,
AG-0165,Stakdur Specimen 165,individual,3.4,creature,decision_making,competent,autonomous,,specialist,True,True,0.05,10,False,False,474.6,438.7,0.94,0.54,918,Archive Survey Team,Northo,0.71,
AG-0166,Stakdur Specimen 166,individual,2.9,creature,adaptation,competent,autonomous,,coordinator,False,True,0.11,5,False,False,568.4,413.2,0.74,0.41,924,Klutch CC Research,Yeller Quarry,0.95,
AG-0167,Eastern Section 3,small_group,3.0,human_group,decision_making,expert,supervised,AG-0001,component,True,False,0.38,5,True,True,3293.6,293.3,0.32,0.75,926,Independent Observer,Densmok,0.67,
AG-0168,Stakdur Specimen 168,individual,3.6,creature,adaptation,competent,autonomous,AG-0002,component,True,True,0.0,9,False,False,3020.4,42.4,0.65,0.79,922,O. Venn,Dens boundary,0.6,
AG-0169,Archive Unit 10,small_group,3.0,human_group,coordination,competent,supervised,,specialist,True,False,0.43,9,False,False,2925.1,376.9,0.85,0.49,913,O. Venn,Capital,0.89,
AG-0170,Calla Gast,individual,2.9,person,threat_response,master,supervised,AG-0018,generalist,True,True,0.2,4,False,False,2842.6,511.1,0.86,0.69,919,O. Venn,Densmok,0.79,
AG-0171,Cell Colony 171-C,cellular,0.7,organism,signaling,competent,supervised,,component,False,False,0.93,9,True,True,0.1,199.0,0.0,0.91,927,P. Anster,Northo,0.84,
AG-0172,Boundary Team 13,small_group,3.3,creature_colony,decision_making,expert,semi_autonomous,,specialist,True,True,0.32,3,False,False,4515.6,215.9,0.84,0.8,928,T. Crost,Tower of Mirado,0.85,
AG-0173,Multiple Consortium,large_collective,3.0,institution,communication,competent,autonomous,,component,True,False,0.48,3,False,False,12615.0,232.5,0.38,0.72,913,Boundary Commission,Densmok,0.93,
AG-0174,Lorn Pol,individual,2.9,person,memory_storage,competent,supervised,,coordinator,True,False,0.0,5,False,False,576.9,35.3,0.67,0.48,928,O. Venn,Dens boundary,0.71,
AG-0175,Quarry Unit 10,small_group,3.2,human_group,protection,master,semi_autonomous,,coordinator,True,False,0.46,10,False,False,2881.9,744.8,0.56,0.41,932,T. Mord,Capital,0.73,
AG-0176,Capital Squad 3,small_group,3.3,human_group,protection,master,supervised,AG-0020,generalist,False,True,0.38,2,True,False,5705.6,200.6,0.5,0.78,934,Boundary Commission,Yeller Quarry,0.65,
AG-0177,Capital Team 18,small_group,2.7,human_group,protection,expert,autonomous,,component,False,True,0.42,10,False,False,6237.9,478.6,0.92,0.58,918,P. Anster,Multiple,0.94,
AG-0178,Maw Beast Specimen 178,individual,3.2,creature,spatial_navigation,competent,fully_dependent,,component,True,False,0.0,3,False,False,1741.0,371.9,0.46,0.91,920,T. Mord,Tower of Mirado,0.76,
AG-0179,Digger Colony 25,large_collective,2.8,creature_colony,adaptation,basic,sovereign,,coordinator,True,False,0.67,3,True,True,3630.8,75.2,0.62,0.41,940,Independent Observer,Tower of Mirado,0.86,
AG-0180,Digger Colony 19,large_collective,3.3,creature_colony,preservation,master,autonomous,,component,True,False,0.51,7,True,False,3428.5,444.2,0.48,0.79,920,Klutch CC Research,Unknown,0.95,
AG-0181,Tissue Complex 181,tissue,1.5,organism,signaling,master,autonomous,,coordinator,True,False,0.69,8,True,True,0.8,467.3,0.0,0.83,919,Klutch CC Research,Northo,0.91,
AG-0182,Mira Drusk,individual,2.1,person,threat_response,expert,semi_autonomous,,generalist,True,False,0.0,1,False,False,1471.2,324.8,0.0,0.8,919,M. Strand,Capital,0.63,
AG-0183,Toren Tall,individual,2.2,person,maintenance,basic,autonomous,,generalist,True,False,0.12,11,False,False,1939.8,522.4,0.0,0.44,914,Independent Observer,Tower of Mirado,0.92,
AG-0184,Capital Federation,large_collective,3.3,human_group,preservation,expert,semi_autonomous,,coordinator,True,True,0.62,1,False,True,3537.9,162.2,0.4,0.86,912,M. Strand,Capital,0.91,
AG-0185,Tissue Complex 185,tissue,1.3,organism,signaling,competent,semi_autonomous,,generalist,True,False,0.79,16,True,True,0.2,585.5,0.0,0.83,924,P. Anster,Dens boundary,0.86,
AG-0186,Yeller Quarry Assembly,large_collective,3.2,human_group,preservation,expert,autonomous,,component,False,False,0.63,2,True,True,8430.9,231.8,0.45,0.59,924,Klutch CC Research,Unknown,0.63,
AG-0187,Multiple Coalition,large_collective,3.3,institution,communication,competent,semi_autonomous,,component,True,False,0.71,16,True,False,12288.4,861.4,0.47,0.62,925,T. Mord,Yeller Quarry,0.85,
AG-0188,Bren Mord,individual,2.9,person,pattern_recognition,competent,supervised,,component,True,True,0.0,6,False,False,3586.0,687.0,0.63,0.87,933,T. Crost,Densmok,0.64,
AG-0189,Mira Moll,individual,3.1,person,memory_storage,expert,sovereign,AG-0003,generalist,True,True,0.0,2,False,False,2664.7,792.9,0.87,0.46,923,Boundary Commission,Densmok,0.63,
AG-0190,Cave Bat Specimen 190,individual,3.9,creature,threat_response,competent,semi_autonomous,,coordinator,True,True,0.15,3,False,False,551.6,430.1,0.38,0.91,915,Independent Observer,Unknown,0.93,
AG-0191,Northo Coalition,large_collective,3.3,institution,protection,competent,semi_autonomous,,component,True,True,0.66,13,True,False,12991.4,103.5,0.54,0.69,938,Archive Survey Team,Capital,0.83,
AG-0192,Central The Archive,institution,3.2,institution,memory_storage,foundational,semi_autonomous,,coordinator,True,True,0.72,4,False,False,13407.9,142.5,0.69,0.49,933,Archive Survey Team,Capital,0.61,
AG-0193,Densmok The Commission,institution,3.4,human_group,preservation,master,autonomous,,sovereign,True,True,0.75,5,True,True,14773.5,677.4,0.94,0.79,936,P. Anster,Yeller Quarry,0.78,
AG-0194,Lorn Venn,individual,2.7,person,preservation,competent,semi_autonomous,AG-0019,sovereign,True,True,0.1,4,False,False,3577.9,125.9,0.57,0.82,912,Independent Observer,Northo,0.65,
AG-0195,Survey Squad 12,small_group,2.6,creature_colony,coordination,master,supervised,,component,True,True,0.3,3,False,False,5480.2,537.6,0.9,0.55,936,Klutch CC Research,Tower of Mirado,0.86,
AG-0196,Northo Consortium,large_collective,3.1,human_group,coordination,basic,semi_autonomous,,generalist,True,False,0.6,6,True,False,17607.1,533.9,0.31,0.95,925,P. Anster,Tower of Mirado,0.61,
AG-0197,Unknown Consortium,large_collective,3.2,institution,adaptation,competent,autonomous,,specialist,True,True,0.75,5,True,True,7478.7,656.8,0.63,0.79,933,Klutch CC Research,Dens boundary,0.61,
AG-0198,Quarry Squad 15,small_group,3.1,human_group,decision_making,competent,semi_autonomous,AG-0011,coordinator,False,True,0.47,1,True,True,5946.3,531.2,0.5,0.58,931,Independent Observer,Multiple,0.76,
AG-0199,Western Crew 16,small_group,3.4,human_group,decision_making,competent,autonomous,AG-0007,interface,True,True,0.69,1,False,True,4327.9,920.0,0.57,0.92,925,O. Venn,Yeller Quarry,0.79,
AG-0200,Kellen Renn,individual,2.4,person,adaptation,basic,supervised,AG-0008,component,True,False,0.17,10,False,False,1999.9,128.6,0.0,0.83,940,Boundary Commission,Densmok,0.84,
AG-0201,Boundary Team 1,small_group,2.5,human_group,construction,competent,supervised,,generalist,True,True,0.37,10,True,False,2079.1,206.2,0.43,0.74,936,T. Mord,Northo,0.79,
AG-0202,Capital Circle 19,small_group,2.9,human_group,protection,expert,semi_autonomous,,component,True,True,0.56,4,False,False,6859.7,49.5,0.51,0.79,921,Boundary Commission,Densmok,0.71,
AG-0203,Tissue Complex 203,tissue,1.8,organism,signaling,master,supervised,,component,True,False,0.99,2,True,False,0.8,634.7,0.0,0.82,934,T. Crost,Dens boundary,0.67,
AG-0204,Boundary Class 18,small_group,3.4,creature_colony,protection,competent,semi_autonomous,,component,True,True,0.64,12,True,True,4523.5,44.0,0.95,0.42,934,Boundary Commission,Unknown,0.92,
AG-0205,Toren Thane,individual,2.6,person,signaling,competent,fully_dependent,AG-0007,component,True,True,0.0,9,False,False,163.5,792.1,0.58,0.74,918,Archive Survey Team,Unknown,0.64,
AG-0206,Kira Drusk,individual,3.1,person,resource_acquisition,master,semi_autonomous,AG-0007,component,True,True,0.0,1,False,False,96.0,843.8,0.63,0.91,925,Independent Observer,Dens boundary,0.85,
AG-0207,Cell Cluster 207-C,cellular,1.2,organism,signaling,basic,supervised,,generalist,True,False,0.98,13,True,False,0.0,424.2,0.0,0.77,925,O. Venn,Yeller Quarry,0.7,
AG-0208,Western Class 13,small_group,3.3,human_group,protection,master,semi_autonomous,,interface,True,True,0.48,7,False,True,6247.8,433.6,0.31,0.41,927,P. Anster,Unknown,0.82,
AG-0209,Survey Section 20,small_group,2.9,human_group,construction,expert,semi_autonomous,,specialist,True,True,0.68,15,True,True,4193.5,540.0,0.64,0.71,927,P. Anster,Yeller Quarry,0.73,
AG-0210,Northo Consortium,large_collective,3.2,human_group,preservation,basic,fully_dependent,,specialist,True,True,0.7,16,True,False,16891.6,43.3,0.92,0.58,932,T. Mord,Capital,0.85,
AG-0211,Liver Complex 211,organ,1.9,organism,adaptation,expert,supervised,,generalist,True,False,0.63,16,True,False,12.7,393.8,0.0,0.69,917,T. Mord,Yeller Quarry,0.8,
AG-0212,Dens boundary Consortium,large_collective,2.6,institution,coordination,expert,fully_dependent,,component,True,True,0.77,3,False,True,2083.4,617.6,0.81,0.4,917,Independent Observer,Yeller Quarry,0.78,
AG-0213,Yeller Quarry Consortium,large_collective,3.3,institution,communication,competent,autonomous,,component,True,True,0.6,13,True,False,10047.9,719.3,0.37,0.79,935,T. Crost,Northo,0.8,
AG-0214,Boundary Section 16,small_group,3.1,creature_colony,protection,master,supervised,,coordinator,True,False,0.45,6,False,False,3916.7,494.6,0.46,0.75,923,Independent Observer,Yeller Quarry,0.86,
AG-0215,Capital Federation,large_collective,3.0,institution,preservation,basic,fully_dependent,,generalist,True,True,0.43,11,False,True,5798.8,791.4,0.58,0.73,912,Boundary Commission,Capital,0.72,
AG-0216,Mira Thane,individual,3.8,person,construction,expert,sovereign,,component,True,True,0.0,6,False,False,886.4,878.3,0.68,0.55,935,Independent Observer,Capital,0.61,
AG-0217,Civilization Fragment 1,civilization_fragment,4.4,institution,communication,competent,autonomous,,component,True,True,0.34,13,False,False,24625.9,180.0,0.69,0.81,934,T. Mord,Northo,0.64,
AG-0218,Isla Renn,individual,2.1,person,signaling,basic,autonomous,AG-0020,specialist,False,False,0.0,10,False,False,1981.5,169.0,0.0,0.78,928,Colony Observation Unit,Multiple,0.73,
AG-0219,Tissue Complex 219,tissue,1.2,organism,coordination,expert,supervised,,component,True,False,0.76,17,False,False,0.2,587.4,0.0,0.46,938,Boundary Commission,Tower of Mirado,0.89,
AG-0220,Cell Colony 220-D,cellular,0.7,organism,signaling,expert,supervised,,component,True,False,0.75,12,True,False,0.1,280.3,0.0,0.42,923,M. Strand,Capital,0.85,
AG-0221,Tower of Mirado Federation,large_collective,3.1,institution,preservation,competent,autonomous,,component,False,False,0.6,2,True,True,4629.5,777.1,0.35,0.64,933,Independent Observer,Densmok,0.79,
AG-0222,Stakdur Specimen 222,individual,3.9,creature,signaling,expert,semi_autonomous,AG-0005,specialist,True,True,0.07,10,False,False,111.3,103.5,0.58,0.81,919,T. Crost,Densmok,0.78,
AG-0223,Yeller Quarry Assembly,large_collective,2.6,human_group,communication,competent,autonomous,,interface,True,True,0.66,13,True,False,13540.7,35.1,0.84,0.6,920,Archive Survey Team,Multiple,0.66,
AG-0224,Toren Creel,individual,2.3,person,construction,basic,supervised,AG-0007,component,True,False,0.0,4,False,False,1597.2,167.2,0.0,0.76,924,Boundary Commission,Yeller Quarry,0.84,
AG-0225,Capital Class 13,small_group,3.3,human_group,protection,master,semi_autonomous,AG-0018,sovereign,True,False,0.67,2,False,False,4263.3,403.4,0.81,0.52,928,Colony Observation Unit,Tower of Mirado,0.86,
AG-0226,Neural Cluster 226,organ,2.2,organism,maintenance,basic,supervised,,sovereign,True,False,0.96,10,True,True,24.1,172.9,0.0,0.94,937,Colony Observation Unit,Densmok,0.69,
AG-0227,Orra Venn,individual,3.4,person,adaptation,competent,semi_autonomous,,component,True,True,0.19,3,False,False,3298.1,6.9,0.66,0.8,921,P. Anster,Capital,0.64,
AG-0228,Border Creature Specimen 228,individual,2.1,creature,signaling,master,fully_dependent,,specialist,False,False,0.0,10,False,False,1886.1,315.5,0.0,0.41,920,Independent Observer,Yeller Quarry,0.68,
AG-0229,Capital Crew 19,small_group,3.0,human_group,construction,basic,supervised,AG-0013,generalist,False,False,0.45,8,True,True,2429.7,541.5,0.35,0.84,926,Boundary Commission,Tower of Mirado,0.73,
AG-0230,Capital Assembly,large_collective,3.4,institution,communication,master,sovereign,,component,True,True,0.75,10,True,True,7858.7,654.5,0.64,0.73,915,T. Mord,Tower of Mirado,0.86,
AG-0231,Archive Circle 7,small_group,3.5,human_group,protection,competent,supervised,AG-0001,coordinator,True,True,0.38,8,True,True,2296.9,87.4,0.53,0.8,917,M. Strand,Capital,0.64,
AG-0232,Archive Crew 12,small_group,2.9,human_group,decision_making,master,supervised,,specialist,True,True,0.53,8,True,False,991.8,229.8,0.9,0.69,914,Colony Observation Unit,Densmok,0.61,
AG-0233,Capital Coalition,large_collective,2.8,human_group,adaptation,master,fully_dependent,,specialist,True,False,0.71,2,True,True,10850.7,541.4,0.34,0.52,927,T. Mord,Capital,0.63,
AG-0234,Boundary Class 5,small_group,2.7,human_group,resource_acquisition,competent,supervised,,component,True,True,0.58,7,True,True,1697.8,160.5,0.7,0.92,939,Independent Observer,Northo,0.81,
AG-0235,Quarry Section 20,small_group,3.1,human_group,construction,competent,autonomous,,generalist,True,True,0.64,13,True,True,2750.0,579.9,0.61,0.66,925,Boundary Commission,Northo,0.63,
AG-0236,Archive Crew 8,small_group,2.9,human_group,construction,competent,supervised,,component,True,True,0.41,4,True,False,382.8,376.8,0.74,0.48,912,T. Mord,Capital,0.95,
AG-0237,Neural Cluster 237,organ,2.3,organism,resource_acquisition,basic,supervised,,sovereign,True,False,0.98,6,True,True,5.6,66.7,0.0,0.49,934,T. Crost,Unknown,0.82,
AG-0238,Cave Bat Specimen 238,individual,3.9,creature,adaptation,master,supervised,,generalist,False,True,0.05,7,False,False,2887.7,186.3,0.68,0.65,925,Klutch CC Research,Yeller Quarry,0.67,
AG-0239,Circulatory Unit 239,organ,1.6,organism,maintenance,expert,fully_dependent,,generalist,False,False,1.0,3,True,True,17.0,605.3,0.0,0.83,939,Boundary Commission,Dens boundary,0.74,
AG-0240,Third Mill Crew 15,small_group,3.5,human_group,resource_acquisition,competent,semi_autonomous,,component,True,True,0.63,14,False,True,5835.9,862.3,0.89,0.82,920,Independent Observer,Unknown,0.85,
AG-0241,Survey Class 5,small_group,3.0,human_group,protection,competent,semi_autonomous,,component,True,True,0.49,7,False,False,6204.1,263.3,0.32,0.86,912,Colony Observation Unit,Dens boundary,0.82,
AG-0242,Cellular Unit 242-C,cellular,0.8,organism,resource_acquisition,basic,autonomous,,coordinator,True,False,0.72,4,True,True,0.0,551.8,0.0,0.74,913,Archive Survey Team,Northo,0.73,
AG-0243,Archive Unit 11,small_group,2.8,human_group,decision_making,basic,semi_autonomous,,coordinator,True,True,0.45,13,False,False,6103.0,0.2,0.9,0.44,925,P. Anster,Northo,0.69,
AG-0244,Quarry Circle 1,small_group,3.2,human_group,construction,competent,semi_autonomous,,component,True,True,0.51,3,False,False,5951.9,726.7,0.79,0.94,939,Archive Survey Team,Tower of Mirado,0.69,
AG-0245,Calla Kellam,individual,3.9,person,pattern_recognition,expert,autonomous,AG-0012,component,True,True,0.0,8,False,False,3508.4,573.3,0.82,0.86,926,Colony Observation Unit,Yeller Quarry,0.88,
AG-0246,Circulatory Unit 246,organ,2.5,organism,maintenance,foundational,autonomous,,specialist,True,True,0.94,1,True,True,1.1,18.0,0.71,0.77,928,Independent Observer,Unknown,0.85,
AG-0247,Bren Crost,individual,3.7,person,resource_acquisition,competent,sovereign,,component,True,False,0.0,6,False,False,79.0,471.3,0.92,0.8,922,Independent Observer,Yeller Quarry,0.8,
AG-0248,Night Stalker Specimen 248,individual,3.2,creature,adaptation,competent,sovereign,AG-0008,specialist,True,True,0.06,4,False,False,281.9,615.9,0.55,0.83,912,Independent Observer,Yeller Quarry,0.84,
AG-0249,Marsh Kellam,individual,2.5,person,signaling,basic,semi_autonomous,AG-0013,component,True,True,0.0,6,False,False,1451.5,200.8,0.39,0.45,914,P. Anster,Tower of Mirado,0.84,
AG-0250,Capital Alliance,large_collective,2.9,institution,communication,master,semi_autonomous,,component,True,False,0.55,5,True,True,3500.5,298.1,0.58,0.43,935,P. Anster,Yeller Quarry,0.64,
AG-0251,Toren Drusk,individual,2.0,person,threat_response,competent,semi_autonomous,,component,True,False,0.0,5,False,False,499.3,491.0,0.0,0.83,917,P. Anster,Yeller Quarry,0.93,
AG-0252,Dens boundary Coalition,large_collective,3.1,institution,communication,basic,supervised,,generalist,True,True,0.61,7,False,True,16231.8,477.9,0.74,0.71,939,Boundary Commission,Densmok,0.67,
AG-0253,Border Creature Specimen 253,individual,3.5,creature,memory_storage,competent,supervised,,component,True,True,0.0,6,False,False,507.3,331.5,0.74,0.68,924,Colony Observation Unit,Dens boundary,0.8,
AG-0254,Western Crew 9,small_group,2.7,human_group,resource_acquisition,competent,semi_autonomous,,generalist,True,True,0.41,2,True,False,2605.5,628.0,0.68,0.91,937,O. Venn,Tower of Mirado,0.86,
AG-0255,Toren Gast,individual,2.6,person,threat_response,foundational,supervised,,component,True,True,0.0,3,False,False,1886.1,382.6,0.43,0.89,914,Boundary Commission,Northo,0.86,
AG-0256,Yeller Quarry Coalition,large_collective,3.4,human_group,preservation,expert,semi_autonomous,,component,True,False,0.46,10,False,False,2226.8,317.0,0.92,0.63,914,Archive Survey Team,Densmok,0.69,
AG-0257,Western Squad 15,small_group,3.1,human_group,decision_making,master,autonomous,,component,True,True,0.31,12,True,False,4816.2,777.1,0.52,0.48,937,P. Anster,Multiple,0.93,
AG-0258,Neural Cluster 258,organ,1.9,organism,maintenance,expert,semi_autonomous,,coordinator,True,False,0.84,15,True,False,22.2,313.4,0.0,0.89,922,P. Anster,Tower of Mirado,0.67,
AG-0259,Eastern The Council,institution,4.3,creature_colony,decision_making,expert,semi_autonomous,,component,True,False,0.86,18,True,True,30659.9,701.5,0.56,0.89,922,O. Venn,Multiple,0.71,
AG-0260,Ferris Gast,individual,3.5,person,threat_response,master,autonomous,,specialist,True,True,0.01,10,False,False,2650.4,498.8,0.62,0.57,934,Independent Observer,Northo,0.62,
AG-0261,Bren Drusk,individual,3.4,person,decision_making,expert,sovereign,,component,True,True,0.18,11,True,False,2181.7,72.8,0.74,0.7,918,O. Venn,Tower of Mirado,0.7,
AG-0262,Cave Bat Specimen 262,individual,2.4,creature,document_processing,expert,semi_autonomous,AG-0003,generalist,True,False,0.0,5,False,False,400.1,518.2,0.0,0.53,930,Independent Observer,Multiple,0.76,
AG-0263,Senn Tross,individual,2.5,person,preservation,competent,supervised,,generalist,True,False,0.0,10,False,False,2426.9,375.9,0.49,0.91,912,Archive Survey Team,Tower of Mirado,0.76,
AG-0264,Quarry Class 8,small_group,3.0,human_group,coordination,competent,autonomous,,component,False,False,0.39,3,False,False,2291.5,345.5,0.35,0.43,928,T. Mord,Unknown,0.6,
AG-0265,Marsh Tross,individual,3.5,person,communication,expert,autonomous,,component,True,True,0.0,3,False,False,2583.5,490.9,0.36,0.51,918,Klutch CC Research,Yeller Quarry,0.71,
AG-0266,Eastern Circle 1,small_group,3.4,creature_colony,decision_making,competent,sovereign,AG-0001,specialist,True,True,0.3,8,False,False,6926.9,541.4,0.8,0.78,918,M. Strand,Unknown,0.71,
AG-0267,Western Team 20,small_group,2.7,human_group,coordination,expert,fully_dependent,AG-0005,component,False,False,0.34,1,False,False,6597.1,674.0,0.77,0.77,917,Klutch CC Research,Capital,0.68,
AG-0268,Yeller Quarry Federation,large_collective,2.6,institution,preservation,expert,supervised,,coordinator,True,True,0.66,5,True,True,17883.9,222.0,0.46,0.55,915,Klutch CC Research,Unknown,0.94,
AG-0269,Boundary The Academy,institution,4.0,human_group,decision_making,expert,autonomous,,sovereign,True,False,0.76,13,False,True,7289.0,807.1,0.58,0.54,925,Archive Survey Team,Unknown,0.88,
AG-0270,Tissue Complex 270,tissue,1.1,organism,maintenance,expert,semi_autonomous,,sovereign,True,False,0.85,1,True,False,0.5,239.1,0.0,0.51,927,T. Crost,Yeller Quarry,0.72,
AG-0271,Marsh Creel,individual,2.0,person,preservation,competent,supervised,,component,True,False,0.0,4,False,False,292.4,115.3,0.0,0.5,918,P. Anster,Densmok,0.71,
AG-0272,Kira Creel,individual,3.2,person,threat_response,competent,supervised,,component,True,False,0.02,10,False,False,54.6,468.1,0.63,0.72,927,M. Strand,Unknown,0.77,
AG-0273,Capital Circle 12,small_group,2.6,creature_colony,coordination,master,autonomous,,specialist,True,True,0.48,4,False,False,2357.4,650.3,0.77,0.93,931,T. Crost,Unknown,0.95,
AG-0274,Civilization Fragment 10,civilization_fragment,3.8,institution,communication,master,autonomous,,component,True,True,0.61,2,True,False,18234.1,66.6,0.55,0.72,930,Colony Observation Unit,Unknown,0.91,
