event_id,session_id,semester_id,date,assignment_called,days_since_last_assignment,students_prepared,students_unprepared
ASN0029,CLS0029,SEM01,2018-10-31,True,0,12.0,1.0
ASN0030,CLS0030,SEM01,2018-11-02,True,0,20.0,0.0
ASN0031,CLS0031,SEM01,2018-11-05,True,0,14.0,5.0
ASN0032,CLS0032,SEM01,2018-11-07,True,0,17.0,2.0
ASN0033,CLS0033,SEM01,2018-11-09,True,0,19.0,0.0
ASN0034,CLS0034,SEM01,2018-11-12,True,0,9.0,2.0
ASN0035,CLS0035,SEM01,2018-11-14,True,0,22.0,2.0
ASN0036,CLS0036,SEM01,2018-11-16,True,0,21.0,0.0
ASN0037,CLS0037,SEM01,2018-11-19,True,0,11.0,4.0
ASN0038,CLS0038,SEM01,2018-11-21,True,0,15.0,4.0
ASN0039,CLS0039,SEM01,2018-11-23,False,0,,
ASN0040,CLS0040,SEM01,2018-11-26,True,0,9.0,2.0
ASN0041,CLS0041,SEM01,2018-11-28,True,0,15.0,4.0
ASN0042,CLS0042,SEM01,2018-11-30,True,0,15.0,0.0
ASN0043,CLS0043,SEM01,2018-12-03,True,0,11.0,0.0
ASN0044,CLS0044,SEM01,2018-12-05,True,0,17.0,5.0
ASN0045,CLS0045,SEM01,2018-12-07,True,0,20.0,4.0
ASN0046,CLS0046,SEM01,2018-12-10,True,0,10.0,2.0
ASN0047,CLS0047,SEM01,2018-12-12,True,0,15.0,0.0
ASN0048,CLS0048,SEM01,2018-12-14,False,0,,
ASN0049,CLS0049,SEM02,2019-01-16,True,0,20.0,1.0
ASN0050,CLS0050,SEM02,2019-01-18,True,0,10.0,1.0
ASN0051,CLS0051,SEM02,2019-01-21,True,0,14.0,4.0
ASN0052,CLS0052,SEM02,2019-01-23,True,0,8.0,3.0
ASN0053,CLS0053,SEM02,2019-01-25,False,0,,
ASN0054,CLS0054,SEM02,2019-01-28,True,0,18.0,1.0
ASN0055,CLS0055,SEM02,2019-01-30,True,0,22.0,3.0
ASN0056,CLS0056,SEM02,2019-02-01,True,0,12.0,5.0
ASN0057,CLS0057,SEM02,2019-02-04,True,0,13.0,5.0
ASN0058,CLS0058,SEM02,2019-02-06,True,0,21.0,4.0
ASN0059,CLS0059,SEM02,2019-02-08,True,0,10.0,5.0
ASN0060,CLS0060,SEM02,2019-02-11,True,0,9.0,2.0
ASN0061,CLS0061,SEM02,2019-02-13,True,0,19.0,0.0
ASN0062,CLS0062,SEM02,2019-02-15,False,0,,
ASN0063,CLS0063,SEM02,2019-02-18,False,3,,
ASN0064,CLS0064,SEM02,2019-02-20,False,5,,
ASN0065,CLS0065,SEM02,2019-02-22,False,7,,
ASN0066,CLS0066,SEM02,2019-02-25,True,0,16.0,2.0
ASN0067,CLS0067,SEM02,2019-02-27,False,0,,
ASN0068,CLS0068,SEM02,2019-03-01,False,2,,
ASN0069,CLS0069,SEM02,2019-03-04,True,0,20.0,5.0
ASN0070,CLS0070,SEM02,2019-03-06,True,0,11.0,5.0
ASN0071,CLS0071,SEM02,2019-03-08,False,0,,
ASN0072,CLS0072,SEM02,2019-03-11,True,0,15.0,4.0
ASN0073,CLS0073,SEM02,2019-03-13,True,0,22.0,5.0
ASN0074,CLS0074,SEM02,2019-03-15,True,0,22.0,0.0
ASN0075,CLS0075,SEM02,2019-03-18,True,0,8.0,0.0
ASN0076,CLS0076,SEM02,2019-03-20,False,0,,
ASN0077,CLS0077,SEM02,2019-03-22,True,0,22.0,5.0
ASN0078,CLS0078,SEM02,2019-03-25,False,0,,
ASN0079,CLS0079,SEM02,2019-03-27,False,2,,
ASN0080,CLS0080,SEM02,2019-03-29,True,0,20.0,5.0
ASN0081,CLS0081,SEM02,2019-04-01,False,0,,
ASN0082,CLS0082,SEM02,2019-04-03,True,0,22.0,5.0
ASN0083,CLS0083,SEM02,2019-04-05,True,0,9.0,2.0
ASN0084,CLS0084,SEM02,2019-04-08,False,0,,
ASN0085,CLS0085,SEM02,2019-04-10,True,0,17.0,2.0
ASN0086,CLS0086,SEM02,2019-04-12,True,0,21.0,5.0
ASN0087,CLS0087,SEM02,2019-04-15,False,0,,
ASN0088,CLS0088,SEM02,2019-04-17,True,0,13.0,1.0
ASN0089,CLS0089,SEM02,2019-04-19,True,0,11.0,5.0
ASN0090,CLS0090,SEM02,2019-04-22,True,0,12.0,5.0
ASN0091,CLS0091,SEM02,2019-04-24,False,0,,
ASN0092,CLS0092,SEM02,2019-04-26,True,0,9.0,4.0
ASN0093,CLS0093,SEM02,2019-04-29,True,0,20.0,5.0
ASN0094,CLS0094,SEM02,2019-05-01,True,0,15.0,2.0
ASN0095,CLS0095,SEM02,2019-05-03,True,0,15.0,5.0
ASN0096,CLS0096,SEM02,2019-05-06,False,0,,
ASN0097,CLS0097,SEM02,2019-05-08,True,0,11.0,5.0
ASN0098,CLS0098,SEM02,2019-05-10,True,0,21.0,2.0
ASN0099,CLS0099,SEM03,2019-08-26,True,0,15.0,1.0
ASN0100,CLS0100,SEM03,2019-08-28,True,0,18.0,5.0
ASN0101,CLS0101,SEM03,2019-08-30,True,0,18.0,4.0
ASN0102,CLS0102,SEM03,2019-09-02,True,0,9.0,4.0
ASN0103,CLS0103,SEM03,2019-09-04,True,0,9.0,1.0
ASN0104,CLS0104,SEM03,2019-09-06,True,0,17.0,1.0
ASN0105,CLS0105,SEM03,2019-09-09,False,0,,
ASN0106,CLS0106,SEM03,2019-09-11,False,2,,
ASN0107,CLS0107,SEM03,2019-09-13,True,0,21.0,5.0
ASN0108,CLS0108,SEM03,2019-09-16,True,0,19.0,5.0
ASN0109,CLS0109,SEM03,2019-09-18,True,0,12.0,5.0
ASN0110,CLS0110,SEM03,2019-09-20,True,0,15.0,0.0
ASN0111,CLS0111,SEM03,2019-09-23,False,0,,
ASN0112,CLS0112,SEM03,2019-09-25,False,2,,
ASN0113,CLS0113,SEM03,2019-09-27,False,4,,
ASN0114,CLS0114,SEM03,2019-09-30,True,0,13.0,3.0
ASN0115,CLS0115,SEM03,2019-10-02,False,0,,
ASN0116,CLS0116,SEM03,2019-10-04,True,0,9.0,5.0
ASN0117,CLS0117,SEM03,2019-10-07,True,0,15.0,2.0
ASN0118,CLS0118,SEM03,2019-10-09,True,0,8.0,5.0
ASN0119,CLS0119,SEM03,2019-10-11,True,0,12.0,3.0
ASN0120,CLS0120,SEM03,2019-10-14,True,0,13.0,0.0
ASN0121,CLS0121,SEM03,2019-10-16,True,0,13.0,0.0
ASN0122,CLS0122,SEM03,2019-10-18,False,0,,
ASN0123,CLS0123,SEM03,2019-10-21,False,3,,
ASN0124,CLS0124,SEM03,2019-10-23,False,5,,
ASN0125,CLS0125,SEM03,2019-10-25,True,0,19.0,3.0
ASN0126,CLS0126,SEM03,2019-10-28,False,0,,
ASN0127,CLS0127,SEM03,2019-10-30,False,2,,
ASN0128,CLS0128,SEM03,2019-11-01,True,0,13.0,2.0
ASN0129,CLS0129,SEM03,2019-11-04,True,0,18.0,0.0
ASN0130,CLS0130,SEM03,2019-11-06,True,0,14.0,0.0
ASN0131,CLS0131,SEM03,2019-11-08,True,0,18.0,2.0
ASN0132,CLS0132,SEM03,2019-11-11,False,0,,
ASN0133,CLS0133,SEM03,2019-11-13,True,0,15.0,1.0
ASN0134,CLS0134,SEM03,2019-11-15,False,0,,
ASN0135,CLS0135,SEM03,2019-11-18,False,3,,
ASN0136,CLS0136,SEM03,2019-11-20,False,5,,
ASN0137,CLS0137,SEM03,2019-11-22,True,0,11.0,0.0
ASN0138,CLS0138,SEM03,2019-11-25,False,0,,
ASN0139,CLS0139,SEM03,2019-11-27,False,2,,
ASN0140,CLS0140,SEM03,2019-11-29,False,4,,
ASN0141,CLS0141,SEM03,2019-12-02,False,7,,
ASN0142,CLS0142,SEM03,2019-12-04,True,0,9.0,0.0
ASN0143,CLS0143,SEM03,2019-12-06,False,0,,
ASN0144,CLS0144,SEM03,2019-12-09,True,0,22.0,5.0
ASN0145,CLS0145,SEM03,2019-12-11,True,0,10.0,0.0
ASN0146,CLS0146,SEM03,2019-12-13,False,0,,
ASN0147,CLS0147,SEM04,2020-01-15,True,0,12.0,4.0
ASN0148,CLS0148,SEM04,2020-01-17,False,0,,
ASN0149,CLS0149,SEM04,2020-01-20,True,0,18.0,0.0
ASN0150,CLS0150,SEM04,2020-01-22,False,0,,
ASN0151,CLS0151,SEM04,2020-01-24,True,0,14.0,3.0
ASN0152,CLS0152,SEM04,2020-01-27,True,0,20.0,3.0
ASN0153,CLS0153,SEM04,2020-01-29,True,0,17.0,5.0
ASN0154,CLS0154,SEM04,2020-01-31,False,0,,
ASN0155,CLS0155,SEM04,2020-02-03,True,0,15.0,3.0
ASN0156,CLS0156,SEM04,2020-02-05,False,0,,
ASN0157,CLS0157,SEM04,2020-02-07,False,2,,
ASN0158,CLS0158,SEM04,2020-02-10,True,0,18.0,0.0
ASN0159,CLS0159,SEM04,2020-02-12,True,0,13.0,4.0
ASN0160,CLS0160,SEM04,2020-02-14,True,0,9.0,0.0
ASN0161,CLS0161,SEM04,2020-02-17,False,0,,
ASN0162,CLS0162,SEM04,2020-02-19,True,0,20.0,1.0
ASN0163,CLS0163,SEM04,2020-02-21,False,0,,
ASN0164,CLS0164,SEM04,2020-02-24,True,0,16.0,2.0
ASN0165,CLS0165,SEM04,2020-02-26,True,0,15.0,5.0
ASN0166,CLS0166,SEM04,2020-02-28,False,0,,
ASN0167,CLS0167,SEM04,2020-03-02,True,0,10.0,0.0
ASN0168,CLS0168,SEM04,2020-03-04,True,0,12.0,4.0
ASN0169,CLS0169,SEM04,2020-03-06,True,0,18.0,2.0
ASN0170,CLS0170,SEM04,2020-03-09,True,0,22.0,4.0
ASN0171,CLS0171,SEM04,2020-03-11,False,0,,
ASN0172,CLS0172,SEM04,2020-03-13,True,0,12.0,4.0
ASN0173,CLS0173,SEM04,2020-03-16,True,0,13.0,0.0
ASN0174,CLS0174,SEM04,2020-03-18,True,0,18.0,5.0
ASN0175,CLS0175,SEM04,2020-03-20,True,0,11.0,4.0
ASN0176,CLS0176,SEM04,2020-03-23,False,0,,
ASN0177,CLS0177,SEM04,2020-03-25,False,2,,
ASN0178,CLS0178,SEM04,2020-03-27,True,0,13.0,1.0
ASN0179,CLS0179,SEM04,2020-03-30,False,0,,
ASN0180,CLS0180,SEM04,2020-04-01,False,2,,
ASN0181,CLS0181,SEM04,2020-04-03,True,0,9.0,2.0
ASN0182,CLS0182,SEM04,2020-04-06,True,0,15.0,5.0
ASN0183,CLS0183,SEM04,2020-04-08,False,0,,
ASN0184,CLS0184,SEM04,2020-04-10,True,0,19.0,2.0
ASN0185,CLS0185,SEM04,2020-04-13,False,0,,
ASN0186,CLS0186,SEM04,2020-04-15,False,2,,
ASN0187,CLS0187,SEM04,2020-04-17,True,0,12.0,3.0
ASN0188,CLS0188,SEM04,2020-04-20,True,0,9.0,3.0
ASN0189,CLS0189,SEM04,2020-04-22,False,0,,
ASN0190,CLS0190,SEM04,2020-04-24,False,2,,
ASN0191,CLS0191,SEM04,2020-04-27,True,0,22.0,0.0
ASN0192,CLS0192,SEM04,2020-04-29,False,0,,
ASN0193,CLS0193,SEM04,2020-05-01,False,2,,
ASN0194,CLS0194,SEM04,2020-05-04,True,0,11.0,1.0
ASN0195,CLS0195,SEM04,2020-05-06,True,0,20.0,2.0
ASN0196,CLS0196,SEM04,2020-05-08,False,0,,
ASN0197,CLS0197,SEM05,2020-08-26,True,0,14.0,1.0
ASN0198,CLS0198,SEM05,2020-08-28,False,0,,
ASN0199,CLS0199,SEM05,2020-08-31,True,0,8.0,0.0
ASN0200,CLS0200,SEM05,2020-09-02,True,0,16.0,0.0
ASN0201,CLS0201,SEM05,2020-09-04,True,0,15.0,1.0
ASN0202,CLS0202,SEM05,2020-09-07,False,0,,
ASN0203,CLS0203,SEM05,2020-09-09,False,2,,
ASN0204,CLS0204,SEM05,2020-09-11,True,0,8.0,1.0
ASN0205,CLS0205,SEM05,2020-09-14,True,0,10.0,1.0
ASN0206,CLS0206,SEM05,2020-09-16,False,0,,
ASN0207,CLS0207,SEM05,2020-09-18,False,2,,
ASN0208,CLS0208,SEM05,2020-09-21,True,0,16.0,1.0
ASN0209,CLS0209,SEM05,2020-09-23,True,0,8.0,1.0
ASN0210,CLS0210,SEM05,2020-09-25,False,0,,
ASN0211,CLS0211,SEM05,2020-09-28,False,3,,
ASN0212,CLS0212,SEM05,2020-09-30,True,0,18.0,1.0
ASN0213,CLS0213,SEM05,2020-10-02,True,0,20.0,0.0
ASN0214,CLS0214,SEM05,2020-10-05,True,0,11.0,2.0
ASN0215,CLS0215,SEM05,2020-10-07,True,0,13.0,2.0
ASN0216,CLS0216,SEM05,2020-10-09,False,0,,
ASN0217,CLS0217,SEM05,2020-10-12,False,3,,
ASN0218,CLS0218,SEM05,2020-10-14,False,5,,
ASN0219,CLS0219,SEM05,2020-10-16,False,7,,
ASN0220,CLS0220,SEM05,2020-10-19,False,10,,
ASN0221,CLS0221,SEM05,2020-10-21,False,12,,
ASN0222,CLS0222,SEM05,2020-10-23,True,0,10.0,1.0
ASN0223,CLS0223,SEM05,2020-10-26,False,0,,
ASN0224,CLS0224,SEM05,2020-10-28,True,0,14.0,5.0
ASN0225,CLS0225,SEM05,2020-10-30,True,0,17.0,3.0
ASN0226,CLS0226,SEM05,2020-11-02,False,0,,
ASN0227,CLS0227,SEM05,2020-11-04,True,0,8.0,4.0
ASN0228,CLS0228,SEM05,2020-11-06,False,0,,
ASN0229,CLS0229,SEM05,2020-11-09,False,3,,
ASN0230,CLS0230,SEM05,2020-11-11,True,0,10.0,2.0
ASN0231,CLS0231,SEM05,2020-11-13,True,0,18.0,2.0
ASN0232,CLS0232,SEM05,2020-11-16,False,0,,
ASN0233,CLS0233,SEM05,2020-11-18,False,2,,
ASN0234,CLS0234,SEM05,2020-11-20,False,4,,
ASN0235,CLS0235,SEM05,2020-11-23,False,7,,
ASN0236,CLS0236,SEM05,2020-11-25,True,0,9.0,3.0
ASN0237,CLS0237,SEM05,2020-11-27,False,0,,
ASN0238,CLS0238,SEM05,2020-11-30,False,3,,
ASN0239,CLS0239,SEM05,2020-12-02,True,0,14.0,5.0
ASN0240,CLS0240,SEM05,2020-12-04,False,0,,
ASN0241,CLS0241,SEM05,2020-12-07,True,0,16.0,3.0
ASN0242,CLS0242,SEM05,2020-12-09,True,0,19.0,2.0
ASN0243,CLS0243,SEM05,2020-12-11,False,0,,
ASN0244,CLS0244,SEM05,2020-12-14,True,0,15.0,3.0
ASN0245,CLS0245,SEM06,2021-01-15,True,0,14.0,5.0
ASN0246,CLS0246,SEM06,2021-01-18,False,0,,
ASN0247,CLS0247,SEM06,2021-01-20,False,2,,
ASN0248,CLS0248,SEM06,2021-01-22,True,0,11.0,1.0
ASN0249,CLS0249,SEM06,2021-01-25,False,0,,
ASN0250,CLS0250,SEM06,2021-01-27,True,0,11.0,2.0
ASN0251,CLS0251,SEM06,2021-01-29,True,0,14.0,4.0
ASN0252,CLS0252,SEM06,2021-02-01,True,0,21.0,2.0
ASN0253,CLS0253,SEM06,2021-02-03,True,0,9.0,1.0
ASN0254,CLS0254,SEM06,2021-02-05,False,0,,
ASN0255,CLS0255,SEM06,2021-02-08,True,0,16.0,2.0
ASN0256,CLS0256,SEM06,2021-02-10,True,0,8.0,3.0
ASN0257,CLS0257,SEM06,2021-02-12,False,0,,
ASN0258,CLS0258,SEM06,2021-02-15,True,0,15.0,3.0
ASN0259,CLS0259,SEM06,2021-02-17,True,0,13.0,3.0
ASN0260,CLS0260,SEM06,2021-02-19,True,0,14.0,0.0
ASN0261,CLS0261,SEM06,2021-02-22,True,0,11.0,2.0
ASN0262,CLS0262,SEM06,2021-02-24,False,0,,
ASN0263,CLS0263,SEM06,2021-02-26,True,0,9.0,2.0
ASN0264,CLS0264,SEM06,2021-03-01,False,0,,
ASN0265,CLS0265,SEM06,2021-03-03,False,2,,
ASN0266,CLS0266,SEM06,2021-03-05,False,4,,
ASN0267,CLS0267,SEM06,2021-03-08,False,7,,
ASN0268,CLS0268,SEM06,2021-03-10,False,9,,
ASN0269,CLS0269,SEM06,2021-03-12,True,0,9.0,2.0
ASN0270,CLS0270,SEM06,2021-03-15,True,0,11.0,2.0
ASN0271,CLS0271,SEM06,2021-03-17,True,0,13.0,2.0
ASN0272,CLS0272,SEM06,2021-03-19,True,0,21.0,5.0
ASN0273,CLS0273,SEM06,2021-03-22,False,0,,
ASN0274,CLS0274,SEM06,2021-03-24,True,0,17.0,1.0
ASN0275,CLS0275,SEM06,2021-03-26,False,0,,
ASN0276,CLS0276,SEM06,2021-03-29,False,3,,
ASN0277,CLS0277,SEM06,2021-03-31,False,5,,
ASN0278,CLS0278,SEM06,2021-04-02,False,7,,
ASN0279,CLS0279,SEM06,2021-04-05,True,0,12.0,2.0
ASN0280,CLS0280,SEM06,2021-04-07,False,0,,
ASN0281,CLS0281,SEM06,2021-04-09,False,2,,
ASN0282,CLS0282,SEM06,2021-04-12,True,0,14.0,4.0
ASN0283,CLS0283,SEM06,2021-04-14,False,0,,
ASN0284,CLS0284,SEM06,2021-04-16,True,0,18.0,4.0
ASN0285,CLS0285,SEM06,2021-04-19,False,0,,
ASN0286,CLS0286,SEM06,2021-04-21,False,2,,
ASN0287,CLS0287,SEM06,2021-04-23,False,4,,
ASN0288,CLS0288,SEM06,2021-04-26,True,0,19.0,5.0
ASN0289,CLS0289,SEM06,2021-04-28,True,0,11.0,4.0
ASN0290,CLS0290,SEM06,2021-04-30,False,0,,
ASN0291,CLS0291,SEM06,2021-05-03,False,3,,
ASN0292,CLS0292,SEM06,2021-05-05,False,5,,
ASN0293,CLS0293,SEM06,2021-05-07,False,7,,
ASN0294,CLS0294,SEM06,2021-05-10,True,0,9.0,2.0
ASN0295,CLS0295,SEM07,2021-08-25,False,0,,
ASN0296,CLS0296,SEM07,2021-08-27,False,2,,
ASN0297,CLS0297,SEM07,2021-08-30,False,5,,
ASN0298,CLS0298,SEM07,2021-09-01,False,7,,
ASN0299,CLS0299,SEM07,2021-09-03,False,9,,
ASN0300,CLS0300,SEM07,2021-09-06,False,12,,
ASN0301,CLS0301,SEM07,2021-09-08,True,0,10.0,4.0
ASN0302,CLS0302,SEM07,2021-09-10,False,0,,
ASN0303,CLS0303,SEM07,2021-09-13,True,0,19.0,0.0
ASN0304,CLS0304,SEM07,2021-09-15,False,0,,
ASN0305,CLS0305,SEM07,2021-09-17,False,2,,
ASN0306,CLS0306,SEM07,2021-09-20,True,0,11.0,3.0
ASN0307,CLS0307,SEM07,2021-09-22,False,0,,
ASN0308,CLS0308,SEM07,2021-09-24,False,2,,
ASN0309,CLS0309,SEM07,2021-09-27,False,5,,
ASN0310,CLS0310,SEM07,2021-09-29,False,7,,
ASN0311,CLS0311,SEM07,2021-10-01,True,0,17.0,0.0
ASN0312,CLS0312,SEM07,2021-10-04,False,0,,
ASN0313,CLS0313,SEM07,2021-10-06,True,0,10.0,1.0
ASN0314,CLS0314,SEM07,2021-10-08,False,0,,
ASN0315,CLS0315,SEM07,2021-10-11,False,3,,
ASN0316,CLS0316,SEM07,2021-10-13,False,5,,
ASN0317,CLS0317,SEM07,2021-10-15,False,7,,
ASN0318,CLS0318,SEM07,2021-10-18,False,10,,
ASN0319,CLS0319,SEM07,2021-10-20,False,12,,
ASN0320,CLS0320,SEM07,2021-10-22,False,14,,
ASN0321,CLS0321,SEM07,2021-10-25,False,17,,
ASN0322,CLS0322,SEM07,2021-10-27,False,19,,
ASN0323,CLS0323,SEM07,2021-10-29,False,21,,
ASN0324,CLS0324,SEM07,2021-11-01,False,24,,
ASN0325,CLS0325,SEM07,2021-11-03,False,26,,
ASN0326,CLS0326,SEM07,2021-11-05,False,28,,
ASN0327,CLS0327,SEM07,2021-11-08,False,31,,
ASN0328,CLS0328,SEM07,2021-11-10,False,33,,
ASN0329,CLS0329,SEM07,2021-11-12,False,35,,
ASN0330,CLS0330,SEM07,2021-11-15,True,0,18.0,4.0
ASN0331,CLS0331,SEM07,2021-11-17,True,0,21.0,5.0
ASN0332,CLS0332,SEM07,2021-11-19,False,0,,
ASN0333,CLS0333,SEM07,2021-11-22,True,0,11.0,0.0
ASN0334,CLS0334,SEM07,2021-11-24,False,0,,
ASN0335,CLS0335,SEM07,2021-11-26,False,2,,
ASN0336,CLS0336,SEM07,2021-11-29,False,5,,
ASN0337,CLS0337,SEM07,2021-12-01,False,7,,
ASN0338,CLS0338,SEM07,2021-12-03,False,9,,
ASN0339,CLS0339,SEM07,2021-12-06,False,12,,
ASN0340,CLS0340,SEM07,2021-12-08,False,14,,
ASN0341,CLS0341,SEM07,2021-12-10,True,0,13.0,3.0
ASN0342,CLS0342,SEM07,2021-12-13,False,0,,
ASN0343,CLS0343,SEM07,2021-12-15,False,2,,
ASN0344,CLS0344,SEM08,2022-01-17,True,0,14.0,3.0
ASN0345,CLS0345,SEM08,2022-01-19,False,0,,
ASN0346,CLS0346,SEM08,2022-01-21,False,2,,
ASN0347,CLS0347,SEM08,2022-01-24,False,5,,
ASN0348,CLS0348,SEM08,2022-01-26,True,0,21.0,1.0
ASN0349,CLS0349,SEM08,2022-01-28,True,0,21.0,5.0
ASN0350,CLS0350,SEM08,2022-01-31,False,0,,
ASN0351,CLS0351,SEM08,2022-02-02,True,0,17.0,2.0
ASN0352,CLS0352,SEM08,2022-02-04,False,0,,
ASN0353,CLS0353,SEM08,2022-02-07,False,3,,
ASN0354,CLS0354,SEM08,2022-02-09,False,5,,
ASN0355,CLS0355,SEM08,2022-02-11,True,0,8.0,1.0
ASN0356,CLS0356,SEM08,2022-02-14,False,0,,
ASN0357,CLS0357,SEM08,2022-02-16,False,2,,
ASN0358,CLS0358,SEM08,2022-02-18,False,4,,
ASN0359,CLS0359,SEM08,2022-02-21,True,0,13.0,4.0
ASN0360,CLS0360,SEM08,2022-02-23,False,0,,
ASN0361,CLS0361,SEM08,2022-02-25,False,2,,
ASN0362,CLS0362,SEM08,2022-02-28,False,5,,
ASN0363,CLS0363,SEM08,2022-03-02,False,7,,
ASN0364,CLS0364,SEM08,2022-03-04,True,0,22.0,3.0
ASN0365,CLS0365,SEM08,2022-03-07,True,0,21.0,5.0
ASN0366,CLS0366,SEM08,2022-03-09,False,0,,
ASN0367,CLS0367,SEM08,2022-03-11,False,2,,
ASN0368,CLS0368,SEM08,2022-03-14,False,5,,
ASN0369,CLS0369,SEM08,2022-03-16,False,7,,
ASN0370,CLS0370,SEM08,2022-03-18,False,9,,
ASN0371,CLS0371,SEM08,2022-03-21,True,0,17.0,5.0
ASN0372,CLS0372,SEM08,2022-03-23,False,0,,
ASN0373,CLS0373,SEM08,2022-03-25,False,2,,
ASN0374,CLS0374,SEM08,2022-03-28,False,5,,
ASN0375,CLS0375,SEM08,2022-03-30,False,7,,
ASN0376,CLS0376,SEM08,2022-04-01,True,0,19.0,0.0
ASN0377,CLS0377,SEM08,2022-04-04,True,0,21.0,1.0
ASN0378,CLS0378,SEM08,2022-04-06,True,0,18.0,4.0
ASN0379,CLS0379,SEM08,2022-04-08,True,0,22.0,0.0
ASN0380,CLS0380,SEM08,2022-04-11,False,0,,
ASN0381,CLS0381,SEM08,2022-04-13,False,2,,
ASN0382,CLS0382,SEM08,2022-04-15,True,0,15.0,3.0
ASN0383,CLS0383,SEM08,2022-04-18,False,0,,
ASN0384,CLS0384,SEM08,2022-04-20,False,2,,
ASN0385,CLS0385,SEM08,2022-04-22,False,4,,
ASN0386,CLS0386,SEM08,2022-04-25,True,0,9.0,4.0
ASN0387,CLS0387,SEM08,2022-04-27,False,0,,
ASN0388,CLS0388,SEM08,2022-04-29,True,0,15.0,1.0
ASN0389,CLS0389,SEM08,2022-05-02,True,0,16.0,0.0
ASN0390,CLS0390,SEM08,2022-05-04,False,0,,
ASN0391,CLS0391,SEM08,2022-05-06,True,0,19.0,5.0
ASN0392,CLS0392,SEM08,2022-05-09,False,0,,
