trajectory_id,trajectory_name,origin_form_id,origin_form_name,destination_form_id,destination_form_name,origin_basin_id,destination_basin_id,trajectory_type,total_distance,geodesic_distance,efficiency,duration_days,waypoint_count,waypoint_ids,basin_crossings,ridge_crossings,directness,confidence_at_origin,arrival_accuracy,outcome,entity_type,entity_id,first_documented,documenter,documentation_method,confidence,notes
NT-0029,Journey 608,,,MS-0060,Form 0060,,BA-023,developmental,1.2465,0.6655,0.534,168,0,,1,1,0.579,0.8,0.191,adjacent_arrival,structure,EN-375,927,Boundary Commission,form_tracking,0.931,Efficiency: 0.53 of geodesic optimum.
NT-0030,Third Form 0049 Approach,MS-0040,Form 0040,MS-0049,Form 0049,BA-027,BA-045,learned,1.633,0.9325,0.571,181,0,,4,4,0.534,0.658,0.1521,adjacent_arrival,phenomenon,,927,C. Vells,experimental_induction,0.911,Trajectory documented over 181 days.
NT-0031,Northern Form 0018 Approach,MS-0016,Form 0016,MS-0018,Form 0018,BA-034,BA-025,regenerative,2.2629,1.4218,0.628,245,1,MS-0063,4,1,0.618,0.581,0.158,partial_arrival,creature,EN-391,922,T. Vells,retrospective_inference,0.988,4 basin boundaries crossed during navigation.
NT-0032,Rapid Form 0031 Approach,MS-0017,Form 0017,MS-0031,Form 0031,BA-023,BA-008,exploratory,1.8908,1.0011,0.529,208,1,MS-0091,3,3,0.62,0.331,0.0841,ongoing,creature,,920,C. Vells,experimental_induction,0.625,3 basin boundaries crossed during navigation.
NT-0033,Primary Form 0081 Approach,MS-0044,Form 0044,MS-0081,Form 0081,BA-006,BA-025,learned,0.6415,0.5004,0.78,75,0,,2,3,0.839,0.366,0.2236,adjacent_arrival,phenomenon,EN-333,927,Archive Survey Team,retrospective_inference,0.605,Trajectory documented over 75 days.
NT-0034,Path to The Tension,MS-0045,Form 0045,MS-0004,The Tension,BA-003,BA-003,developmental,0.0136,0.01,0.738,23,0,,0,0,0.603,0.8,0.0,successful_arrival,collective,,926,R. Voss,form_tracking,0.618,0 basin boundaries crossed during navigation.
NT-0035,Path to Form 0019,MS-0013,Form 0013,MS-0019,Form 0019,BA-032,BA-012,developmental,1.554,1.0707,0.689,146,1,MS-0036,2,3,0.678,0.8,0.1184,adjacent_arrival,creature,,928,Boundary Commission,form_tracking,0.529,
NT-0036,Direct Descent to BA-009,,,MS-0077,Form 0077,,BA-009,developmental,1.2071,1.1607,0.962,164,1,MS-0059,2,2,1.0,0.8,0.0,successful_arrival,collective,,918,Western Archive Team,experimental_induction,0.864,Trajectory documented over 164 days.
NT-0037,Efficient Form 0097 Approach,MS-0051,Form 0051,MS-0097,Form 0097,BA-030,BA-025,developmental,1.861,1.4418,0.775,189,1,MS-0001,1,2,0.918,0.8,0.0,successful_arrival,collective,,928,C. Vells,form_tracking,0.748,Efficiency: 0.77 of geodesic optimum.
NT-0038,Path to Form 0050,MS-0019,Form 0019,MS-0050,Form 0050,BA-012,BA-030,developmental,0.9075,0.9073,1.0,113,3,"MS-0045,MS-0040,MS-0056",3,4,0.976,0.8,0.0,successful_arrival,structure,EN-040,924,R. Voss,retrospective_inference,0.886,3 basin boundaries crossed during navigation.
NT-0039,Form 0072 Trajectory 17,MS-0013,Form 0013,MS-0072,Form 0072,BA-032,BA-038,developmental,1.3422,0.9631,0.718,136,6,"MS-0076,MS-0089,MS-0025,MS-0002,MS-0047,MS-0084",2,2,0.691,0.8,0.0,successful_arrival,creature,EN-285,922,C. Vells,direct_observation,0.603,
NT-0040,Form 0053 Trajectory 51,MS-0046,Form 0046,MS-0053,Form 0053,BA-039,BA-024,developmental,1.2679,1.1438,0.902,107,3,"MS-0015,MS-0031,MS-0039",1,0,0.739,0.8,0.0,successful_arrival,creature,,923,Western Archive Team,experimental_induction,0.635,Observed by Western Archive Team in Year 923.
NT-0041,Journey 284,,,MS-0043,Form 0043,,BA-010,developmental,0.3045,0.2565,0.842,69,1,MS-0055,1,1,0.79,0.8,0.0,successful_arrival,structure,EN-142,929,Archive Survey Team,experimental_induction,0.7,Observed by Archive Survey Team in Year 929.
NT-0042,Journey 764,MS-0070,Form 0070,MS-0001,The Quintic Cycle,BA-033,BA-001,forced,2.2506,1.3304,0.591,246,0,,1,0,0.562,0.368,0.4825,partial_arrival,creature,EN-148,919,Archive Survey Team,retrospective_inference,0.519,
NT-0043,Path to The Tension,MS-0024,Form 0024,MS-0004,The Tension,BA-001,BA-003,learned,0.2462,0.2258,0.917,31,4,"MS-0070,MS-0047,MS-0088,MS-0077",1,2,1.0,0.24,0.0,successful_arrival,behavior_pattern,,926,R. Voss,direct_observation,0.77,System showed learned navigation pattern.
NT-0044,Path to Form 0085,MS-0096,Form 0096,MS-0085,Form 0085,BA-038,BA-014,developmental,2.2767,1.612,0.708,231,3,"MS-0074,MS-0050,MS-0092",1,2,0.822,0.8,0.0,successful_arrival,creature,EN-089,922,Western Archive Team,form_tracking,0.953,System showed developmental navigation pattern.
NT-0045,Path to Form 0060,MS-0017,Form 0017,MS-0060,Form 0060,BA-023,BA-023,exploratory,0.0147,0.01,0.679,1,8,"MS-0044,MS-0060,MS-0028,MS-0009,MS-0096,MS-0011,MS-0014,MS-0076",0,1,0.749,0.322,0.2953,adjacent_arrival,creature,,921,Archive Survey Team,form_tracking,0.602,Efficiency: 0.68 of geodesic optimum.
NT-0046,Path to Form 0052,MS-0059,Form 0059,MS-0052,Form 0052,BA-038,BA-019,developmental,0.6048,0.6022,0.996,84,5,"MS-0099,MS-0034,MS-0040,MS-0013,MS-0059",1,0,0.901,0.8,0.0,successful_arrival,structure,,925,Western Archive Team,direct_observation,0.513,1 basin boundaries crossed during navigation.
NT-0047,Third Descent to BA-016,MS-0032,Form 0032,MS-0068,Form 0068,BA-038,BA-016,exploratory,1.1948,0.9123,0.764,164,1,MS-0004,2,3,0.812,0.683,0.0,successful_arrival,creature,EN-070,928,R. Voss,direct_observation,0.511,Observed by R. Voss in Year 928.
NT-0048,Turbulent Descent to BA-003,MS-0017,Form 0017,MS-0064,Form 0064,BA-023,BA-003,developmental,0.5832,0.5435,0.932,87,3,"MS-0015,MS-0076,MS-0005",1,0,0.968,0.8,0.0,successful_arrival,creature,EN-099,921,T. Vells,experimental_induction,0.835,Trajectory documented over 87 days.
NT-0049,Path to Form 0008,MS-0092,Form 0092,MS-0008,Form 0008,BA-002,BA-036,developmental,1.0158,0.9507,0.936,118,1,MS-0037,4,2,0.932,0.8,0.0,successful_arrival,structure,,921,Archive Survey Team,direct_observation,0.727,Efficiency: 0.94 of geodesic optimum.
NT-0050,Southern Form 0068 Approach,MS-0045,Form 0045,MS-0068,Form 0068,BA-003,BA-016,forced,1.7425,0.9135,0.524,192,0,,4,2,0.597,0.266,0.3399,adjacent_arrival,phenomenon,,928,Archive Survey Team,direct_observation,0.835,Trajectory documented over 192 days.
NT-0051,Path to Form 0080,MS-0093,Form 0093,MS-0080,Form 0080,BA-007,BA-040,developmental,1.4112,0.6024,0.427,153,3,"MS-0074,MS-0079,MS-0047",1,0,0.401,0.8,0.1402,ongoing,phenomenon,,918,Archive Survey Team,direct_observation,0.644,Trajectory documented over 153 days.
NT-0052,Rapid Form 0084 Approach,MS-0084,Form 0084,MS-0084,Form 0084,BA-040,BA-040,developmental,0.0108,0.01,0.926,1,4,"MS-0055,MS-0099,MS-0028,MS-0094",0,0,1.0,0.8,0.0,successful_arrival,behavior_pattern,EN-479,925,K. Strand,direct_observation,0.654,Passed through 4 intermediate forms.
NT-0053,Form 0051 Trajectory 82,MS-0024,Form 0024,MS-0051,Form 0051,BA-001,BA-030,exploratory,3.0,1.6852,0.354,306,7,"MS-0002,MS-0060,MS-0034,MS-0004,MS-0010,MS-0038,MS-0039",2,2,0.333,0.455,0.45,trapped,behavior_pattern,,930,Archive Survey Team,direct_observation,0.773,2 basin boundaries crossed during navigation.
NT-0054,Form 0059 Trajectory 86,MS-0044,Form 0044,MS-0059,Form 0059,BA-006,BA-038,developmental,1.0886,1.0852,0.997,155,4,"MS-0021,MS-0035,MS-0088,MS-0004",1,1,0.805,0.8,0.0,successful_arrival,phenomenon,EN-337,931,C. Vells,experimental_induction,0.718,Observed by C. Vells in Year 931.
NT-0055,Winding Form 0095 Approach,MS-0055,Form 0055,MS-0095,Form 0095,BA-026,BA-050,exploratory,1.0493,1.0327,0.984,95,3,"MS-0020,MS-0010,MS-0054",3,3,0.982,0.254,0.0,successful_arrival,creature,EN-088,926,Boundary Commission,retrospective_inference,0.798,Observed by Boundary Commission in Year 926.
NT-0056,Rapid Descent to BA-050,MS-0014,Form 0014,MS-0095,Form 0095,BA-014,BA-050,forced,0.7192,0.6119,0.851,102,3,"MS-0020,MS-0045,MS-0025",2,0,0.925,0.333,0.0,successful_arrival,collective,,924,T. Vells,direct_observation,0.6,2 basin boundaries crossed during navigation.
NT-0057,Path to Form 0013,MS-0011,Form 0011,MS-0013,Form 0013,BA-002,BA-032,developmental,0.8167,0.6978,0.854,128,2,"MS-0098,MS-0094",2,3,0.696,0.8,0.0,successful_arrival,collective,EN-409,931,R. Voss,retrospective_inference,0.788,Observed by R. Voss in Year 931.
NT-0058,Primary Descent to BA-042,MS-0074,Form 0074,MS-0079,Form 0079,BA-004,BA-042,developmental,1.3536,1.2843,0.949,181,0,,2,2,1.0,0.8,0.0,successful_arrival,creature,,918,T. Vells,direct_observation,0.777,2 basin boundaries crossed during navigation.
NT-0059,Journey 454,MS-0065,Form 0065,MS-0038,Form 0038,BA-034,BA-046,developmental,1.7195,1.6949,0.986,220,1,MS-0092,4,1,0.809,0.8,0.0,successful_arrival,behavior_pattern,,924,Archive Survey Team,form_tracking,0.946,Observed by Archive Survey Team in Year 924.
NT-0060,Eastern Descent to BA-025,MS-0059,Form 0059,MS-0081,Form 0081,BA-038,BA-025,developmental,2.0468,0.9062,0.443,223,0,,2,1,0.456,0.8,0.283,partial_arrival,creature,,930,C. Vells,direct_observation,0.793,Observed by C. Vells in Year 930.
NT-0061,Northern Descent to BA-034,MS-0059,Form 0059,MS-0016,Form 0016,BA-038,BA-034,forced,3.0,1.8914,0.162,321,7,"MS-0003,MS-0020,MS-0083,MS-0096,MS-0097,MS-0026,MS-0041",1,2,0.191,0.321,0.1146,dissolved,creature,,919,Boundary Commission,retrospective_inference,0.569,Efficiency: 0.16 of geodesic optimum.
NT-0062,Path to The Quintic Cycle,MS-0062,Form 0062,MS-0001,The Quintic Cycle,BA-022,BA-001,developmental,1.2771,0.9703,0.76,141,0,,2,2,0.898,0.8,0.0,successful_arrival,behavior_pattern,,925,R. Voss,direct_observation,0.528,Efficiency: 0.76 of geodesic optimum.
NT-0063,Winding Form 0018 Approach,MS-0028,Form 0028,MS-0018,Form 0018,BA-038,BA-025,developmental,0.9166,0.9062,0.989,125,4,"MS-0070,MS-0092,MS-0083,MS-0076",1,1,1.0,0.8,0.0,successful_arrival,collective,,931,Western Archive Team,direct_observation,0.778,Trajectory documented over 125 days.
NT-0064,Smooth Form 0018 Approach,MS-0047,Form 0047,MS-0018,Form 0018,BA-027,BA-025,developmental,1.379,1.1377,0.825,182,6,"MS-0038,MS-0034,MS-0073,MS-0052,MS-0027,MS-0039",3,1,0.88,0.8,0.0,successful_arrival,creature,EN-489,932,Archive Survey Team,experimental_induction,0.563,Passed through 6 intermediate forms.
NT-0065,Journey 250,,,MS-0043,Form 0043,,BA-010,developmental,0.9617,0.9528,0.991,137,2,"MS-0087,MS-0013",4,3,1.0,0.8,0.0,successful_arrival,creature,EN-206,925,Boundary Commission,direct_observation,0.769,
NT-0066,Circuitous Form 0099 Approach,MS-0038,Form 0038,MS-0099,Form 0099,BA-046,BA-010,regenerative,1.5589,1.4565,0.934,169,1,MS-0057,3,4,0.92,0.593,0.0,successful_arrival,creature,,929,Western Archive Team,experimental_induction,0.699,3 basin boundaries crossed during navigation.
NT-0067,Path to The Quintic Cycle,MS-0043,Form 0043,MS-0001,The Quintic Cycle,BA-010,BA-001,forced,2.3403,0.4815,0.206,260,2,"MS-0015,MS-0018",3,2,0.219,0.325,0.1263,lost,collective,,922,Boundary Commission,retrospective_inference,0.801,Passed through 2 intermediate forms.
NT-0068,Southern Form 0038 Approach,MS-0067,Form 0067,MS-0038,Form 0038,BA-046,BA-046,regenerative,0.0136,0.01,0.734,49,1,MS-0077,0,0,0.659,0.5,0.0,successful_arrival,creature,EN-417,932,R. Voss,experimental_induction,0.531,Observed by R. Voss in Year 932.
NT-0069,Path to The Septenary Rhythm,MS-0023,Form 0023,MS-0006,The Septenary Rhythm,BA-041,BA-006,instinctive,1.5854,1.3097,0.826,156,0,,1,0,0.796,0.8,0.0,successful_arrival,creature,,925,T. Vells,form_tracking,0.875,Passed through 0 intermediate forms.
NT-0070,Form 0011 Trajectory 13,MS-0082,Form 0082,MS-0011,Form 0011,BA-032,BA-002,regenerative,1.0207,0.6978,0.684,151,5,"MS-0029,MS-0097,MS-0033,MS-0080,MS-0061",4,2,0.78,0.691,0.1161,partial_arrival,structure,EN-034,929,C. Vells,form_tracking,0.785,Passed through 5 intermediate forms.
NT-0071,Path to Form 0042,MS-0017,Form 0017,MS-0042,Form 0042,BA-023,BA-032,exploratory,1.8212,1.527,0.838,162,3,"MS-0070,MS-0003,MS-0082",4,4,0.964,0.319,0.0,successful_arrival,collective,,921,T. Vells,direct_observation,0.751,Passed through 3 intermediate forms.
NT-0072,Path to Form 0087,MS-0097,Form 0097,MS-0087,Form 0087,BA-025,BA-004,developmental,1.4901,1.1067,0.743,131,2,"MS-0018,MS-0092",3,2,0.598,0.8,0.0,successful_arrival,creature,EN-058,920,T. Vells,retrospective_inference,0.584,Passed through 2 intermediate forms.
NT-0073,Form 0018 Trajectory 69,MS-0078,Form 0078,MS-0018,Form 0018,BA-022,BA-025,developmental,0.3595,0.3376,0.939,18,0,,1,2,1.0,0.8,0.0,successful_arrival,phenomenon,EN-056,924,C. Vells,direct_observation,0.916,Passed through 0 intermediate forms.
NT-0074,Path to The Tension,MS-0084,Form 0084,MS-0004,The Tension,BA-040,BA-003,regenerative,1.4382,0.9067,0.63,142,1,MS-0029,3,0,0.701,0.587,0.2393,adjacent_arrival,creature,,931,R. Voss,direct_observation,0.65,Observed by R. Voss in Year 931.
NT-0075,Secondary The Triad Form Approach,MS-0043,Form 0043,MS-0005,The Triad Form,BA-010,BA-004,forced,1.071,0.9445,0.882,112,2,"MS-0037,MS-0040",2,1,1.0,0.593,0.0,successful_arrival,structure,EN-479,929,Boundary Commission,form_tracking,0.901,2 basin boundaries crossed during navigation.
NT-0076,Western Descent to BA-009,,,MS-0077,Form 0077,,BA-009,developmental,0.6009,0.5249,0.874,51,2,"MS-0064,MS-0099",4,1,0.839,0.8,0.0,successful_arrival,behavior_pattern,EN-104,920,Western Archive Team,direct_observation,0.704,
NT-0077,Journey 522,MS-0082,Form 0082,MS-0037,Form 0037,BA-032,BA-005,regenerative,2.0632,1.6056,0.778,239,1,MS-0001,1,2,0.877,0.209,0.0,successful_arrival,creature,EN-108,926,Boundary Commission,form_tracking,0.868,
NT-0078,Form 0045 Trajectory 30,MS-0031,Form 0031,MS-0045,Form 0045,BA-008,BA-003,developmental,0.7859,0.5867,0.747,58,3,"MS-0059,MS-0082,MS-0051",2,0,0.802,0.8,0.0,successful_arrival,phenomenon,EN-318,932,R. Voss,form_tracking,0.984,Trajectory documented over 58 days.
NT-0079,Form 0080 Trajectory 71,MS-0040,Form 0040,MS-0080,Form 0080,BA-027,BA-040,developmental,1.718,1.6652,0.969,163,1,MS-0092,2,3,1.0,0.8,0.0,successful_arrival,structure,EN-488,919,Boundary Commission,form_tracking,0.719,Passed through 1 intermediate forms.
NT-0080,Form 0058 Trajectory 23,MS-0052,Form 0052,MS-0058,Form 0058,BA-019,BA-010,developmental,1.5099,1.1617,0.769,175,4,"MS-0098,MS-0087,MS-0028,MS-0012",2,1,0.896,0.8,0.0,successful_arrival,phenomenon,EN-083,919,Western Archive Team,direct_observation,0.696,Observed by Western Archive Team in Year 919.
NT-0081,Eastern Form 0011 Approach,MS-0052,Form 0052,MS-0011,Form 0011,BA-019,BA-002,regenerative,2.5826,1.3688,0.53,284,1,MS-0049,1,0,0.584,0.51,0.2081,adjacent_arrival,phenomenon,,922,R. Voss,direct_observation,0.738,Efficiency: 0.53 of geodesic optimum.
NT-0082,Winding Form 0038 Approach,MS-0087,Form 0087,MS-0038,Form 0038,BA-004,BA-046,instinctive,0.6808,0.5722,0.84,64,0,,3,2,0.727,0.8,0.0,successful_arrival,collective,,924,Boundary Commission,form_tracking,0.863,Passed through 0 intermediate forms.
NT-0083,Southern Descent to BA-038,MS-0034,Form 0034,MS-0056,Form 0056,BA-015,BA-038,developmental,1.2749,0.7263,0.57,122,4,"MS-0014,MS-0004,MS-0087,MS-0042",2,0,0.599,0.8,0.1723,partial_arrival,creature,,923,Boundary Commission,direct_observation,0.809,Observed by Boundary Commission in Year 923.
NT-0084,Journey 406,MS-0078,Form 0078,MS-0006,The Septenary Rhythm,BA-022,BA-006,instinctive,0.4918,0.3649,0.742,80,2,"MS-0099,MS-0088",1,0,0.713,0.8,0.3898,adjacent_arrival,creature,,932,R. Voss,direct_observation,0.596,Efficiency: 0.74 of geodesic optimum.
NT-0085,Path to The Quintic Cycle,MS-0063,Form 0063,MS-0001,The Quintic Cycle,BA-007,BA-001,exploratory,3.0,1.0336,0.147,283,1,MS-0080,2,2,0.129,0.427,0.151,lost,phenomenon,,925,K. Strand,form_tracking,0.562,Efficiency: 0.15 of geodesic optimum.
NT-0086,Journey 584,MS-0027,The Five-Body Form,MS-0030,Form 0030,BA-005,BA-032,regenerative,3.0,1.6056,0.508,317,4,"MS-0054,MS-0075,MS-0084,MS-0006",4,1,0.592,0.678,0.2144,adjacent_arrival,creature,,922,C. Vells,direct_observation,0.596,Efficiency: 0.51 of geodesic optimum.
NT-0087,Turbulent Descent to BA-023,MS-0013,Form 0013,MS-0017,Form 0017,BA-032,BA-023,developmental,1.7581,1.527,0.869,221,1,MS-0084,4,4,0.858,0.8,0.0,successful_arrival,structure,,931,Archive Survey Team,direct_observation,0.986,4 basin boundaries crossed during navigation.
NT-0088,Form 0046 Trajectory 97,MS-0045,Form 0045,MS-0046,Form 0046,BA-003,BA-039,exploratory,1.7466,1.3507,0.773,186,4,"MS-0087,MS-0038,MS-0002,MS-0068",1,0,0.651,0.342,0.0,successful_arrival,phenomenon,,926,K. Strand,form_tracking,0.563,System showed exploratory navigation pattern.
NT-0089,Journey 766,MS-0032,Form 0032,MS-0039,Form 0039,BA-038,BA-007,exploratory,1.867,1.3382,0.717,171,3,"MS-0004,MS-0025,MS-0072",1,2,0.855,0.7,0.0,successful_arrival,structure,EN-434,924,C. Vells,direct_observation,0.746,Passed through 3 intermediate forms.
NT-0090,Path to Form 0071,MS-0022,Form 0022,MS-0071,Form 0071,BA-005,BA-044,developmental,1.6479,1.5922,0.966,193,3,"MS-0091,MS-0080,MS-0011",4,2,0.973,0.8,0.0,successful_arrival,collective,,919,R. Voss,direct_observation,0.653,
NT-0091,Rapid Descent to BA-001,MS-0040,Form 0040,MS-0010,Form 0010,BA-027,BA-001,instinctive,3.0,1.3608,0.358,328,1,MS-0058,2,2,0.377,0.8,0.1338,trapped,structure,,925,R. Voss,retrospective_inference,0.962,Trajectory documented over 328 days.
