inheritance_id,source_type,source_id,source_pattern,recipient_type,recipient_id,recipient_prior_pattern,inheritance_mechanism,inheritance_year,inheritance_duration_days,inheritance_fidelity,pattern_modifications,dominant_features_preserved,dens_proximity_km,population_contact,prime_day_event,reinforcement_available,outcome,persistence_after_transfer,koss_documented,form_inheritance_ref,documenter,documentation_method,confidence,description,notes
MI-0011,collective,SRC-957,behavioral pattern,regenerating_tissue,RCP-422,,collective_memory,885,68,0.312,,False,180.1,True,False,False,conflict_transfer,unstable,False,,M. Tall,historical_reconstruction,0.73,Memory inheritance from collective to regenerating_tissue via collective_memory.,
MI-0012,experimental_transfer,,spatial configuration,offspring,RCP-139,,deliberate_transfer,883,153,0.778,partial_expression,True,99.4,False,False,True,partial_transfer,stable,True,,T. Vells,pattern_comparison,0.87,Memory inheritance from experimental_transfer to offspring via deliberate_transfer.,
MI-0013,dying_entity,SRC-828,spatial configuration,regenerating_tissue,RCP-240,,collective_memory,918,306,0.817,partial_expression,True,196.3,False,False,False,partial_transfer,stable,True,,Independent Observer,direct_observation,0.54,Memory inheritance from dying_entity to regenerating_tissue via collective_memory.,
MI-0014,ghost_pattern,,behavioral pattern,new_entity,RCP-513,,ghost_imprint,882,159,0.755,none,True,115.7,True,True,True,successful_transfer,stable,False,,Quarry Guild Records,direct_observation,0.8,Memory inheritance from ghost_pattern to new_entity via ghost_imprint.,
MI-0015,ghost_pattern,SRC-272,physical form,new_entity,RCP-682,,ghost_imprint,886,322,0.289,"behavioral_drift,form_stable",False,19.8,False,True,False,modified_transfer,unstable,False,,S. Moll,experimental_verification,0.6,Memory inheritance from ghost_pattern to new_entity via ghost_imprint.,
MI-0016,form_library,,operational knowledge,new_entity,,,proximity,895,30,0.304,,False,191.5,False,False,False,conflict_transfer,unstable,False,,Quarry Guild Records,generational_tracking,0.78,Memory inheritance from form_library to new_entity via proximity.,
MI-0017,collective,SRC-217,memory trace,new_entity,RCP-295,,ghost_imprint,924,65,0.335,feature_emphasis,False,28.1,False,False,False,modified_transfer,lost,False,,C. Vells,generational_tracking,0.87,Memory inheritance from collective to new_entity via ghost_imprint.,
MI-0018,location,,behavioral pattern,offspring,,,form_library_access,880,211,0.389,"scale_change,detail_loss",False,142.5,True,False,True,modified_transfer,unstable,False,,M. Tall,pattern_comparison,0.59,Memory inheritance from location to offspring via form_library_access.,
MI-0019,dying_entity,SRC-990,memory trace,new_entity,,,contact,895,250,0.61,none,True,65.7,True,False,False,successful_transfer,permanent,False,,R. Voss,pattern_comparison,0.7,Memory inheritance from dying_entity to new_entity via contact.,
MI-0020,ghost_pattern,,behavioral pattern,nearby_creature,RCP-880,,ghost_imprint,917,232,0.4,partial_expression,False,13.2,False,True,False,partial_transfer,fading,False,,Independent Observer,pattern_comparison,0.79,Memory inheritance from ghost_pattern to nearby_creature via ghost_imprint.,
MI-0021,collective,,spatial configuration,new_entity,,,ghost_imprint,889,56,0.393,"behavioral_drift,form_stable",False,192.7,True,False,False,modified_transfer,lost,False,,Boundary Commission,pattern_comparison,0.73,Memory inheritance from collective to new_entity via ghost_imprint.,
MI-0022,form_library,SRC-784,operational knowledge,offspring,,,ghost_imprint,916,271,1.0,none,True,103.8,True,False,True,successful_transfer,stable,False,,T. Vells,experimental_verification,0.94,Memory inheritance from form_library to offspring via ghost_imprint.,
MI-0023,parent_creature,,operational knowledge,offspring,RCP-304,,collective_memory,922,308,0.431,pattern_simplification,False,154.2,True,False,False,modified_transfer,lost,False,,C. Vells,historical_reconstruction,0.66,Memory inheritance from parent_creature to offspring via collective_memory.,
MI-0024,collective,SRC-178,behavioral pattern,collective_member,RCP-240,physical form,form_library_access,893,239,0.673,selective_inheritance,True,65.6,False,False,False,partial_transfer,stable,False,,Quarry Guild Records,historical_reconstruction,0.95,Memory inheritance from collective to collective_member via form_library_access.,
MI-0025,parent_creature,SRC-342,behavioral pattern,offspring,,memory trace,hereditary,930,306,1.0,none,True,147.9,True,True,True,successful_transfer,stable,False,,K. Strand,generational_tracking,0.52,Memory inheritance from parent_creature to offspring via hereditary.,
MI-0026,form_library,SRC-615,operational knowledge,regenerating_tissue,,,proximity,897,0,0.995,none,True,151.7,False,False,False,successful_transfer,stable,False,,Quarry Guild Records,pattern_comparison,0.92,Memory inheritance from form_library to regenerating_tissue via proximity.,
MI-0027,experimental_transfer,SRC-283,physical form,collective_member,RCP-314,memory trace,deliberate_transfer,909,31,0.435,selective_inheritance,False,148.0,False,False,False,partial_transfer,stable,True,,Archive Survey Team,historical_reconstruction,0.56,Memory inheritance from experimental_transfer to collective_member via deliberate_transfer.,
MI-0028,parent_creature,SRC-135,operational knowledge,offspring,,,collective_memory,906,55,0.782,none,True,151.6,False,False,False,successful_transfer,stable,False,,M. Tall,generational_tracking,0.6,Memory inheritance from parent_creature to offspring via collective_memory.,
MI-0029,dying_entity,,spatial configuration,collective_member,,,contact,907,88,0.688,selective_inheritance,True,46.6,False,False,False,partial_transfer,fading,False,,C. Vells,experimental_verification,0.63,Memory inheritance from dying_entity to collective_member via contact.,
MI-0030,ghost_pattern,SRC-155,behavioral pattern,new_entity,RCP-817,,ghost_imprint,887,286,0.912,none,True,81.8,True,False,False,successful_transfer,permanent,False,,R. Voss,experimental_verification,0.91,Memory inheritance from ghost_pattern to new_entity via ghost_imprint.,
MI-0031,location,,physical form,new_structure,RCP-650,memory trace,proximity,901,281,1.0,none,True,104.1,True,False,True,successful_transfer,permanent,False,,T. Vells,generational_tracking,0.52,Memory inheritance from location to new_structure via proximity.,
MI-0032,collective,,behavioral pattern,new_entity,,physical form,proximity,928,5,0.731,none,True,140.1,True,True,False,successful_transfer,stable,False,,S. Moll,direct_observation,0.89,Memory inheritance from collective to new_entity via proximity.,
MI-0033,form_library,,memory trace,offspring,,operational knowledge,contact,927,309,0.877,none,True,33.8,False,False,True,successful_transfer,permanent,False,,S. Moll,generational_tracking,0.94,Memory inheritance from form_library to offspring via contact.,
MI-0034,ghost_pattern,SRC-944,memory trace,nearby_creature,,,ghost_imprint,930,21,0.703,detail_loss,True,52.9,True,False,False,partial_transfer,fading,False,,Independent Observer,experimental_verification,0.71,Memory inheritance from ghost_pattern to nearby_creature via ghost_imprint.,
MI-0035,location,,physical form,collective_member,RCP-676,spatial configuration,unknown,889,137,0.39,pattern_simplification,False,9.8,True,False,False,modified_transfer,unstable,False,,K. Strand,generational_tracking,0.95,Memory inheritance from location to collective_member via unknown.,
MI-0036,ghost_pattern,SRC-716,memory trace,nearby_creature,,,ghost_imprint,919,181,0.915,none,True,164.5,False,False,True,successful_transfer,permanent,False,,S. Moll,historical_reconstruction,0.85,Memory inheritance from ghost_pattern to nearby_creature via ghost_imprint.,
MI-0037,experimental_transfer,,behavioral pattern,nearby_creature,,,deliberate_transfer,915,242,0.549,selective_inheritance,True,13.8,True,True,True,partial_transfer,fading,True,,Archive Survey Team,historical_reconstruction,0.59,Memory inheritance from experimental_transfer to nearby_creature via deliberate_transfer.,
MI-0038,form_library,SRC-348,spatial configuration,new_entity,,,contact,888,188,0.85,none,True,54.3,True,True,False,successful_transfer,stable,False,,K. Strand,experimental_verification,0.6,Memory inheritance from form_library to new_entity via contact.,
MI-0039,ghost_pattern,,physical form,nearby_creature,RCP-656,,ghost_imprint,898,98,0.637,detail_loss,True,164.6,True,False,True,partial_transfer,stable,False,,S. Moll,direct_observation,0.71,Memory inheritance from ghost_pattern to nearby_creature via ghost_imprint.,
MI-0040,ghost_pattern,,collective identity,nearby_creature,,,ghost_imprint,897,169,0.84,none,True,115.6,False,False,False,successful_transfer,stable,False,,T. Vells,experimental_verification,0.77,Memory inheritance from ghost_pattern to nearby_creature via ghost_imprint.,
MI-0041,form_library,,physical form,offspring,,operational knowledge,collective_memory,894,72,0.48,pattern_simplification,False,58.6,False,False,True,modified_transfer,fading,False,,M. Tall,direct_observation,0.54,Memory inheritance from form_library to offspring via collective_memory.,
MI-0042,location,,operational knowledge,collective_member,,spatial configuration,unknown,882,39,0.524,partial_expression,True,175.8,True,True,False,partial_transfer,fading,False,,M. Tall,historical_reconstruction,0.84,Memory inheritance from location to collective_member via unknown.,
MI-0043,collective,SRC-940,physical form,regenerating_tissue,RCP-930,physical form,deliberate_transfer,901,212,0.905,none,True,92.9,True,False,False,successful_transfer,permanent,True,FI-0066,C. Vells,historical_reconstruction,0.92,Memory inheritance from collective to regenerating_tissue via deliberate_transfer.,
MI-0044,dying_entity,,memory trace,new_structure,,collective identity,deliberate_transfer,930,177,1.0,none,True,95.0,False,False,True,successful_transfer,stable,False,,T. Vells,direct_observation,0.53,Memory inheritance from dying_entity to new_structure via deliberate_transfer.,
MI-0045,location,SRC-274,collective identity,offspring,,behavioral pattern,contact,918,308,0.614,none,True,128.2,True,True,True,successful_transfer,permanent,False,,K. Strand,generational_tracking,0.53,Memory inheritance from location to offspring via contact.,
MI-0046,collective,,memory trace,regenerating_tissue,,memory trace,collective_memory,920,10,0.9,none,True,84.2,True,False,False,successful_transfer,stable,False,,Independent Observer,generational_tracking,0.72,Memory inheritance from collective to regenerating_tissue via collective_memory.,
MI-0047,collective,,operational knowledge,collective_member,RCP-992,,deliberate_transfer,904,78,0.511,partial_expression,True,10.2,False,True,True,partial_transfer,stable,False,,R. Voss,direct_observation,0.64,Memory inheritance from collective to collective_member via deliberate_transfer.,
MI-0048,form_library,SRC-674,behavioral pattern,new_entity,,behavioral pattern,contact,913,135,0.68,partial_expression,True,153.8,True,False,True,partial_transfer,stable,False,,Boundary Commission,direct_observation,0.55,Memory inheritance from form_library to new_entity via contact.,
MI-0049,ghost_pattern,SRC-483,behavioral pattern,nearby_creature,,physical form,ghost_imprint,922,189,0.816,none,True,69.2,True,False,False,successful_transfer,stable,True,,S. Moll,historical_reconstruction,0.87,Memory inheritance from ghost_pattern to nearby_creature via ghost_imprint.,
MI-0050,location,,memory trace,regenerating_tissue,,,contact,906,319,1.0,none,True,57.9,True,True,False,successful_transfer,permanent,False,,C. Vells,experimental_verification,0.89,Memory inheritance from location to regenerating_tissue via contact.,
MI-0051,form_library,SRC-121,physical form,regenerating_tissue,,,unknown,916,316,0.679,none,True,177.9,True,False,True,successful_transfer,permanent,False,,Archive Survey Team,generational_tracking,0.9,Memory inheritance from form_library to regenerating_tissue via unknown.,
MI-0052,parent_creature,,behavioral pattern,offspring,RCP-755,spatial configuration,collective_memory,881,328,0.338,,False,155.5,True,False,False,conflict_transfer,lost,True,,Archive Survey Team,pattern_comparison,0.75,Memory inheritance from parent_creature to offspring via collective_memory.,
MI-0053,form_library,,memory trace,new_entity,,,form_library_access,906,339,1.0,none,True,134.4,False,False,True,successful_transfer,permanent,False,,M. Tall,generational_tracking,0.91,Memory inheritance from form_library to new_entity via form_library_access.,
MI-0054,location,,memory trace,nearby_creature,RCP-487,operational knowledge,deliberate_transfer,884,110,0.553,detail_loss,True,7.0,False,False,False,partial_transfer,fading,False,,S. Moll,historical_reconstruction,0.72,Memory inheritance from location to nearby_creature via deliberate_transfer.,
MI-0055,collective,SRC-915,behavioral pattern,offspring,,,proximity,897,320,0.384,"behavioral_drift,form_stable",False,161.6,True,False,False,modified_transfer,unstable,False,,S. Moll,direct_observation,0.87,Memory inheritance from collective to offspring via proximity.,
MI-0056,dying_entity,,physical form,collective_member,,physical form,form_library_access,883,33,0.505,"scale_change,detail_loss",True,2.3,False,False,True,modified_transfer,lost,False,,Quarry Guild Records,historical_reconstruction,0.53,Memory inheritance from dying_entity to collective_member via form_library_access.,
MI-0057,form_library,,memory trace,regenerating_tissue,RCP-477,memory trace,contact,897,8,0.63,none,True,126.3,True,False,True,successful_transfer,stable,False,,R. Voss,experimental_verification,0.7,Memory inheritance from form_library to regenerating_tissue via contact.,
MI-0058,ghost_pattern,,operational knowledge,new_entity,,,ghost_imprint,920,242,0.588,selective_inheritance,True,188.6,False,False,False,partial_transfer,stable,False,,Quarry Guild Records,direct_observation,0.94,Memory inheritance from ghost_pattern to new_entity via ghost_imprint.,
MI-0059,location,SRC-832,memory trace,new_structure,,spatial configuration,contact,886,239,0.613,none,True,5.5,False,False,True,successful_transfer,permanent,False,,K. Strand,direct_observation,0.71,Memory inheritance from location to new_structure via contact.,
MI-0060,dying_entity,SRC-294,physical form,new_entity,RCP-176,,contact,914,151,0.561,pattern_simplification,True,121.0,True,True,False,modified_transfer,fading,False,,Boundary Commission,pattern_comparison,0.77,Memory inheritance from dying_entity to new_entity via contact.,
MI-0061,form_library,,physical form,new_entity,RCP-647,behavioral pattern,collective_memory,909,255,0.213,pattern_simplification,False,29.0,True,False,False,modified_transfer,fading,False,,K. Strand,generational_tracking,0.91,Memory inheritance from form_library to new_entity via collective_memory.,
MI-0062,parent_creature,,spatial configuration,offspring,RCP-848,,hereditary,908,119,0.491,pattern_simplification,False,179.0,True,False,True,modified_transfer,fading,False,,Quarry Guild Records,generational_tracking,0.89,Memory inheritance from parent_creature to offspring via hereditary.,
MI-0063,location,,collective identity,new_entity,,,contact,887,232,0.535,selective_inheritance,True,36.3,False,False,True,partial_transfer,fading,False,,R. Voss,direct_observation,0.68,Memory inheritance from location to new_entity via contact.,
MI-0064,collective,SRC-457,collective identity,new_entity,RCP-263,spatial configuration,deliberate_transfer,923,337,0.341,"behavioral_drift,form_stable",False,156.2,True,False,True,modified_transfer,lost,False,,Independent Observer,direct_observation,0.85,Memory inheritance from collective to new_entity via deliberate_transfer.,
MI-0065,location,SRC-681,operational knowledge,collective_member,RCP-567,,contact,882,285,0.839,none,True,53.7,True,False,False,successful_transfer,permanent,False,,C. Vells,historical_reconstruction,0.85,Memory inheritance from location to collective_member via contact.,
MI-0066,ghost_pattern,,collective identity,nearby_creature,,,ghost_imprint,924,128,1.0,none,True,173.7,False,True,False,successful_transfer,permanent,False,,K. Strand,pattern_comparison,0.79,Memory inheritance from ghost_pattern to nearby_creature via ghost_imprint.,
MI-0067,ghost_pattern,,operational knowledge,new_entity,RCP-657,,ghost_imprint,904,244,0.706,none,True,17.7,True,False,False,successful_transfer,stable,True,FI-0394,T. Vells,direct_observation,0.92,Memory inheritance from ghost_pattern to new_entity via ghost_imprint.,
MI-0068,collective,,physical form,regenerating_tissue,RCP-609,,deliberate_transfer,889,66,0.646,selective_inheritance,True,192.7,True,False,False,partial_transfer,fading,False,,Independent Observer,historical_reconstruction,0.76,Memory inheritance from collective to regenerating_tissue via deliberate_transfer.,
MI-0069,collective,SRC-130,operational knowledge,new_structure,,,hereditary,928,199,0.979,none,True,106.9,False,True,False,successful_transfer,stable,True,,C. Vells,pattern_comparison,0.81,Memory inheritance from collective to new_structure via hereditary.,
MI-0070,location,SRC-707,operational knowledge,offspring,RCP-243,collective identity,hereditary,898,95,0.331,,False,25.8,True,False,False,failed_transfer,fading,False,,Archive Survey Team,generational_tracking,0.81,Memory inheritance from location to offspring via hereditary.,
MI-0071,form_library,SRC-181,spatial configuration,nearby_creature,,,ghost_imprint,891,272,0.931,none,True,166.2,True,False,False,successful_transfer,permanent,False,,Independent Observer,experimental_verification,0.58,Memory inheritance from form_library to nearby_creature via ghost_imprint.,
MI-0072,ghost_pattern,,spatial configuration,new_entity,RCP-827,memory trace,ghost_imprint,881,330,0.837,none,True,189.3,True,False,True,successful_transfer,permanent,False,,R. Voss,historical_reconstruction,0.62,Memory inheritance from ghost_pattern to new_entity via ghost_imprint.,
MI-0073,collective,,physical form,nearby_creature,RCP-592,,collective_memory,890,24,0.508,"scale_change,detail_loss",True,122.4,False,False,True,modified_transfer,lost,False,,Archive Survey Team,historical_reconstruction,0.87,Memory inheritance from collective to nearby_creature via collective_memory.,
MI-0074,ghost_pattern,SRC-319,physical form,nearby_creature,,,ghost_imprint,913,49,0.316,"behavioral_drift,form_stable",False,18.1,True,False,True,modified_transfer,fading,False,,Archive Survey Team,experimental_verification,0.7,Memory inheritance from ghost_pattern to nearby_creature via ghost_imprint.,
MI-0075,ghost_pattern,SRC-641,behavioral pattern,nearby_creature,,collective identity,ghost_imprint,913,242,0.946,none,True,139.7,False,True,False,successful_transfer,stable,False,,K. Strand,direct_observation,0.77,Memory inheritance from ghost_pattern to nearby_creature via ghost_imprint.,
MI-0076,experimental_transfer,SRC-240,physical form,new_entity,,,deliberate_transfer,931,219,0.9,none,True,55.1,True,False,False,successful_transfer,stable,True,,Independent Observer,historical_reconstruction,0.73,Memory inheritance from experimental_transfer to new_entity via deliberate_transfer.,
MI-0077,experimental_transfer,,memory trace,collective_member,,,deliberate_transfer,900,364,0.622,selective_inheritance,True,60.4,True,False,True,partial_transfer,fading,True,,Boundary Commission,generational_tracking,0.73,Memory inheritance from experimental_transfer to collective_member via deliberate_transfer.,
MI-0078,ghost_pattern,SRC-762,operational knowledge,new_entity,,behavioral pattern,ghost_imprint,888,329,1.0,none,True,86.2,True,True,False,successful_transfer,stable,False,,M. Tall,pattern_comparison,0.89,Memory inheritance from ghost_pattern to new_entity via ghost_imprint.,
MI-0079,parent_creature,,memory trace,offspring,,collective identity,collective_memory,919,251,0.817,none,True,96.6,True,False,False,successful_transfer,stable,False,,T. Vells,experimental_verification,0.93,Memory inheritance from parent_creature to offspring via collective_memory.,
MI-0080,form_library,,spatial configuration,new_entity,,,deliberate_transfer,898,107,0.685,none,True,179.9,False,False,True,successful_transfer,stable,False,,M. Tall,historical_reconstruction,0.6,Memory inheritance from form_library to new_entity via deliberate_transfer.,
MI-0081,experimental_transfer,SRC-108,operational knowledge,new_entity,,,deliberate_transfer,906,134,0.778,none,True,27.6,False,True,False,successful_transfer,permanent,True,,Archive Survey Team,historical_reconstruction,0.71,Memory inheritance from experimental_transfer to new_entity via deliberate_transfer.,
MI-0082,parent_creature,SRC-471,spatial configuration,offspring,,behavioral pattern,collective_memory,904,79,0.93,none,True,104.2,True,False,False,successful_transfer,stable,False,,C. Vells,direct_observation,0.65,Memory inheritance from parent_creature to offspring via collective_memory.,
MI-0083,location,SRC-803,spatial configuration,offspring,RCP-553,,unknown,926,111,0.737,detail_loss,True,180.0,True,False,True,partial_transfer,stable,False,,C. Vells,historical_reconstruction,0.93,Memory inheritance from location to offspring via unknown.,
MI-0084,experimental_transfer,,behavioral pattern,offspring,,,deliberate_transfer,917,38,0.819,none,True,35.3,True,False,False,successful_transfer,permanent,True,,Archive Survey Team,historical_reconstruction,0.75,Memory inheritance from experimental_transfer to offspring via deliberate_transfer.,
MI-0085,dying_entity,SRC-760,operational knowledge,new_entity,RCP-861,,collective_memory,894,82,0.678,detail_loss,True,73.4,False,False,False,partial_transfer,fading,False,,Quarry Guild Records,pattern_comparison,0.61,Memory inheritance from dying_entity to new_entity via collective_memory.,
MI-0086,parent_creature,,memory trace,offspring,RCP-291,,collective_memory,908,35,0.382,,False,115.9,False,False,False,failed_transfer,lost,False,,T. Vells,direct_observation,0.65,Memory inheritance from parent_creature to offspring via collective_memory.,
MI-0087,form_library,,collective identity,nearby_creature,,behavioral pattern,unknown,881,345,0.872,none,True,182.2,False,False,False,successful_transfer,permanent,False,,M. Tall,generational_tracking,0.86,Memory inheritance from form_library to nearby_creature via unknown.,
MI-0088,collective,,collective identity,new_structure,,,hereditary,922,263,0.811,detail_loss,True,38.5,True,True,False,partial_transfer,fading,False,,Independent Observer,generational_tracking,0.61,Memory inheritance from collective to new_structure via hereditary.,
MI-0089,location,,physical form,collective_member,RCP-315,,hereditary,916,47,0.752,partial_expression,True,41.2,True,False,False,partial_transfer,stable,False,,S. Moll,generational_tracking,0.79,Memory inheritance from location to collective_member via hereditary.,
MI-0090,dying_entity,SRC-803,operational knowledge,new_structure,,physical form,collective_memory,889,203,0.454,partial_expression,False,5.8,True,False,False,partial_transfer,stable,False,,S. Moll,generational_tracking,0.83,Memory inheritance from dying_entity to new_structure via collective_memory.,
MI-0091,parent_creature,SRC-491,operational knowledge,offspring,RCP-232,,hereditary,882,61,0.398,"scale_change,detail_loss",False,184.9,False,False,False,modified_transfer,lost,False,,C. Vells,direct_observation,0.7,Memory inheritance from parent_creature to offspring via hereditary.,
MI-0092,form_library,SRC-766,behavioral pattern,regenerating_tissue,,,unknown,929,266,0.781,selective_inheritance,True,40.4,False,False,True,partial_transfer,stable,False,,M. Tall,generational_tracking,0.84,Memory inheritance from form_library to regenerating_tissue via unknown.,
MI-0093,ghost_pattern,SRC-117,memory trace,new_entity,,,ghost_imprint,924,187,0.717,partial_expression,True,5.5,True,False,False,partial_transfer,stable,False,,Independent Observer,experimental_verification,0.88,Memory inheritance from ghost_pattern to new_entity via ghost_imprint.,
MI-0094,parent_creature,SRC-382,operational knowledge,offspring,RCP-467,,hereditary,914,187,0.715,none,True,133.7,True,True,False,successful_transfer,permanent,False,,Quarry Guild Records,pattern_comparison,0.84,Memory inheritance from parent_creature to offspring via hereditary.,
MI-0095,dying_entity,,memory trace,new_entity,RCP-670,,hereditary,883,85,1.0,none,True,188.4,False,False,True,successful_transfer,stable,False,,C. Vells,historical_reconstruction,0.53,Memory inheritance from dying_entity to new_entity via hereditary.,
MI-0096,form_library,SRC-984,spatial configuration,new_structure,RCP-999,,contact,921,3,1.0,none,True,85.8,True,False,True,successful_transfer,permanent,False,,Archive Survey Team,pattern_comparison,0.51,Memory inheritance from form_library to new_structure via contact.,
MI-0097,parent_creature,,spatial configuration,offspring,,memory trace,collective_memory,907,88,0.596,feature_emphasis,True,191.4,True,False,False,modified_transfer,lost,True,,Boundary Commission,experimental_verification,0.88,Memory inheritance from parent_creature to offspring via collective_memory.,
MI-0098,dying_entity,SRC-192,spatial configuration,regenerating_tissue,RCP-533,,unknown,914,6,0.609,partial_expression,True,1.5,True,True,True,partial_transfer,stable,False,,K. Strand,direct_observation,0.87,Memory inheritance from dying_entity to regenerating_tissue via unknown.,
MI-0099,form_library,SRC-204,physical form,regenerating_tissue,RCP-573,,unknown,901,40,0.793,detail_loss,True,30.5,True,False,False,partial_transfer,stable,False,,S. Moll,pattern_comparison,0.66,Memory inheritance from form_library to regenerating_tissue via unknown.,
MI-0100,location,,memory trace,regenerating_tissue,RCP-309,physical form,unknown,901,101,0.409,feature_emphasis,False,40.7,True,True,True,modified_transfer,unstable,False,,Archive Survey Team,historical_reconstruction,0.68,Memory inheritance from location to regenerating_tissue via unknown.,
MI-0101,experimental_transfer,SRC-372,spatial configuration,collective_member,RCP-535,memory trace,deliberate_transfer,920,301,0.424,"scale_change,detail_loss",False,178.0,True,True,True,modified_transfer,fading,True,FI-0035,M. Tall,direct_observation,0.7,Memory inheritance from experimental_transfer to collective_member via deliberate_transfer.,
MI-0102,collective,SRC-824,physical form,new_structure,RCP-903,memory trace,unknown,919,311,0.542,partial_expression,True,182.9,True,False,True,partial_transfer,fading,False,,K. Strand,direct_observation,0.86,Memory inheritance from collective to new_structure via unknown.,
MI-0103,ghost_pattern,,collective identity,nearby_creature,RCP-520,,ghost_imprint,886,76,0.697,none,True,106.3,True,False,True,successful_transfer,stable,False,,Archive Survey Team,experimental_verification,0.63,Memory inheritance from ghost_pattern to nearby_creature via ghost_imprint.,
MI-0104,parent_creature,,behavioral pattern,offspring,,,collective_memory,880,34,0.975,none,True,47.4,True,False,True,successful_transfer,stable,False,,Boundary Commission,generational_tracking,0.9,Memory inheritance from parent_creature to offspring via collective_memory.,
MI-0105,experimental_transfer,SRC-156,physical form,new_structure,,,deliberate_transfer,922,14,0.891,none,True,43.7,True,False,False,successful_transfer,permanent,True,,Boundary Commission,direct_observation,0.88,Memory inheritance from experimental_transfer to new_structure via deliberate_transfer.,
MI-0106,location,,memory trace,offspring,RCP-555,,form_library_access,926,275,0.919,none,True,137.2,False,False,False,successful_transfer,stable,False,,K. Strand,historical_reconstruction,0.93,Memory inheritance from location to offspring via form_library_access.,
MI-0107,form_library,,physical form,nearby_creature,RCP-619,physical form,hereditary,914,88,0.462,"behavioral_drift,form_stable",False,194.1,False,False,True,modified_transfer,unstable,False,,S. Moll,direct_observation,0.62,Memory inheritance from form_library to nearby_creature via hereditary.,
MI-0108,parent_creature,SRC-261,spatial configuration,offspring,,,collective_memory,932,302,0.76,selective_inheritance,True,133.7,False,False,True,partial_transfer,stable,False,,Boundary Commission,generational_tracking,0.77,Memory inheritance from parent_creature to offspring via collective_memory.,
MI-0109,collective,,spatial configuration,nearby_creature,RCP-220,physical form,proximity,930,297,0.894,none,True,145.5,True,False,False,successful_transfer,permanent,False,,Quarry Guild Records,direct_observation,0.66,Memory inheritance from collective to nearby_creature via proximity.,
MI-0110,parent_creature,,spatial configuration,offspring,,,hereditary,921,203,0.533,feature_emphasis,True,57.5,False,False,False,modified_transfer,unstable,False,,T. Vells,pattern_comparison,0.79,Memory inheritance from parent_creature to offspring via hereditary.,
MI-0111,location,SRC-111,collective identity,collective_member,RCP-446,behavioral pattern,ghost_imprint,890,182,0.601,detail_loss,True,75.9,True,False,False,partial_transfer,fading,False,,C. Vells,generational_tracking,0.87,Memory inheritance from location to collective_member via ghost_imprint.,
