case_id,case_name,entity_type,entity_id,entity_name,baseline_spatial_km,baseline_temporal_days,baseline_social,baseline_abstract,shrinkage_type,severity,shrinkage_percentage,final_spatial_km,final_temporal_days,final_social,final_abstract,primary_cause,trauma_type,dens_exposure_duration_days,onset,progression_rate,stabilization,duration_to_minimum_days,behavioral_changes,function_impact,recovery_attempted,recovery_method,recovery_outcome,recovery_duration_days,location,region,observation_year,observer,strand_classification,confidence,cross_reference,notes
HS-0053,Scholar 44 Retirement Decline,institution,,,423.0,3254,3904,8.2,asymmetric,moderate,38.4,312.0,978,960,5.0,trauma,institutional_betrayal,,sudden,variable,oscillating,2,temporal_myopia,minimal,True,medication,stabilization_only,2486,Northern approach,Tower of Mirado,929,Capital Healing Institute,Type_I_trauma,0.91,,
HS-0054,Isolation Case 80,individual,,,79.1,3106,154,7.5,uniform,mild,18.0,64.89,2547,126,6.2,aging,none,,gradual,variable,oscillating,1280,spatial_withdrawal,moderate,False,none,not_attempted,,Mill vicinity,Yeller Quarry,893,M. Strand,Type_III_degradation,0.8,BD-0035,
HS-0055,Tessa Dens Exposure,creature,,,15.6,11,30,2.7,selective_temporal,mild,15.6,15.8,3,27,2.7,trauma,navigation_failure,,oscillating,slow,recovered,1057,loss_of_planning,minimal,True,relocation,full_recovery,922,Northern approach,Tower of Mirado,930,Field Observer,Type_I_trauma,0.85,,
HS-0056,Surveyor 85 Field Collapse,individual,,,80.3,1148,179,4.0,selective_spatial,moderate,40.9,23.73,882,116,2.6,trauma,creature_attack,,sudden,intermittent,recovered,2,temporal_myopia,minimal,True,medication,full_recovery,2608,Scholar's Quarter,Capital,893,K. Vorn,Type_I_trauma,0.61,BD-0100,
HS-0057,Colony 72 Collective Shrinkage,creature,,Colony,16.4,22,19,2.2,uniform,severe,64.5,5.83,7,6,0.8,trauma,loss_of_person,,sudden,slow,stabilized_late,22,spatial_withdrawal,severe,True,relocation,partial_recovery,911,Eastern fluctuation zone,Dens boundary,895,K. Vorn,Type_I_trauma,0.78,,
HS-0058,Surveyor 68 Field Collapse,individual,ENT-4721,Surveyor,38.2,3167,139,6.4,selective_temporal,severe,55.3,20.49,566,68,3.4,isolation,none,,oscillating,rapid,continued_declining,1380,social_isolation,moderate,True,social_reconnection,worsened,1956,Dens interior,Dens,915,K. Vorn,Type_IV_isolation,0.64,,
HS-0059,Student 86 Academic Withdrawal,creature,,,28.4,220,23,3.1,uniform,moderate,35.0,18.45,142,14,2.0,isolation,none,,gradual,variable,stabilized_late,2692,concrete_thinking,minimal,True,medication,stabilization_only,1286,Western approach,Dens boundary,896,Field Observer,Type_IV_isolation,0.83,,
HS-0060,Surveyor 33 Field Collapse,individual,ENT-3747,,56.7,3150,173,6.7,selective_temporal,moderate,46.4,36.44,674,101,4.3,dens_exposure,none,1722,oscillating,rapid,continued_declining,324,loss_of_planning,minimal,True,relocation,worsened,398,Isolation community,Northo,923,K. Vorn,Type_II_dens,0.54,,
HS-0061,Surveyor 83 Field Collapse,individual,ENT-1219,,48.9,654,139,3.8,selective_social,mild,12.4,51.38,629,48,4.0,trauma,dens_event,,sudden,intermittent,stabilized_late,21,present_fixation,minimal,True,relocation,stabilization_only,2278,Educational district,Densmok,931,Strand Research Group,Type_I_trauma,0.6,,
HS-0062,Trapper 62 Trauma Collapse,federation,ENT-1858,,70.0,2426,621,5.5,selective_temporal,moderate,30.1,58.74,678,477,4.6,dens_exposure,none,1205,gradual,moderate,oscillating,1518,concrete_thinking,moderate,True,medication,no_improvement,2805,Western approach,Dens boundary,918,Strand Research Group,Type_II_dens,0.6,,
HS-0063,Surveyor 2 Field Collapse,individual,,Surveyor,65.2,670,64,2.4,selective_social,moderate,30.8,54.18,510,17,2.0,isolation,none,,gradual,slow,stabilized_early,2525,concrete_thinking,moderate,True,social_reconnection,partial_recovery,1643,Ascetic village,Northo,906,Strand Research Group,Type_IV_isolation,0.6,,
HS-0064,Surveyor 4 Field Collapse,individual,,,93.5,2098,136,7.4,selective_social,moderate,40.8,66.47,1367,32,5.3,trauma,siege_exposure,,sudden,intermittent,stabilized_early,0,concrete_thinking,moderate,False,none,not_attempted,,Capital proper,Capital,940,Strand Research Group,Type_I_trauma,0.98,BD-0176,
HS-0065,Surveyor 72 Field Collapse,individual,ENT-2995,,42.0,446,197,2.9,selective_temporal,moderate,35.5,32.49,114,139,2.2,trauma,dens_event,,oscillating,intermittent,continued_declining,1153,concrete_thinking,minimal,True,medication,no_improvement,2238,Dissolution zone,Dens,925,P. Anster,Type_I_trauma,0.85,,
HS-0066,Archivist 39 Decline,federation,ENT-3047,,99.6,3422,895,6.8,selective_social,severe,64.6,42.27,1331,126,2.9,trauma,siege_exposure,,oscillating,rapid,continued_declining,965,temporal_myopia,moderate,True,social_reconnection,no_improvement,1835,Quarry Sector 7,Yeller Quarry,900,Strand Research Group,Type_I_trauma,0.87,BD-0159,
HS-0067,Healer 52 Compassion Fatigue,individual,ENT-9825,,12.2,3563,42,4.3,selective_social,mild,14.9,12.46,3336,14,4.4,dens_exposure,none,2421,gradual,slow,recovered,696,spatial_withdrawal,minimal,False,none,not_attempted,,Sector NE-4,Dens boundary,891,Strand Research Group,Type_II_dens,0.67,,
HS-0068,Isolation Case 33,individual,,,36.5,2393,148,3.0,selective_temporal,severe,61.7,16.76,366,62,1.4,aging,none,,oscillating,slow,continued_declining,1634,social_isolation,moderate,True,social_reconnection,no_improvement,562,Sector SW-6,Dens boundary,902,M. Strand,Type_III_degradation,0.53,BD-0008,
HS-0069,Scholar 75 Retirement Decline,creature,,Scholar,28.0,187,27,1.2,uniform,moderate,37.6,17.46,116,16,0.7,dens_exposure,none,2573,oscillating,rapid,continued_declining,2793,spatial_withdrawal,minimal,True,medication,no_improvement,2110,Capital proper,Capital,922,Strand Research Group,Type_II_dens,0.94,BD-0126,
HS-0070,Healer 80 Compassion Fatigue,institution,ENT-1291,Healer,116.0,18835,3086,7.4,selective_spatial,mild,20.1,46.36,19569,2713,6.5,dens_exposure,none,1485,gradual,moderate,stabilized_late,1215,social_isolation,minimal,True,medication,no_improvement,1731,Isolation community,Northo,927,Kira Strand,Type_II_dens,0.72,,
HS-0071,Surveyor 23 Field Collapse,creature,ENT-3848,Surveyor,19.7,188,48,0.6,selective_temporal,severe,50.9,11.61,36,25,0.4,dens_exposure,none,1465,sudden,moderate,stabilized_late,21,present_fixation,moderate,True,horizon_expansion_exercises,no_improvement,257,Tower base,Tower of Mirado,895,Capital Healing Institute,Type_II_dens,0.71,,
HS-0072,Scholar 13 Retirement Decline,institution,,,67.1,32563,2160,6.6,selective_spatial,terminal,98.4,0.52,658,36,0.1,dens_exposure,none,2033,sudden,moderate,oscillating,23,social_isolation,incapacitating,True,relocation,no_improvement,2877,Eastern fluctuation zone,Dens boundary,913,M. Strand,Type_II_dens,0.69,,
HS-0073,Archivist 38 Decline,individual,ENT-9738,,39.8,2238,77,6.2,uniform,mild,27.4,28.89,1624,55,4.5,aging,none,,gradual,slow,stabilized_late,1751,temporal_myopia,minimal,True,medication,stabilization_only,1121,Dens interior,Dens,890,Strand Research Group,Type_III_degradation,0.57,,
HS-0074,Trapper 32 Trauma Collapse,federation,,Trapper,99.8,9564,581,4.8,uniform,severe,64.4,35.5,3402,206,1.7,bridge_failure,none,,stepwise,variable,stabilized_early,2392,present_fixation,moderate,False,none,not_attempted,,Recovery settlement,Northo,892,Field Observer,unclassified,0.87,BD-0192,
HS-0075,Tessa Dens Exposure,individual,ENT-9879,,83.5,1710,118,4.4,selective_temporal,severe,59.4,40.72,277,52,2.1,pattern_degradation,none,,gradual,slow,stabilized_late,523,temporal_myopia,severe,True,social_reconnection,stabilization_only,2079,Sector SW-6,Dens boundary,890,Field Observer,Type_III_degradation,0.77,,
HS-0076,Student 50 Academic Withdrawal,creature,ENT-3530,,10.3,73,29,2.7,selective_social,mild,28.7,8.81,57,8,2.3,trauma,loss_of_person,,stepwise,moderate,continued_declining,1498,temporal_myopia,minimal,True,temporal_bridging,no_improvement,2773,Northern workings,Yeller Quarry,910,Kira Strand,Type_I_trauma,0.81,,
HS-0077,Post-Siege Veteran 61,federation,,,112.8,7437,524,5.8,uniform,moderate,48.2,58.44,3853,271,3.0,aging,none,,gradual,slow,oscillating,498,loss_of_planning,minimal,True,temporal_bridging,partial_recovery,1749,Siege fields,Tower of Mirado,914,K. Vorn,Type_III_degradation,0.9,,
HS-0078,Student 31 Academic Withdrawal,individual,ENT-3554,,29.2,2402,146,2.0,selective_temporal,mild,27.7,25.32,694,116,1.7,aging,none,,gradual,intermittent,continued_declining,272,loss_of_planning,minimal,False,none,not_attempted,,Northern workings,Yeller Quarry,934,Kira Strand,Type_III_degradation,0.65,,
HS-0079,Post-Siege Veteran 23,individual,,Post-Siege,43.6,1033,192,5.7,selective_temporal,mild,10.6,46.78,369,188,6.1,dens_exposure,none,2862,sudden,variable,recovered,4,concrete_thinking,moderate,True,relocation,full_recovery,2152,Dens deep,Dens,925,K. Vorn,Type_II_dens,0.5,,
HS-0080,Scholar 73 Retirement Decline,individual,,,23.6,3352,191,4.5,selective_temporal,severe,55.7,12.54,593,93,2.4,isolation,none,,gradual,slow,stabilized_late,2524,social_isolation,moderate,False,none,not_attempted,,Educational district,Densmok,936,Field Observer,Type_IV_isolation,0.86,BD-0141,
HS-0081,Colony 9 Collective Shrinkage,creature,,,32.5,69,14,1.6,selective_social,severe,55.3,17.42,33,2,0.9,dens_exposure,none,3170,gradual,slow,recovered,581,loss_of_planning,severe,True,horizon_expansion_exercises,full_recovery,1857,Tower base,Tower of Mirado,902,M. Strand,Type_II_dens,0.67,BD-0060,
HS-0082,Surveyor 57 Field Collapse,colony,,,111.5,2988,770,3.6,uniform,moderate,36.3,71.07,1904,490,2.3,dens_exposure,none,3375,sudden,intermittent,recovered,12,spatial_withdrawal,minimal,True,temporal_bridging,full_recovery,2398,Trapper territory,Yeller Quarry,890,Field Observer,Type_II_dens,0.82,BD-0123,
HS-0083,Healer 25 Compassion Fatigue,institution,,Healer,130.1,26992,2286,7.3,selective_spatial,severe,53.2,30.47,16434,1177,3.8,dens_exposure,none,2271,sudden,rapid,recovered,21,social_isolation,moderate,True,social_reconnection,full_recovery,907,Isolation community,Northo,893,Field Observer,Type_II_dens,0.9,,
HS-0084,Colony 67 Collective Shrinkage,individual,ENT-4067,,22.3,990,168,2.6,uniform,moderate,31.3,15.31,679,115,1.8,trauma,siege_exposure,,sudden,rapid,oscillating,8,concrete_thinking,moderate,True,relocation,partial_recovery,433,Dens deep,Dens,936,M. Strand,Type_I_trauma,0.85,,
