incident_id,year,institution,original_practitioner_role,documentation_type,extraction_use,time_to_extraction,original_practitioner_outcome,quality_change,tacit_knowledge_lost,practitioner_awareness,kellis_vorn_violation,legal_challenge
MEI-0095,875,Traders Guild,Quality Director,classification_rationale,standardization,30,retained,-0.15,0.36,aware_contested,true,true
MEI-0096,876,Capital Archive,Manuscript Director,tool_sequences,successor_training,35,retained,0.02,0.18,aware_consented,false,false
MEI-0097,877,Cartographer's Guild,Cave Coordinator,decision_logs,successor_training,38,retained,0.04,0.15,aware_consented,false,false
MEI-0098,877,Traders Guild,Warehouse Director,classification_rationale,successor_training,40,retained,0.06,0.13,aware_consented,false,false
MEI-0099,878,Capital Archive,Source Director,decision_logs,successor_training,36,retained,0.03,0.16,aware_consented,false,false
MEI-0100,878,Cartographer's Guild,Island Coordinator,tool_sequences,standardization,42,retained,0.05,0.12,aware_consented,false,false
MEI-0101,879,Traders Guild,Caravan Director,classification_rationale,successor_training,38,retained,0.06,0.14,aware_consented,false,false
MEI-0102,879,Capital Archive,Comparison Director,route_decisions,successor_training,40,retained,0.04,0.15,aware_consented,false,false
MEI-0103,880,Cartographer's Guild,Boundary Coordinator,decision_logs,standardization,44,retained,0.07,0.11,aware_consented,false,false
MEI-0104,880,Traders Guild,Inventory Director,classification_rationale,successor_training,42,retained,0.06,0.12,aware_consented,false,false
MEI-0105,881,Capital Archive,Dialect Director,tool_sequences,successor_training,38,retained,0.05,0.13,aware_consented,false,false
MEI-0106,881,Cartographer's Guild,Guide Coordinator,decision_logs,successor_training,40,retained,0.06,0.11,aware_consented,false,false
MEI-0107,882,Traders Guild,Appraiser Director,classification_rationale,successor_training,44,retained,0.08,0.09,aware_consented,false,false
MEI-0108,882,Capital Archive,Navigator Director,decision_logs,successor_training,42,retained,0.07,0.10,aware_consented,false,false
MEI-0109,883,Cartographer's Guild,Illustrator Coordinator,tool_sequences,standardization,46,retained,0.08,0.08,aware_consented,false,false
MEI-0110,883,Traders Guild,Trade Director,classification_rationale,successor_training,44,retained,0.07,0.10,aware_consented,false,false
MEI-0111,884,Capital Archive,Oral History Director,decision_logs,successor_training,40,retained,0.06,0.11,aware_consented,false,false
MEI-0112,884,Cartographer's Guild,Field Director,route_decisions,standardization,48,retained,0.09,0.07,aware_consented,false,false
MEI-0113,885,Traders Guild,Market Director,classification_rationale,successor_training,46,retained,0.08,0.09,aware_consented,false,false
MEI-0114,885,Capital Archive,Authentication Director,tool_sequences,successor_training,42,retained,0.06,0.11,aware_consented,false,false
MEI-0115,886,Cartographer's Guild,Terrain Director,decision_logs,standardization,50,retained,0.10,0.06,aware_consented,false,false
MEI-0116,886,Traders Guild,Route Director,classification_rationale,successor_training,48,retained,0.09,0.08,aware_consented,false,false
MEI-0117,887,Capital Archive,Cataloging Expert,decision_logs,successor_training,44,retained,0.07,0.10,aware_consented,false,false
MEI-0118,887,Cartographer's Guild,Survey Expert,tool_sequences,standardization,52,retained,0.11,0.05,aware_consented,false,false
MEI-0119,888,Traders Guild,Negotiation Director,classification_rationale,successor_training,50,retained,0.10,0.06,aware_consented,false,false
MEI-0120,888,Capital Archive,Collection Expert,decision_logs,successor_training,46,retained,0.08,0.09,aware_consented,false,false
