failure_id,failure_name,bridge_type,bridge_mechanism,intended_temporal_gap_days,actual_bridge_duration_days,agent_type,agent_id,agent_horizon_days,failure_mode,failure_cause,failure_year,was_preventable,prevention_method,warning_signs,warnings_heeded,intended_effect_lost,actual_consequences,affected_entities,severity,recovery_possible,recovery_attempted,recovery_outcome,failure_category,lesson_learned,documented_year,documenter,documentation_source,confidence,description,notes
BF-0022,Failed Construction 22,construction,collective_memory,29109,15118,collective,AGT-486,11467.2,dens_interference,proximity disruption,917,False,,False,,Future scholars would have benefited,Resources wasted; opportunity lost,48622,severe,True,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,918,Archive Survey Team,archaeological_evidence,0.91,Construction bridge failed via dens interference,
BF-0023,Failed Preservation 23,preservation,ritual_practice,29716,5944,collective,,16772.8,successor_failure,successor never trained,902,True,endowment fund,True,True,Future community would have benefited,Resources wasted; opportunity lost,27690,severe,True,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,923,Klutch CC Counseling,archival_record,0.58,Preservation bridge failed via successor failure,
BF-0024,Failed Construction 24,construction,institutional_structure,30538,14039,collective,,18568.9,information_loss,key lost,858,False,,True,False,Future scholars would have benefited,Resources wasted; connection lost,3113,catastrophic,True,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,914,R. Voss,institutional_record,0.82,Construction bridge failed via information loss,
BF-0025,Failed Communication 25,communication,trained_successor,35616,13459,collective,,25944.3,active_sabotage,rival faction,932,False,,True,False,Future scholars would have benefited,Resources wasted; connection lost,61867,severe,False,False,not_attempted,external_destruction,Build redundancy against destruction,915,Boundary Commission,testimony,0.72,Communication bridge failed via active sabotage,
BF-0026,Failed Investment 26,investment,biological_growth,15967,10842,collective,,19219.1,dens_interference,dens instability,813,False,,False,,Future community would have benefited,Resources wasted; connection lost,84118,significant,True,False,not_attempted,mechanism_inadequate,Match mechanism to the gap,917,Boundary Commission,institutional_record,0.78,Investment bridge failed via dens interference,
BF-0027,Failed Legacy 27,legacy,biological_growth,10570,8244,institution,,8666.3,physical_destruction,flood damage,918,False,,True,False,Future community would have benefited,Resources wasted; knowledge lost,64838,significant,True,False,not_attempted,external_destruction,Build redundancy against destruction,933,Klutch CC Counseling,archaeological_evidence,0.59,Legacy bridge failed via physical destruction,
BF-0028,Failed Communication 28,communication,biological_growth,4721,99,collective,,5669.0,context_change,need no longer existed,899,False,,True,False,Future scholars would have benefited,Resources wasted; opportunity lost,642,moderate,False,False,not_attempted,context_unpredicted,The future may not need what we prepare,919,K. Strand,archaeological_evidence,0.79,Communication bridge failed via context change,
BF-0029,Failed Preservation 29,preservation,spatial_configuration,23648,3241,collective,,35516.9,horizon_collapse,entity collapsed,918,False,,True,True,Future generations would have benefited,Resources wasted; opportunity lost,81428,significant,False,False,not_attempted,mechanism_inadequate,Match mechanism to the gap,926,K. Strand,institutional_record,0.53,Preservation bridge failed via horizon collapse,
BF-0030,Failed Promise 30,promise,trained_successor,16993,7698,collective,,17691.4,memory_fade,collective forgot,869,False,,False,,Future scholars would have benefited,Resources wasted; knowledge lost,43523,severe,True,True,partial,maintenance_failed,Bridges require ongoing maintenance,932,Archive Survey Team,testimony,0.59,Promise bridge failed via memory fade,
BF-0031,Failed Repair 31,repair,ritual_practice,18777,17954,collective,,35514.8,context_change,need no longer existed,871,False,,True,False,Future community would have benefited,Resources wasted; opportunity lost,45918,severe,False,False,not_attempted,context_unpredicted,The future may not need what we prepare,936,R. Voss,archaeological_evidence,0.62,Repair bridge failed via context change,
BF-0032,Failed Warning 32,warning,written_record,7731,7351,institution,AGT-802,8192.9,information_loss,encoding degraded,902,False,,False,,Future scholars would have benefited,Resources wasted; connection lost,99498,catastrophic,True,False,not_attempted,mechanism_inadequate,Match mechanism to the gap,912,Independent Observer,archival_record,0.71,Warning bridge failed via information loss,
BF-0033,Failed Preservation 33,preservation,ritual_practice,16600,15753,institution,,8780.5,institutional_collapse,organization dissolved,876,False,,False,,Future community would have benefited,Resources wasted; connection lost,36242,severe,True,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,914,C. Vells,archaeological_evidence,0.73,Preservation bridge failed via institutional collapse,
BF-0034,Failed Legacy 34,legacy,institutional_structure,1704,728,collective,AGT-836,1618.8,physical_destruction,fire at archive,878,False,,True,False,Future generations would have benefited,Resources wasted; knowledge lost,752,minor,True,True,partial,external_destruction,Build redundancy against destruction,931,P. Anster,archival_record,0.81,Legacy bridge failed via physical destruction,
BF-0035,Failed Preservation 35,preservation,collective_memory,8380,6958,collective,,19614.7,successor_failure,successor abandoned post,851,True,redundant copies,False,,Future scholars would have benefited,Resources wasted; knowledge lost,97225,significant,True,True,successful,internal_decay,Renew purpose to maintain bridges,932,T. Vells,institutional_record,0.69,Preservation bridge failed via successor failure,
BF-0036,Failed Legacy 36,legacy,spatial_configuration,4422,677,person,,3226.1,information_loss,encoding degraded,871,False,,False,,Future community would have benefited,Resources wasted; opportunity lost,956,significant,True,False,not_attempted,mechanism_inadequate,Match mechanism to the gap,937,M. Strand,archaeological_evidence,0.71,Legacy bridge failed via information loss,
BF-0037,Failed Warning 37,warning,biological_growth,13531,13446,collective,AGT-952,9385.1,dens_interference,proximity disruption,909,False,,False,,Future community would have benefited,Resources wasted; connection lost,69237,catastrophic,True,True,ongoing,mechanism_inadequate,Match mechanism to the gap,939,T. Vells,archaeological_evidence,0.92,Warning bridge failed via dens interference,
BF-0038,Failed Legacy 38,legacy,ritual_practice,4651,4134,collective,,7046.4,resource_exhaustion,labor unavailable,842,True,multiple successors,False,,Future scholars would have benefited,Resources wasted; knowledge lost,748,significant,True,True,partial,maintenance_failed,Bridges require ongoing maintenance,927,C. Vells,archaeological_evidence,0.95,Legacy bridge failed via resource exhaustion,
BF-0039,Failed Construction 39,construction,spatial_configuration,25351,14528,institution,AGT-945,2263.0,memory_fade,collective forgot,932,False,,False,,Future community would have benefited,Resources wasted; connection lost,37394,catastrophic,True,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,934,Klutch CC Counseling,archival_record,0.66,Construction bridge failed via memory fade,
BF-0040,Failed Investment 40,investment,written_record,22470,1415,institution,AGT-112,8331.5,physical_destruction,flood damage,930,False,,True,False,Future generations would have benefited,Resources wasted; opportunity lost,29539,catastrophic,True,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,940,K. Strand,institutional_record,0.93,Investment bridge failed via physical destruction,
BF-0041,Failed Communication 41,communication,ritual_practice,6165,5866,person,,3831.5,dens_interference,proximity disruption,829,False,,True,True,Future scholars would have benefited,Resources wasted; knowledge lost,373,severe,True,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,932,K. Strand,archaeological_evidence,0.75,Communication bridge failed via dens interference,
BF-0042,Failed Planning 42,planning,written_record,6394,3749,person,,5514.6,information_loss,key lost,804,False,,False,,Future scholars would have benefited,Resources wasted; connection lost,589,minor,True,False,not_attempted,mechanism_inadequate,Match mechanism to the gap,927,T. Vells,archaeological_evidence,0.65,Planning bridge failed via information loss,
BF-0043,Failed Communication 43,communication,trained_successor,3318,43,person,,2617.7,dens_interference,proximity disruption,864,False,,False,,Future scholars would have benefited,Resources wasted; opportunity lost,170,severe,True,False,not_attempted,mechanism_inadequate,Match mechanism to the gap,912,P. Anster,institutional_record,0.87,Communication bridge failed via dens interference,
BF-0044,Failed Warning 44,warning,physical_artifact,32445,2615,institution,,6820.7,resource_exhaustion,funding exhausted,828,True,endowment fund,False,,Future community would have benefited,Resources wasted; opportunity lost,24435,severe,True,True,successful,horizon_exceeded,Cannot bridge further than one can care,927,Klutch CC Counseling,archaeological_evidence,0.76,Warning bridge failed via resource exhaustion,
BF-0045,Failed Repair 45,repair,institutional_structure,35639,5027,collective,,32795.7,resource_exhaustion,materials depleted,801,True,endowment fund,False,,Future community would have benefited,Resources wasted; knowledge lost,42683,catastrophic,True,False,not_attempted,maintenance_failed,Bridges require ongoing maintenance,936,M. Strand,archaeological_evidence,0.61,Repair bridge failed via resource exhaustion,
BF-0046,Failed Investment 46,investment,biological_growth,25851,7268,institution,,10363.5,horizon_collapse,collective lost vision,853,False,,False,,Future community would have benefited,Resources wasted; opportunity lost,8354,significant,False,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,915,M. Strand,archival_record,0.81,Investment bridge failed via horizon collapse,
BF-0047,Failed Legacy 47,legacy,physical_artifact,13934,11904,collective,AGT-700,28574.5,memory_fade,collective forgot,892,False,,False,,Future scholars would have benefited,Resources wasted; opportunity lost,91616,severe,True,True,partial,maintenance_failed,Bridges require ongoing maintenance,934,R. Voss,archival_record,0.68,Legacy bridge failed via memory fade,
BF-0048,Failed Investment 48,investment,trained_successor,4040,2959,collective,AGT-825,3702.8,successor_failure,successor died young,932,True,multiple successors,True,True,Future scholars would have benefited,Resources wasted; opportunity lost,248,significant,True,True,partial,internal_decay,Renew purpose to maintain bridges,928,Independent Observer,archival_record,0.85,Investment bridge failed via successor failure,
BF-0049,Failed Preservation 49,preservation,ritual_practice,15868,8918,collective,AGT-467,9254.7,active_sabotage,deliberate destruction,918,False,,False,,Future community would have benefited,Resources wasted; opportunity lost,96246,catastrophic,False,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,927,T. Vells,institutional_record,0.58,Preservation bridge failed via active sabotage,
BF-0050,Failed Planning 50,planning,physical_artifact,24533,1568,collective,,31022.8,resource_exhaustion,funding exhausted,921,True,endowment fund,True,False,Future generations would have benefited,Resources wasted; knowledge lost,76681,severe,True,False,not_attempted,maintenance_failed,Bridges require ongoing maintenance,934,C. Vells,archival_record,0.87,Planning bridge failed via resource exhaustion,
BF-0051,Failed Construction 51,construction,trained_successor,5911,3001,person,,2777.0,institutional_collapse,funding ended,806,False,,False,,Future generations would have benefited,Resources wasted; knowledge lost,688,severe,True,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,929,P. Anster,archaeological_evidence,0.67,Construction bridge failed via institutional collapse,
BF-0052,Failed Communication 52,communication,physical_artifact,21672,16901,collective,,24369.0,horizon_collapse,builder lost purpose,849,False,,False,,Future community would have benefited,Resources wasted; knowledge lost,60449,significant,False,False,not_attempted,mechanism_inadequate,Match mechanism to the gap,922,P. Anster,archival_record,0.58,Communication bridge failed via horizon collapse,
BF-0053,Failed Warning 53,warning,ritual_practice,21641,5621,institution,,2143.4,physical_destruction,fire at archive,923,False,,False,,Future scholars would have benefited,Resources wasted; opportunity lost,96978,severe,True,True,ongoing,horizon_exceeded,Cannot bridge further than one can care,938,P. Anster,archival_record,0.58,Warning bridge failed via physical destruction,
BF-0054,Failed Communication 54,communication,spatial_configuration,15589,10743,institution,,27009.9,resource_exhaustion,funding exhausted,801,True,distributed storage,False,,Future community would have benefited,Resources wasted; knowledge lost,78624,significant,True,False,not_attempted,maintenance_failed,Bridges require ongoing maintenance,927,R. Voss,institutional_record,0.69,Communication bridge failed via resource exhaustion,
BF-0055,Failed Investment 55,investment,trained_successor,20875,9705,institution,AGT-788,29445.6,active_sabotage,political enemies,813,False,,True,False,Future community would have benefited,Resources wasted; opportunity lost,93688,catastrophic,False,False,not_attempted,external_destruction,Build redundancy against destruction,929,Independent Observer,archaeological_evidence,0.81,Investment bridge failed via active sabotage,
BF-0056,Failed Warning 56,warning,spatial_configuration,2852,1802,collective,,2504.5,active_sabotage,political enemies,847,False,,True,False,Future scholars would have benefited,Resources wasted; opportunity lost,993,moderate,False,False,not_attempted,external_destruction,Build redundancy against destruction,921,P. Anster,testimony,0.87,Warning bridge failed via active sabotage,
BF-0057,Failed Communication 57,communication,written_record,28965,8101,collective,AGT-682,19163.6,physical_destruction,flood damage,820,False,,False,,Future community would have benefited,Resources wasted; connection lost,51215,severe,True,True,ongoing,horizon_exceeded,Cannot bridge further than one can care,927,Boundary Commission,testimony,0.53,Communication bridge failed via physical destruction,
BF-0058,Failed Cultivation 58,cultivation,spatial_configuration,22969,12576,collective,AGT-988,15152.8,active_sabotage,deliberate destruction,898,False,,False,,Future scholars would have benefited,Resources wasted; opportunity lost,39547,significant,False,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,917,R. Voss,testimony,0.51,Cultivation bridge failed via active sabotage,
BF-0059,Failed Construction 59,construction,spatial_configuration,16768,11689,collective,,2552.0,successor_failure,successor abandoned post,816,True,endowment fund,True,True,Future generations would have benefited,Resources wasted; opportunity lost,83864,severe,True,True,successful,horizon_exceeded,Cannot bridge further than one can care,935,K. Strand,archaeological_evidence,0.87,Construction bridge failed via successor failure,
BF-0060,Failed Preservation 60,preservation,ritual_practice,1079,939,collective,,2222.2,physical_destruction,fire at archive,925,False,,True,False,Future scholars would have benefited,Resources wasted; opportunity lost,950,minor,True,False,not_attempted,external_destruction,Build redundancy against destruction,920,Klutch CC Counseling,archival_record,0.79,Preservation bridge failed via physical destruction,
BF-0061,Failed Cultivation 61,cultivation,biological_growth,6631,2730,person,,3424.7,dens_interference,dens boundary shifted,920,False,,False,,Future scholars would have benefited,Resources wasted; opportunity lost,20,moderate,True,True,failed,horizon_exceeded,Cannot bridge further than one can care,935,C. Vells,testimony,0.89,Cultivation bridge failed via dens interference,
BF-0062,Failed Repair 62,repair,biological_growth,34967,16869,institution,,5012.3,information_loss,records corrupted,926,False,,True,False,Future community would have benefited,Resources wasted; opportunity lost,70521,significant,True,True,failed,horizon_exceeded,Cannot bridge further than one can care,916,R. Voss,archaeological_evidence,0.72,Repair bridge failed via information loss,
BF-0063,Failed Legacy 63,legacy,trained_successor,35939,16959,collective,,11576.3,physical_destruction,war destruction,926,False,,False,,Future scholars would have benefited,Resources wasted; opportunity lost,94935,significant,True,True,failed,horizon_exceeded,Cannot bridge further than one can care,923,R. Voss,institutional_record,0.85,Legacy bridge failed via physical destruction,
BF-0064,Failed Investment 64,investment,biological_growth,20440,3313,institution,AGT-881,9461.0,successor_failure,successor died young,859,True,distributed storage,True,False,Future scholars would have benefited,Resources wasted; connection lost,19658,catastrophic,True,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,937,T. Vells,institutional_record,0.92,Investment bridge failed via successor failure,
BF-0065,Failed Planning 65,planning,written_record,35849,2713,collective,,27457.8,active_sabotage,rival faction,926,False,,False,,Future generations would have benefited,Resources wasted; knowledge lost,65972,severe,False,False,not_attempted,external_destruction,Build redundancy against destruction,923,Archive Survey Team,testimony,0.79,Planning bridge failed via active sabotage,
BF-0066,Failed Communication 66,communication,institutional_structure,20970,10603,collective,AGT-169,35928.0,active_sabotage,rival faction,825,False,,True,False,Future community would have benefited,Resources wasted; knowledge lost,43091,significant,False,False,not_attempted,external_destruction,Build redundancy against destruction,916,R. Voss,archaeological_evidence,0.51,Communication bridge failed via active sabotage,
BF-0067,Failed Investment 67,investment,written_record,27618,5006,collective,,32465.2,dens_interference,dens boundary shifted,817,False,,False,,Future generations would have benefited,Resources wasted; knowledge lost,31574,severe,True,False,not_attempted,mechanism_inadequate,Match mechanism to the gap,926,M. Strand,testimony,0.78,Investment bridge failed via dens interference,
BF-0068,Failed Construction 68,construction,written_record,28479,3697,institution,,27211.1,context_change,technology changed,841,False,,True,True,Future generations would have benefited,Resources wasted; knowledge lost,79911,catastrophic,False,False,not_attempted,context_unpredicted,The future may not need what we prepare,914,Archive Survey Team,archival_record,0.58,Construction bridge failed via context change,
BF-0069,Failed Cultivation 69,cultivation,ritual_practice,21001,16974,institution,AGT-604,28549.1,context_change,population moved,866,False,,False,,Future scholars would have benefited,Resources wasted; opportunity lost,17162,significant,False,False,not_attempted,context_unpredicted,The future may not need what we prepare,916,K. Strand,archival_record,0.67,Cultivation bridge failed via context change,
BF-0070,Failed Construction 70,construction,trained_successor,10066,5750,collective,,33376.6,institutional_collapse,purpose forgotten,923,False,,True,False,Future community would have benefited,Resources wasted; knowledge lost,48797,severe,True,False,not_attempted,internal_decay,Renew purpose to maintain bridges,925,R. Voss,archival_record,0.88,Construction bridge failed via institutional collapse,
BF-0071,Failed Legacy 71,legacy,ritual_practice,15518,5243,collective,,8096.6,successor_failure,successor never trained,914,True,multiple successors,True,False,Future scholars would have benefited,Resources wasted; knowledge lost,46607,severe,True,True,ongoing,horizon_exceeded,Cannot bridge further than one can care,923,C. Vells,institutional_record,0.86,Legacy bridge failed via successor failure,
BF-0072,Failed Warning 72,warning,institutional_structure,33911,3300,collective,,11649.5,memory_fade,collective forgot,890,False,,False,,Future community would have benefited,Resources wasted; connection lost,74933,significant,True,True,failed,horizon_exceeded,Cannot bridge further than one can care,928,R. Voss,archival_record,0.67,Warning bridge failed via memory fade,
BF-0073,Failed Cultivation 73,cultivation,biological_growth,26631,7553,collective,,24941.4,resource_exhaustion,labor unavailable,822,True,redundant copies,True,False,Future community would have benefited,Resources wasted; connection lost,40984,significant,True,False,not_attempted,maintenance_failed,Bridges require ongoing maintenance,921,Boundary Commission,institutional_record,0.93,Cultivation bridge failed via resource exhaustion,
BF-0074,Failed Cultivation 74,cultivation,ritual_practice,21923,8994,collective,,8220.5,context_change,technology changed,905,False,,False,,Future community would have benefited,Resources wasted; knowledge lost,59034,catastrophic,False,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,921,Klutch CC Counseling,testimony,0.85,Cultivation bridge failed via context change,
BF-0075,Failed Legacy 75,legacy,written_record,34863,8464,collective,AGT-372,18748.2,memory_fade,meaning lost,919,False,,True,True,Future generations would have benefited,Resources wasted; connection lost,39784,severe,True,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,917,C. Vells,archival_record,0.81,Legacy bridge failed via memory fade,
BF-0076,Failed Investment 76,investment,trained_successor,24917,10451,institution,,29925.9,information_loss,language forgotten,917,False,,False,,Future scholars would have benefited,Resources wasted; opportunity lost,1683,severe,True,False,not_attempted,mechanism_inadequate,Match mechanism to the gap,933,Independent Observer,institutional_record,0.82,Investment bridge failed via information loss,
BF-0077,Failed Repair 77,repair,physical_artifact,25291,15043,collective,,12935.2,physical_destruction,fire at archive,893,False,,False,,Future scholars would have benefited,Resources wasted; connection lost,52161,severe,True,True,failed,horizon_exceeded,Cannot bridge further than one can care,939,Archive Survey Team,testimony,0.52,Repair bridge failed via physical destruction,
BF-0078,Failed Repair 78,repair,collective_memory,6698,3918,collective,,2323.1,dens_interference,dens boundary shifted,901,False,,False,,Future generations would have benefited,Resources wasted; knowledge lost,37,severe,True,True,failed,horizon_exceeded,Cannot bridge further than one can care,929,P. Anster,institutional_record,0.75,Repair bridge failed via dens interference,
BF-0079,Failed Construction 79,construction,spatial_configuration,502,402,collective,AGT-182,4589.5,dens_interference,proximity disruption,850,False,,True,False,Future community would have benefited,Resources wasted; knowledge lost,325,significant,True,True,partial,mechanism_inadequate,Match mechanism to the gap,940,Klutch CC Counseling,archival_record,0.65,Construction bridge failed via dens interference,
BF-0080,Failed Promise 80,promise,ritual_practice,10103,8800,institution,AGT-440,9409.9,successor_failure,successor died young,939,True,redundant copies,False,,Future generations would have benefited,Resources wasted; opportunity lost,96158,significant,True,False,not_attempted,internal_decay,Renew purpose to maintain bridges,916,Boundary Commission,archaeological_evidence,0.53,Promise bridge failed via successor failure,
BF-0081,Failed Investment 81,investment,collective_memory,13815,2147,institution,AGT-416,14029.3,resource_exhaustion,materials depleted,876,True,distributed storage,True,False,Future scholars would have benefited,Resources wasted; opportunity lost,49015,significant,True,False,not_attempted,maintenance_failed,Bridges require ongoing maintenance,930,M. Strand,archaeological_evidence,0.55,Investment bridge failed via resource exhaustion,
BF-0082,Failed Cultivation 82,cultivation,institutional_structure,24468,9022,institution,,8339.8,physical_destruction,flood damage,906,False,,False,,Future generations would have benefited,Resources wasted; opportunity lost,98453,significant,True,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,914,P. Anster,testimony,0.57,Cultivation bridge failed via physical destruction,
BF-0083,Failed Repair 83,repair,physical_artifact,7258,54,collective,,4656.1,active_sabotage,deliberate destruction,851,False,,True,False,Future generations would have benefited,Resources wasted; connection lost,813,moderate,False,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,916,Boundary Commission,institutional_record,0.76,Repair bridge failed via active sabotage,
BF-0084,Failed Cultivation 84,cultivation,physical_artifact,19884,7773,collective,,5390.1,horizon_collapse,collective lost vision,861,False,,True,False,Future community would have benefited,Resources wasted; opportunity lost,35517,severe,False,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,938,Klutch CC Counseling,archival_record,0.66,Cultivation bridge failed via horizon collapse,
