basin_id,basin_name,measurement_id,center_x,center_y,center_z,depth,width,slope,curvature_avg,stability_index,escape_velocity,form_count,adjacent_basins,ridge_count,geodesic_count,measurement_year,measurement_method,surveyor,confidence,notes
BA-002,Binary Basin,BM-0011,-0.5077,-0.4343,0.085,1.958,0.417,2.0,1.062,0.99,0.95,33,"BA-049,BA-019,BA-033,BA-037",4,20,930,trajectory_analysis,Independent Scholar,0.81,Geodesic paths through this basin documented.
BA-002,Binary Basin,BM-0012,-0.5464,-0.4355,0.0819,2.0,0.453,2.0,0.877,0.976,0.84,40,"BA-049,BA-019,BA-033,BA-037",4,26,932,historical_reconstruction,Independent Scholar,0.81,Form count increased since last survey.
BA-003,Tension Basin,BM-0014,0.516,0.5741,0.2396,1.66,0.243,2.0,0.668,0.977,0.84,13,"BA-001,BA-007,BA-020",3,14,922,historical_reconstruction,Esseny Moll,0.71,Geodesic paths through this basin documented.
BA-003,Tension Basin,BM-0015,0.5367,0.5013,0.2296,1.491,0.204,2.0,0.299,0.871,0.77,13,"BA-001,BA-007,BA-020",3,9,923,trajectory_analysis,Western Archive Team,0.69,Archive Survey Team suggests revised coordinates.
BA-003,Tension Basin,BM-0016,0.5769,0.4797,0.2614,1.307,0.222,2.0,0.206,0.87,0.62,11,"BA-001,BA-007,BA-020",3,10,927,trajectory_analysis,Independent Scholar,0.86,Adjacent basin measurements suggest shared ridge.
BA-003,Tension Basin,BM-0017,0.5246,0.4938,0.2523,1.64,0.176,2.0,0.851,0.824,0.79,12,"BA-001,BA-007,BA-020",3,13,928,historical_reconstruction,Western Archive Team,0.75,Width appears to have expanded slightly since Year 920.
BA-003,Tension Basin,BM-0018,0.5253,0.4898,0.2434,1.697,0.218,2.0,0.848,0.946,0.73,11,"BA-001,BA-007,BA-020",3,14,931,form_clustering,C. Vells,0.91,
BA-003,Tension Basin,BM-0019,0.523,0.5535,0.2483,1.561,0.205,2.0,0.784,0.899,0.83,14,"BA-001,BA-007,BA-020",3,15,932,form_clustering,Boundary Commission,0.98,Senate Survey funding enabled comprehensive mapping.
BA-004,Triad Basin,BM-0020,-0.1488,0.6382,0.3215,1.386,0.207,2.0,0.617,0.977,0.79,10,"BA-014,BA-022,BA-016",3,13,918,historical_reconstruction,Independent Scholar,0.64,Saddle point SP-020 observed on boundary.
BA-004,Triad Basin,BM-0021,-0.1656,0.5558,0.3729,1.494,0.169,2.0,0.477,0.834,0.66,8,"BA-014,BA-022,BA-016",3,8,919,trajectory_analysis,Senate Survey,0.66,Adjacent basin measurements suggest shared ridge.
BA-004,Triad Basin,BM-0022,-0.1487,0.6228,0.3166,1.123,0.194,2.0,-0.361,0.889,0.58,8,"BA-014,BA-022,BA-016",3,11,923,historical_reconstruction,C. Vells,0.61,Consistent with Vells Year 918 survey.
BA-004,Triad Basin,BM-0023,-0.1666,0.6529,0.3493,1.282,0.177,2.0,0.32,0.83,0.6,12,"BA-014,BA-022,BA-016",3,11,924,boundary_mapping,Morren Kast,0.65,Width appears to have expanded slightly since Year 920.
BA-005,Five-Body Basin,BM-0025,0.7042,0.6593,0.8942,1.561,0.085,2.0,0.499,0.962,0.7,1,"BA-012,BA-041,BA-007",3,4,922,trajectory_analysis,Morren Kast,0.7,Stability index higher than predicted by depth alone.
BA-005,Five-Body Basin,BM-0026,0.7132,0.7025,0.9266,1.573,0.108,2.0,0.136,0.921,0.73,3,"BA-012,BA-041,BA-007",3,8,925,historical_reconstruction,Boundary Commission,0.72,Form count increased since last survey.
BA-005,Five-Body Basin,BM-0027,0.7184,0.7091,0.8934,1.385,0.102,2.0,0.41,0.92,0.6,1,"BA-012,BA-041,BA-007",3,8,926,trajectory_analysis,Morren Kast,0.8,Archive Survey Team suggests revised coordinates.
BA-005,Five-Body Basin,BM-0028,0.6771,0.6609,0.8862,1.645,0.098,2.0,0.606,0.925,0.82,1,"BA-012,BA-041,BA-007",3,9,927,form_clustering,C. Vells,0.83,Curvature measurements indicate local geometry variation.
BA-005,Five-Body Basin,BM-0029,0.7282,0.699,0.8554,1.409,0.105,2.0,0.4,0.913,0.75,5,"BA-012,BA-041,BA-007",3,7,930,historical_reconstruction,Archive Survey Team,0.88,Width appears to have expanded slightly since Year 920.
BA-006,Septenary Basin,BM-0030,0.0732,-0.5333,0.498,1.444,0.183,2.0,0.039,0.819,0.63,8,"BA-037,BA-034,BA-042",3,11,919,trajectory_analysis,C. Vells,0.51,Archive Survey Team suggests revised coordinates.
BA-006,Septenary Basin,BM-0031,0.0764,-0.5573,0.4305,0.951,0.219,2.0,0.42,0.918,0.53,7,"BA-037,BA-034,BA-042",3,11,923,form_clustering,Western Archive Team,0.74,Depth measurement refined from earlier estimates.
BA-006,Septenary Basin,BM-0033,0.0758,-0.5787,0.4265,1.376,0.241,2.0,-0.159,0.825,0.59,12,"BA-037,BA-034,BA-042",3,14,930,boundary_mapping,Independent Scholar,0.87,Depth measurement refined from earlier estimates.
BA-006,Septenary Basin,BM-0034,0.0759,-0.5723,0.3984,1.377,0.207,2.0,0.054,0.862,0.66,9,"BA-037,BA-034,BA-042",3,5,931,boundary_mapping,Esseny Moll,0.84,Senate Survey funding enabled comprehensive mapping.
BA-015,Breathing Hollow,BM-0035,-0.214,0.5008,-0.3087,0.605,0.136,2.0,-0.457,0.766,0.36,3,"BA-028,BA-022,BA-032",3,2,921,boundary_mapping,C. Vells,0.67,Adjacent basin measurements suggest shared ridge.
BA-015,Breathing Hollow,BM-0036,-0.2084,0.4771,-0.2647,0.582,0.139,1.945,-0.421,0.723,0.48,5,"BA-028,BA-022,BA-032",3,7,922,historical_reconstruction,Morren Kast,0.61,Geodesic paths through this basin documented.
BA-015,Breathing Hollow,BM-0037,-0.2136,0.4722,-0.302,0.574,0.132,2.0,0.146,0.715,0.35,3,"BA-028,BA-022,BA-032",3,3,923,boundary_mapping,Independent Scholar,0.68,Senate Survey funding enabled comprehensive mapping.
BA-015,Breathing Hollow,BM-0038,-0.2332,0.4438,-0.2751,0.605,0.154,1.938,-0.558,0.66,0.31,3,"BA-028,BA-022,BA-032",3,7,927,trajectory_analysis,T. Vells,0.72,Ridge structure more complex than initially mapped.
BA-015,Breathing Hollow,BM-0039,-0.2242,0.4729,-0.2865,0.57,0.116,2.0,-0.018,0.678,0.41,6,"BA-028,BA-022,BA-032",3,4,928,historical_reconstruction,T. Vells,0.78,Measurement contested by Boundary Commission.
BA-015,Breathing Hollow,BM-0040,-0.2191,0.4898,-0.2793,0.575,0.162,1.583,-0.806,0.676,0.36,9,"BA-028,BA-022,BA-032",3,4,930,trajectory_analysis,Esseny Moll,0.76,Independent verification pending.
BA-015,Breathing Hollow,BM-0041,-0.2131,0.4969,-0.2916,0.584,0.155,1.718,0.099,0.731,0.42,7,"BA-028,BA-022,BA-032",3,11,931,trajectory_analysis,T. Vells,0.97,Stability index higher than predicted by depth alone.
BA-015,Breathing Hollow,BM-0042,-0.2133,0.4791,-0.297,0.575,0.134,2.0,0.118,0.69,0.46,10,"BA-028,BA-022,BA-032",3,6,932,boundary_mapping,Independent Scholar,0.97,Depth measurement refined from earlier estimates.
BA-007,The Outer Depression,BM-0044,0.6422,0.25,0.407,0.437,0.212,0.964,-0.624,0.599,0.24,11,"BA-041,BA-001,BA-003,BA-020",5,5,925,trajectory_analysis,Esseny Moll,0.71,Adjacent basin measurements suggest shared ridge.
BA-007,The Tertiary Sink,BM-0045,0.7025,0.257,0.3744,0.381,0.222,0.749,-0.154,0.637,0.26,14,"BA-041,BA-001,BA-003,BA-020",5,13,927,boundary_mapping,Esseny Moll,0.75,Measurement contested by Boundary Commission.
BA-007,The Lower Pool,BM-0046,0.6722,0.2476,0.3911,0.502,0.217,0.969,-0.67,0.595,0.37,13,"BA-041,BA-001,BA-003,BA-020",5,9,931,boundary_mapping,Morren Kast,0.95,Adjacent basin measurements suggest shared ridge.
BA-007,The Tertiary Trough,BM-0047,0.6309,0.2546,0.4066,0.437,0.201,1.079,0.028,0.586,0.33,12,"BA-041,BA-001,BA-003,BA-020",5,9,932,historical_reconstruction,C. Vells,0.98,Independent verification pending.
BA-008,The Lower Depression,BM-0048,0.0746,-0.0792,-0.4306,0.816,0.228,1.609,0.347,0.607,0.45,9,"BA-029,BA-023",2,8,919,boundary_mapping,K. Strand,0.65,Senate Survey funding enabled comprehensive mapping.
BA-008,The Deep Trough,BM-0049,0.0809,-0.0736,-0.4354,1.006,0.156,2.0,-0.393,0.688,0.46,9,"BA-029,BA-023",2,10,920,historical_reconstruction,Western Archive Team,0.68,Form count increased since last survey.
BA-008,The Minor Trough,BM-0050,0.077,-0.0766,-0.4527,1.065,0.164,2.0,0.011,0.711,0.55,13,"BA-029,BA-023",2,13,926,trajectory_analysis,Senate Survey,0.74,Measurement contested by Boundary Commission.
BA-008,The Outer Well,BM-0051,0.0795,-0.075,-0.4289,1.075,0.223,2.0,0.385,0.733,0.58,11,"BA-029,BA-023",2,13,928,historical_reconstruction,Western Archive Team,0.81,Saddle point SP-022 observed on boundary.
BA-008,The Inner Well,BM-0052,0.0738,-0.0791,-0.4258,1.083,0.196,2.0,-0.239,0.697,0.57,10,"BA-029,BA-023",2,6,929,form_clustering,Independent Scholar,0.74,Width appears to have expanded slightly since Year 920.
BA-009,The Ancient Sink,BM-0053,-0.1078,0.2642,-0.7783,0.357,0.15,1.368,-0.728,0.677,0.37,4,"BA-028,BA-043,BA-026,BA-008",5,7,918,boundary_mapping,Boundary Commission,0.61,Measurement contested by Boundary Commission.
BA-009,The Minor Sink,BM-0054,-0.0894,0.2326,-0.7561,0.363,0.133,1.181,-0.079,0.631,0.3,4,"BA-028,BA-043,BA-026,BA-008",5,4,919,historical_reconstruction,Archive Survey Team,0.53,Saddle point SP-002 observed on boundary.
BA-009,The Ancient Pool,BM-0055,-0.0911,0.2344,-0.7689,0.347,0.136,1.173,-0.622,0.719,0.41,4,"BA-028,BA-043,BA-026,BA-008",5,7,922,boundary_mapping,K. Strand,0.66,Ridge structure more complex than initially mapped.
BA-009,The Secondary Well,BM-0056,-0.1045,0.2164,-0.7461,0.386,0.151,1.258,-0.068,0.685,0.38,4,"BA-028,BA-043,BA-026,BA-008",5,6,923,form_clustering,Senate Survey,0.71,Measurement contested by Boundary Commission.
BA-009,The Minor Well,BM-0057,-0.1023,0.2473,-0.6824,0.333,0.124,1.445,-0.607,0.739,0.33,3,"BA-028,BA-043,BA-026,BA-008",5,6,924,boundary_mapping,K. Strand,0.61,Stability index higher than predicted by depth alone.
BA-009,The Southern Well,BM-0058,-0.0986,0.2065,-0.7532,0.381,0.16,1.35,-0.995,0.734,0.3,4,"BA-028,BA-043,BA-026,BA-008",5,6,925,trajectory_analysis,T. Vells,0.66,Prime association confirmed by behavioral analysis.
BA-009,The Deep Valley,BM-0059,-0.0955,0.2415,-0.7557,0.353,0.163,1.132,-0.829,0.68,0.37,7,"BA-028,BA-043,BA-026,BA-008",5,7,930,form_clustering,Western Archive Team,0.91,Saddle point SP-021 observed on boundary.
BA-009,The Northern Hollow,BM-0060,-0.1037,0.2502,-0.7473,0.333,0.169,0.849,-0.273,0.708,0.24,4,"BA-028,BA-043,BA-026,BA-008",5,7,932,boundary_mapping,Boundary Commission,0.86,Curvature measurements indicate local geometry variation.
BA-010,The Shallow Pool,BM-0062,-0.8917,0.6957,-0.0737,1.573,0.261,2.0,0.137,0.847,0.75,10,"BA-022,BA-024",2,9,919,form_clustering,Boundary Commission,0.55,Adjacent basin measurements suggest shared ridge.
BA-010,The Eastern Sink,BM-0063,-0.8855,0.6385,-0.0751,1.247,0.208,2.0,0.284,0.87,0.65,12,"BA-022,BA-024",2,7,923,trajectory_analysis,K. Strand,0.61,Stability index higher than predicted by depth alone.
BA-010,The Eastern Well,BM-0064,-0.8776,0.5726,-0.0721,1.558,0.197,2.0,0.102,0.842,0.63,13,"BA-022,BA-024",2,15,925,historical_reconstruction,Archive Survey Team,0.65,Archive Survey Team suggests revised coordinates.
BA-010,The Shallow Basin,BM-0065,-0.8497,0.6521,-0.0712,1.483,0.24,2.0,0.818,0.895,0.63,15,"BA-022,BA-024",2,8,932,boundary_mapping,Boundary Commission,0.94,Adjacent basin measurements suggest shared ridge.
BA-011,The Western Valley,BM-0066,0.8362,0.1856,-0.7787,0.585,0.098,2.0,-0.32,0.72,0.46,8,"BA-023,BA-044",2,6,918,trajectory_analysis,Morren Kast,0.5,Stability index higher than predicted by depth alone.
BA-011,The Deep Valley,BM-0067,0.7489,0.2151,-0.7889,0.809,0.109,2.0,0.067,0.719,0.52,7,"BA-023,BA-044",2,11,919,historical_reconstruction,Western Archive Team,0.66,Depth measurement refined from earlier estimates.
BA-011,The Western Basin,BM-0068,0.8337,0.2489,-0.8932,0.532,0.108,2.0,0.092,0.821,0.5,7,"BA-023,BA-044",2,9,923,boundary_mapping,Western Archive Team,0.74,Stability index higher than predicted by depth alone.
BA-011,The Deep Well,BM-0069,0.7682,0.2091,-0.8476,0.684,0.096,2.0,-0.276,0.773,0.38,10,"BA-023,BA-044",2,12,925,boundary_mapping,T. Vells,0.71,Archive Survey Team suggests revised coordinates.
BA-011,The Southern Basin,BM-0070,0.8752,0.2111,-0.7959,0.608,0.123,2.0,0.166,0.724,0.34,7,"BA-023,BA-044",2,7,926,boundary_mapping,C. Vells,0.82,Depth measurement refined from earlier estimates.
BA-011,The Eastern Trough,BM-0071,0.8137,0.2258,-0.9023,0.66,0.126,2.0,-0.7,0.682,0.38,9,"BA-023,BA-044",2,4,928,form_clustering,Senate Survey,0.73,Archive Survey Team suggests revised coordinates.
BA-011,The Ancient Trough,BM-0072,0.8591,0.221,-0.8224,0.624,0.106,2.0,-0.262,0.657,0.36,7,"BA-023,BA-044",2,8,930,boundary_mapping,Archive Survey Team,0.94,Prime association confirmed by behavioral analysis.
BA-012,The Eastern Sink,BM-0073,0.7948,0.6257,0.7123,0.472,0.204,1.005,-0.593,0.57,0.24,8,"BA-005,BA-003,BA-007",3,4,918,boundary_mapping,K. Strand,0.5,Prime association confirmed by behavioral analysis.
BA-012,The Eastern Trough,BM-0074,0.8422,0.7598,0.7289,0.454,0.171,1.315,-0.79,0.539,0.34,8,"BA-005,BA-003,BA-007",3,11,920,trajectory_analysis,Esseny Moll,0.64,Geodesic paths through this basin documented.
BA-012,The Central Hollow,BM-0075,0.8179,0.7063,0.6668,0.626,0.196,1.694,-0.683,0.533,0.41,7,"BA-005,BA-003,BA-007",3,10,922,historical_reconstruction,Esseny Moll,0.72,Ridge structure more complex than initially mapped.
BA-012,The Northern Catchment,BM-0076,0.8058,0.7058,0.669,0.606,0.193,1.368,-0.555,0.583,0.31,11,"BA-005,BA-003,BA-007",3,12,924,historical_reconstruction,Boundary Commission,0.75,Prime association confirmed by behavioral analysis.
BA-012,The Tertiary Catchment,BM-0077,0.8094,0.6459,0.7062,0.552,0.239,1.149,0.11,0.552,0.39,9,"BA-005,BA-003,BA-007",3,4,925,trajectory_analysis,Archive Survey Team,0.78,Geodesic paths through this basin documented.
BA-012,The Lower Valley,BM-0078,0.8328,0.6571,0.6724,0.601,0.21,1.371,-0.025,0.57,0.28,7,"BA-005,BA-003,BA-007",3,10,926,boundary_mapping,Esseny Moll,0.76,Ridge structure more complex than initially mapped.
BA-012,The Ancient Sink,BM-0079,0.7861,0.7307,0.718,0.578,0.186,1.591,-0.495,0.578,0.31,8,"BA-005,BA-003,BA-007",3,7,927,trajectory_analysis,Western Archive Team,0.82,Form count increased since last survey.
BA-013,The Secondary Sink,BM-0080,0.8263,0.5416,-0.0664,0.998,0.118,2.0,0.16,0.825,0.5,6,"BA-020,BA-003",2,6,919,trajectory_analysis,Esseny Moll,0.48,
BA-013,The Western Trough,BM-0081,0.8198,0.6258,-0.068,1.24,0.166,2.0,0.307,0.673,0.63,6,"BA-020,BA-003",2,10,924,trajectory_analysis,Boundary Commission,0.64,Ridge structure more complex than initially mapped.
BA-013,The Central Pool,BM-0082,0.7173,0.6389,-0.0637,1.159,0.146,2.0,0.142,0.775,0.58,4,"BA-020,BA-003",2,4,926,trajectory_analysis,C. Vells,0.76,Form count increased since last survey.
BA-013,The Shallow Trough,BM-0083,0.8093,0.634,-0.0657,1.15,0.134,2.0,0.261,0.813,0.67,6,"BA-020,BA-003",2,11,928,historical_reconstruction,Independent Scholar,0.83,Adjacent basin measurements suggest shared ridge.
BA-013,The Lower Catchment,BM-0085,0.7843,0.6172,-0.0686,1.171,0.128,2.0,-0.064,0.824,0.57,5,"BA-020,BA-003",2,7,932,boundary_mapping,Esseny Moll,0.81,Adjacent basin measurements suggest shared ridge.
BA-014,The Shallow Trough,BM-0086,-0.3618,0.3536,0.1533,0.868,0.137,2.0,0.193,0.778,0.59,6,"BA-022,BA-024,BA-004,BA-016",4,6,919,historical_reconstruction,Independent Scholar,0.59,Width appears to have expanded slightly since Year 920.
BA-014,The Shallow Valley,BM-0087,-0.3367,0.4018,0.1359,0.914,0.217,2.0,-0.272,0.721,0.43,9,"BA-022,BA-024,BA-004,BA-016",4,8,922,historical_reconstruction,Senate Survey,0.63,Senate Survey funding enabled comprehensive mapping.
BA-014,The Western Well,BM-0088,-0.3383,0.3562,0.1607,0.826,0.201,2.0,0.28,0.736,0.48,7,"BA-022,BA-024,BA-004,BA-016",4,8,925,boundary_mapping,C. Vells,0.69,Measurement contested by Boundary Commission.
BA-014,The Northern Well,BM-0089,-0.4062,0.3636,0.1391,0.67,0.211,1.493,-0.342,0.807,0.46,6,"BA-022,BA-024,BA-004,BA-016",4,6,926,trajectory_analysis,Independent Scholar,0.81,Measurement contested by Boundary Commission.
BA-014,The Outer Basin,BM-0090,-0.3631,0.3697,0.1347,0.835,0.218,1.962,-0.112,0.719,0.48,8,"BA-022,BA-024,BA-004,BA-016",4,6,927,trajectory_analysis,Boundary Commission,0.86,Geodesic paths through this basin documented.
BA-014,The Eastern Trough,BM-0091,-0.3866,0.3217,0.1435,0.819,0.183,2.0,-0.271,0.77,0.52,6,"BA-022,BA-024,BA-004,BA-016",4,9,928,historical_reconstruction,T. Vells,0.71,
BA-014,The Secondary Trough,BM-0092,-0.3546,0.3301,0.143,0.833,0.217,2.0,-0.231,0.783,0.53,8,"BA-022,BA-024,BA-004,BA-016",4,8,930,form_clustering,T. Vells,0.9,Independent verification pending.
BA-014,The Secondary Basin,BM-0093,-0.3755,0.3663,0.1431,0.815,0.189,2.0,-0.473,0.731,0.42,12,"BA-022,BA-024,BA-004,BA-016",4,9,932,historical_reconstruction,Archive Survey Team,0.83,Form count increased since last survey.
BA-016,The Eastern Depression,BM-0094,-0.5843,0.2787,0.4876,1.143,0.144,2.0,0.181,0.804,0.68,4,"BA-024,BA-045",2,11,918,historical_reconstruction,Archive Survey Team,0.47,Ridge structure more complex than initially mapped.
BA-016,The Eastern Sink,BM-0095,-0.5949,0.2943,0.5342,1.221,0.149,2.0,0.083,0.845,0.65,4,"BA-024,BA-045",2,10,919,historical_reconstruction,Senate Survey,0.54,Geodesic paths through this basin documented.
BA-016,The Tertiary Hollow,BM-0096,-0.5356,0.2951,0.4077,1.2,0.156,2.0,-0.091,0.692,0.58,5,"BA-024,BA-045",2,5,920,historical_reconstruction,Archive Survey Team,0.53,Senate Survey funding enabled comprehensive mapping.
BA-016,The Western Basin,BM-0097,-0.6032,0.2801,0.5286,0.879,0.127,2.0,-0.276,0.775,0.56,6,"BA-024,BA-045",2,11,924,boundary_mapping,Esseny Moll,0.66,Geodesic paths through this basin documented.
BA-016,The Western Trough,BM-0098,-0.5568,0.2934,0.5143,1.045,0.158,2.0,-0.077,0.796,0.57,7,"BA-024,BA-045",2,10,925,boundary_mapping,Independent Scholar,0.79,
BA-016,The Outer Well,BM-0099,-0.5565,0.2886,0.4956,1.149,0.157,2.0,0.329,0.778,0.63,7,"BA-024,BA-045",2,11,928,boundary_mapping,Independent Scholar,0.88,Prime association confirmed by behavioral analysis.
BA-016,The Southern Basin,BM-0100,-0.5672,0.2756,0.5027,1.079,0.142,2.0,0.457,0.891,0.62,4,"BA-024,BA-045",2,10,930,boundary_mapping,K. Strand,0.89,Width appears to have expanded slightly since Year 920.
BA-016,The Secondary Basin,BM-0101,-0.5665,0.2944,0.4837,0.97,0.128,2.0,0.399,0.839,0.56,4,"BA-024,BA-045",2,10,932,historical_reconstruction,C. Vells,0.82,Adjacent basin measurements suggest shared ridge.
BA-017,The Shallow Basin,BM-0102,0.633,-0.5715,0.4769,0.353,0.25,0.78,-0.775,0.577,0.33,6,"BA-038,BA-006,BA-048",3,7,920,form_clustering,C. Vells,0.69,Consistent with Vells Year 918 survey.
BA-017,The Lower Hollow,BM-0103,0.6635,-0.6142,0.5508,0.344,0.273,0.439,-0.854,0.497,0.31,9,"BA-038,BA-006,BA-048",3,4,922,trajectory_analysis,C. Vells,0.63,Depth measurement refined from earlier estimates.
BA-017,The Secondary Sink,BM-0104,0.6239,-0.5525,0.5198,0.292,0.237,0.659,-0.809,0.532,0.29,10,"BA-038,BA-006,BA-048",3,10,929,form_clustering,Morren Kast,0.88,Ridge structure more complex than initially mapped.
BA-017,The Northern Hollow,BM-0105,0.654,-0.5321,0.5109,0.345,0.271,0.635,-0.124,0.511,0.26,11,"BA-038,BA-006,BA-048",3,8,930,boundary_mapping,C. Vells,0.9,Archive Survey Team suggests revised coordinates.
BA-017,The Eastern Basin,BM-0106,0.6392,-0.5842,0.5001,0.361,0.297,0.709,-0.575,0.543,0.19,11,"BA-038,BA-006,BA-048",3,8,931,trajectory_analysis,Western Archive Team,0.78,Ridge structure more complex than initially mapped.
BA-018,The Tertiary Catchment,BM-0107,0.7139,-0.4404,-0.1391,1.568,0.145,2.0,0.256,0.72,0.71,2,"BA-038,BA-035,BA-027,BA-029",4,6,920,form_clustering,Western Archive Team,0.62,Measurement contested by Boundary Commission.
BA-018,The Deep Depression,BM-0108,0.6976,-0.4688,-0.1364,1.314,0.134,2.0,-0.204,0.797,0.63,1,"BA-038,BA-035,BA-027,BA-029",4,5,922,form_clustering,Morren Kast,0.72,
BA-018,The Inner Depression,BM-0109,0.7136,-0.4402,-0.1404,1.17,0.146,2.0,-0.11,0.747,0.67,5,"BA-038,BA-035,BA-027,BA-029",4,9,926,form_clustering,Morren Kast,0.8,Prime association confirmed by behavioral analysis.
BA-018,The Inner Depression,BM-0110,0.7446,-0.4541,-0.1476,1.556,0.142,2.0,0.374,0.741,0.69,3,"BA-038,BA-035,BA-027,BA-029",4,3,929,trajectory_analysis,Senate Survey,0.81,Ridge structure more complex than initially mapped.
BA-018,The Ancient Pool,BM-0111,0.6979,-0.4671,-0.1397,1.299,0.139,2.0,0.333,0.772,0.69,3,"BA-038,BA-035,BA-027,BA-029",4,5,931,historical_reconstruction,Esseny Moll,0.97,Ridge structure more complex than initially mapped.
BA-019,The Ancient Catchment,BM-0112,-0.215,-0.1656,-0.1316,0.661,0.113,2.0,-0.436,0.572,0.43,10,"BA-049,BA-008,BA-002",3,10,921,trajectory_analysis,Archive Survey Team,0.53,Independent verification pending.
BA-019,The Central Depression,BM-0113,-0.1922,-0.1487,-0.1406,0.725,0.155,2.0,-0.316,0.563,0.45,10,"BA-049,BA-008,BA-002",3,5,924,trajectory_analysis,Boundary Commission,0.72,Prime association confirmed by behavioral analysis.
BA-019,The Outer Hollow,BM-0114,-0.2135,-0.1567,-0.1297,0.715,0.129,2.0,-0.229,0.606,0.31,8,"BA-049,BA-008,BA-002",3,7,930,historical_reconstruction,Senate Survey,0.77,Consistent with Vells Year 918 survey.
BA-019,The Central Pool,BM-0115,-0.2091,-0.1537,-0.1325,0.661,0.105,2.0,0.21,0.597,0.38,8,"BA-049,BA-008,BA-002",3,3,931,boundary_mapping,Boundary Commission,0.9,Senate Survey funding enabled comprehensive mapping.
BA-019,The Shallow Trough,BM-0116,-0.2049,-0.1654,-0.145,0.739,0.136,2.0,-0.637,0.607,0.49,11,"BA-049,BA-008,BA-002",3,10,932,historical_reconstruction,Independent Scholar,0.95,Width appears to have expanded slightly since Year 920.
BA-020,The Minor Trough,BM-0117,0.7126,0.3972,-0.0408,0.782,0.168,2.0,0.305,0.66,0.51,8,"BA-013,BA-001,BA-003",3,10,919,historical_reconstruction,Western Archive Team,0.49,Prime association confirmed by behavioral analysis.
BA-020,The Secondary Basin,BM-0118,0.7399,0.3749,-0.0394,0.933,0.185,2.0,-0.224,0.582,0.41,6,"BA-013,BA-001,BA-003",3,10,920,boundary_mapping,C. Vells,0.59,Adjacent basin measurements suggest shared ridge.
BA-020,The Tertiary Depression,BM-0119,0.7871,0.3254,-0.0353,0.995,0.188,2.0,-0.306,0.668,0.51,8,"BA-013,BA-001,BA-003",3,8,922,form_clustering,Independent Scholar,0.6,Curvature measurements indicate local geometry variation.
BA-020,The Shallow Depression,BM-0120,0.7489,0.371,-0.0344,0.842,0.178,2.0,-0.271,0.663,0.53,7,"BA-013,BA-001,BA-003",3,8,926,historical_reconstruction,C. Vells,0.75,Depth measurement refined from earlier estimates.
