intervention_id,student_id,intervention_type,intervention_date,semester,intervention_visible,student_receptive,predicted_effect,actual_effect,model_updated,notes
INT-0021,ST-3053,counseling,2018-09-30,Y1-F,True,False,stabilization,stabilization,True,
INT-0022,ST-3032,faculty_notification,2018-09-25,Y1-F,False,,moderate_improvement,slight_improvement,True,
INT-0023,ST-3051,tutoring,2018-09-29,Y1-F,True,True,significant_improvement,slight_improvement,True,
INT-0024,ST-3043,counseling,2018-09-20,Y1-F,True,True,significant_improvement,no_change,False,
INT-0025,ST-3017,course_advising,2018-09-29,Y1-F,True,True,stabilization,stabilization,True,
INT-0026,ST-3080,counseling,2018-09-27,Y1-F,True,True,moderate_improvement,moderate_improvement,True,
INT-0027,ST-3075,course_advising,2018-10-01,Y1-F,True,True,significant_improvement,significant_improvement,True,
INT-0028,ST-3028,tutoring,2018-09-25,Y1-F,True,True,maintenance,slight_decline,True,
INT-0029,ST-3095,counseling,2018-09-28,Y1-F,True,True,moderate_improvement,moderate_improvement,True,
INT-0030,ST-3073,counseling,2018-09-22,Y1-F,True,False,significant_improvement,slight_decline,True,
INT-0031,ST-3062,course_advising,2018-09-14,Y1-F,True,False,moderate_improvement,moderate_improvement,True,
INT-0032,ST-3064,tutoring,2018-09-16,Y1-F,True,True,significant_improvement,slight_decline,True,
INT-0033,ST-3029,course_advising,2018-09-25,Y1-F,True,True,moderate_improvement,moderate_improvement,True,
INT-0034,ST-3041,tutoring,2018-10-01,Y1-F,True,True,significant_improvement,significant_improvement,True,
INT-0035,ST-3084,mentorship,2018-09-25,Y1-F,True,True,stabilization,slight_decline,True,
INT-0036,ST-3008,tutoring,2018-09-22,Y1-F,True,True,moderate_improvement,moderate_improvement,True,
INT-0037,ST-3074,course_advising,2018-10-01,Y1-F,True,False,stabilization,stabilization,True,
INT-0038,ST-3042,mentorship,2019-02-14,Y1-S,True,True,maintenance,maintenance,True,
INT-0039,ST-3097,mentorship,2019-02-17,Y1-S,True,False,stabilization,stabilization,True,
INT-0040,ST-3098,mentorship,2019-02-08,Y1-S,True,True,stabilization,slight_decline,True,
INT-0041,ST-3089,tutoring,2019-02-10,Y1-S,True,True,stabilization,stabilization,True,
INT-0042,ST-3064,tutoring,2019-02-15,Y1-S,True,True,moderate_improvement,moderate_improvement,True,
INT-0043,ST-3085,course_advising,2019-02-02,Y1-S,True,True,stabilization,stabilization,True,
INT-0044,ST-3052,counseling,2019-02-16,Y1-S,True,True,maintenance,maintenance,False,
INT-0045,ST-3012,course_advising,2019-02-09,Y1-S,True,True,moderate_improvement,no_change,True,
INT-0046,ST-3015,counseling,2019-02-03,Y1-S,True,True,significant_improvement,no_change,True,
INT-0047,ST-3066,tutoring,2019-02-05,Y1-S,True,True,moderate_improvement,moderate_improvement,True,
INT-0048,JK-3847,mentorship,2019-02-19,Y1-S,True,True,moderate_improvement,no_change,True,Subject showed unusual awareness of intervention context
INT-0049,ST-3070,course_advising,2019-02-06,Y1-S,True,False,stabilization,no_change,True,
INT-0050,ST-3060,counseling,2019-02-18,Y1-S,True,True,moderate_improvement,moderate_improvement,True,
INT-0051,ST-3007,course_advising,2019-02-10,Y1-S,True,True,moderate_improvement,moderate_improvement,True,
INT-0052,ST-3067,tutoring,2019-02-10,Y1-S,True,True,maintenance,slight_decline,False,
INT-0053,ST-3057,faculty_notification,2019-02-02,Y1-S,False,,stabilization,slight_decline,True,
INT-0054,ST-3036,financial_review,2019-02-14,Y1-S,False,,maintenance,no_change,False,
INT-0055,ST-3009,tutoring,2019-02-17,Y1-S,True,True,stabilization,stabilization,True,
INT-0056,ST-3073,counseling,2019-02-16,Y1-S,True,True,maintenance,no_change,True,
INT-0057,ST-3029,course_advising,2019-02-18,Y1-S,True,False,stabilization,stabilization,True,
INT-0058,ST-3076,counseling,2019-02-02,Y1-S,True,True,moderate_improvement,slight_improvement,True,
INT-0059,ST-3032,mentorship,2019-02-18,Y1-S,True,True,moderate_improvement,slight_decline,False,
INT-0060,ST-3008,counseling,2019-02-02,Y1-S,True,True,stabilization,no_change,True,
INT-0061,AB-2201,faculty_notification,2019-02-14,Y1-S,False,,maintenance,maintenance,True,
INT-0062,ST-3081,financial_review,2019-02-18,Y1-S,False,,maintenance,slight_decline,True,
INT-0063,ST-3016,counseling,2019-02-15,Y1-S,True,False,moderate_improvement,moderate_improvement,False,
INT-0064,ST-3046,tutoring,2019-02-12,Y1-S,True,True,moderate_improvement,moderate_improvement,True,
INT-0065,ST-3020,mentorship,2019-02-20,Y1-S,True,True,stabilization,no_change,True,
INT-0066,ST-3006,tutoring,2019-02-18,Y1-S,True,True,moderate_improvement,moderate_improvement,True,
INT-0067,ST-3054,counseling,2019-02-20,Y1-S,True,True,significant_improvement,significant_improvement,True,
INT-0068,ST-3010,mentorship,2019-02-06,Y1-S,True,True,maintenance,maintenance,False,
INT-0069,ST-3080,counseling,2019-02-15,Y1-S,True,True,moderate_improvement,moderate_improvement,True,
INT-0070,ST-3092,counseling,2019-02-08,Y1-S,True,True,significant_improvement,significant_improvement,True,
INT-0071,ST-3050,mentorship,2019-02-10,Y1-S,True,True,stabilization,stabilization,True,
INT-0072,ST-3051,course_advising,2019-02-09,Y1-S,True,True,maintenance,maintenance,True,
INT-0073,ST-3084,financial_review,2019-02-17,Y1-S,False,,moderate_improvement,moderate_improvement,True,
INT-0074,ST-3013,course_advising,2019-02-13,Y1-S,True,False,moderate_improvement,slight_improvement,True,
INT-0075,ST-3068,mentorship,2019-02-08,Y1-S,True,True,moderate_improvement,moderate_improvement,False,
INT-0076,NR-2407,counseling,2019-09-25,Y2-F,True,True,significant_improvement,no_change,True,
INT-0077,ST-3097,course_advising,2019-09-26,Y2-F,True,True,stabilization,stabilization,False,
INT-0078,ST-3079,mentorship,2019-09-19,Y2-F,True,True,moderate_improvement,moderate_improvement,True,
INT-0079,JK-3847,counseling,2019-09-24,Y2-F,True,False,maintenance,unpredictable,True,Subject showed unusual awareness of intervention context
INT-0080,ST-3011,mentorship,2019-09-30,Y2-F,True,True,maintenance,maintenance,True,
INT-0081,ST-3071,financial_review,2019-09-26,Y2-F,False,,stabilization,no_change,False,
INT-0082,ST-3055,tutoring,2019-09-19,Y2-F,True,True,stabilization,stabilization,True,
INT-0083,ST-3098,counseling,2019-09-28,Y2-F,True,True,stabilization,no_change,True,
INT-0084,ST-3016,course_advising,2019-09-21,Y2-F,True,False,stabilization,stabilization,True,
INT-0085,ST-3009,counseling,2019-09-13,Y2-F,True,True,stabilization,stabilization,True,
INT-0086,ST-3080,counseling,2019-09-26,Y2-F,True,True,moderate_improvement,no_change,True,
INT-0087,ST-3066,mentorship,2019-09-29,Y2-F,True,True,significant_improvement,significant_improvement,True,
INT-0088,ST-3019,course_advising,2019-09-17,Y2-F,True,True,moderate_improvement,moderate_improvement,False,
INT-0089,ST-3027,tutoring,2019-09-14,Y2-F,True,True,moderate_improvement,moderate_improvement,True,
INT-0090,ST-3043,course_advising,2019-09-15,Y2-F,True,False,significant_improvement,significant_improvement,True,
INT-0091,ST-3006,counseling,2019-09-14,Y2-F,True,True,stabilization,slight_decline,True,
INT-0092,ST-3034,tutoring,2019-09-24,Y2-F,True,True,moderate_improvement,slight_improvement,True,
INT-0093,ST-3052,course_advising,2019-09-16,Y2-F,True,False,significant_improvement,no_change,True,
INT-0094,ST-3035,course_advising,2019-09-26,Y2-F,True,True,moderate_improvement,no_change,False,
INT-0095,ST-3087,tutoring,2019-09-12,Y2-F,True,False,stabilization,no_change,True,
INT-0096,ST-3036,mentorship,2019-09-27,Y2-F,True,False,stabilization,slight_decline,True,
INT-0097,ST-3025,tutoring,2019-09-30,Y2-F,True,False,stabilization,stabilization,True,
INT-0098,ST-3082,tutoring,2019-09-12,Y2-F,True,True,moderate_improvement,slight_improvement,True,
INT-0099,ST-3073,counseling,2019-09-16,Y2-F,True,True,significant_improvement,no_change,False,
INT-0100,ST-3017,tutoring,2019-09-30,Y2-F,True,True,stabilization,stabilization,True,
INT-0101,ST-3060,mentorship,2019-09-25,Y2-F,True,True,moderate_improvement,moderate_improvement,True,
INT-0102,ST-3050,tutoring,2019-09-30,Y2-F,True,False,stabilization,stabilization,True,
INT-0103,ST-3072,mentorship,2019-09-23,Y2-F,True,True,moderate_improvement,moderate_improvement,True,
INT-0104,ST-3048,tutoring,2019-09-24,Y2-F,True,True,moderate_improvement,slight_decline,True,
INT-0105,ST-3057,counseling,2019-09-16,Y2-F,True,True,significant_improvement,slight_improvement,True,
INT-0106,ST-3021,course_advising,2019-09-28,Y2-F,True,True,significant_improvement,slight_decline,True,
INT-0107,SJ-2202,course_advising,2019-09-28,Y2-F,True,True,moderate_improvement,moderate_improvement,True,
INT-0108,ST-3045,course_advising,2020-02-11,Y2-S,True,True,moderate_improvement,moderate_improvement,False,
INT-0109,ST-3083,counseling,2020-02-19,Y2-S,True,False,stabilization,stabilization,True,
INT-0110,ST-3097,mentorship,2020-02-06,Y2-S,True,True,stabilization,stabilization,False,
INT-0111,ST-3024,course_advising,2020-02-01,Y2-S,True,True,moderate_improvement,moderate_improvement,True,
INT-0112,ST-3069,course_advising,2020-02-07,Y2-S,True,True,stabilization,slight_improvement,True,
INT-0113,ST-3061,counseling,2020-02-18,Y2-S,True,True,maintenance,maintenance,True,
INT-0114,ST-3031,tutoring,2020-02-09,Y2-S,True,True,significant_improvement,significant_improvement,True,
INT-0115,ST-3019,course_advising,2020-02-04,Y2-S,True,False,maintenance,maintenance,True,
INT-0116,ST-3060,mentorship,2020-02-01,Y2-S,True,True,significant_improvement,significant_improvement,False,
INT-0117,ST-3008,counseling,2020-02-16,Y2-S,True,True,stabilization,slight_decline,True,
INT-0118,ST-3072,mentorship,2020-02-15,Y2-S,True,False,maintenance,slight_improvement,False,
INT-0119,ST-3093,tutoring,2020-02-02,Y2-S,True,True,stabilization,stabilization,True,
INT-0120,ST-3096,tutoring,2020-02-01,Y2-S,True,True,significant_improvement,significant_improvement,True,
INT-0121,ST-3050,tutoring,2020-02-12,Y2-S,True,True,significant_improvement,slight_improvement,True,
INT-0122,ST-3032,tutoring,2020-02-13,Y2-S,True,True,maintenance,maintenance,True,
INT-0123,ST-3025,financial_review,2020-02-13,Y2-S,False,,moderate_improvement,moderate_improvement,False,
INT-0124,SJ-2202,course_advising,2020-02-10,Y2-S,True,True,maintenance,slight_decline,True,
INT-0125,ST-3099,course_advising,2020-02-03,Y2-S,True,False,moderate_improvement,slight_improvement,False,
INT-0126,ST-3059,course_advising,2020-02-10,Y2-S,True,True,significant_improvement,significant_improvement,True,
INT-0127,NR-2407,course_advising,2020-02-02,Y2-S,True,True,significant_improvement,slight_improvement,True,
INT-0128,ST-3052,tutoring,2020-02-17,Y2-S,True,False,moderate_improvement,moderate_improvement,True,
INT-0129,ST-3089,tutoring,2020-02-17,Y2-S,True,True,moderate_improvement,no_change,False,
INT-0130,ST-3014,counseling,2020-02-17,Y2-S,True,True,maintenance,no_change,True,
INT-0131,ST-3073,mentorship,2020-02-17,Y2-S,True,True,moderate_improvement,moderate_improvement,True,
INT-0132,ST-3022,faculty_notification,2020-02-03,Y2-S,False,,stabilization,stabilization,True,
INT-0133,ST-3091,counseling,2020-02-17,Y2-S,True,True,stabilization,no_change,True,
INT-0134,JK-3847,mentorship,2020-02-07,Y2-S,True,True,moderate_improvement,no_change,True,Subject showed unusual awareness of intervention context
INT-0135,ST-3100,tutoring,2020-02-18,Y2-S,True,True,stabilization,slight_decline,True,
INT-0136,ST-3077,counseling,2020-02-06,Y2-S,True,True,moderate_improvement,moderate_improvement,True,
INT-0137,ST-3037,counseling,2020-02-12,Y2-S,True,True,stabilization,stabilization,False,
INT-0138,ST-3071,mentorship,2020-02-10,Y2-S,True,True,stabilization,stabilization,True,
INT-0139,ST-3009,financial_review,2020-02-11,Y2-S,False,,maintenance,maintenance,True,
INT-0140,ST-3017,course_advising,2020-02-16,Y2-S,True,False,maintenance,maintenance,True,
INT-0141,ST-3034,tutoring,2020-02-14,Y2-S,True,False,moderate_improvement,moderate_improvement,True,
INT-0142,AB-2201,course_advising,2020-02-10,Y2-S,True,True,moderate_improvement,slight_decline,False,
INT-0143,ST-3092,course_advising,2020-09-26,Y3-F,True,False,stabilization,stabilization,True,
INT-0144,ST-3011,counseling,2020-09-21,Y3-F,True,False,stabilization,slight_improvement,True,
INT-0145,ST-3082,mentorship,2020-09-19,Y3-F,True,True,significant_improvement,slight_decline,False,
INT-0146,ST-3091,tutoring,2020-09-24,Y3-F,True,True,significant_improvement,slight_decline,True,
INT-0147,ST-3079,counseling,2020-09-22,Y3-F,True,True,stabilization,stabilization,True,
INT-0148,ST-3088,mentorship,2020-09-23,Y3-F,True,True,moderate_improvement,moderate_improvement,True,
INT-0149,ST-3095,faculty_notification,2020-09-23,Y3-F,False,,maintenance,maintenance,True,
INT-0150,ST-3042,financial_review,2020-09-24,Y3-F,False,,maintenance,slight_improvement,True,
INT-0151,ST-3009,tutoring,2020-09-14,Y3-F,True,False,moderate_improvement,moderate_improvement,True,
INT-0152,ST-3008,financial_review,2020-09-19,Y3-F,False,,maintenance,maintenance,True,
INT-0153,ST-3032,course_advising,2020-09-27,Y3-F,True,True,stabilization,stabilization,False,
INT-0154,ST-3074,counseling,2020-09-30,Y3-F,True,True,stabilization,slight_improvement,True,
INT-0155,ST-3015,mentorship,2020-09-19,Y3-F,True,False,moderate_improvement,no_change,True,
INT-0156,ST-3023,financial_review,2020-09-26,Y3-F,False,,stabilization,stabilization,False,
INT-0157,ST-3083,tutoring,2020-09-17,Y3-F,True,True,moderate_improvement,no_change,True,
INT-0158,ST-3046,mentorship,2020-09-24,Y3-F,True,True,stabilization,stabilization,True,
INT-0159,ST-3077,course_advising,2020-09-16,Y3-F,True,True,stabilization,slight_decline,True,
INT-0160,ST-3045,mentorship,2020-09-16,Y3-F,True,False,stabilization,stabilization,True,
INT-0161,ST-3084,faculty_notification,2020-09-26,Y3-F,False,,moderate_improvement,moderate_improvement,False,
INT-0162,ST-3034,course_advising,2020-09-21,Y3-F,True,True,stabilization,slight_decline,False,
INT-0163,ST-3097,course_advising,2020-09-25,Y3-F,True,True,stabilization,slight_improvement,True,
INT-0164,ST-3024,financial_review,2020-09-28,Y3-F,False,,stabilization,slight_improvement,True,
INT-0165,ST-3060,tutoring,2020-09-29,Y3-F,True,True,significant_improvement,significant_improvement,True,
INT-0166,ST-3018,counseling,2020-09-21,Y3-F,True,False,significant_improvement,significant_improvement,True,
INT-0167,ST-3063,financial_review,2020-09-24,Y3-F,False,,stabilization,stabilization,True,
INT-0168,ST-3028,course_advising,2020-09-17,Y3-F,True,False,stabilization,stabilization,False,
INT-0169,ST-3053,counseling,2020-09-23,Y3-F,True,True,moderate_improvement,moderate_improvement,True,
INT-0170,ST-3050,course_advising,2020-09-14,Y3-F,True,False,maintenance,maintenance,True,
INT-0171,ST-3037,tutoring,2020-09-16,Y3-F,True,False,significant_improvement,significant_improvement,False,
INT-0172,ST-3033,mentorship,2020-09-25,Y3-F,True,False,maintenance,maintenance,True,
INT-0173,ST-3048,tutoring,2020-09-26,Y3-F,True,True,moderate_improvement,moderate_improvement,True,
INT-0174,ST-3016,counseling,2020-09-12,Y3-F,True,True,stabilization,stabilization,True,
INT-0175,ST-3089,course_advising,2020-09-20,Y3-F,True,True,moderate_improvement,slight_decline,True,
INT-0176,ST-3019,counseling,2020-09-13,Y3-F,True,True,maintenance,maintenance,True,
INT-0177,ST-3006,counseling,2020-09-27,Y3-F,True,True,stabilization,stabilization,True,
INT-0178,ST-3070,counseling,2020-09-14,Y3-F,True,True,stabilization,no_change,True,
INT-0179,ST-3094,financial_review,2020-09-14,Y3-F,False,,maintenance,slight_decline,True,
INT-0180,SJ-2202,financial_review,2020-09-13,Y3-F,False,,stabilization,stabilization,True,
INT-0181,ST-3061,mentorship,2021-02-15,Y3-S,True,True,maintenance,slight_decline,True,
INT-0182,ST-3025,faculty_notification,2021-02-10,Y3-S,False,,stabilization,stabilization,True,
INT-0183,ST-3065,mentorship,2021-02-10,Y3-S,True,True,stabilization,slight_improvement,True,
INT-0184,ST-3016,tutoring,2021-02-19,Y3-S,True,True,significant_improvement,significant_improvement,False,
INT-0185,ST-3088,tutoring,2021-02-01,Y3-S,True,True,moderate_improvement,moderate_improvement,True,
INT-0186,ST-3049,financial_review,2021-02-09,Y3-S,False,,stabilization,stabilization,True,
INT-0187,ST-3068,mentorship,2021-02-09,Y3-S,True,True,significant_improvement,slight_decline,False,
INT-0188,ST-3020,tutoring,2021-02-05,Y3-S,True,True,stabilization,stabilization,True,
INT-0189,ST-3044,course_advising,2021-02-08,Y3-S,True,True,moderate_improvement,moderate_improvement,True,
INT-0190,ST-3089,faculty_notification,2021-02-03,Y3-S,False,,moderate_improvement,moderate_improvement,False,
INT-0191,ST-3059,mentorship,2021-02-16,Y3-S,True,False,moderate_improvement,no_change,True,
INT-0192,ST-3041,tutoring,2021-02-06,Y3-S,True,True,moderate_improvement,moderate_improvement,True,
INT-0193,ST-3024,faculty_notification,2021-02-09,Y3-S,False,,moderate_improvement,moderate_improvement,True,
INT-0194,ST-3023,counseling,2021-02-16,Y3-S,True,True,moderate_improvement,moderate_improvement,True,
INT-0195,ST-3079,course_advising,2021-02-13,Y3-S,True,False,moderate_improvement,moderate_improvement,True,
INT-0196,ST-3008,counseling,2021-02-15,Y3-S,True,True,moderate_improvement,slight_decline,True,
INT-0197,ST-3021,tutoring,2021-02-18,Y3-S,True,False,stabilization,stabilization,True,
INT-0198,ST-3076,tutoring,2021-02-09,Y3-S,True,True,moderate_improvement,moderate_improvement,True,
INT-0199,ST-3009,mentorship,2021-02-19,Y3-S,True,True,stabilization,stabilization,True,
INT-0200,ST-3040,counseling,2021-02-19,Y3-S,True,True,moderate_improvement,moderate_improvement,True,
INT-0201,ST-3028,course_advising,2021-02-01,Y3-S,True,True,maintenance,maintenance,True,
INT-0202,ST-3082,faculty_notification,2021-02-04,Y3-S,False,,maintenance,maintenance,True,
INT-0203,ST-3097,mentorship,2021-02-08,Y3-S,True,True,stabilization,stabilization,True,
INT-0204,ST-3081,faculty_notification,2021-02-03,Y3-S,False,,moderate_improvement,slight_decline,False,
INT-0205,ST-3096,counseling,2021-02-07,Y3-S,True,True,stabilization,slight_decline,True,
INT-0206,SM-2203,financial_review,2021-02-05,Y3-S,False,,stabilization,slight_decline,True,
INT-0207,ST-3035,financial_review,2021-02-06,Y3-S,False,,moderate_improvement,slight_improvement,True,
INT-0208,ST-3013,faculty_notification,2021-02-03,Y3-S,False,,maintenance,maintenance,False,
INT-0209,ST-3047,course_advising,2021-02-14,Y3-S,True,True,stabilization,slight_improvement,True,
INT-0210,ST-3078,course_advising,2021-02-03,Y3-S,True,False,stabilization,slight_improvement,True,
INT-0211,AB-2201,course_advising,2021-02-02,Y3-S,True,True,moderate_improvement,slight_improvement,True,
INT-0212,ST-3048,faculty_notification,2021-02-16,Y3-S,False,,moderate_improvement,no_change,True,
INT-0213,ST-3060,mentorship,2021-02-04,Y3-S,True,False,moderate_improvement,moderate_improvement,True,
INT-0214,ST-3015,faculty_notification,2021-02-04,Y3-S,False,,stabilization,no_change,True,
INT-0215,ST-3087,tutoring,2021-02-03,Y3-S,True,True,stabilization,slight_improvement,False,
INT-0216,ST-3095,tutoring,2021-02-05,Y3-S,True,False,stabilization,no_change,True,
INT-0217,ST-3093,mentorship,2021-02-11,Y3-S,True,False,stabilization,stabilization,True,
INT-0218,ST-3038,course_advising,2021-02-13,Y3-S,True,True,maintenance,no_change,True,
INT-0219,ST-3083,financial_review,2021-02-16,Y3-S,False,,moderate_improvement,moderate_improvement,False,
INT-0220,ST-3091,faculty_notification,2021-02-12,Y3-S,False,,stabilization,slight_improvement,True,
INT-0221,ST-3057,financial_review,2021-02-03,Y3-S,False,,stabilization,stabilization,False,
INT-0222,ST-3062,tutoring,2021-02-03,Y3-S,True,True,moderate_improvement,slight_improvement,True,
INT-0223,ST-3092,counseling,2021-02-02,Y3-S,True,False,stabilization,slight_improvement,False,
INT-0224,ST-3017,counseling,2021-02-12,Y3-S,True,False,stabilization,stabilization,True,
INT-0225,ST-3052,course_advising,2021-02-05,Y3-S,True,True,significant_improvement,significant_improvement,True,
INT-0226,SJ-2202,tutoring,2021-02-03,Y3-S,True,False,stabilization,slight_improvement,False,
INT-0227,NR-2407,tutoring,2021-02-01,Y3-S,True,True,significant_improvement,significant_improvement,True,
INT-0228,ST-3043,faculty_notification,2021-09-12,Y4-F,False,,stabilization,stabilization,False,
INT-0229,ST-3015,faculty_notification,2021-09-27,Y4-F,False,,stabilization,slight_decline,True,
INT-0230,ST-3062,mentorship,2021-09-29,Y4-F,True,True,moderate_improvement,no_change,True,
INT-0231,ST-3087,mentorship,2021-09-11,Y4-F,True,True,stabilization,slight_decline,True,
INT-0232,ST-3097,mentorship,2021-09-15,Y4-F,True,True,significant_improvement,significant_improvement,False,
INT-0233,ST-3095,faculty_notification,2021-09-14,Y4-F,False,,stabilization,slight_decline,True,
INT-0234,ST-3027,course_advising,2021-09-14,Y4-F,True,True,significant_improvement,significant_improvement,True,
INT-0235,ST-3076,tutoring,2021-09-17,Y4-F,True,False,moderate_improvement,moderate_improvement,True,
INT-0236,ST-3053,counseling,2021-09-29,Y4-F,True,True,maintenance,maintenance,True,
INT-0237,ST-3017,counseling,2021-09-29,Y4-F,True,True,moderate_improvement,moderate_improvement,True,
INT-0238,ST-3092,mentorship,2021-09-24,Y4-F,True,True,moderate_improvement,slight_decline,True,
INT-0239,ST-3091,tutoring,2021-09-29,Y4-F,True,False,significant_improvement,significant_improvement,True,
INT-0240,ST-3018,financial_review,2021-09-11,Y4-F,False,,stabilization,stabilization,True,
INT-0241,ST-3066,counseling,2021-09-13,Y4-F,True,False,stabilization,slight_improvement,True,
INT-0242,ST-3086,course_advising,2021-09-26,Y4-F,True,True,maintenance,maintenance,True,
INT-0243,ST-3019,counseling,2021-09-27,Y4-F,True,True,moderate_improvement,moderate_improvement,True,
INT-0244,ST-3008,mentorship,2021-09-12,Y4-F,True,False,maintenance,maintenance,True,
INT-0245,ST-3088,course_advising,2021-09-13,Y4-F,True,True,maintenance,slight_improvement,True,
INT-0246,ST-3037,mentorship,2021-09-28,Y4-F,True,True,significant_improvement,significant_improvement,True,
INT-0247,ST-3011,mentorship,2021-09-28,Y4-F,True,True,stabilization,stabilization,True,
INT-0248,ST-3058,course_advising,2021-09-17,Y4-F,True,False,moderate_improvement,slight_decline,True,
INT-0249,ST-3094,tutoring,2021-09-16,Y4-F,True,True,stabilization,no_change,True,
INT-0250,ST-3098,course_advising,2021-09-24,Y4-F,True,False,stabilization,stabilization,True,
INT-0251,ST-3039,mentorship,2021-09-12,Y4-F,True,True,stabilization,stabilization,True,
INT-0252,ST-3010,counseling,2021-09-14,Y4-F,True,False,significant_improvement,slight_decline,True,
INT-0253,ST-3051,course_advising,2021-09-21,Y4-F,True,True,stabilization,stabilization,True,
INT-0254,ST-3040,course_advising,2021-09-14,Y4-F,True,True,stabilization,stabilization,True,
INT-0255,ST-3100,course_advising,2021-09-17,Y4-F,True,False,stabilization,no_change,True,
INT-0256,ST-3033,tutoring,2021-09-12,Y4-F,True,False,moderate_improvement,moderate_improvement,True,
INT-0257,ST-3044,financial_review,2021-09-22,Y4-F,False,,moderate_improvement,moderate_improvement,True,
INT-0258,ST-3075,mentorship,2021-09-22,Y4-F,True,True,moderate_improvement,moderate_improvement,True,
INT-0259,ST-3030,counseling,2021-09-29,Y4-F,True,True,significant_improvement,significant_improvement,False,
INT-0260,ST-3056,tutoring,2021-09-25,Y4-F,True,True,moderate_improvement,moderate_improvement,True,
INT-0261,ST-3025,course_advising,2021-09-20,Y4-F,True,True,maintenance,maintenance,True,
INT-0262,ST-3065,financial_review,2021-09-28,Y4-F,False,,moderate_improvement,moderate_improvement,False,
INT-0263,ST-3020,mentorship,2021-09-26,Y4-F,True,False,moderate_improvement,moderate_improvement,True,
INT-0264,SJ-2202,faculty_notification,2021-09-24,Y4-F,False,,maintenance,no_change,True,
INT-0265,ST-3079,tutoring,2021-09-29,Y4-F,True,True,significant_improvement,slight_decline,False,
INT-0266,ST-3029,faculty_notification,2021-09-11,Y4-F,False,,stabilization,no_change,False,
INT-0267,ST-3049,financial_review,2021-09-27,Y4-F,False,,moderate_improvement,moderate_improvement,True,
INT-0268,JK-3847,financial_review,2021-09-14,Y4-F,False,,stabilization,unpredictable,True,Subject showed unusual awareness of intervention context
