relationship_id,entity_id,entity_name,neighbor_id,neighbor_name,sympathy_rank,sympathy_strength,distance_morphospace,sympathy_type,mutual,stability,edge_weight,contribution_to_cluster,first_documented,documenter,documentation_method,confidence,notes
SN-0028,MS-0006,The Septenary Rhythm,MS-0096,Form 96,6,0.7,0.303,functional,False,0.82,0.613,0.19,1842,Constellation Survey,behavioral_observation,0.56,
SN-0029,MS-0027,The Five-Body Form,MS-0178,Form 178,1,0.61,0.3935,functional,False,0.93,0.609,0.75,921,P. Tross,behavioral_observation,0.58,
SN-0030,MS-0027,The Five-Body Form,MS-0034,Form 34,2,0.45,0.548,structural,False,0.68,0.383,0.11,1833,K. Strand,proximity_measurement,0.57,
SN-0031,MS-0027,The Five-Body Form,MS-0104,Form 104,3,0.4,0.5991,structural,True,0.42,0.345,0.46,928,Constellation Survey,historical_inference,0.57,
SN-0032,MS-0027,The Five-Body Form,MS-0078,Form 78,4,0.4,0.6033,unknown,False,0.62,0.34,0.47,1831,Archive Survey Team,behavioral_observation,0.85,
SN-0033,EN-001,The Prebel Zone,MS-0052,Form 52,1,0.9,0.1014,functional,False,0.95,0.849,0.14,1833,P. Tross,historical_inference,0.94,
SN-0034,EN-001,The Prebel Zone,MS-0086,Form 86,2,0.87,0.1257,developmental,True,0.42,0.718,0.31,1843,Archive Survey Team,trajectory_correlation,0.57,
SN-0035,EN-001,The Prebel Zone,MS-0164,Form 164,3,0.87,0.1263,functional,True,0.79,0.794,0.39,929,P. Tross,classification_clustering,0.86,
SN-0036,EN-001,The Prebel Zone,MS-0046,Form 46,4,0.8,0.1966,functional,True,0.49,0.749,0.45,1846,P. Tross,trajectory_correlation,0.56,
SN-0037,EN-001,The Prebel Zone,EN-012,Cluster Gamma,5,0.78,0.2236,unknown,True,0.7,0.681,0.43,1840,Constellation Survey,proximity_measurement,0.83,
SN-0038,EN-001,The Prebel Zone,MS-0175,Form 175,6,0.75,0.2549,unknown,False,0.53,0.65,0.36,1841,K. Strand,behavioral_observation,0.55,
SN-0039,EN-002,The Dens Boundary,MS-0192,Form 192,1,0.79,0.2099,behavioral,False,0.46,0.641,0.48,927,P. Tross,historical_inference,0.74,
SN-0040,EN-002,The Dens Boundary,MS-0097,Form 97,2,0.61,0.3878,developmental,True,0.61,0.526,0.16,915,T. Vells,historical_inference,0.95,
SN-0041,EN-002,The Dens Boundary,MS-0150,Form 150,3,0.6,0.4031,functional,True,0.61,0.573,0.2,926,Constellation Survey,trajectory_correlation,0.5,
SN-0042,EN-002,The Dens Boundary,MS-0136,Form 136,4,0.59,0.4064,historical,True,0.56,0.584,0.74,1835,T. Vells,behavioral_observation,0.69,
SN-0043,EN-002,The Dens Boundary,MS-0186,Form 186,5,0.56,0.4446,unknown,True,0.42,0.518,0.74,1846,T. Vells,behavioral_observation,0.55,
SN-0044,EN-002,The Dens Boundary,MS-0091,Form 91,6,0.51,0.4877,developmental,False,0.49,0.431,0.19,928,K. Strand,classification_clustering,0.61,
SN-0045,EN-010,Cluster Alpha,MS-0001,The Quintic Cycle,1,0.94,0.0574,behavioral,False,0.84,0.938,0.38,920,P. Tross,historical_inference,0.62,
SN-0046,EN-010,Cluster Alpha,MS-0130,Form 130,2,0.89,0.1075,behavioral,False,0.84,0.73,0.68,1832,K. Strand,proximity_measurement,0.66,
SN-0047,EN-010,Cluster Alpha,MS-0147,Form 147,3,0.86,0.1439,functional,True,0.46,0.711,0.48,921,P. Tross,historical_inference,0.77,
SN-0048,EN-010,Cluster Alpha,MS-0171,Form 171,4,0.84,0.1638,functional,False,0.65,0.677,0.75,1836,P. Tross,proximity_measurement,0.77,
SN-0049,EN-011,Cluster Beta,MS-0142,Form 142,1,0.82,0.1848,unknown,False,0.51,0.736,0.68,926,P. Tross,behavioral_observation,0.78,
SN-0050,EN-011,Cluster Beta,MS-0002,The Binary Division,2,0.78,0.2211,historical,True,0.72,0.726,0.71,922,Archive Survey Team,trajectory_correlation,0.76,
SN-0051,EN-011,Cluster Beta,MS-0107,Form 107,3,0.75,0.2452,historical,True,0.82,0.736,0.74,921,P. Tross,proximity_measurement,0.6,
SN-0052,EN-011,Cluster Beta,MS-0106,Form 106,4,0.75,0.2534,developmental,True,0.47,0.702,0.2,1842,K. Strand,trajectory_correlation,0.57,
SN-0053,EN-011,Cluster Beta,MS-0096,Form 96,5,0.73,0.2717,unknown,False,0.77,0.648,0.2,1834,K. Strand,behavioral_observation,0.85,
SN-0054,EN-011,Cluster Beta,MS-0064,Form 64,6,0.71,0.2921,functional,False,0.77,0.684,0.61,1830,P. Tross,trajectory_correlation,0.6,
SN-0055,EN-012,Cluster Gamma,EN-001,The Prebel Zone,1,0.78,0.2236,unknown,False,0.82,0.652,0.58,918,P. Tross,behavioral_observation,0.93,
SN-0056,EN-012,Cluster Gamma,MS-0061,Form 61,2,0.77,0.2289,structural,True,0.75,0.645,0.45,914,P. Tross,classification_clustering,0.62,
SN-0057,EN-012,Cluster Gamma,MS-0052,Form 52,3,0.75,0.2496,behavioral,True,0.93,0.729,0.29,920,K. Strand,classification_clustering,0.58,
SN-0058,MS-0030,Form 30,MS-0199,Form 199,1,0.94,0.0558,historical,False,0.8,0.785,0.35,1830,P. Tross,trajectory_correlation,0.59,
SN-0059,MS-0030,Form 30,MS-0122,Form 122,2,0.89,0.1111,structural,False,0.81,0.739,0.56,927,P. Tross,trajectory_correlation,0.58,
SN-0060,MS-0030,Form 30,MS-0090,Form 90,3,0.87,0.1283,behavioral,False,0.93,0.859,0.67,1831,Constellation Survey,behavioral_observation,0.77,
SN-0061,MS-0031,Form 31,MS-0042,Form 42,1,0.81,0.1926,structural,False,0.75,0.716,0.73,925,P. Tross,historical_inference,0.71,
SN-0062,MS-0031,Form 31,MS-0144,Form 144,2,0.73,0.2699,developmental,True,0.63,0.661,0.49,1831,Archive Survey Team,trajectory_correlation,0.55,
SN-0063,MS-0031,Form 31,MS-0121,Form 121,3,0.7,0.2984,functional,True,0.54,0.64,0.24,913,Constellation Survey,classification_clustering,0.63,
SN-0064,MS-0031,Form 31,MS-0109,Form 109,4,0.7,0.3012,functional,True,0.54,0.595,0.62,1834,Constellation Survey,classification_clustering,0.72,
SN-0065,MS-0031,Form 31,MS-0193,Form 193,5,0.66,0.3437,behavioral,True,0.92,0.659,0.7,916,Constellation Survey,classification_clustering,0.6,
SN-0066,MS-0032,Form 32,MS-0074,Form 74,1,0.75,0.2468,functional,False,0.83,0.723,0.6,1844,P. Tross,classification_clustering,0.66,
SN-0067,MS-0032,Form 32,MS-0130,Form 130,2,0.71,0.2931,functional,False,0.64,0.66,0.55,918,P. Tross,behavioral_observation,0.88,
SN-0068,MS-0032,Form 32,MS-0001,The Quintic Cycle,3,0.68,0.3169,developmental,False,0.6,0.648,0.43,929,Archive Survey Team,trajectory_correlation,0.91,
SN-0069,MS-0032,Form 32,MS-0004,The Tension,4,0.65,0.3507,structural,True,0.54,0.525,0.55,1846,Archive Survey Team,trajectory_correlation,0.87,
SN-0070,MS-0033,Form 33,MS-0095,Form 95,1,0.81,0.1909,functional,False,0.67,0.745,0.6,1851,Archive Survey Team,proximity_measurement,0.69,
SN-0071,MS-0033,Form 33,MS-0073,Form 73,2,0.8,0.2009,historical,False,0.47,0.664,0.6,1851,Constellation Survey,classification_clustering,0.93,
SN-0072,MS-0033,Form 33,MS-0189,Form 189,3,0.74,0.2649,functional,True,0.78,0.674,0.36,915,K. Strand,classification_clustering,0.83,
SN-0073,MS-0033,Form 33,MS-0089,Form 89,4,0.71,0.2863,developmental,True,0.52,0.622,0.44,1841,P. Tross,proximity_measurement,0.62,
SN-0074,MS-0033,Form 33,MS-0111,Form 111,5,0.7,0.3002,functional,True,0.5,0.59,0.62,1831,Constellation Survey,historical_inference,0.79,
SN-0075,MS-0033,Form 33,MS-0114,Form 114,6,0.69,0.3069,developmental,False,0.78,0.586,0.39,929,T. Vells,behavioral_observation,0.58,
SN-0076,MS-0034,Form 34,MS-0078,Form 78,1,0.67,0.3317,behavioral,True,0.84,0.575,0.69,919,P. Tross,historical_inference,0.56,
SN-0077,MS-0034,Form 34,MS-0104,Form 104,2,0.64,0.3629,developmental,True,0.72,0.595,0.69,916,P. Tross,proximity_measurement,0.58,
SN-0078,MS-0034,Form 34,MS-0194,Form 194,3,0.63,0.3664,developmental,True,0.64,0.623,0.47,1834,Constellation Survey,proximity_measurement,0.5,
SN-0079,MS-0034,Form 34,MS-0137,Form 137,4,0.59,0.4122,unknown,False,0.6,0.564,0.13,1851,T. Vells,proximity_measurement,0.78,
SN-0080,MS-0034,Form 34,MS-0128,Form 128,5,0.55,0.4518,functional,False,0.77,0.511,0.78,928,Archive Survey Team,classification_clustering,0.75,
SN-0081,MS-0035,Form 35,MS-0005,The Triad Form,1,0.83,0.175,historical,True,0.48,0.744,0.55,924,P. Tross,historical_inference,0.86,
SN-0082,MS-0035,Form 35,MS-0179,Form 179,2,0.81,0.1934,structural,True,0.66,0.752,0.4,1835,Constellation Survey,behavioral_observation,0.84,
SN-0083,MS-0035,Form 35,MS-0091,Form 91,3,0.81,0.1948,historical,True,0.92,0.745,0.7,917,P. Tross,classification_clustering,0.71,
SN-0084,MS-0036,Form 36,MS-0044,Form 44,1,0.83,0.1688,behavioral,False,0.45,0.772,0.57,1831,P. Tross,historical_inference,0.9,
SN-0085,MS-0036,Form 36,MS-0093,Form 93,2,0.83,0.1724,functional,True,0.71,0.758,0.41,1840,P. Tross,proximity_measurement,0.54,
SN-0086,MS-0036,Form 36,MS-0117,Form 117,3,0.82,0.1764,behavioral,True,0.84,0.806,0.19,927,Constellation Survey,behavioral_observation,0.84,
SN-0087,MS-0036,Form 36,MS-0104,Form 104,4,0.7,0.2965,structural,True,0.94,0.669,0.33,1831,P. Tross,historical_inference,0.57,
SN-0088,MS-0036,Form 36,MS-0181,Form 181,5,0.7,0.3041,historical,True,0.54,0.635,0.18,928,P. Tross,proximity_measurement,0.57,
SN-0089,MS-0037,Form 37,MS-0045,Form 45,1,0.9,0.0984,historical,False,0.46,0.824,0.36,1841,Constellation Survey,behavioral_observation,0.65,
SN-0090,MS-0037,Form 37,MS-0157,Form 157,2,0.82,0.182,behavioral,True,0.58,0.81,0.39,1840,P. Tross,proximity_measurement,0.57,
SN-0091,MS-0037,Form 37,MS-0105,Form 105,3,0.69,0.3127,developmental,True,0.85,0.667,0.29,1836,P. Tross,proximity_measurement,0.76,
SN-0092,MS-0037,Form 37,MS-0167,Form 167,4,0.61,0.3871,unknown,False,0.65,0.522,0.62,928,K. Strand,proximity_measurement,0.79,
SN-0093,MS-0037,Form 37,MS-0195,Form 195,5,0.57,0.4252,functional,True,0.86,0.478,0.26,1848,Archive Survey Team,historical_inference,0.67,
SN-0094,MS-0037,Form 37,MS-0196,Form 196,6,0.57,0.432,unknown,False,0.63,0.459,0.44,930,P. Tross,behavioral_observation,0.95,
SN-0095,MS-0038,Form 38,MS-0141,Form 141,1,0.7,0.2993,historical,True,0.49,0.566,0.17,928,T. Vells,historical_inference,0.8,
SN-0096,MS-0038,Form 38,MS-0129,Form 129,2,0.67,0.3347,behavioral,False,0.77,0.631,0.23,924,Archive Survey Team,trajectory_correlation,0.65,
SN-0097,MS-0038,Form 38,MS-0169,Form 169,3,0.63,0.3688,developmental,False,0.46,0.505,0.3,1842,P. Tross,proximity_measurement,0.52,
SN-0098,MS-0038,Form 38,MS-0088,Form 88,4,0.62,0.3822,structural,False,0.8,0.583,0.61,919,T. Vells,proximity_measurement,0.63,
SN-0099,MS-0038,Form 38,MS-0067,Form 67,5,0.58,0.4154,developmental,False,0.58,0.497,0.4,925,T. Vells,proximity_measurement,0.59,
SN-0100,MS-0039,Form 39,MS-0131,Form 131,1,0.73,0.2711,functional,True,0.82,0.624,0.39,930,P. Tross,classification_clustering,0.76,
SN-0101,MS-0039,Form 39,MS-0165,Form 165,2,0.63,0.3656,unknown,True,0.51,0.576,0.24,930,P. Tross,behavioral_observation,0.58,
SN-0102,MS-0039,Form 39,MS-0082,Form 82,3,0.6,0.396,behavioral,True,0.77,0.569,0.5,920,P. Tross,historical_inference,0.78,
SN-0103,MS-0039,Form 39,MS-0174,Form 174,4,0.59,0.4142,unknown,False,0.88,0.549,0.56,916,K. Strand,proximity_measurement,0.64,
SN-0104,MS-0039,Form 39,MS-0055,Form 55,5,0.52,0.4838,functional,True,0.85,0.509,0.7,917,K. Strand,proximity_measurement,0.63,
SN-0105,MS-0039,Form 39,MS-0045,Form 45,6,0.51,0.494,historical,True,0.44,0.43,0.25,919,Constellation Survey,proximity_measurement,0.75,
SN-0106,MS-0040,Form 40,MS-0161,Form 161,1,0.95,0.0482,developmental,False,0.8,0.788,0.5,922,K. Strand,classification_clustering,0.77,
SN-0107,MS-0040,Form 40,MS-0092,Form 92,2,0.75,0.2485,developmental,True,0.77,0.703,0.48,926,T. Vells,proximity_measurement,0.83,
SN-0108,MS-0040,Form 40,MS-0115,Form 115,3,0.63,0.3683,developmental,True,0.82,0.596,0.64,1837,P. Tross,historical_inference,0.56,
SN-0109,MS-0040,Form 40,MS-0113,Form 113,4,0.62,0.3771,developmental,True,0.88,0.616,0.36,1830,Constellation Survey,trajectory_correlation,0.6,
SN-0110,MS-0040,Form 40,MS-0183,Form 183,5,0.6,0.3995,unknown,True,0.69,0.573,0.15,1847,Archive Survey Team,historical_inference,0.74,
SN-0111,MS-0040,Form 40,MS-0120,Form 120,6,0.53,0.4666,structural,False,0.67,0.516,0.57,927,P. Tross,historical_inference,0.9,
SN-0112,MS-0041,Form 41,MS-0056,Form 56,1,0.8,0.2018,behavioral,True,0.57,0.712,0.35,921,Archive Survey Team,proximity_measurement,0.87,
SN-0113,MS-0041,Form 41,MS-0075,Form 75,2,0.74,0.2626,unknown,True,0.82,0.717,0.52,926,P. Tross,trajectory_correlation,0.59,
SN-0114,MS-0041,Form 41,MS-0111,Form 111,3,0.7,0.2988,functional,True,0.72,0.663,0.42,913,Archive Survey Team,trajectory_correlation,0.5,
SN-0115,MS-0041,Form 41,MS-0189,Form 189,4,0.69,0.3102,historical,True,0.52,0.634,0.76,919,T. Vells,trajectory_correlation,0.77,
SN-0116,MS-0041,Form 41,MS-0064,Form 64,5,0.67,0.3266,behavioral,True,0.69,0.566,0.28,923,T. Vells,historical_inference,0.75,
SN-0117,MS-0042,Form 42,MS-0173,Form 173,1,0.84,0.1625,unknown,True,0.81,0.831,0.8,1851,P. Tross,classification_clustering,0.85,
SN-0118,MS-0042,Form 42,MS-0031,Form 31,2,0.81,0.1926,behavioral,True,0.8,0.749,0.4,1840,T. Vells,trajectory_correlation,0.82,
SN-0119,MS-0042,Form 42,MS-0065,Form 65,3,0.73,0.2665,structural,False,0.94,0.604,0.53,926,K. Strand,behavioral_observation,0.55,
SN-0120,MS-0042,Form 42,MS-0003,The Breathing Mode,4,0.73,0.2726,historical,False,0.86,0.607,0.56,926,K. Strand,trajectory_correlation,0.71,
SN-0121,MS-0042,Form 42,MS-0138,Form 138,5,0.69,0.309,functional,True,0.72,0.667,0.37,916,K. Strand,classification_clustering,0.65,
SN-0122,MS-0043,Form 43,MS-0082,Form 82,1,0.67,0.3292,developmental,False,0.89,0.667,0.59,1846,P. Tross,behavioral_observation,0.73,
SN-0123,MS-0043,Form 43,MS-0165,Form 165,2,0.67,0.3339,developmental,False,0.9,0.608,0.6,1837,T. Vells,trajectory_correlation,0.71,
SN-0124,MS-0043,Form 43,MS-0044,Form 44,3,0.61,0.3888,functional,True,0.63,0.539,0.13,925,P. Tross,proximity_measurement,0.83,
SN-0125,MS-0043,Form 43,MS-0093,Form 93,4,0.59,0.4103,functional,True,0.79,0.585,0.57,1846,K. Strand,behavioral_observation,0.89,
SN-0126,MS-0043,Form 43,MS-0032,Form 32,5,0.59,0.412,functional,True,0.78,0.504,0.2,915,T. Vells,classification_clustering,0.64,
SN-0127,MS-0043,Form 43,MS-0195,Form 195,6,0.57,0.4294,developmental,True,0.78,0.561,0.58,922,Archive Survey Team,trajectory_correlation,0.57,
SN-0128,MS-0044,Form 44,MS-0036,Form 36,1,0.83,0.1688,structural,True,0.79,0.708,0.37,1835,P. Tross,trajectory_correlation,0.67,
SN-0129,MS-0044,Form 44,MS-0093,Form 93,2,0.76,0.2424,functional,False,0.62,0.664,0.33,1832,Constellation Survey,trajectory_correlation,0.72,
SN-0130,MS-0044,Form 44,MS-0152,Form 152,3,0.74,0.2563,functional,False,0.75,0.723,0.58,1847,K. Strand,proximity_measurement,0.63,
SN-0131,MS-0044,Form 44,MS-0117,Form 117,4,0.7,0.3011,unknown,False,0.62,0.586,0.73,1842,P. Tross,behavioral_observation,0.68,
SN-0132,MS-0044,Form 44,MS-0100,Form 100,5,0.69,0.3063,behavioral,False,0.83,0.585,0.29,927,K. Strand,trajectory_correlation,0.95,
SN-0133,MS-0045,Form 45,MS-0037,Form 37,1,0.9,0.0984,structural,False,0.75,0.825,0.69,1849,P. Tross,historical_inference,0.91,
SN-0134,MS-0045,Form 45,MS-0157,Form 157,2,0.87,0.1252,behavioral,True,0.59,0.859,0.51,916,K. Strand,proximity_measurement,0.51,
SN-0135,MS-0045,Form 45,MS-0105,Form 105,3,0.68,0.3166,unknown,True,0.41,0.646,0.4,1844,P. Tross,classification_clustering,0.57,
SN-0136,MS-0045,Form 45,MS-0167,Form 167,4,0.61,0.3911,historical,True,0.66,0.565,0.52,1851,T. Vells,trajectory_correlation,0.74,
SN-0137,MS-0046,Form 46,MS-0099,Form 99,1,0.91,0.0861,behavioral,True,0.48,0.734,0.39,1832,K. Strand,behavioral_observation,0.5,
SN-0138,MS-0046,Form 46,MS-0119,Form 119,2,0.85,0.1485,historical,True,0.68,0.81,0.79,1845,Archive Survey Team,proximity_measurement,0.67,
SN-0139,MS-0046,Form 46,MS-0086,Form 86,3,0.85,0.1504,historical,True,0.83,0.845,0.13,925,K. Strand,classification_clustering,0.54,
SN-0140,MS-0046,Form 46,EN-001,The Prebel Zone,4,0.8,0.1966,historical,True,0.42,0.752,0.38,912,P. Tross,trajectory_correlation,0.58,
SN-0141,MS-0046,Form 46,MS-0112,Form 112,5,0.79,0.2128,developmental,False,0.56,0.658,0.44,1848,Constellation Survey,historical_inference,0.74,
SN-0142,MS-0047,Form 47,MS-0160,Form 160,1,0.93,0.0695,structural,True,0.73,0.806,0.73,1838,Constellation Survey,behavioral_observation,0.74,
SN-0143,MS-0047,Form 47,MS-0139,Form 139,2,0.85,0.1544,unknown,False,0.56,0.825,0.69,925,P. Tross,historical_inference,0.66,
SN-0144,MS-0047,Form 47,MS-0198,Form 198,3,0.84,0.1619,structural,False,0.8,0.825,0.72,916,P. Tross,classification_clustering,0.81,
SN-0145,MS-0048,Form 48,MS-0006,The Septenary Rhythm,1,0.89,0.1107,historical,True,0.63,0.757,0.12,1834,Archive Survey Team,historical_inference,0.54,
SN-0146,MS-0048,Form 48,MS-0055,Form 55,2,0.83,0.1678,behavioral,False,0.82,0.677,0.36,913,Constellation Survey,historical_inference,0.7,
SN-0147,MS-0048,Form 48,MS-0050,Form 50,3,0.77,0.2323,historical,True,0.53,0.704,0.42,922,K. Strand,classification_clustering,0.73,
SN-0148,MS-0048,Form 48,MS-0051,Form 51,4,0.69,0.3059,historical,False,0.9,0.649,0.31,917,P. Tross,proximity_measurement,0.7,
SN-0149,MS-0049,Form 49,MS-0196,Form 196,1,0.82,0.1845,structural,False,0.74,0.671,0.67,930,P. Tross,behavioral_observation,0.83,
SN-0150,MS-0049,Form 49,MS-0110,Form 110,2,0.79,0.209,functional,True,0.56,0.65,0.76,927,P. Tross,trajectory_correlation,0.5,
SN-0151,MS-0049,Form 49,MS-0127,Form 127,3,0.75,0.2527,behavioral,True,0.91,0.654,0.24,927,T. Vells,classification_clustering,0.72,
SN-0152,MS-0050,Form 50,MS-0051,Form 51,1,0.83,0.1693,behavioral,True,0.84,0.827,0.42,912,Constellation Survey,historical_inference,0.82,
SN-0153,MS-0050,Form 50,MS-0006,The Septenary Rhythm,2,0.79,0.2052,unknown,False,0.51,0.7,0.46,916,P. Tross,historical_inference,0.82,
SN-0154,MS-0050,Form 50,MS-0048,Form 48,3,0.77,0.2323,structural,True,0.46,0.655,0.53,914,Archive Survey Team,classification_clustering,0.71,
SN-0155,MS-0050,Form 50,MS-0081,Form 81,4,0.74,0.2559,behavioral,True,0.42,0.608,0.19,1835,P. Tross,proximity_measurement,0.89,
SN-0156,MS-0050,Form 50,MS-0149,Form 149,5,0.74,0.2586,historical,False,0.77,0.697,0.67,1841,P. Tross,trajectory_correlation,0.67,
SN-0157,MS-0050,Form 50,MS-0055,Form 55,6,0.66,0.3435,functional,True,0.48,0.6,0.23,1831,K. Strand,historical_inference,0.74,
SN-0158,MS-0051,Form 51,MS-0050,Form 50,1,0.83,0.1693,structural,True,0.78,0.686,0.24,1841,Constellation Survey,historical_inference,0.67,
SN-0159,MS-0051,Form 51,MS-0149,Form 149,2,0.83,0.1702,unknown,False,0.6,0.828,0.24,1839,Constellation Survey,classification_clustering,0.88,
SN-0160,MS-0051,Form 51,MS-0089,Form 89,3,0.76,0.2376,structural,True,0.59,0.707,0.56,922,P. Tross,historical_inference,0.56,
SN-0161,MS-0052,Form 52,MS-0164,Form 164,1,0.91,0.0886,historical,True,0.44,0.868,0.2,1845,K. Strand,classification_clustering,0.68,
SN-0162,MS-0052,Form 52,EN-001,The Prebel Zone,2,0.9,0.1014,functional,True,0.85,0.729,0.43,916,T. Vells,trajectory_correlation,0.66,
SN-0163,MS-0052,Form 52,MS-0173,Form 173,3,0.82,0.1764,functional,False,0.61,0.748,0.43,916,Constellation Survey,proximity_measurement,0.84,
SN-0164,MS-0052,Form 52,MS-0065,Form 65,4,0.81,0.1889,historical,False,0.41,0.713,0.27,915,P. Tross,trajectory_correlation,0.95,
SN-0165,MS-0053,Form 53,MS-0064,Form 64,1,0.77,0.2325,structural,False,0.46,0.623,0.36,1850,T. Vells,proximity_measurement,0.93,
SN-0166,MS-0053,Form 53,EN-011,Cluster Beta,2,0.7,0.3007,unknown,True,0.71,0.574,0.46,1841,T. Vells,behavioral_observation,0.67,
SN-0167,MS-0053,Form 53,MS-0002,The Binary Division,3,0.69,0.307,functional,False,0.63,0.67,0.34,919,Constellation Survey,proximity_measurement,0.62,
SN-0168,MS-0053,Form 53,MS-0182,Form 182,4,0.69,0.3109,developmental,True,0.84,0.586,0.68,927,T. Vells,trajectory_correlation,0.91,
SN-0169,MS-0053,Form 53,MS-0079,Form 79,5,0.69,0.3123,structural,True,0.47,0.576,0.13,924,K. Strand,classification_clustering,0.67,
SN-0170,MS-0054,Form 54,MS-0070,Form 70,1,0.77,0.23,structural,True,0.69,0.749,0.25,1844,P. Tross,behavioral_observation,0.78,
SN-0171,MS-0054,Form 54,MS-0191,Form 191,2,0.75,0.2454,developmental,True,0.93,0.638,0.79,1838,Constellation Survey,historical_inference,0.78,
SN-0172,MS-0054,Form 54,MS-0073,Form 73,3,0.75,0.2456,unknown,True,0.65,0.739,0.4,929,T. Vells,behavioral_observation,0.82,
SN-0173,MS-0054,Form 54,MS-0189,Form 189,4,0.72,0.2806,unknown,False,0.76,0.583,0.22,923,P. Tross,proximity_measurement,0.74,
