session_id,date,semester_id,jackson_at_fountain,jackson_in_class,jackson_mood,spoke_to_narrator,last_known_sighting
CLS0177,2020-03-25,SEM04,False,False,engaged,False,
CLS0178,2020-03-27,SEM04,True,False,relaxed,False,
CLS0179,2020-03-30,SEM04,False,True,relaxed,True,
CLS0180,2020-04-01,SEM04,True,False,relaxed,False,
CLS0181,2020-04-03,SEM04,True,False,amused,False,
CLS0182,2020-04-06,SEM04,True,False,relaxed,False,
CLS0183,2020-04-08,SEM04,True,False,relaxed,False,
CLS0184,2020-04-10,SEM04,True,False,amused,False,
CLS0185,2020-04-13,SEM04,True,False,relaxed,False,
CLS0186,2020-04-15,SEM04,False,False,amused,True,
CLS0187,2020-04-17,SEM04,True,True,pensive,False,
CLS0188,2020-04-20,SEM04,True,False,pensive,False,
CLS0189,2020-04-22,SEM04,True,False,relaxed,False,
CLS0190,2020-04-24,SEM04,True,True,relaxed,False,
CLS0191,2020-04-27,SEM04,True,True,pensive,False,
CLS0192,2020-04-29,SEM04,False,False,relaxed,False,
CLS0193,2020-05-01,SEM04,False,False,relaxed,False,
CLS0194,2020-05-04,SEM04,True,False,pensive,True,
CLS0195,2020-05-06,SEM04,True,False,engaged,False,
CLS0196,2020-05-08,SEM04,True,False,relaxed,False,
CLS0197,2020-08-26,SEM05,False,False,engaged,True,
CLS0198,2020-08-28,SEM05,True,True,engaged,False,
CLS0199,2020-08-31,SEM05,True,False,amused,False,
CLS0200,2020-09-02,SEM05,True,False,engaged,True,
CLS0201,2020-09-04,SEM05,True,False,pensive,False,
CLS0202,2020-09-07,SEM05,True,True,pensive,True,
CLS0203,2020-09-09,SEM05,True,False,relaxed,True,
CLS0204,2020-09-11,SEM05,True,False,pensive,True,
CLS0205,2020-09-14,SEM05,True,False,amused,False,
CLS0206,2020-09-16,SEM05,True,False,engaged,True,
CLS0207,2020-09-18,SEM05,False,False,amused,True,
CLS0208,2020-09-21,SEM05,True,False,amused,True,
CLS0209,2020-09-23,SEM05,True,False,relaxed,False,
CLS0210,2020-09-25,SEM05,True,False,engaged,False,
CLS0211,2020-09-28,SEM05,True,False,amused,False,
CLS0212,2020-09-30,SEM05,True,True,amused,False,
CLS0213,2020-10-02,SEM05,True,False,relaxed,False,
CLS0214,2020-10-05,SEM05,True,True,amused,False,
CLS0215,2020-10-07,SEM05,True,True,amused,False,
CLS0216,2020-10-09,SEM05,True,False,relaxed,False,
CLS0217,2020-10-12,SEM05,True,False,amused,False,
CLS0218,2020-10-14,SEM05,True,True,engaged,False,
CLS0219,2020-10-16,SEM05,True,True,pensive,False,
CLS0220,2020-10-19,SEM05,True,True,relaxed,True,
CLS0221,2020-10-21,SEM05,True,False,pensive,False,
CLS0222,2020-10-23,SEM05,True,False,relaxed,False,
CLS0223,2020-10-26,SEM05,True,False,pensive,False,
CLS0224,2020-10-28,SEM05,True,True,amused,False,
CLS0225,2020-10-30,SEM05,True,False,pensive,False,
CLS0226,2020-11-02,SEM05,True,False,relaxed,False,
CLS0227,2020-11-04,SEM05,True,False,relaxed,True,
CLS0228,2020-11-06,SEM05,False,False,amused,True,
CLS0229,2020-11-09,SEM05,True,True,pensive,False,
CLS0230,2020-11-11,SEM05,True,False,amused,True,
CLS0231,2020-11-13,SEM05,True,False,pensive,False,
CLS0232,2020-11-16,SEM05,True,False,pensive,False,
CLS0233,2020-11-18,SEM05,True,False,engaged,True,
CLS0234,2020-11-20,SEM05,True,False,relaxed,True,
CLS0235,2020-11-23,SEM05,True,False,pensive,True,
CLS0236,2020-11-25,SEM05,True,False,amused,False,
CLS0237,2020-11-27,SEM05,True,False,relaxed,True,
CLS0238,2020-11-30,SEM05,True,False,engaged,False,
CLS0239,2020-12-02,SEM05,True,True,amused,False,
CLS0240,2020-12-04,SEM05,True,True,engaged,False,
CLS0241,2020-12-07,SEM05,True,True,amused,False,
CLS0242,2020-12-09,SEM05,True,True,amused,True,
CLS0243,2020-12-11,SEM05,True,True,amused,False,
CLS0244,2020-12-14,SEM05,True,True,relaxed,False,
CLS0245,2021-01-15,SEM06,True,False,relaxed,True,
CLS0246,2021-01-18,SEM06,True,False,pensive,False,
CLS0247,2021-01-20,SEM06,False,False,pensive,False,
CLS0248,2021-01-22,SEM06,True,False,pensive,False,
CLS0249,2021-01-25,SEM06,True,True,pensive,False,
CLS0250,2021-01-27,SEM06,False,True,relaxed,False,
CLS0251,2021-01-29,SEM06,False,False,relaxed,False,
CLS0252,2021-02-01,SEM06,True,False,pensive,False,
CLS0253,2021-02-03,SEM06,True,False,engaged,False,
CLS0254,2021-02-05,SEM06,True,False,engaged,True,
CLS0255,2021-02-08,SEM06,True,False,pensive,True,
CLS0256,2021-02-10,SEM06,True,False,engaged,True,
CLS0257,2021-02-12,SEM06,False,True,engaged,False,
CLS0258,2021-02-15,SEM06,True,True,pensive,True,
CLS0259,2021-02-17,SEM06,True,False,amused,True,
CLS0260,2021-02-19,SEM06,True,True,engaged,True,
CLS0261,2021-02-22,SEM06,True,False,relaxed,False,
CLS0262,2021-02-24,SEM06,True,True,relaxed,False,
CLS0263,2021-02-26,SEM06,True,True,amused,False,
CLS0264,2021-03-01,SEM06,True,False,relaxed,False,
CLS0265,2021-03-03,SEM06,True,False,pensive,False,
CLS0266,2021-03-05,SEM06,True,True,engaged,False,
CLS0267,2021-03-08,SEM06,True,False,amused,True,
CLS0268,2021-03-10,SEM06,True,False,relaxed,True,
CLS0269,2021-03-12,SEM06,True,False,relaxed,False,
CLS0270,2021-03-15,SEM06,True,True,amused,True,
CLS0271,2021-03-17,SEM06,True,True,pensive,False,
CLS0272,2021-03-19,SEM06,False,False,relaxed,False,
CLS0273,2021-03-22,SEM06,False,True,pensive,False,
CLS0274,2021-03-24,SEM06,True,True,relaxed,False,
CLS0275,2021-03-26,SEM06,True,True,pensive,False,
CLS0276,2021-03-29,SEM06,True,True,pensive,False,
CLS0277,2021-03-31,SEM06,True,False,pensive,False,
CLS0278,2021-04-02,SEM06,True,False,relaxed,False,
CLS0279,2021-04-05,SEM06,False,False,amused,False,
CLS0280,2021-04-07,SEM06,True,False,engaged,False,
CLS0281,2021-04-09,SEM06,True,False,pensive,True,
CLS0282,2021-04-12,SEM06,True,True,engaged,False,
CLS0283,2021-04-14,SEM06,True,False,engaged,False,
CLS0284,2021-04-16,SEM06,True,True,amused,False,
CLS0285,2021-04-19,SEM06,True,False,engaged,False,
CLS0286,2021-04-21,SEM06,True,False,engaged,False,
CLS0287,2021-04-23,SEM06,True,False,amused,False,
CLS0288,2021-04-26,SEM06,True,True,relaxed,False,
CLS0289,2021-04-28,SEM06,True,True,relaxed,True,
CLS0290,2021-04-30,SEM06,True,False,amused,False,
CLS0291,2021-05-03,SEM06,True,False,engaged,False,
CLS0292,2021-05-05,SEM06,True,True,amused,True,
CLS0293,2021-05-07,SEM06,True,True,relaxed,False,
CLS0294,2021-05-10,SEM06,True,True,relaxed,False,
CLS0295,2021-08-25,SEM07,True,False,concerned,True,
CLS0296,2021-08-27,SEM07,True,True,concerned,True,
CLS0297,2021-08-30,SEM07,True,True,concerned,False,
CLS0298,2021-09-01,SEM07,True,False,watchful,False,
CLS0299,2021-09-03,SEM07,True,True,serious,False,
CLS0300,2021-09-06,SEM07,True,True,serious,True,
CLS0301,2021-09-08,SEM07,True,False,concerned,True,
CLS0302,2021-09-10,SEM07,True,False,watchful,False,
CLS0303,2021-09-13,SEM07,True,False,serious,True,
CLS0304,2021-09-15,SEM07,True,False,watchful,False,
CLS0305,2021-09-17,SEM07,True,False,concerned,False,
CLS0306,2021-09-20,SEM07,True,True,watchful,True,
CLS0307,2021-09-22,SEM07,True,False,concerned,False,
CLS0308,2021-09-24,SEM07,True,True,serious,False,
CLS0309,2021-09-27,SEM07,True,True,watchful,False,
CLS0310,2021-09-29,SEM07,True,True,concerned,True,
CLS0311,2021-10-01,SEM07,True,True,concerned,True,
CLS0312,2021-10-04,SEM07,True,True,serious,True,
CLS0313,2021-10-06,SEM07,False,True,concerned,False,
CLS0314,2021-10-08,SEM07,True,True,serious,False,
CLS0315,2021-10-11,SEM07,True,False,concerned,True,
CLS0316,2021-10-13,SEM07,True,True,watchful,False,
CLS0317,2021-10-15,SEM07,False,False,withdrawn,False,
CLS0318,2021-10-18,SEM07,False,False,pensive,False,
CLS0319,2021-10-20,SEM07,True,False,pensive,True,
CLS0320,2021-10-22,SEM07,False,True,pensive,False,
CLS0321,2021-10-25,SEM07,True,False,worried,True,
CLS0322,2021-10-27,SEM07,True,False,pensive,True,
CLS0323,2021-10-29,SEM07,False,False,pensive,False,
CLS0324,2021-11-01,SEM07,False,True,pensive,False,
CLS0325,2021-11-03,SEM07,False,False,withdrawn,False,
CLS0326,2021-11-05,SEM07,True,True,pensive,False,
CLS0327,2021-11-08,SEM07,True,False,pensive,True,
CLS0328,2021-11-10,SEM07,True,False,,False,True
CLS0329,2021-11-12,SEM07,False,False,,False,
CLS0330,2021-11-15,SEM07,False,False,absent,True,
CLS0331,2021-11-17,SEM07,False,False,,False,
CLS0332,2021-11-19,SEM07,False,False,absent,False,
CLS0333,2021-11-22,SEM07,False,False,absent,False,
CLS0334,2021-11-24,SEM07,False,False,vanished,False,
CLS0335,2021-11-26,SEM07,False,False,absent,True,
CLS0336,2021-11-29,SEM07,False,False,withdrawn,False,
CLS0337,2021-12-01,SEM07,False,False,withdrawn,False,
CLS0338,2021-12-03,SEM07,False,False,vanished,False,
CLS0339,2021-12-06,SEM07,False,False,withdrawn,False,
CLS0340,2021-12-08,SEM07,False,False,,False,
CLS0341,2021-12-10,SEM07,False,False,vanished,False,
CLS0342,2021-12-13,SEM07,False,False,withdrawn,False,
CLS0343,2021-12-15,SEM07,False,False,,False,
CLS0344,2022-01-17,SEM08,False,False,gone,False,
CLS0345,2022-01-19,SEM08,False,False,gone,False,
CLS0346,2022-01-21,SEM08,False,False,gone,True,
CLS0347,2022-01-24,SEM08,False,False,gone,False,
CLS0348,2022-01-26,SEM08,False,False,gone,True,
CLS0349,2022-01-28,SEM08,False,False,gone,False,
CLS0350,2022-01-31,SEM08,False,False,gone,False,
CLS0351,2022-02-02,SEM08,False,False,gone,False,
CLS0352,2022-02-04,SEM08,False,False,gone,True,
CLS0353,2022-02-07,SEM08,False,False,gone,True,
CLS0354,2022-02-09,SEM08,False,False,gone,False,
CLS0355,2022-02-11,SEM08,False,False,gone,False,
CLS0356,2022-02-14,SEM08,False,False,gone,False,
CLS0357,2022-02-16,SEM08,False,False,gone,False,
CLS0358,2022-02-18,SEM08,False,False,gone,False,
CLS0359,2022-02-21,SEM08,False,False,gone,False,
CLS0360,2022-02-23,SEM08,False,False,gone,False,
CLS0361,2022-02-25,SEM08,False,False,gone,False,
CLS0362,2022-02-28,SEM08,False,False,gone,False,
CLS0363,2022-03-02,SEM08,False,False,gone,False,
CLS0364,2022-03-04,SEM08,False,False,gone,True,
CLS0365,2022-03-07,SEM08,False,False,gone,True,
CLS0366,2022-03-09,SEM08,False,False,gone,True,
CLS0367,2022-03-11,SEM08,False,False,gone,False,
CLS0368,2022-03-14,SEM08,False,False,gone,False,
CLS0369,2022-03-16,SEM08,False,False,gone,False,
CLS0370,2022-03-18,SEM08,False,False,gone,False,
CLS0371,2022-03-21,SEM08,False,False,gone,True,
CLS0372,2022-03-23,SEM08,False,False,gone,False,
CLS0373,2022-03-25,SEM08,False,False,gone,False,
CLS0374,2022-03-28,SEM08,False,False,gone,False,
CLS0375,2022-03-30,SEM08,False,False,gone,False,
CLS0376,2022-04-01,SEM08,False,False,gone,True,
CLS0377,2022-04-04,SEM08,False,False,gone,False,
CLS0378,2022-04-06,SEM08,False,False,gone,False,
CLS0379,2022-04-08,SEM08,False,False,gone,False,
CLS0380,2022-04-11,SEM08,False,False,gone,True,
CLS0381,2022-04-13,SEM08,False,False,gone,False,
CLS0382,2022-04-15,SEM08,False,False,gone,False,
CLS0383,2022-04-18,SEM08,False,False,gone,False,
CLS0384,2022-04-20,SEM08,False,False,gone,False,
CLS0385,2022-04-22,SEM08,False,False,gone,True,
CLS0386,2022-04-25,SEM08,False,False,gone,False,
CLS0387,2022-04-27,SEM08,False,False,gone,False,
CLS0388,2022-04-29,SEM08,False,False,gone,False,
CLS0389,2022-05-02,SEM08,False,False,gone,False,
CLS0390,2022-05-04,SEM08,False,False,gone,False,
CLS0391,2022-05-06,SEM08,False,False,gone,True,
CLS0392,2022-05-09,SEM08,False,False,gone,False,
