survey_id,survey_name,survey_type,region_covered,basin_ids_covered,start_year,end_year,forms_cataloged,basins_mapped,ridges_traced,geodesics_calculated,curvature_points,anomalies_found,lead_surveyor,team_size,sponsoring_institution,primary_method,innovations,success_rating,key_findings,controversies,follow_up_surveys,notes
LS-0011,Central Morphospace Survey,targeted_basin,Septenary Basin and immediate neighbors,BA-006,924,924,9,1,1,1,9,0,Lorn Creeth,3,Western Archive,similarity_inference,,0.73,Anomalous readings near Dens-correlated zone.,Survey terminated early due to funding constraints.,,Independent verification of Archive results.
LS-0012,Year 923 Comprehensive Survey,comprehensive,"Full morphospace grid, focus on Ridge Network","BA-032,BA-048,BA-014,BA-019,BA-045,BA-039",923,923,15,5,9,2,15,0,Archive Survey Team,4,Densmok Evaluation Group,historical_reconstruction,Systematic grid approach adopted.,0.85,Ridge drift measured at 0.005 units per decade.,Methodology questioned by Senate Survey.,,Training survey for new team members.
LS-0013,Binary Region Survey Year 922,ridge_survey,Ridge system in Ridge Network,"BA-014,BA-003,BA-011",922,922,0,0,2,0,9,0,Archive Survey Team,1,Senate Survey,historical_reconstruction,Developed improved triangulation method.,0.6,Ridge drift measured at 0.003 units per decade.,Curvature measurements inconsistent with theoretical predictions.,,Follow-up to earlier inconclusive results.
LS-0014,Quintic Basin Deep Mapping,form_catalog,Form census in Quintic Region,"BA-008,BA-040",923,923,27,2,0,0,0,1,Vanis Trem,3,Western Archive,similarity_inference,Pioneered rapid-survey methodology.,0.54,Ridge position differs from Year 929 survey by 0.01 units.,,,Limited access to Form census in Quintic Region due to restrictions.
LS-0015,Survey LS-0015,comprehensive,"Full morphospace grid, focus on Central Grid","BA-001,BA-038,BA-035,BA-033,BA-023",923,923,17,4,10,3,46,0,Senate Survey Director,6,Boundary Commission,historical_reconstruction,New saddle point detection technique.,0.88,Ridge position differs from Year 924 survey by 0.02 units.,Basin boundary disputed by independent researchers.,,"Limited access to Full morphospace grid, focus on Central Grid due to restrictions."
LS-0016,Deep Attractor Zone Survey Year 918,curvature_grid,Curvature grid covering Ridge Network,"BA-031,BA-006,BA-030,BA-023",918,919,0,0,0,0,75,1,Archive Survey Team,2,Independent Scholar,form_triangulation,New saddle point detection technique.,0.78,Ridge drift measured at 0.004 units per decade.,Results conflict with Year 927 survey.,LS-0002,
LS-0017,Systematic Ridge Survey,ridge_survey,Ridge system in Shallow Basin Region,"BA-045,BA-002,BA-032,BA-022",921,921,0,0,15,0,31,1,Morren Kast,4,Western Archive,boundary_mapping,New saddle point detection technique.,0.79,Basin depth measurement revised upward.,Methodology questioned by Senate Survey.,,Used improved instrumentation from Year 929.
LS-0018,Follow-up Morphospace Survey,curvature_grid,Curvature grid covering Deep Attractor Zone,"BA-044,BA-003,BA-008,BA-032",927,927,0,0,0,0,26,1,C. Vells,2,Western Archive,boundary_mapping,Pioneered rapid-survey methodology.,0.57,New geodesic path documented connecting Five-Body Basin to Binary Basin.,Curvature measurements inconsistent with theoretical predictions.,,Training survey for new team members.
LS-0019,Year 919 Targeted Basin Survey,targeted_basin,Binary Basin and immediate neighbors,BA-002,919,919,11,1,2,3,11,1,T. Vells,3,Senate Survey,trajectory_analysis,,0.74,Confirmed 11 forms within Septenary Basin.,Survey terminated early due to funding constraints.,,Used improved instrumentation from Year 930.
LS-0020,Binary Region Survey Year 931,curvature_grid,Curvature grid covering Northern Morphospace,BA-033,931,931,0,0,0,0,91,0,Lorn Creeth,8,Densmok Evaluation Group,historical_reconstruction,Combined multiple measurement methods.,0.91,No significant findings; survey confirmed previous work.,,"LS-0014,LS-0013,LS-0001",Survey conducted during favorable conditions.
LS-0021,Binary Basin Basin Study,comprehensive,"Full morphospace grid, focus on Western Boundary","BA-013,BA-012,BA-035,BA-006,BA-033,BA-029,BA-009,BA-049,BA-002,BA-048",929,930,23,3,17,4,44,0,Esseny Moll,3,Independent Scholar,parallel_transport,Combined multiple measurement methods.,0.92,"Identified new basin boundary at coordinates (0.28, 0.47).",,,Funded by Senate special appropriation.
LS-0022,Curvature Grid Northern Morphospace,geodesic_trace,Geodesic paths through Outer Reaches,"BA-006,BA-021,BA-004,BA-024,BA-036",932,932,1,0,3,4,5,1,T. Vells,1,Capital Philosophical Society,boundary_mapping,,0.79,No significant findings; survey confirmed previous work.,Survey terminated early due to funding constraints.,,Training survey for new team members.
LS-0023,Septenary Basin Basin Study,ridge_survey,Ridge system in Binary Region,"BA-041,BA-019,BA-046,BA-017,BA-020",928,928,0,0,30,0,72,0,Vanis Trem,8,Densmok Evaluation Group,boundary_mapping,Pioneered rapid-survey methodology.,0.82,Confirmed 30 forms within Quintic Basin.,Survey terminated early due to funding constraints.,,Independent verification of Archive results.
LS-0024,Geodesic Trace Project 924,anomaly_investigation,Anomaly investigation near Quintic Region,BA-016,924,924,3,0,1,1,17,0,K. Strand,3,Independent Scholar,historical_reconstruction,Combined multiple measurement methods.,0.7,Discovered 3 previously undocumented forms.,Methodology questioned by Capital Philosophical Society.,,Independent verification of Archive results.
LS-0025,Western Morphospace Survey,ridge_survey,Ridge system in Tension Territory,"BA-050,BA-011,BA-001",921,922,0,0,9,0,21,1,Boundary Commission Lead,2,Independent Scholar,form_triangulation,Systematic grid approach adopted.,0.57,No significant findings; survey confirmed previous work.,,"LS-0006,LS-0010,LS-0004",Funded by Senate special appropriation.
LS-0026,Central Ridge Survey,ridge_survey,Ridge system in Ridge Network,"BA-031,BA-012",928,928,0,0,7,0,9,2,T. Vells,2,Independent Scholar,form_triangulation,Systematic grid approach adopted.,0.65,Ridge drift measured at 0.003 units per decade.,,LS-0001,Follow-up to earlier inconclusive results.
LS-0027,Survey LS-0027,form_catalog,Form census in Ridge Network,"BA-003,BA-044,BA-024,BA-014",922,922,62,4,0,0,0,1,C. Vells,8,Boundary Commission,parallel_transport,New saddle point detection technique.,0.99,Ridge drift measured at 0.005 units per decade.,,,Survey conducted during favorable conditions.
LS-0028,Year 926 Curvature Survey,curvature_grid,Curvature grid covering Outer Reaches,BA-038,926,926,0,0,0,0,69,0,K. Strand,6,Western Archive,parallel_transport,Introduced confidence scoring system.,0.82,Curvature measurements consistent with hyperbolic geometry.,Basin boundary disputed by independent researchers.,,Survey conducted during favorable conditions.
LS-0029,Year 926 Anomaly Survey,anomaly_investigation,Anomaly investigation near Northern Morphospace,BA-043,926,926,2,0,1,0,5,0,C. Vells,1,Capital Philosophical Society,historical_reconstruction,Systematic grid approach adopted.,0.55,Confirmed 2 forms within Tension Basin.,Methodology questioned by Boundary Commission.,,Standard survey protocol followed.
LS-0030,Geodesic Trace Project 929,curvature_grid,Curvature grid covering Quintic Region,"BA-039,BA-035,BA-029",929,929,0,0,0,0,47,0,Vanis Trem,3,Senate Survey,trajectory_analysis,Systematic grid approach adopted.,0.66,Ridge drift measured at 0.002 units per decade.,Methodology questioned by Capital Philosophical Society.,,Limited access to Curvature grid covering Quintic Region due to restrictions.
LS-0031,Breathing Hollow Basin Study,anomaly_investigation,Anomaly investigation near Deep Attractor Zone,"BA-011,BA-005,BA-003,BA-037",931,931,3,1,1,2,8,0,Senate Survey Director,2,Capital Philosophical Society,historical_reconstruction,Pioneered rapid-survey methodology.,0.6,Confirmed 3 forms within Quintic Basin.,Curvature measurements inconsistent with theoretical predictions.,,Part of multi-year mapping initiative.
LS-0032,Geodesic Trace Project 932,curvature_grid,Curvature grid covering Deep Attractor Zone,"BA-015,BA-026,BA-007,BA-048,BA-050",932,932,0,0,0,0,16,0,C. Vells,1,Senate Survey,historical_reconstruction,Introduced confidence scoring system.,0.61,Anomalous readings near Dens-correlated zone.,Survey terminated early due to funding constraints.,,
LS-0033,Year 928 Anomaly Survey,anomaly_investigation,Anomaly investigation near Binary Region,BA-003,928,928,1,0,0,2,16,1,Boundary Commission Lead,3,Independent Scholar,similarity_inference,Pioneered rapid-survey methodology.,0.66,Curvature measurements consistent with hyperbolic geometry.,,,Used improved instrumentation from Year 921.
LS-0034,Year 925 Targeted Basin Survey,targeted_basin,Basin BA-039 and immediate neighbors,BA-039,925,925,31,1,3,1,21,0,Archive Survey Team,5,Boundary Commission,trajectory_analysis,Developed improved triangulation method.,0.91,Form stability higher than predicted in this region.,Survey terminated early due to funding constraints.,,Standard survey protocol followed.
LS-0035,Eastern Ridge Survey,curvature_grid,Curvature grid covering Quintic Region,"BA-044,BA-045",920,920,0,0,0,0,54,0,Vanis Trem,3,Densmok Evaluation Group,similarity_inference,,0.72,Confirmed 1 forms within Septenary Basin.,Results conflict with Year 924 survey.,,Follow-up to earlier inconclusive results.
LS-0036,Triad Basin Basin Study,anomaly_investigation,Anomaly investigation near Northern Morphospace,"BA-017,BA-027,BA-012,BA-006,BA-005",930,930,2,0,1,0,15,1,Hern Tollis,2,Western Archive,boundary_mapping,,0.63,Anomalous readings near Dens-correlated zone.,,,Survey conducted during favorable conditions.
LS-0037,Expanded Ridge Survey,anomaly_investigation,Anomaly investigation near Outer Reaches,"BA-048,BA-049,BA-036,BA-042,BA-043",930,930,0,0,2,2,17,0,Independent Scholar,3,Independent Scholar,trajectory_analysis,First use of parallel transport verification.,0.63,Ridge position differs from Year 926 survey by 0.03 units.,Results conflict with Year 919 survey.,"LS-0011,LS-0016,LS-0025",Follow-up to earlier inconclusive results.
LS-0038,Geodesic Trace Project 922,targeted_basin,Basin BA-035 and immediate neighbors,BA-035,922,923,46,1,2,5,25,1,Archive Survey Team,3,Capital Philosophical Society,parallel_transport,Pioneered rapid-survey methodology.,0.88,Curvature measurements consistent with hyperbolic geometry.,,,Used improved instrumentation from Year 921.
LS-0039,Survey LS-0039,anomaly_investigation,Anomaly investigation near Tension Territory,"BA-047,BA-004,BA-017,BA-005",927,927,0,0,0,0,14,0,Archive Survey Team,4,Capital Philosophical Society,historical_reconstruction,,0.63,Form stability higher than predicted in this region.,Survey terminated early due to funding constraints.,,
LS-0040,Geodesic Trace Project 930,curvature_grid,Curvature grid covering Northern Morphospace,"BA-012,BA-003,BA-022,BA-002,BA-024",930,931,0,0,0,0,103,1,K. Strand,5,Capital Philosophical Society,boundary_mapping,First use of parallel transport verification.,1.0,Basin depth measurement revised upward.,,,Funded by Senate special appropriation.
LS-0041,Five-Body Basin Deep Mapping,comprehensive,"Full morphospace grid, focus on Central Grid","BA-033,BA-048,BA-029,BA-011,BA-016,BA-020,BA-019,BA-002",929,929,32,8,10,10,33,2,C. Vells,8,Capital Philosophical Society,historical_reconstruction,,0.85,Ridge position differs from Year 926 survey by 0.05 units.,Team disagreement over form classifications.,,Used improved instrumentation from Year 928.
LS-0042,Curvature Grid Shallow Basin Region,targeted_basin,Basin BA-035 and immediate neighbors,BA-035,925,925,18,1,2,3,16,0,T. Vells,4,Densmok Evaluation Group,historical_reconstruction,New saddle point detection technique.,0.74,Ridge drift measured at 0.005 units per decade.,Basin boundary disputed by independent researchers.,,Part of multi-year mapping initiative.
LS-0043,Central Grid Mapping Project,form_catalog,Form census in Tension Territory,BA-030,932,932,23,4,0,0,0,1,Vanis Trem,1,Capital Philosophical Society,similarity_inference,First use of parallel transport verification.,0.68,Confirmed 23 forms within Binary Basin.,Basin boundary disputed by independent researchers.,,Limited access to Form census in Tension Territory due to restrictions.
LS-0044,Year 927 Geodesic Survey,geodesic_trace,Geodesic paths through Tension Territory,"BA-025,BA-026,BA-031,BA-012",927,928,0,0,2,15,8,0,Senate Survey Director,3,Western Archive,parallel_transport,New saddle point detection technique.,0.79,Curvature measurements consistent with hyperbolic geometry.,Team disagreement over form classifications.,"LS-0024,LS-0021",Independent verification of Archive results.
LS-0045,Geodesic Trace Project 919,form_catalog,Form census in Central Grid,BA-039,919,919,25,2,0,0,0,0,C. Vells,3,Senate Survey,historical_reconstruction,Developed improved triangulation method.,0.73,"Identified new basin boundary at coordinates (0.22, -0.21).",Survey terminated early due to funding constraints.,,Training survey for new team members.
LS-0046,Survey LS-0046,curvature_grid,Curvature grid covering Binary Region,"BA-042,BA-012,BA-007",929,929,0,0,0,0,13,1,Esseny Moll,1,Densmok Evaluation Group,parallel_transport,Combined multiple measurement methods.,0.5,Discovered 1 previously undocumented forms.,Results conflict with Year 927 survey.,"LS-0003,LS-0044",Training survey for new team members.
LS-0047,Curvature Grid Western Boundary,curvature_grid,Curvature grid covering Deep Attractor Zone,BA-003,923,924,0,0,0,0,30,0,Vanis Trem,1,Western Archive,historical_reconstruction,,0.62,"Identified new basin boundary at coordinates (-0.29, 0.08).",Methodology questioned by Densmok Evaluation Group.,,Limited access to Curvature grid covering Deep Attractor Zone due to restrictions.
LS-0048,Shallow Basin Region Mapping Project,targeted_basin,Basin BA-029 and immediate neighbors,BA-029,927,927,18,1,3,2,8,0,Archive Survey Team,3,Independent Scholar,parallel_transport,New saddle point detection technique.,0.68,No significant findings; survey confirmed previous work.,Curvature measurements inconsistent with theoretical predictions.,,Independent verification of Archive results.
LS-0049,Survey LS-0049,form_catalog,Form census in Ridge Network,BA-013,931,932,59,5,0,0,0,1,Lorn Creeth,3,Independent Scholar,similarity_inference,Systematic grid approach adopted.,0.9,Ridge position differs from Year 923 survey by 0.04 units.,,,Funded by Senate special appropriation.
LS-0050,Comprehensive Ridge Survey,targeted_basin,Basin BA-040 and immediate neighbors,BA-040,932,932,11,1,4,4,10,0,Senate Survey Director,3,Densmok Evaluation Group,boundary_mapping,Combined multiple measurement methods.,0.63,Confirmed 11 forms within Septenary Basin.,Methodology questioned by Independent Scholar.,,
LS-0051,Curvature Grid Central Grid,ridge_survey,Ridge system in Western Boundary,"BA-040,BA-029",920,920,0,0,30,0,36,0,T. Vells,8,Capital Philosophical Society,similarity_inference,First use of parallel transport verification.,0.96,Ridge drift measured at 0.004 units per decade.,Methodology questioned by Western Archive.,,Survey conducted during favorable conditions.
LS-0052,Curvature Grid Dens Adjacent Zone,geodesic_trace,Geodesic paths through Central Grid,BA-021,919,919,1,0,0,41,4,0,Senate Survey Director,8,Western Archive,form_triangulation,New saddle point detection technique.,0.8,Ridge drift measured at 0.003 units per decade.,,,Used improved instrumentation from Year 924.
LS-0053,Ridge Network Mapping Project,ridge_survey,Ridge system in Northern Morphospace,"BA-025,BA-040,BA-036,BA-016",928,928,0,0,4,0,5,0,K. Strand,1,Densmok Evaluation Group,parallel_transport,Systematic grid approach adopted.,0.59,Ridge drift measured at 0.002 units per decade.,,"LS-0033,LS-0002,LS-0048",Follow-up to earlier inconclusive results.
LS-0054,Survey 0054,anomaly_investigation,Anomaly investigation near Tension Territory,"BA-018,BA-045,BA-027",932,932,0,1,1,0,7,0,Senate Survey Director,3,Densmok Evaluation Group,similarity_inference,,0.51,Discovered 1 previously undocumented forms.,Curvature measurements inconsistent with theoretical predictions.,,Survey conducted during favorable conditions.
LS-0055,Central Grid Survey Year 918,comprehensive,"Full morphospace grid, focus on Binary Region","BA-027,BA-022,BA-005,BA-037,BA-011,BA-018,BA-001,BA-034",918,918,27,8,22,13,76,1,K. Strand,12,Western Archive,historical_reconstruction,Pioneered rapid-survey methodology.,0.92,Ridge drift measured at 0.005 units per decade.,Basin boundary disputed by independent researchers.,,Follow-up to earlier inconclusive results.
LS-0056,Survey LS-0056,curvature_grid,Curvature grid covering Dens Adjacent Zone,"BA-015,BA-004",925,925,0,0,0,0,35,1,Vanis Trem,4,Densmok Evaluation Group,form_triangulation,Pioneered rapid-survey methodology.,0.75,Ridge drift measured at 0.002 units per decade.,Methodology questioned by Boundary Commission.,,Part of multi-year mapping initiative.
LS-0057,Survey LS-0057,targeted_basin,Basin BA-042 and immediate neighbors,BA-042,927,927,5,1,1,2,3,1,Vanis Trem,1,Senate Survey,parallel_transport,Combined multiple measurement methods.,0.61,Ridge drift measured at 0.004 units per decade.,Methodology questioned by Senate Survey.,,Follow-up to earlier inconclusive results.
LS-0058,Survey LS-0058,form_catalog,Form census in Binary Region,"BA-025,BA-040,BA-037,BA-007,BA-043",930,930,12,1,0,0,0,1,Senate Survey Director,1,Senate Survey,form_triangulation,Developed improved triangulation method.,0.7,No significant findings; survey confirmed previous work.,Curvature measurements inconsistent with theoretical predictions.,LS-0005,Training survey for new team members.
LS-0059,Survey LS-0059,curvature_grid,Curvature grid covering Quintic Region,"BA-028,BA-023,BA-021,BA-036",924,925,0,0,0,0,136,1,T. Vells,6,Capital Philosophical Society,similarity_inference,New saddle point detection technique.,1.0,New geodesic path documented connecting Septenary Basin to Tension Basin.,Survey terminated early due to funding constraints.,,Limited access to Curvature grid covering Quintic Region due to restrictions.
LS-0060,Survey 0060,form_catalog,Form census in Dens Adjacent Zone,"BA-004,BA-047,BA-038",919,919,33,3,0,0,0,0,Independent Scholar,5,Boundary Commission,historical_reconstruction,Combined multiple measurement methods.,0.68,New geodesic path documented connecting Binary Basin to Tension Basin.,Basin boundary disputed by independent researchers.,,Used improved instrumentation from Year 930.
LS-0061,Confirmatory Morphospace Survey,anomaly_investigation,Anomaly investigation near Northern Morphospace,"BA-018,BA-047,BA-011,BA-002",918,918,1,1,1,2,15,0,Morren Kast,2,Boundary Commission,boundary_mapping,Systematic grid approach adopted.,0.56,No significant findings; survey confirmed previous work.,Survey terminated early due to funding constraints.,,
LS-0062,Curvature Grid Outer Reaches,form_catalog,Form census in Western Boundary,"BA-034,BA-026",931,932,56,1,0,0,0,0,T. Vells,4,Boundary Commission,similarity_inference,Systematic grid approach adopted.,0.88,"Identified new basin boundary at coordinates (0.16, -0.08).",Curvature measurements inconsistent with theoretical predictions.,,Training survey for new team members.
LS-0063,Triad Basin Deep Mapping,geodesic_trace,Geodesic paths through Tension Territory,BA-026,919,919,4,0,3,34,3,0,K. Strand,8,Independent Scholar,form_triangulation,Pioneered rapid-survey methodology.,0.84,"Identified new basin boundary at coordinates (-0.44, -0.11).",Curvature measurements inconsistent with theoretical predictions.,,Standard survey protocol followed.
LS-0064,Survey LS-0064,form_catalog,Form census in Central Grid,"BA-022,BA-015",921,921,26,3,0,0,0,0,T. Vells,2,Boundary Commission,parallel_transport,,0.69,Confirmed 26 forms within Tension Basin.,,,Funded by Senate special appropriation.
LS-0065,Survey LS-0065,curvature_grid,Curvature grid covering Tension Territory,"BA-011,BA-035,BA-050,BA-006",925,925,0,0,0,0,60,0,C. Vells,6,Senate Survey,boundary_mapping,,0.73,Ridge drift measured at 0.003 units per decade.,Team disagreement over form classifications.,,Follow-up to earlier inconclusive results.
LS-0066,Survey LS-0066,curvature_grid,Curvature grid covering Outer Reaches,"BA-021,BA-014,BA-047,BA-041,BA-005",927,928,0,0,0,0,74,0,Boundary Commission Lead,3,Senate Survey,trajectory_analysis,,0.93,Confirmed 1 forms within Binary Basin.,,,Part of multi-year mapping initiative.
LS-0067,Curvature Grid Binary Region,curvature_grid,Curvature grid covering Central Grid,"BA-004,BA-045",932,932,0,0,0,0,15,0,T. Vells,1,Independent Scholar,boundary_mapping,First use of parallel transport verification.,0.54,Ridge drift measured at 0.003 units per decade.,Results conflict with Year 922 survey.,"LS-0048,LS-0024",
LS-0068,Western Ridge Survey,anomaly_investigation,Anomaly investigation near Ridge Network,"BA-014,BA-010,BA-025",925,925,1,0,1,0,15,0,Esseny Moll,4,Western Archive,similarity_inference,New saddle point detection technique.,0.53,Confirmed 1 forms within Septenary Basin.,Methodology questioned by Boundary Commission.,,Survey conducted during favorable conditions.
LS-0069,Curvature Grid Quintic Region,geodesic_trace,Geodesic paths through Shallow Basin Region,"BA-034,BA-038,BA-016,BA-018,BA-013",920,920,3,0,3,18,10,0,Hern Tollis,4,Western Archive,historical_reconstruction,,0.84,New geodesic path documented connecting Five-Body Basin to Five-Body Basin.,,,Follow-up to earlier inconclusive results.
LS-0070,Survey 0070,geodesic_trace,Geodesic paths through Outer Reaches,"BA-009,BA-016,BA-047,BA-029",921,922,0,0,0,19,2,1,Senate Survey Director,2,Independent Scholar,parallel_transport,New saddle point detection technique.,0.73,Confirmed 19 forms within Binary Basin.,,,Standard survey protocol followed.
LS-0071,Dens Adjacent Zone Mapping Project,form_catalog,Form census in Outer Reaches,"BA-022,BA-042,BA-024,BA-033,BA-001",926,926,27,1,0,0,0,0,Boundary Commission Lead,3,Boundary Commission,trajectory_analysis,New saddle point detection technique.,0.63,Anomalous readings near Dens-correlated zone.,Team disagreement over form classifications.,,Limited access to Form census in Outer Reaches due to restrictions.
LS-0072,Survey 0072,comprehensive,"Full morphospace grid, focus on Quintic Region","BA-042,BA-021,BA-019,BA-023,BA-003,BA-001,BA-016,BA-050,BA-002,BA-014",919,919,4,2,4,2,15,1,T. Vells,2,Western Archive,historical_reconstruction,Developed improved triangulation method.,0.8,Confirmed 4 forms within Breathing Hollow.,Curvature measurements inconsistent with theoretical predictions.,,Training survey for new team members.
LS-0073,Curvature Grid Tension Territory,comprehensive,"Full morphospace grid, focus on Western Boundary","BA-042,BA-035,BA-019,BA-021,BA-040,BA-002,BA-029,BA-020,BA-036,BA-023,BA-041,BA-045,BA-013,BA-005,BA-008",925,925,12,2,7,3,16,0,Independent Scholar,3,Independent Scholar,form_triangulation,Introduced confidence scoring system.,0.79,New geodesic path documented connecting Breathing Hollow to Tension Basin.,Team disagreement over form classifications.,,"Limited access to Full morphospace grid, focus on Western Boundary due to restrictions."
LS-0074,Deep Attractor Zone Mapping Project,form_catalog,Form census in Binary Region,"BA-044,BA-012",923,923,35,5,0,0,0,0,Vanis Trem,3,Capital Philosophical Society,boundary_mapping,Combined multiple measurement methods.,0.84,Saddle point SP-038 position confirmed.,Methodology questioned by Independent Scholar.,,Follow-up to earlier inconclusive results.
LS-0075,Survey LS-0075,targeted_basin,Basin BA-042 and immediate neighbors,BA-042,932,932,15,1,4,5,17,1,Senate Survey Director,5,Boundary Commission,similarity_inference,Introduced confidence scoring system.,0.81,"Identified new basin boundary at coordinates (-0.47, -0.12).",Basin boundary disputed by independent researchers.,"LS-0047,LS-0033",Training survey for new team members.
LS-0076,Geodesic Trace Project 921,targeted_basin,Basin BA-046 and immediate neighbors,BA-046,921,921,24,1,3,2,15,1,Morren Kast,5,Western Archive,form_triangulation,Systematic grid approach adopted.,0.85,Curvature measurements consistent with hyperbolic geometry.,,,Funded by Senate special appropriation.
LS-0077,Survey LS-0077,geodesic_trace,Geodesic paths through Western Boundary,"BA-001,BA-028",924,924,2,0,3,34,1,0,Vanis Trem,6,Capital Philosophical Society,similarity_inference,New saddle point detection technique.,0.93,"Identified new basin boundary at coordinates (-0.35, 0.06).",,,
LS-0078,Survey LS-0078,ridge_survey,Ridge system in Central Grid,"BA-030,BA-047,BA-028,BA-034",923,923,0,0,29,0,54,0,Boundary Commission Lead,6,Independent Scholar,trajectory_analysis,,0.91,Curvature measurements consistent with hyperbolic geometry.,,,Training survey for new team members.
LS-0079,Preliminary Morphospace Survey,comprehensive,"Full morphospace grid, focus on Shallow Basin Region","BA-042,BA-050,BA-017,BA-006,BA-046,BA-022,BA-041,BA-037,BA-021,BA-013,BA-010,BA-020,BA-045",918,918,18,4,11,5,30,0,Independent Scholar,4,Boundary Commission,similarity_inference,First use of parallel transport verification.,0.84,Anomalous readings near Dens-correlated zone.,Survey terminated early due to funding constraints.,,Survey conducted during favorable conditions.
LS-0080,Follow-up Ridge Survey,geodesic_trace,Geodesic paths through Northern Morphospace,"BA-014,BA-001,BA-027,BA-015",924,924,1,0,0,17,3,0,K. Strand,4,Western Archive,parallel_transport,First use of parallel transport verification.,0.77,Saddle point SP-004 position confirmed.,Curvature measurements inconsistent with theoretical predictions.,,Follow-up to earlier inconclusive results.
LS-0081,Survey LS-0081,comprehensive,"Full morphospace grid, focus on Binary Region","BA-014,BA-043,BA-035,BA-031,BA-045,BA-039",929,929,9,4,11,5,23,0,Morren Kast,4,Capital Philosophical Society,similarity_inference,Pioneered rapid-survey methodology.,0.88,Discovered 9 previously undocumented forms.,,,Used improved instrumentation from Year 925.
LS-0082,Survey LS-0082,comprehensive,"Full morphospace grid, focus on Shallow Basin Region","BA-049,BA-014,BA-007,BA-016,BA-040,BA-043,BA-035,BA-005,BA-034,BA-026,BA-004,BA-044,BA-018",931,931,2,1,2,1,4,0,T. Vells,1,Boundary Commission,form_triangulation,,0.55,Anomalous readings near Dens-correlated zone.,Team disagreement over form classifications.,,Independent verification of Archive results.
