case_id,case_name,entity_type,intended_destination,navigation_mode,pathology_type,severity,trajectory_length,trajectory_duration_days,efficiency_ratio,deviation_from_path,primary_cause,secondary_cause,dens_proximity_km,boundary_instability,earliest_symptom,symptom_progression,awareness_of_problem,outcome,days_to_resolution,casualties,intervention_attempted,intervention_type,intervention_success,location,region,observation_year,observer,voss_classification,confidence,lessons_learned,cross_reference,notes
NP-0019,Wrong Destination 933,colony,Attractor Basin 63,path_following,false_arrival,severe,238.4,437,4.28,70.3,landscape_distortion,horizon_shrinkage,105.7,3.9,course_deviation,sudden_onset,partially_aware,eventual_arrival,103,0,True,signal_amplification,successful,Suburban zone,Densmok,928,Survey Commission,Class_C_attractor,0.76,Dens proximity increases signal noise,,
NP-0020,Navigation Paralysis 668,pattern,Mill site,random_walk,endless_wandering,moderate,499.3,2793,675.14,243.5,ghost_interference,competing_attractors,66.3,3.2,disorientation,stable,fully_aware,wrong_arrival,712,0,True,rescue,failed,Mill vicinity,Yeller Quarry,906,Trapper Guild Records,Class_B_trajectory,0.64,Horizon shrinkage prevents distant attractor perception,,
NP-0021,Expedition 909 Lost,creature,Tower of Mirado,gradient_following,resonance_lock,moderate,200.3,721,26.61,66.2,ghost_interference,substrate_damage,22.8,6.5,signal_loss,recovery,partially_aware,wrong_arrival,516,3,False,none,not_attempted,Southern perimeter,Dens boundary,917,R. Voss,Class_D_resonance,0.73,Horizon shrinkage prevents distant attractor perception,,
NP-0022,Wrong Destination 693,individual,Mill site,path_following,trajectory_loop,minor,475.6,244,49.08,142.7,landscape_distortion,,122.3,2.8,course_deviation,gradual_worsening,unaware,rescued,147,2,True,signal_amplification,successful,Veteran settlement,Tower of Mirado,939,Expedition Records,Class_B_trajectory,0.7,Boundary instability correlates with navigation difficulty,,
NP-0023,Trajectory Dissolution 324,creature,Attractor Basin 29,attractor_tracking,endless_wandering,minor,135.1,2712,2.22,26.1,boundary_interference,ghost_interference,126.1,3.4,confusion,oscillating,uncertain,eventual_arrival,171,3,False,none,not_attempted,Tower base,Tower of Mirado,893,R. Voss,Class_B_trajectory,0.61,Ghost patterns can create false landmarks,,
NP-0024,Trajectory Dissolution 76,creature,,random_walk,endless_wandering,moderate,816.2,3604,130.64,425.7,boundary_interference,substrate_damage,16.2,8.6,paralysis,oscillating,partially_aware,wrong_arrival,125,1,False,none,not_attempted,Eastern fluctuation zone,Dens boundary,926,C. Vells,Class_B_trajectory,0.95,Boundary instability correlates with navigation difficulty,,
NP-0025,Wrong Destination 78,creature,,path_following,resonance_lock,moderate,354.2,363,15.84,217.5,boundary_interference,,100.0,3.7,backtracking,gradual_worsening,uncertain,wrong_arrival,267,0,False,none,not_attempted,Mill vicinity,Yeller Quarry,893,K. Vorn,Class_D_resonance,0.88,Multiple attractors require explicit choice,,
NP-0026,Endless Loop 674,expedition,Capital,landmark_navigation,resonance_lock,severe,12.7,44,2.68,8.0,horizon_shrinkage,substrate_damage,26.9,6.4,paralysis,gradual_worsening,fully_aware,eventual_arrival,1,3,False,none,not_attempted,Western approach,Dens boundary,936,Trapper Guild Records,Class_D_resonance,0.82,Boundary instability correlates with navigation difficulty,HS-0061,
NP-0027,Trajectory Dissolution 157,individual,Tower of Mirado,random_walk,false_arrival,minor,366.1,633,38.98,269.1,ghost_interference,observer_effect,13.6,5.3,paralysis,gradual_worsening,unaware,returned_origin,692,1,True,guidance,partial,Sector SW-6,Dens boundary,906,Navigation Study Group,Class_C_attractor,0.67,Early intervention improves outcomes,,
NP-0028,Endless Loop 368,individual,Yeller Quarry,unknown,wrong_direction,catastrophic,434.8,671,42.22,345.8,signal_noise,,190.0,4.8,disorientation,oscillating,unaware,rescued,169,0,True,guidance,successful,Tower base,Tower of Mirado,922,Trapper Guild Records,Class_B_trajectory,0.89,Navigation mode should match conditions,,
NP-0029,Resonance Lock Case 308,expedition,Archive,random_walk,attractor_switching,moderate,250.3,535,17.29,185.6,boundary_interference,landscape_distortion,104.8,4.1,confusion,sudden_onset,partially_aware,returned_origin,1000,0,True,resonance_recalibration,failed,Quarry interior,Yeller Quarry,938,Navigation Study Group,unclassified,0.66,Horizon shrinkage prevents distant attractor perception,,
NP-0030,Landmark Confusion 754,individual,Settlement 19,landmark_navigation,endless_wandering,minor,648.4,2150,607.92,381.3,boundary_interference,landscape_distortion,125.0,1.6,oscillation,gradual_worsening,fully_aware,returned_origin,308,0,False,none,not_attempted,Educational district,Densmok,929,Expedition Records,Class_B_trajectory,0.73,Navigation mode should match conditions,,
NP-0031,False Basin Arrival 361,individual,Mill site,random_walk,false_arrival,minor,144.7,845,3.95,101.2,landscape_distortion,,359.8,2.7,oscillation,sudden_onset,fully_aware,lost_indefinitely,4840,3,True,guidance,failed,Northern monastery,Northo,912,Trapper Guild Records,Class_C_attractor,0.54,Boundary instability correlates with navigation difficulty,,
NP-0032,Resonance Lock Case 493,individual,Dens boundary observation post,path_following,false_arrival,moderate,155.1,758,3.19,89.8,landscape_distortion,signal_noise,176.8,2.2,signal_loss,gradual_worsening,fully_aware,eventual_arrival,347,2,True,signal_amplification,successful,Capital outskirts,Capital,906,Survey Commission,Class_C_attractor,0.54,Boundary instability correlates with navigation difficulty,,
NP-0033,Expedition 838 Lost,individual,Dens boundary observation post,landmark_navigation,endless_wandering,severe,155.7,1589,198.37,113.7,boundary_interference,substrate_damage,148.7,4.4,signal_loss,stable,fully_aware,dissolution,745,7,True,resonance_recalibration,partial,Coder quarter,Densmok,907,K. Vorn,Class_B_trajectory,0.94,Multiple attractors require explicit choice,,
NP-0034,Resonance Lock Case 264,creature,Tower of Mirado,random_walk,attractor_switching,moderate,407.4,6,22.93,105.2,horizon_shrinkage,ghost_interference,153.7,1.3,disorientation,sudden_onset,unaware,death,170,3,False,none,not_attempted,Tower base,Tower of Mirado,928,Survey Commission,unclassified,0.5,Early intervention improves outcomes,HS-0064,
NP-0035,False Basin Arrival 825,individual,,path_following,false_arrival,catastrophic,218.1,3,17.8,123.8,signal_noise,landscape_distortion,55.9,3.5,oscillation,stable,partially_aware,lost_indefinitely,8330,0,True,signal_amplification,failed,Camp settlements,Yeller Quarry,905,C. Vells,Class_C_attractor,0.78,Horizon shrinkage prevents distant attractor perception,,
NP-0036,Basin Trap 807,pattern,,path_following,endless_wandering,catastrophic,777.4,3612,572.71,413.3,landscape_distortion,ghost_interference,10.2,5.0,signal_loss,recovery,uncertain,returned_origin,145,2,True,signal_amplification,partial,Sector SW-6,Dens boundary,891,C. Vells,Class_B_trajectory,0.61,Ghost patterns can create false landmarks,,
NP-0037,Basin Trap 531,creature,Attractor Basin 73,landmark_navigation,navigation_paralysis,moderate,2.5,234,23.27,1.8,signal_noise,observer_effect,132.4,1.4,disorientation,sudden_onset,uncertain,wrong_arrival,609,0,False,none,not_attempted,Coder quarter,Densmok,913,C. Vells,unclassified,0.81,Multiple attractors require explicit choice,,
NP-0038,Endless Loop 852,expedition,Mill site,random_walk,trajectory_loop,minor,207.4,86,25.18,138.4,signal_noise,resonance_mismatch,306.3,2.2,course_deviation,recovery,fully_aware,wrong_arrival,93,0,False,none,not_attempted,Isolation community,Northo,929,C. Vells,Class_B_trajectory,0.77,Ghost patterns can create false landmarks,,
NP-0039,Endless Loop 608,creature,,unknown,resonance_lock,moderate,276.7,913,15.29,123.6,horizon_shrinkage,observer_effect,23.9,7.8,oscillation,gradual_worsening,fully_aware,wrong_arrival,812,2,True,rescue,failed,Western approach,Dens boundary,897,C. Vells,Class_D_resonance,0.6,Horizon shrinkage prevents distant attractor perception,HS-0123,
NP-0040,False Basin Arrival 719,colony,,gradient_following,endless_wandering,moderate,141.6,3293,587.87,79.7,horizon_shrinkage,,1.2,9.5,backtracking,gradual_worsening,partially_aware,lost_indefinitely,4184,0,True,barrier_stabilization,harmful,Dissolution zone,Dens,903,K. Vorn,Class_B_trajectory,0.72,Boundary instability correlates with navigation difficulty,HS-0008,
NP-0041,False Basin Arrival 489,individual,Dens boundary observation post,attractor_tracking,endless_wandering,minor,527.5,2310,2.5,114.9,unknown,signal_noise,159.9,4.0,backtracking,stable,fully_aware,eventual_arrival,90,0,True,rescue,partial,Capital proper,Capital,899,Navigation Study Group,Class_B_trajectory,0.65,Horizon shrinkage prevents distant attractor perception,,
NP-0042,Trajectory Dissolution 824,individual,Archive,unknown,endless_wandering,moderate,243.0,312,646.23,120.3,competing_attractors,,4.4,8.9,paralysis,stable,partially_aware,wrong_arrival,780,3,False,none,not_attempted,Dens deep,Dens,896,R. Voss,Class_B_trajectory,0.77,Horizon shrinkage prevents distant attractor perception,,
NP-0043,Trajectory Dissolution 358,individual,Tower of Mirado,unknown,gradient_blindness,minor,253.5,254,8.1,189.2,landscape_distortion,,22.2,9.8,course_deviation,recovery,partially_aware,lost_indefinitely,6348,2,True,resonance_recalibration,failed,Eastern fluctuation zone,Dens boundary,916,Navigation Study Group,Class_A_signal,0.9,Ghost patterns can create false landmarks,,
NP-0044,Landmark Confusion 794,creature,Settlement 2,landmark_navigation,trajectory_loop,moderate,311.9,796,12.76,167.2,resonance_mismatch,ghost_interference,12.3,8.9,signal_loss,oscillating,fully_aware,trapped_basin,644,0,False,none,not_attempted,Sector SW-6,Dens boundary,936,C. Vells,Class_B_trajectory,0.51,Dens proximity increases signal noise,,
NP-0045,Navigation Paralysis 566,colony,Capital,attractor_tracking,false_arrival,severe,155.4,320,43.26,22.4,signal_noise,,7.0,5.0,paralysis,recovery,fully_aware,spontaneous_recovery,271,2,False,none,not_attempted,Sector SW-6,Dens boundary,925,K. Vorn,Class_C_attractor,0.71,Multiple attractors require explicit choice,,
NP-0046,False Basin Arrival 55,expedition,Yeller Quarry,attractor_tracking,trajectory_loop,moderate,74.9,259,42.95,30.9,signal_noise,,134.8,3.2,signal_loss,oscillating,partially_aware,wrong_arrival,489,3,False,none,not_attempted,Quarry interior,Yeller Quarry,909,K. Vorn,Class_B_trajectory,0.82,Boundary instability correlates with navigation difficulty,,
NP-0047,Resonance Lock Case 386,individual,Northo monastery,landmark_navigation,false_arrival,catastrophic,45.7,294,30.99,25.2,resonance_mismatch,,370.1,3.3,signal_loss,gradual_worsening,partially_aware,wrong_arrival,334,1,True,resonance_recalibration,failed,Northern monastery,Northo,900,R. Voss,Class_C_attractor,0.71,Horizon shrinkage prevents distant attractor perception,,
NP-0048,Signal Blindness 512,creature,Dens boundary observation post,path_following,endless_wandering,severe,875.8,2831,4.76,309.0,landscape_distortion,signal_noise,24.6,9.2,signal_loss,stable,fully_aware,eventual_arrival,255,3,True,resonance_recalibration,partial,Southern perimeter,Dens boundary,904,K. Vorn,Class_B_trajectory,0.62,Navigation mode should match conditions,,
NP-0049,Navigation Paralysis 32,creature,Dens boundary observation post,path_following,landmark_confusion,moderate,489.8,574,2.78,112.0,ghost_interference,,262.7,4.8,confusion,gradual_worsening,fully_aware,eventual_arrival,178,2,True,guidance,successful,Recovery settlement,Northo,911,K. Vorn,unclassified,0.72,Ghost patterns can create false landmarks,,
NP-0050,Basin Trap 145,creature,Northo monastery,path_following,false_arrival,severe,95.0,130,43.01,31.4,competing_attractors,,5.2,5.6,signal_loss,sudden_onset,unaware,returned_origin,118,1,True,guidance,failed,Sector NE-4,Dens boundary,914,Navigation Study Group,Class_C_attractor,0.67,Multiple attractors require explicit choice,,
NP-0051,False Basin Arrival 818,creature,Settlement 89,random_walk,trajectory_loop,severe,15.6,389,1.87,2.8,signal_noise,landscape_distortion,95.2,1.1,signal_loss,gradual_worsening,uncertain,eventual_arrival,315,2,False,none,not_attempted,Coder quarter,Densmok,932,C. Vells,Class_B_trajectory,0.87,Multiple attractors require explicit choice,,
NP-0052,False Basin Arrival 237,creature,Mill site,resonance_seeking,basin_escape_failure,severe,92.4,226,12.46,68.0,competing_attractors,,165.4,2.9,course_deviation,oscillating,fully_aware,wrong_arrival,304,0,True,signal_amplification,partial,Tower base,Tower of Mirado,915,R. Voss,Class_C_attractor,0.75,Early intervention improves outcomes,,
NP-0053,Resonance Lock Case 866,creature,Mill site,path_following,attractor_switching,moderate,438.3,328,32.71,304.2,substrate_damage,,156.6,1.7,backtracking,sudden_onset,unaware,wrong_arrival,921,0,True,guidance,failed,Siege fields,Tower of Mirado,906,Navigation Study Group,unclassified,0.57,Ghost patterns can create false landmarks,,
NP-0054,Wanderer's Circuit 401,colony,Form 89,random_walk,endless_wandering,minor,412.7,119,404.16,76.7,landscape_distortion,,177.6,0.6,backtracking,gradual_worsening,unaware,lost_indefinitely,8816,3,True,resonance_recalibration,failed,Healing Institute,Capital,935,R. Voss,Class_B_trajectory,0.9,Horizon shrinkage prevents distant attractor perception,,
NP-0055,Resonance Lock Case 82,expedition,Settlement 73,gradient_following,endless_wandering,severe,557.0,1699,802.78,246.4,horizon_shrinkage,,143.1,2.5,signal_loss,recovery,fully_aware,lost_indefinitely,2688,2,True,rescue,harmful,Coder quarter,Densmok,930,Survey Commission,Class_B_trajectory,0.54,Early intervention improves outcomes,HS-0081,
NP-0056,Landmark Confusion 317,creature,Archive,random_walk,trajectory_loop,moderate,473.4,514,7.61,212.3,signal_noise,,141.7,3.1,oscillation,recovery,partially_aware,trapped_basin,397,3,True,rescue,failed,Northern approach,Tower of Mirado,924,K. Vorn,Class_B_trajectory,0.61,Navigation mode should match conditions,,
NP-0057,Endless Loop 349,individual,Northo monastery,unknown,gradient_blindness,minor,428.5,544,38.52,227.6,boundary_interference,,10.8,9.4,paralysis,sudden_onset,fully_aware,spontaneous_recovery,231,3,False,none,not_attempted,Sector SW-6,Dens boundary,897,Expedition Records,Class_A_signal,0.87,Navigation mode should match conditions,,
NP-0058,Expedition 910 Lost,creature,Northo monastery,path_following,false_arrival,moderate,375.5,730,8.15,244.7,competing_attractors,substrate_damage,139.1,3.6,signal_loss,stable,partially_aware,wrong_arrival,245,0,False,none,not_attempted,Mill vicinity,Yeller Quarry,934,Expedition Records,Class_C_attractor,0.82,Navigation mode should match conditions,,
NP-0059,Basin Trap 330,expedition,Mill site,landmark_navigation,attractor_switching,moderate,457.3,50,23.01,229.7,competing_attractors,boundary_interference,311.2,3.1,signal_loss,gradual_worsening,partially_aware,wrong_arrival,264,1,True,barrier_stabilization,harmful,Recovery settlement,Northo,937,C. Vells,unclassified,0.8,Dens proximity increases signal noise,,
NP-0060,Basin Trap 815,individual,Northo monastery,unknown,gradient_blindness,moderate,438.1,1000,24.99,103.1,signal_noise,,179.9,1.4,oscillation,gradual_worsening,fully_aware,lost_indefinitely,9269,3,False,none,not_attempted,Northern approach,Tower of Mirado,898,C. Vells,Class_A_signal,0.59,Early intervention improves outcomes,,
NP-0061,Endless Loop 776,institution,Mill site,resonance_seeking,navigation_paralysis,moderate,1.0,108,26.56,0.4,ghost_interference,substrate_damage,10.6,6.4,signal_loss,stable,fully_aware,trapped_basin,458,3,False,none,not_attempted,Sector NE-4,Dens boundary,897,Survey Commission,unclassified,0.88,Ghost patterns can create false landmarks,,
NP-0062,Wrong Destination 885,individual,Tower of Mirado,path_following,false_arrival,severe,352.5,136,2.73,258.7,signal_noise,,200.5,3.9,course_deviation,gradual_worsening,partially_aware,eventual_arrival,27,0,False,none,not_attempted,Ascetic village,Northo,894,R. Voss,Class_C_attractor,0.57,Multiple attractors require explicit choice,,
NP-0063,Navigation Paralysis 318,pattern,Capital,random_walk,resonance_lock,catastrophic,293.9,25,17.69,141.6,boundary_interference,landscape_distortion,265.2,2.9,course_deviation,gradual_worsening,fully_aware,trapped_basin,890,0,True,barrier_stabilization,failed,Recovery settlement,Northo,933,R. Voss,Class_D_resonance,0.53,Ghost patterns can create false landmarks,,
NP-0064,Trajectory Dissolution 664,individual,Northo monastery,landmark_navigation,basin_escape_failure,moderate,303.1,63,4.85,220.3,ghost_interference,observer_effect,6.4,5.3,paralysis,stable,fully_aware,eventual_arrival,131,1,True,resonance_recalibration,successful,Western approach,Dens boundary,916,Survey Commission,Class_C_attractor,0.84,Boundary instability correlates with navigation difficulty,,
NP-0065,Wanderer's Circuit 436,individual,Settlement 86,landmark_navigation,endless_wandering,catastrophic,147.6,2162,649.55,37.9,boundary_interference,,128.5,4.0,disorientation,oscillating,uncertain,lost_indefinitely,1280,3,True,resonance_recalibration,partial,Klutch CC,Densmok,940,Trapper Guild Records,Class_B_trajectory,0.52,Horizon shrinkage prevents distant attractor perception,,
NP-0066,Basin Trap 815,individual,Yeller Quarry,random_walk,trajectory_loop,moderate,344.3,561,5.62,113.3,horizon_shrinkage,,2.9,6.2,signal_loss,stable,partially_aware,dissolution,644,8,True,rescue,partial,Dens deep,Dens,908,Survey Commission,Class_B_trajectory,0.7,Dens proximity increases signal noise,HS-0015,
NP-0067,Navigation Paralysis 952,creature,Yeller Quarry,landmark_navigation,basin_escape_failure,catastrophic,330.1,711,3.73,237.4,horizon_shrinkage,resonance_mismatch,12.0,6.9,signal_loss,sudden_onset,partially_aware,eventual_arrival,18,2,True,rescue,partial,Eastern fluctuation zone,Dens boundary,921,Trapper Guild Records,Class_C_attractor,0.66,Early intervention improves outcomes,HS-0180,
NP-0068,Basin Trap 378,colony,Dens boundary observation post,path_following,false_arrival,moderate,315.9,418,2.78,239.1,horizon_shrinkage,resonance_mismatch,10.6,9.3,backtracking,stable,partially_aware,eventual_arrival,339,3,True,rescue,successful,Western approach,Dens boundary,891,Trapper Guild Records,Class_C_attractor,0.66,Horizon shrinkage prevents distant attractor perception,HS-0122,
NP-0069,Wanderer's Circuit 633,individual,Attractor Basin 57,resonance_seeking,endless_wandering,minor,296.3,952,2.21,224.8,signal_noise,landscape_distortion,17.9,6.7,signal_loss,recovery,fully_aware,eventual_arrival,309,1,False,none,not_attempted,Sector SW-6,Dens boundary,930,Expedition Records,Class_B_trajectory,0.77,Dens proximity increases signal noise,,
NP-0070,Wrong Destination 201,individual,Mill site,gradient_following,false_arrival,catastrophic,432.9,558,28.46,143.7,observer_effect,,84.5,1.7,paralysis,sudden_onset,fully_aware,lost_indefinitely,9865,1,True,barrier_stabilization,failed,Coder quarter,Densmok,935,K. Vorn,Class_C_attractor,0.87,Multiple attractors require explicit choice,,
NP-0071,Wanderer's Circuit 263,individual,Attractor Basin 78,random_walk,false_arrival,severe,200.4,241,15.07,160.1,competing_attractors,,352.5,0.8,oscillation,oscillating,unaware,returned_origin,863,3,True,signal_amplification,failed,Ascetic village,Northo,919,R. Voss,Class_C_attractor,0.51,Early intervention improves outcomes,,
NP-0072,Resonance Lock Case 778,creature,Settlement 1,landmark_navigation,attractor_switching,moderate,60.7,24,4.84,20.0,signal_noise,substrate_damage,5.7,5.1,confusion,oscillating,partially_aware,eventual_arrival,105,1,True,resonance_recalibration,partial,Western approach,Dens boundary,940,Trapper Guild Records,unclassified,0.72,Ghost patterns can create false landmarks,,
NP-0073,Wrong Destination 966,colony,Settlement 54,gradient_following,landmark_confusion,moderate,273.2,220,28.42,70.1,signal_noise,,242.2,1.9,paralysis,recovery,fully_aware,wrong_arrival,883,3,False,none,not_attempted,Scholar's Quarter,Capital,932,Survey Commission,unclassified,0.95,Dens proximity increases signal noise,,
NP-0074,Signal Blindness 730,pattern,,attractor_tracking,attractor_switching,moderate,290.2,186,34.09,62.2,horizon_shrinkage,,112.7,3.5,signal_loss,stable,unaware,lost_indefinitely,9531,0,False,none,not_attempted,Northern approach,Tower of Mirado,912,R. Voss,unclassified,0.92,Navigation mode should match conditions,HS-0078,
NP-0075,Wanderer's Circuit 690,expedition,Yeller Quarry,random_walk,resonance_lock,severe,400.0,603,21.28,198.8,ghost_interference,,123.2,3.9,course_deviation,sudden_onset,uncertain,returned_origin,456,3,False,none,not_attempted,Quarry interior,Yeller Quarry,903,Survey Commission,Class_D_resonance,0.78,Multiple attractors require explicit choice,,
NP-0076,Wanderer's Circuit 324,individual,Mill site,path_following,resonance_lock,moderate,293.0,253,12.18,111.8,landscape_distortion,,132.8,0.7,signal_loss,stable,fully_aware,dissolution,825,10,True,rescue,harmful,Quarry interior,Yeller Quarry,892,Expedition Records,Class_D_resonance,0.68,Horizon shrinkage prevents distant attractor perception,,
NP-0077,Wanderer's Circuit 443,expedition,Form 77,resonance_seeking,navigation_paralysis,severe,3.3,85,45.02,1.1,competing_attractors,signal_noise,27.8,9.7,signal_loss,recovery,fully_aware,wrong_arrival,841,1,True,rescue,partial,Western approach,Dens boundary,915,K. Vorn,unclassified,0.7,Boundary instability correlates with navigation difficulty,,
NP-0078,False Basin Arrival 529,expedition,Capital,attractor_tracking,gradient_blindness,moderate,369.3,260,23.09,106.3,competing_attractors,,307.2,3.5,backtracking,recovery,partially_aware,lost_indefinitely,1930,0,True,resonance_recalibration,failed,Recovery settlement,Northo,895,Survey Commission,Class_A_signal,0.87,Multiple attractors require explicit choice,,
NP-0079,Endless Loop 214,creature,Form 61,unknown,navigation_paralysis,severe,4.1,342,44.58,2.8,competing_attractors,,21.2,5.1,course_deviation,stable,unaware,returned_origin,573,3,True,resonance_recalibration,partial,Western approach,Dens boundary,916,C. Vells,unclassified,0.82,Horizon shrinkage prevents distant attractor perception,,
NP-0080,Basin Trap 943,creature,Tower of Mirado,gradient_following,gradient_blindness,catastrophic,92.9,929,36.11,29.9,observer_effect,,174.6,3.8,backtracking,stable,fully_aware,rescued,125,2,False,none,not_attempted,Tower base,Tower of Mirado,907,Trapper Guild Records,Class_A_signal,0.59,Dens proximity increases signal noise,,
