measurement_id,memory_type,entity_reference,ghost_id,initial_strength,final_strength,measurement_duration_days,decay_rate_per_year,half_life_years,dens_proximity_km,population_density,reinforcement_present,environmental_stability,decay_accelerators,decay_inhibitors,prime_day_correlation,memory_age_years,age_decay_correlation,measurement_year,measurer,measurement_method,confidence,notes
MD-0021,ghost_pattern,,GO-0154,0.475,0.354,513,0.1886,3.7,120.3,dense,False,0.46,"environmental_disruption,no_reinforcement",pattern_antiquity,False,175,older_slower,928,Quarry Guild Records,strength_estimation,0.73,
MD-0022,form_access,Entity 166,,0.468,0.351,759,0.1283,5.4,170.2,sparse,False,0.78,"isolation,no_reinforcement",stable_environment,False,51,no_correlation,921,C. Vells,behavioral_analysis,0.71,
MD-0023,substrate_trace,Entity 839,,0.65,0.604,648,0.0409,17.0,121.0,sparse,False,0.98,"isolation,no_reinforcement",stable_environment,False,84,older_slower,918,S. Moll,behavioral_analysis,0.89,
MD-0024,spatial_imprint,,,0.918,0.593,651,0.2174,3.2,172.6,isolated,False,0.97,"isolation,no_reinforcement","strong_initial_pattern,stable_environment,pattern_antiquity",False,165,complex,931,S. Moll,form_comparison,0.87,
MD-0025,substrate_trace,,,0.74,0.722,136,0.0646,10.7,154.0,moderate,True,0.94,,"strong_initial_pattern,population_reinforcement,stable_environment",False,37,no_correlation,930,M. Tall,continuous_tracking,0.66,
MD-0026,substrate_trace,,,0.368,0.157,950,0.2786,2.5,68.6,sparse,False,0.37,"isolation,environmental_disruption,no_reinforcement",pattern_antiquity,False,181,no_correlation,923,Boundary Commission,behavioral_analysis,0.65,
MD-0027,spatial_imprint,Entity 833,,0.398,0.355,607,0.0668,10.4,140.2,very_dense,True,0.23,environmental_disruption,population_reinforcement,True,92,no_correlation,928,Boundary Commission,behavioral_analysis,0.82,
MD-0028,substrate_trace,Entity 838,,0.569,0.516,340,0.0991,7.0,59.7,sparse,True,0.43,"isolation,environmental_disruption",population_reinforcement,False,37,older_faster,931,K. Strand,behavioral_analysis,0.71,
MD-0029,form_access,Entity 637,,0.666,0.469,978,0.1232,5.6,194.5,sparse,False,0.6,"isolation,no_reinforcement",pattern_antiquity,False,124,complex,925,Quarry Guild Records,periodic_observation,0.8,
MD-0030,ghost_pattern,,,0.726,0.596,540,0.1246,5.6,69.1,moderate,True,0.32,environmental_disruption,"strong_initial_pattern,population_reinforcement,pattern_antiquity",False,117,complex,931,K. Strand,continuous_tracking,0.83,
MD-0031,behavioral_echo,,,0.655,0.583,577,0.0715,9.7,133.2,dense,False,0.96,no_reinforcement,"stable_environment,pattern_antiquity",False,189,complex,918,R. Voss,strength_estimation,0.74,
MD-0032,form_access,,,0.472,0.441,71,0.2886,2.4,52.0,sparse,False,0.72,"isolation,no_reinforcement","stable_environment,pattern_antiquity",True,155,no_correlation,921,M. Tall,continuous_tracking,0.74,
MD-0033,ghost_pattern,Entity 219,,0.625,0.451,356,0.2842,2.4,42.3,sparse,False,0.67,"dens_proximity,isolation,no_reinforcement",pattern_antiquity,False,162,older_slower,919,K. Strand,strength_estimation,0.6,
MD-0034,spatial_imprint,,,0.378,0.067,855,0.5221,1.3,60.7,isolated,False,0.89,"isolation,no_reinforcement","stable_environment,pattern_antiquity",False,162,complex,922,Quarry Guild Records,strength_estimation,0.62,
MD-0035,substrate_trace,Entity 550,,0.752,0.604,724,0.1041,6.7,36.1,very_dense,False,0.43,"dens_proximity,environmental_disruption,no_reinforcement","strong_initial_pattern,pattern_antiquity",True,143,complex,930,T. Vells,behavioral_analysis,0.5,
MD-0036,collective_memory,,,0.771,0.748,380,0.0284,24.4,94.6,sparse,True,0.81,isolation,"strong_initial_pattern,population_reinforcement,stable_environment,pattern_antiquity",True,163,complex,930,M. Tall,continuous_tracking,0.6,
MD-0037,collective_memory,,,0.949,0.904,226,0.0752,9.2,61.8,very_dense,False,0.75,no_reinforcement,"strong_initial_pattern,stable_environment,pattern_antiquity",False,196,no_correlation,927,T. Vells,form_comparison,0.93,
MD-0038,spatial_imprint,Entity 441,,0.953,0.607,906,0.1663,4.2,131.0,dense,False,0.42,"environmental_disruption,no_reinforcement",strong_initial_pattern,False,77,no_correlation,931,Independent Observer,behavioral_analysis,0.64,
MD-0039,collective_memory,Entity 821,,0.339,0.311,497,0.0599,11.6,79.3,dense,True,0.95,,"population_reinforcement,stable_environment,pattern_antiquity",False,196,no_correlation,928,Boundary Commission,form_comparison,0.87,
MD-0040,ghost_pattern,Entity 840,,0.44,0.426,139,0.0817,8.5,65.0,dense,True,0.65,,population_reinforcement,False,19,older_slower,925,S. Moll,behavioral_analysis,0.81,
MD-0041,substrate_trace,Entity 391,,0.342,0.327,380,0.0401,17.3,97.9,moderate,False,0.67,no_reinforcement,,True,70,no_correlation,920,M. Tall,form_comparison,0.94,
MD-0042,substrate_trace,,,0.702,0.558,478,0.1609,4.3,83.3,sparse,False,0.67,"isolation,no_reinforcement",strong_initial_pattern,False,62,no_correlation,922,K. Strand,strength_estimation,0.87,
MD-0043,substrate_trace,Entity 333,,0.817,0.025,795,0.8,0.9,5.3,isolated,False,0.76,"dens_proximity,isolation,no_reinforcement","strong_initial_pattern,stable_environment",False,54,older_slower,923,Archive Survey Team,form_comparison,0.61,
MD-0044,substrate_trace,Entity 547,,0.577,0.532,571,0.0505,13.7,186.6,sparse,True,0.53,isolation,population_reinforcement,False,15,no_correlation,926,Independent Observer,strength_estimation,0.72,
MD-0045,collective_memory,,,0.982,0.073,896,0.6537,1.1,67.4,isolated,False,0.65,"isolation,no_reinforcement",strong_initial_pattern,False,22,complex,930,M. Tall,behavioral_analysis,0.87,
MD-0046,spatial_imprint,,,0.753,0.594,570,0.1414,4.9,90.8,sparse,False,0.26,"isolation,environmental_disruption,no_reinforcement","strong_initial_pattern,pattern_antiquity",False,199,complex,932,S. Moll,behavioral_analysis,0.76,
MD-0047,ghost_pattern,,,0.599,0.55,720,0.042,16.5,125.1,dense,True,0.38,environmental_disruption,"population_reinforcement,pattern_antiquity",False,196,no_correlation,931,C. Vells,form_comparison,0.9,
MD-0048,substrate_trace,,,0.516,0.471,997,0.0329,21.0,173.6,sparse,True,0.32,"isolation,environmental_disruption",population_reinforcement,False,10,older_slower,923,Independent Observer,continuous_tracking,0.8,
MD-0049,form_access,,,0.944,0.363,928,0.3135,2.2,61.3,dense,False,0.39,"environmental_disruption,no_reinforcement","strong_initial_pattern,pattern_antiquity",False,112,older_slower,925,Archive Survey Team,behavioral_analysis,0.52,
MD-0050,spatial_imprint,,,0.387,0.247,548,0.2582,2.7,80.4,sparse,False,0.67,"isolation,no_reinforcement",pattern_antiquity,True,148,complex,921,M. Tall,behavioral_analysis,0.83,
MD-0051,behavioral_echo,,,0.364,0.273,519,0.1815,3.8,150.2,moderate,False,0.37,"environmental_disruption,no_reinforcement",,True,65,older_faster,924,Quarry Guild Records,behavioral_analysis,0.93,
MD-0052,ghost_pattern,,,0.893,0.827,116,0.2153,3.2,71.6,moderate,False,0.55,no_reinforcement,"strong_initial_pattern,pattern_antiquity",True,166,complex,922,Independent Observer,periodic_observation,0.56,
MD-0053,form_access,,,0.787,0.297,706,0.396,1.8,36.3,isolated,True,0.32,"dens_proximity,isolation,environmental_disruption","strong_initial_pattern,population_reinforcement",False,75,no_correlation,924,T. Vells,continuous_tracking,0.92,
MD-0054,form_access,,,0.851,0.84,443,0.0103,67.5,148.7,sparse,True,0.94,isolation,"strong_initial_pattern,population_reinforcement,stable_environment,pattern_antiquity",False,160,no_correlation,923,S. Moll,periodic_observation,0.65,
MD-0055,spatial_imprint,Entity 328,,0.564,0.278,191,0.7403,0.9,7.8,sparse,False,0.24,"dens_proximity,isolation,environmental_disruption,no_reinforcement",,True,25,older_faster,919,M. Tall,behavioral_analysis,0.71,
MD-0056,spatial_imprint,Entity 652,,0.867,0.834,951,0.0144,48.1,171.4,very_dense,False,0.89,no_reinforcement,"strong_initial_pattern,stable_environment",False,65,older_slower,927,M. Tall,behavioral_analysis,0.72,
MD-0057,collective_memory,,,0.4,0.197,764,0.2876,2.4,40.1,sparse,False,0.84,"dens_proximity,isolation,no_reinforcement","stable_environment,pattern_antiquity",True,103,no_correlation,921,Boundary Commission,continuous_tracking,0.83,
MD-0058,behavioral_echo,Entity 248,,0.704,0.539,164,0.448,1.5,66.4,dense,False,0.62,no_reinforcement,strong_initial_pattern,False,83,complex,932,S. Moll,behavioral_analysis,0.78,
MD-0059,form_access,,,0.856,0.771,525,0.0703,9.9,195.9,isolated,True,0.23,"isolation,environmental_disruption","strong_initial_pattern,population_reinforcement",False,88,older_slower,927,Quarry Guild Records,behavioral_analysis,0.95,
MD-0060,spatial_imprint,Entity 992,,0.759,0.609,943,0.0815,8.5,124.6,very_dense,False,0.8,no_reinforcement,"strong_initial_pattern,stable_environment",False,47,no_correlation,926,R. Voss,periodic_observation,0.8,
MD-0061,behavioral_echo,Entity 829,,0.75,0.694,262,0.1023,6.8,152.9,moderate,True,0.49,environmental_disruption,"strong_initial_pattern,population_reinforcement,pattern_antiquity",False,117,older_slower,931,Independent Observer,form_comparison,0.7,
MD-0062,collective_memory,,,0.428,0.234,553,0.3291,2.1,196.9,isolated,False,0.98,"isolation,no_reinforcement",stable_environment,False,49,older_slower,918,Archive Survey Team,form_comparison,0.74,
MD-0063,form_access,Entity 796,,0.554,0.506,573,0.0559,12.4,113.0,very_dense,False,0.84,no_reinforcement,stable_environment,True,42,no_correlation,928,C. Vells,continuous_tracking,0.88,
MD-0064,substrate_trace,Entity 239,,0.334,0.193,564,0.2989,2.3,31.3,very_dense,False,0.36,"dens_proximity,environmental_disruption,no_reinforcement",pattern_antiquity,False,107,no_correlation,922,S. Moll,periodic_observation,0.61,
MD-0065,collective_memory,Entity 264,,0.971,0.924,450,0.0401,17.3,134.0,sparse,False,0.69,"isolation,no_reinforcement",strong_initial_pattern,False,35,older_slower,930,Archive Survey Team,behavioral_analysis,0.85,
MD-0066,substrate_trace,,,0.349,0.337,156,0.0839,8.3,84.4,very_dense,True,0.87,,"population_reinforcement,stable_environment,pattern_antiquity",False,185,complex,921,R. Voss,continuous_tracking,0.8,
MD-0067,behavioral_echo,Entity 872,,0.84,0.018,871,0.8,0.9,3.1,isolated,False,0.62,"dens_proximity,isolation,no_reinforcement",strong_initial_pattern,False,31,complex,923,Boundary Commission,periodic_observation,0.67,
MD-0068,behavioral_echo,Entity 849,,0.797,0.188,328,0.8,0.9,23.5,dense,False,0.33,"dens_proximity,environmental_disruption,no_reinforcement",strong_initial_pattern,False,57,older_faster,927,Independent Observer,continuous_tracking,0.89,
MD-0069,substrate_trace,,,0.906,0.741,771,0.0908,7.6,99.4,dense,False,0.71,no_reinforcement,"strong_initial_pattern,stable_environment,pattern_antiquity",False,187,no_correlation,923,Quarry Guild Records,form_comparison,0.94,
MD-0070,ghost_pattern,,,0.714,0.322,755,0.3193,2.2,3.6,dense,True,0.6,dens_proximity,"strong_initial_pattern,population_reinforcement,pattern_antiquity",False,124,complex,931,Quarry Guild Records,periodic_observation,0.77,
MD-0071,collective_memory,,,0.835,0.384,955,0.2566,2.7,167.8,isolated,False,0.29,"isolation,environmental_disruption,no_reinforcement","strong_initial_pattern,pattern_antiquity",False,154,no_correlation,918,Independent Observer,behavioral_analysis,0.88,
MD-0072,collective_memory,Entity 436,,0.74,0.696,56,0.3252,2.1,172.8,isolated,False,0.85,"isolation,no_reinforcement","strong_initial_pattern,stable_environment",True,55,older_slower,932,Quarry Guild Records,periodic_observation,0.83,
MD-0073,behavioral_echo,Entity 889,,0.494,0.373,680,0.14,4.9,72.4,moderate,True,0.97,,"population_reinforcement,stable_environment",False,67,older_slower,928,Independent Observer,behavioral_analysis,0.84,
MD-0074,form_access,,,0.818,0.752,133,0.2054,3.4,169.1,isolated,True,0.69,isolation,"strong_initial_pattern,population_reinforcement,pattern_antiquity",False,184,older_slower,925,T. Vells,behavioral_analysis,0.59,
MD-0075,substrate_trace,Entity 417,,0.828,0.658,360,0.2087,3.3,97.6,moderate,False,0.92,no_reinforcement,"strong_initial_pattern,stable_environment",False,4,older_faster,929,K. Strand,form_comparison,0.84,
MD-0076,collective_memory,,,0.363,0.288,299,0.2475,2.8,36.4,very_dense,False,0.36,"dens_proximity,environmental_disruption,no_reinforcement",,False,37,no_correlation,932,Quarry Guild Records,periodic_observation,0.88,
MD-0077,substrate_trace,,,0.527,0.452,875,0.0619,11.2,163.1,moderate,False,0.98,no_reinforcement,stable_environment,False,10,older_slower,922,S. Moll,behavioral_analysis,0.6,
MD-0078,substrate_trace,,,0.868,0.815,333,0.0668,10.4,196.7,sparse,False,0.55,"isolation,no_reinforcement",strong_initial_pattern,False,62,older_faster,925,Quarry Guild Records,strength_estimation,0.75,
MD-0079,collective_memory,,,0.739,0.181,794,0.4766,1.5,39.3,sparse,False,0.66,"dens_proximity,isolation,no_reinforcement",strong_initial_pattern,False,66,no_correlation,923,Independent Observer,continuous_tracking,0.64,
MD-0080,behavioral_echo,,,0.792,0.421,969,0.2119,3.3,16.3,sparse,True,0.86,"dens_proximity,isolation","strong_initial_pattern,population_reinforcement,stable_environment,pattern_antiquity",False,200,complex,919,C. Vells,continuous_tracking,0.82,
MD-0081,substrate_trace,Entity 275,,0.488,0.379,478,0.1764,3.9,140.7,very_dense,False,0.38,"environmental_disruption,no_reinforcement",pattern_antiquity,True,127,complex,925,K. Strand,periodic_observation,0.9,
MD-0082,spatial_imprint,,,0.968,0.865,948,0.0424,16.4,173.6,sparse,True,0.48,"isolation,environmental_disruption","strong_initial_pattern,population_reinforcement,pattern_antiquity",False,186,older_slower,929,T. Vells,behavioral_analysis,0.6,
MD-0083,spatial_imprint,,,0.913,0.625,727,0.1736,4.0,62.7,moderate,True,0.66,,"strong_initial_pattern,population_reinforcement,pattern_antiquity",False,150,no_correlation,918,Independent Observer,strength_estimation,0.55,
MD-0084,ghost_pattern,,,0.436,0.372,213,0.2402,2.9,123.2,very_dense,False,0.33,"environmental_disruption,no_reinforcement",,True,46,older_faster,919,M. Tall,behavioral_analysis,0.76,
MD-0085,substrate_trace,Entity 366,,0.893,0.847,470,0.0404,17.1,78.1,dense,True,0.58,,"strong_initial_pattern,population_reinforcement",False,64,complex,921,Independent Observer,periodic_observation,0.65,
MD-0086,ghost_pattern,Entity 493,,0.69,0.666,31,0.342,2.0,105.2,isolated,False,0.25,"isolation,environmental_disruption,no_reinforcement",pattern_antiquity,False,135,older_slower,927,C. Vells,form_comparison,0.89,
MD-0087,form_access,,,0.983,0.929,413,0.049,14.1,38.5,very_dense,False,0.63,"dens_proximity,no_reinforcement","strong_initial_pattern,pattern_antiquity",False,146,older_slower,932,T. Vells,strength_estimation,0.57,
MD-0088,spatial_imprint,,,0.856,0.727,140,0.346,2.0,7.0,isolated,False,0.91,"dens_proximity,isolation,no_reinforcement","strong_initial_pattern,stable_environment",True,89,older_slower,919,R. Voss,continuous_tracking,0.77,
MD-0089,collective_memory,Entity 352,,0.572,0.539,149,0.137,5.1,184.1,dense,False,0.64,no_reinforcement,pattern_antiquity,False,171,complex,921,R. Voss,continuous_tracking,0.86,
MD-0090,ghost_pattern,,,0.795,0.527,562,0.2346,3.0,72.3,dense,False,0.93,no_reinforcement,"strong_initial_pattern,stable_environment",False,23,no_correlation,926,Quarry Guild Records,strength_estimation,0.79,
MD-0091,behavioral_echo,Entity 674,,0.738,0.516,532,0.2181,3.2,64.7,dense,False,0.43,"environmental_disruption,no_reinforcement",strong_initial_pattern,False,6,complex,924,Boundary Commission,behavioral_analysis,0.95,
MD-0092,behavioral_echo,Entity 421,,0.963,0.491,951,0.2276,3.0,154.4,isolated,False,0.23,"isolation,environmental_disruption,no_reinforcement","strong_initial_pattern,pattern_antiquity",False,146,complex,926,S. Moll,periodic_observation,0.94,
MD-0093,spatial_imprint,Entity 290,,0.912,0.786,745,0.07,9.9,38.5,very_dense,True,0.86,dens_proximity,"strong_initial_pattern,population_reinforcement,stable_environment",False,11,older_slower,929,Independent Observer,periodic_observation,0.82,
MD-0094,spatial_imprint,,,0.444,0.385,863,0.059,11.8,42.1,very_dense,True,0.94,dens_proximity,"population_reinforcement,stable_environment",False,84,older_slower,923,Quarry Guild Records,periodic_observation,0.57,
MD-0095,collective_memory,,,0.699,0.481,239,0.4363,1.6,50.0,moderate,False,0.54,"dens_proximity,no_reinforcement",pattern_antiquity,False,167,complex,918,Quarry Guild Records,behavioral_analysis,0.67,
MD-0096,form_access,Entity 752,,0.785,0.774,161,0.0299,23.2,163.5,dense,True,0.21,environmental_disruption,"strong_initial_pattern,population_reinforcement,pattern_antiquity",True,169,complex,920,R. Voss,periodic_observation,0.58,
MD-0097,behavioral_echo,Entity 222,,0.787,0.565,906,0.1251,5.5,34.3,moderate,False,0.77,"dens_proximity,no_reinforcement","strong_initial_pattern,stable_environment,pattern_antiquity",False,145,no_correlation,932,Archive Survey Team,periodic_observation,0.75,
MD-0098,spatial_imprint,Entity 730,,0.377,0.305,810,0.0903,7.7,41.0,very_dense,False,0.58,"dens_proximity,no_reinforcement",pattern_antiquity,False,177,older_slower,929,T. Vells,behavioral_analysis,0.77,
MD-0099,ghost_pattern,,,0.447,0.427,186,0.0854,8.1,132.9,very_dense,False,0.35,"environmental_disruption,no_reinforcement",,False,87,no_correlation,928,S. Moll,behavioral_analysis,0.67,
MD-0100,behavioral_echo,,,0.761,0.737,101,0.1056,6.6,101.6,sparse,True,0.36,"isolation,environmental_disruption","strong_initial_pattern,population_reinforcement",True,62,no_correlation,923,S. Moll,periodic_observation,0.81,
MD-0101,spatial_imprint,Entity 103,,0.953,0.876,136,0.202,3.4,104.1,isolated,False,0.34,"isolation,environmental_disruption,no_reinforcement","strong_initial_pattern,pattern_antiquity",False,175,older_slower,931,Quarry Guild Records,strength_estimation,0.55,
MD-0102,form_access,,,0.754,0.117,690,0.6264,1.1,152.7,isolated,False,0.26,"isolation,environmental_disruption,no_reinforcement",strong_initial_pattern,False,98,no_correlation,932,Archive Survey Team,behavioral_analysis,0.78,
MD-0103,behavioral_echo,,,0.618,0.531,259,0.1928,3.6,196.0,dense,False,0.92,no_reinforcement,stable_environment,True,36,no_correlation,924,Boundary Commission,continuous_tracking,0.67,
MD-0104,ghost_pattern,Entity 515,,0.797,0.735,441,0.0657,10.5,86.9,moderate,True,0.57,,"strong_initial_pattern,population_reinforcement",False,32,no_correlation,929,R. Voss,behavioral_analysis,0.93,
MD-0105,spatial_imprint,,,0.671,0.469,612,0.1927,3.6,73.3,moderate,False,0.31,"environmental_disruption,no_reinforcement",,False,49,no_correlation,930,Quarry Guild Records,form_comparison,0.79,
MD-0106,form_access,Entity 260,,0.51,0.483,82,0.2171,3.2,79.2,dense,True,0.72,,"population_reinforcement,stable_environment",False,51,older_slower,932,K. Strand,behavioral_analysis,0.58,
MD-0107,spatial_imprint,Entity 424,,0.491,0.354,441,0.2368,2.9,5.7,sparse,True,0.73,"dens_proximity,isolation","population_reinforcement,stable_environment,pattern_antiquity",False,147,older_slower,931,T. Vells,behavioral_analysis,0.64,
MD-0108,collective_memory,Entity 465,,0.36,0.356,84,0.048,14.4,106.6,isolated,False,0.83,"isolation,no_reinforcement",stable_environment,False,84,older_faster,920,Archive Survey Team,form_comparison,0.88,
MD-0109,behavioral_echo,,,0.633,0.537,326,0.1668,4.2,125.0,moderate,False,0.86,no_reinforcement,stable_environment,True,77,older_faster,932,T. Vells,continuous_tracking,0.69,
MD-0110,collective_memory,,,0.629,0.406,955,0.1541,4.5,182.1,dense,True,0.64,,population_reinforcement,True,63,older_faster,925,M. Tall,periodic_observation,0.56,
MD-0111,spatial_imprint,Entity 120,,0.782,0.532,628,0.2006,3.5,95.1,dense,True,0.22,environmental_disruption,"strong_initial_pattern,population_reinforcement,pattern_antiquity",False,146,older_slower,928,C. Vells,form_comparison,0.9,
MD-0112,ghost_pattern,Entity 911,,0.774,0.472,714,0.2235,3.1,177.4,isolated,True,0.7,isolation,"strong_initial_pattern,population_reinforcement",True,50,no_correlation,927,R. Voss,periodic_observation,0.78,
MD-0113,collective_memory,,,0.659,0.637,54,0.208,3.3,84.1,sparse,True,0.4,"isolation,environmental_disruption","population_reinforcement,pattern_antiquity",True,125,no_correlation,921,Boundary Commission,form_comparison,0.7,
MD-0114,spatial_imprint,,,0.621,0.602,163,0.0674,10.3,68.2,moderate,False,0.81,no_reinforcement,"stable_environment,pattern_antiquity",True,159,older_slower,924,Archive Survey Team,behavioral_analysis,0.67,
MD-0115,ghost_pattern,,GO-0089,0.862,0.426,832,0.2659,2.6,139.4,moderate,False,0.47,"environmental_disruption,no_reinforcement","strong_initial_pattern,pattern_antiquity",False,108,no_correlation,926,Archive Survey Team,behavioral_analysis,0.63,
MD-0116,ghost_pattern,Entity 281,,0.903,0.793,161,0.2551,2.7,182.8,isolated,False,0.93,"isolation,no_reinforcement","strong_initial_pattern,stable_environment,pattern_antiquity",True,195,older_slower,930,Archive Survey Team,periodic_observation,0.89,
MD-0117,ghost_pattern,,,0.409,0.253,922,0.1733,4.0,144.9,moderate,False,0.69,no_reinforcement,pattern_antiquity,True,117,complex,919,S. Moll,continuous_tracking,0.59,
MD-0118,substrate_trace,Entity 740,,0.303,0.298,81,0.0664,10.4,185.4,sparse,True,0.96,isolation,"population_reinforcement,stable_environment,pattern_antiquity",False,183,older_slower,925,Archive Survey Team,behavioral_analysis,0.77,
MD-0119,form_access,,,0.429,0.424,232,0.0205,33.9,94.4,very_dense,False,0.25,"environmental_disruption,no_reinforcement",,False,67,older_slower,921,M. Tall,periodic_observation,0.58,
MD-0120,behavioral_echo,Entity 453,,0.715,0.662,322,0.0833,8.3,151.5,sparse,True,0.71,isolation,"strong_initial_pattern,population_reinforcement,stable_environment",False,55,complex,926,S. Moll,form_comparison,0.63,
MD-0121,form_access,Entity 862,,0.342,0.005,950,0.8,0.9,13.9,isolated,False,0.92,"dens_proximity,isolation,no_reinforcement","stable_environment,pattern_antiquity",False,183,no_correlation,923,C. Vells,form_comparison,0.81,
MD-0122,collective_memory,,,0.523,0.412,409,0.1922,3.6,136.0,isolated,False,0.78,"isolation,no_reinforcement","stable_environment,pattern_antiquity",False,127,no_correlation,929,Archive Survey Team,continuous_tracking,0.76,
MD-0123,ghost_pattern,Entity 245,,0.946,0.672,442,0.2466,2.8,138.5,dense,False,0.57,no_reinforcement,"strong_initial_pattern,pattern_antiquity",False,118,no_correlation,918,T. Vells,form_comparison,0.67,
MD-0124,substrate_trace,Entity 377,,0.763,0.753,127,0.0373,18.6,30.7,moderate,True,0.83,dens_proximity,"strong_initial_pattern,population_reinforcement,stable_environment",False,4,complex,918,R. Voss,behavioral_analysis,0.57,
MD-0125,collective_memory,,,0.603,0.294,711,0.3089,2.2,56.3,sparse,False,0.78,"isolation,no_reinforcement",stable_environment,True,15,no_correlation,923,R. Voss,strength_estimation,0.63,
MD-0126,form_access,,,0.309,0.291,192,0.1107,6.3,104.2,dense,False,0.53,no_reinforcement,,False,86,no_correlation,919,C. Vells,continuous_tracking,0.74,
MD-0127,behavioral_echo,,,0.344,0.333,244,0.048,14.4,145.2,sparse,True,0.98,isolation,"population_reinforcement,stable_environment",False,83,older_slower,928,R. Voss,form_comparison,0.75,
