session_id,semester_id,date,day_of_week,session_in_semester,week_in_semester,is_crisis_semester
CLS0094,SEM02,2019-05-01,Wednesday,46,16,False
CLS0095,SEM02,2019-05-03,Friday,47,16,False
CLS0096,SEM02,2019-05-06,Monday,48,16,False
CLS0097,SEM02,2019-05-08,Wednesday,49,17,False
CLS0098,SEM02,2019-05-10,Friday,50,17,False
CLS0099,SEM03,2019-08-26,Monday,1,1,False
CLS0100,SEM03,2019-08-28,Wednesday,2,1,False
CLS0101,SEM03,2019-08-30,Friday,3,1,False
CLS0102,SEM03,2019-09-02,Monday,4,2,False
CLS0103,SEM03,2019-09-04,Wednesday,5,2,False
CLS0104,SEM03,2019-09-06,Friday,6,2,False
CLS0105,SEM03,2019-09-09,Monday,7,3,False
CLS0106,SEM03,2019-09-11,Wednesday,8,3,False
CLS0107,SEM03,2019-09-13,Friday,9,3,False
CLS0108,SEM03,2019-09-16,Monday,10,4,False
CLS0109,SEM03,2019-09-18,Wednesday,11,4,False
CLS0110,SEM03,2019-09-20,Friday,12,4,False
CLS0111,SEM03,2019-09-23,Monday,13,5,False
CLS0112,SEM03,2019-09-25,Wednesday,14,5,False
CLS0113,SEM03,2019-09-27,Friday,15,5,False
CLS0114,SEM03,2019-09-30,Monday,16,6,False
CLS0115,SEM03,2019-10-02,Wednesday,17,6,False
CLS0116,SEM03,2019-10-04,Friday,18,6,False
CLS0117,SEM03,2019-10-07,Monday,19,7,False
CLS0118,SEM03,2019-10-09,Wednesday,20,7,False
CLS0119,SEM03,2019-10-11,Friday,21,7,False
CLS0120,SEM03,2019-10-14,Monday,22,8,False
CLS0121,SEM03,2019-10-16,Wednesday,23,8,False
CLS0122,SEM03,2019-10-18,Friday,24,8,False
CLS0123,SEM03,2019-10-21,Monday,25,9,False
CLS0124,SEM03,2019-10-23,Wednesday,26,9,False
CLS0125,SEM03,2019-10-25,Friday,27,9,False
CLS0126,SEM03,2019-10-28,Monday,28,10,False
CLS0127,SEM03,2019-10-30,Wednesday,29,10,False
CLS0128,SEM03,2019-11-01,Friday,30,10,False
CLS0129,SEM03,2019-11-04,Monday,31,11,False
CLS0130,SEM03,2019-11-06,Wednesday,32,11,False
CLS0131,SEM03,2019-11-08,Friday,33,11,False
CLS0132,SEM03,2019-11-11,Monday,34,12,False
CLS0133,SEM03,2019-11-13,Wednesday,35,12,False
CLS0134,SEM03,2019-11-15,Friday,36,12,False
CLS0135,SEM03,2019-11-18,Monday,37,13,False
CLS0136,SEM03,2019-11-20,Wednesday,38,13,False
CLS0137,SEM03,2019-11-22,Friday,39,13,False
CLS0138,SEM03,2019-11-25,Monday,40,14,False
CLS0139,SEM03,2019-11-27,Wednesday,41,14,False
CLS0140,SEM03,2019-11-29,Friday,42,14,False
CLS0141,SEM03,2019-12-02,Monday,43,15,False
CLS0142,SEM03,2019-12-04,Wednesday,44,15,False
CLS0143,SEM03,2019-12-06,Friday,45,15,False
CLS0144,SEM03,2019-12-09,Monday,46,16,False
CLS0145,SEM03,2019-12-11,Wednesday,47,16,False
CLS0146,SEM03,2019-12-13,Friday,48,16,False
CLS0147,SEM04,2020-01-15,Wednesday,1,1,False
CLS0148,SEM04,2020-01-17,Friday,2,1,False
CLS0149,SEM04,2020-01-20,Monday,3,1,False
CLS0150,SEM04,2020-01-22,Wednesday,4,2,False
CLS0151,SEM04,2020-01-24,Friday,5,2,False
CLS0152,SEM04,2020-01-27,Monday,6,2,False
CLS0153,SEM04,2020-01-29,Wednesday,7,3,False
CLS0154,SEM04,2020-01-31,Friday,8,3,False
CLS0155,SEM04,2020-02-03,Monday,9,3,False
CLS0156,SEM04,2020-02-05,Wednesday,10,4,False
CLS0157,SEM04,2020-02-07,Friday,11,4,False
CLS0158,SEM04,2020-02-10,Monday,12,4,False
CLS0159,SEM04,2020-02-12,Wednesday,13,5,False
CLS0160,SEM04,2020-02-14,Friday,14,5,False
CLS0161,SEM04,2020-02-17,Monday,15,5,False
CLS0162,SEM04,2020-02-19,Wednesday,16,6,False
CLS0163,SEM04,2020-02-21,Friday,17,6,False
CLS0164,SEM04,2020-02-24,Monday,18,6,False
CLS0165,SEM04,2020-02-26,Wednesday,19,7,False
CLS0166,SEM04,2020-02-28,Friday,20,7,False
CLS0167,SEM04,2020-03-02,Monday,21,7,False
CLS0168,SEM04,2020-03-04,Wednesday,22,8,False
CLS0169,SEM04,2020-03-06,Friday,23,8,False
CLS0170,SEM04,2020-03-09,Monday,24,8,False
CLS0171,SEM04,2020-03-11,Wednesday,25,9,False
CLS0172,SEM04,2020-03-13,Friday,26,9,False
CLS0173,SEM04,2020-03-16,Monday,27,9,False
CLS0174,SEM04,2020-03-18,Wednesday,28,10,False
CLS0175,SEM04,2020-03-20,Friday,29,10,False
CLS0176,SEM04,2020-03-23,Monday,30,10,False
CLS0177,SEM04,2020-03-25,Wednesday,31,11,False
CLS0178,SEM04,2020-03-27,Friday,32,11,False
CLS0179,SEM04,2020-03-30,Monday,33,11,False
CLS0180,SEM04,2020-04-01,Wednesday,34,12,False
CLS0181,SEM04,2020-04-03,Friday,35,12,False
CLS0182,SEM04,2020-04-06,Monday,36,12,False
CLS0183,SEM04,2020-04-08,Wednesday,37,13,False
CLS0184,SEM04,2020-04-10,Friday,38,13,False
CLS0185,SEM04,2020-04-13,Monday,39,13,False
CLS0186,SEM04,2020-04-15,Wednesday,40,14,False
CLS0187,SEM04,2020-04-17,Friday,41,14,False
CLS0188,SEM04,2020-04-20,Monday,42,14,False
CLS0189,SEM04,2020-04-22,Wednesday,43,15,False
CLS0190,SEM04,2020-04-24,Friday,44,15,False
CLS0191,SEM04,2020-04-27,Monday,45,15,False
CLS0192,SEM04,2020-04-29,Wednesday,46,16,False
CLS0193,SEM04,2020-05-01,Friday,47,16,False
CLS0194,SEM04,2020-05-04,Monday,48,16,False
CLS0195,SEM04,2020-05-06,Wednesday,49,17,False
CLS0196,SEM04,2020-05-08,Friday,50,17,False
CLS0197,SEM05,2020-08-26,Wednesday,1,1,False
CLS0198,SEM05,2020-08-28,Friday,2,1,False
CLS0199,SEM05,2020-08-31,Monday,3,1,False
CLS0200,SEM05,2020-09-02,Wednesday,4,2,False
CLS0201,SEM05,2020-09-04,Friday,5,2,False
CLS0202,SEM05,2020-09-07,Monday,6,2,False
CLS0203,SEM05,2020-09-09,Wednesday,7,3,False
CLS0204,SEM05,2020-09-11,Friday,8,3,False
CLS0205,SEM05,2020-09-14,Monday,9,3,False
CLS0206,SEM05,2020-09-16,Wednesday,10,4,False
CLS0207,SEM05,2020-09-18,Friday,11,4,False
CLS0208,SEM05,2020-09-21,Monday,12,4,False
CLS0209,SEM05,2020-09-23,Wednesday,13,5,False
CLS0210,SEM05,2020-09-25,Friday,14,5,False
CLS0211,SEM05,2020-09-28,Monday,15,5,False
CLS0212,SEM05,2020-09-30,Wednesday,16,6,False
CLS0213,SEM05,2020-10-02,Friday,17,6,False
CLS0214,SEM05,2020-10-05,Monday,18,6,False
CLS0215,SEM05,2020-10-07,Wednesday,19,7,False
CLS0216,SEM05,2020-10-09,Friday,20,7,False
CLS0217,SEM05,2020-10-12,Monday,21,7,False
CLS0218,SEM05,2020-10-14,Wednesday,22,8,False
CLS0219,SEM05,2020-10-16,Friday,23,8,False
CLS0220,SEM05,2020-10-19,Monday,24,8,False
CLS0221,SEM05,2020-10-21,Wednesday,25,9,False
CLS0222,SEM05,2020-10-23,Friday,26,9,False
CLS0223,SEM05,2020-10-26,Monday,27,9,False
CLS0224,SEM05,2020-10-28,Wednesday,28,10,False
CLS0225,SEM05,2020-10-30,Friday,29,10,False
CLS0226,SEM05,2020-11-02,Monday,30,10,False
CLS0227,SEM05,2020-11-04,Wednesday,31,11,False
CLS0228,SEM05,2020-11-06,Friday,32,11,False
CLS0229,SEM05,2020-11-09,Monday,33,11,False
CLS0230,SEM05,2020-11-11,Wednesday,34,12,False
CLS0231,SEM05,2020-11-13,Friday,35,12,False
CLS0232,SEM05,2020-11-16,Monday,36,12,False
CLS0233,SEM05,2020-11-18,Wednesday,37,13,False
CLS0234,SEM05,2020-11-20,Friday,38,13,False
CLS0235,SEM05,2020-11-23,Monday,39,13,False
CLS0236,SEM05,2020-11-25,Wednesday,40,14,False
CLS0237,SEM05,2020-11-27,Friday,41,14,False
CLS0238,SEM05,2020-11-30,Monday,42,14,False
CLS0239,SEM05,2020-12-02,Wednesday,43,15,False
CLS0240,SEM05,2020-12-04,Friday,44,15,False
CLS0241,SEM05,2020-12-07,Monday,45,15,False
CLS0242,SEM05,2020-12-09,Wednesday,46,16,False
CLS0243,SEM05,2020-12-11,Friday,47,16,False
CLS0244,SEM05,2020-12-14,Monday,48,16,False
CLS0245,SEM06,2021-01-15,Friday,1,1,False
CLS0246,SEM06,2021-01-18,Monday,2,1,False
CLS0247,SEM06,2021-01-20,Wednesday,3,1,False
CLS0248,SEM06,2021-01-22,Friday,4,2,False
CLS0249,SEM06,2021-01-25,Monday,5,2,False
CLS0250,SEM06,2021-01-27,Wednesday,6,2,False
CLS0251,SEM06,2021-01-29,Friday,7,3,False
CLS0252,SEM06,2021-02-01,Monday,8,3,False
CLS0253,SEM06,2021-02-03,Wednesday,9,3,False
CLS0254,SEM06,2021-02-05,Friday,10,4,False
CLS0255,SEM06,2021-02-08,Monday,11,4,False
CLS0256,SEM06,2021-02-10,Wednesday,12,4,False
CLS0257,SEM06,2021-02-12,Friday,13,5,False
CLS0258,SEM06,2021-02-15,Monday,14,5,False
CLS0259,SEM06,2021-02-17,Wednesday,15,5,False
CLS0260,SEM06,2021-02-19,Friday,16,6,False
CLS0261,SEM06,2021-02-22,Monday,17,6,False
CLS0262,SEM06,2021-02-24,Wednesday,18,6,False
CLS0263,SEM06,2021-02-26,Friday,19,7,False
CLS0264,SEM06,2021-03-01,Monday,20,7,False
CLS0265,SEM06,2021-03-03,Wednesday,21,7,False
CLS0266,SEM06,2021-03-05,Friday,22,8,False
CLS0267,SEM06,2021-03-08,Monday,23,8,False
CLS0268,SEM06,2021-03-10,Wednesday,24,8,False
CLS0269,SEM06,2021-03-12,Friday,25,9,False
CLS0270,SEM06,2021-03-15,Monday,26,9,False
CLS0271,SEM06,2021-03-17,Wednesday,27,9,False
CLS0272,SEM06,2021-03-19,Friday,28,10,False
CLS0273,SEM06,2021-03-22,Monday,29,10,False
CLS0274,SEM06,2021-03-24,Wednesday,30,10,False
CLS0275,SEM06,2021-03-26,Friday,31,11,False
CLS0276,SEM06,2021-03-29,Monday,32,11,False
CLS0277,SEM06,2021-03-31,Wednesday,33,11,False
CLS0278,SEM06,2021-04-02,Friday,34,12,False
CLS0279,SEM06,2021-04-05,Monday,35,12,False
CLS0280,SEM06,2021-04-07,Wednesday,36,12,False
CLS0281,SEM06,2021-04-09,Friday,37,13,False
CLS0282,SEM06,2021-04-12,Monday,38,13,False
CLS0283,SEM06,2021-04-14,Wednesday,39,13,False
CLS0284,SEM06,2021-04-16,Friday,40,14,False
CLS0285,SEM06,2021-04-19,Monday,41,14,False
CLS0286,SEM06,2021-04-21,Wednesday,42,14,False
CLS0287,SEM06,2021-04-23,Friday,43,15,False
CLS0288,SEM06,2021-04-26,Monday,44,15,False
CLS0289,SEM06,2021-04-28,Wednesday,45,15,False
CLS0290,SEM06,2021-04-30,Friday,46,16,False
CLS0291,SEM06,2021-05-03,Monday,47,16,False
CLS0292,SEM06,2021-05-05,Wednesday,48,16,False
CLS0293,SEM06,2021-05-07,Friday,49,17,False
CLS0294,SEM06,2021-05-10,Monday,50,17,False
CLS0295,SEM07,2021-08-25,Wednesday,1,1,True
CLS0296,SEM07,2021-08-27,Friday,2,1,True
CLS0297,SEM07,2021-08-30,Monday,3,1,True
CLS0298,SEM07,2021-09-01,Wednesday,4,2,True
CLS0299,SEM07,2021-09-03,Friday,5,2,True
CLS0300,SEM07,2021-09-06,Monday,6,2,True
CLS0301,SEM07,2021-09-08,Wednesday,7,3,True
CLS0302,SEM07,2021-09-10,Friday,8,3,True
CLS0303,SEM07,2021-09-13,Monday,9,3,True
CLS0304,SEM07,2021-09-15,Wednesday,10,4,True
CLS0305,SEM07,2021-09-17,Friday,11,4,True
CLS0306,SEM07,2021-09-20,Monday,12,4,True
CLS0307,SEM07,2021-09-22,Wednesday,13,5,True
CLS0308,SEM07,2021-09-24,Friday,14,5,True
CLS0309,SEM07,2021-09-27,Monday,15,5,True
CLS0310,SEM07,2021-09-29,Wednesday,16,6,True
CLS0311,SEM07,2021-10-01,Friday,17,6,True
CLS0312,SEM07,2021-10-04,Monday,18,6,True
CLS0313,SEM07,2021-10-06,Wednesday,19,7,True
CLS0314,SEM07,2021-10-08,Friday,20,7,True
CLS0315,SEM07,2021-10-11,Monday,21,7,True
CLS0316,SEM07,2021-10-13,Wednesday,22,8,True
CLS0317,SEM07,2021-10-15,Friday,23,8,True
CLS0318,SEM07,2021-10-18,Monday,24,8,True
CLS0319,SEM07,2021-10-20,Wednesday,25,9,True
CLS0320,SEM07,2021-10-22,Friday,26,9,True
CLS0321,SEM07,2021-10-25,Monday,27,9,True
CLS0322,SEM07,2021-10-27,Wednesday,28,10,True
CLS0323,SEM07,2021-10-29,Friday,29,10,True
CLS0324,SEM07,2021-11-01,Monday,30,10,True
CLS0325,SEM07,2021-11-03,Wednesday,31,11,True
CLS0326,SEM07,2021-11-05,Friday,32,11,True
CLS0327,SEM07,2021-11-08,Monday,33,11,True
CLS0328,SEM07,2021-11-10,Wednesday,34,12,True
CLS0329,SEM07,2021-11-12,Friday,35,12,True
CLS0330,SEM07,2021-11-15,Monday,36,12,True
CLS0331,SEM07,2021-11-17,Wednesday,37,13,True
CLS0332,SEM07,2021-11-19,Friday,38,13,True
CLS0333,SEM07,2021-11-22,Monday,39,13,True
CLS0334,SEM07,2021-11-24,Wednesday,40,14,True
CLS0335,SEM07,2021-11-26,Friday,41,14,True
CLS0336,SEM07,2021-11-29,Monday,42,14,True
CLS0337,SEM07,2021-12-01,Wednesday,43,15,True
CLS0338,SEM07,2021-12-03,Friday,44,15,True
CLS0339,SEM07,2021-12-06,Monday,45,15,True
CLS0340,SEM07,2021-12-08,Wednesday,46,16,True
CLS0341,SEM07,2021-12-10,Friday,47,16,True
CLS0342,SEM07,2021-12-13,Monday,48,16,True
CLS0343,SEM07,2021-12-15,Wednesday,49,17,True
CLS0344,SEM08,2022-01-17,Monday,1,1,False
CLS0345,SEM08,2022-01-19,Wednesday,2,1,False
CLS0346,SEM08,2022-01-21,Friday,3,1,False
CLS0347,SEM08,2022-01-24,Monday,4,2,False
CLS0348,SEM08,2022-01-26,Wednesday,5,2,False
CLS0349,SEM08,2022-01-28,Friday,6,2,False
CLS0350,SEM08,2022-01-31,Monday,7,3,False
CLS0351,SEM08,2022-02-02,Wednesday,8,3,False
CLS0352,SEM08,2022-02-04,Friday,9,3,False
CLS0353,SEM08,2022-02-07,Monday,10,4,False
CLS0354,SEM08,2022-02-09,Wednesday,11,4,False
CLS0355,SEM08,2022-02-11,Friday,12,4,False
CLS0356,SEM08,2022-02-14,Monday,13,5,False
CLS0357,SEM08,2022-02-16,Wednesday,14,5,False
CLS0358,SEM08,2022-02-18,Friday,15,5,False
CLS0359,SEM08,2022-02-21,Monday,16,6,False
CLS0360,SEM08,2022-02-23,Wednesday,17,6,False
CLS0361,SEM08,2022-02-25,Friday,18,6,False
CLS0362,SEM08,2022-02-28,Monday,19,7,False
CLS0363,SEM08,2022-03-02,Wednesday,20,7,False
CLS0364,SEM08,2022-03-04,Friday,21,7,False
CLS0365,SEM08,2022-03-07,Monday,22,8,False
CLS0366,SEM08,2022-03-09,Wednesday,23,8,False
CLS0367,SEM08,2022-03-11,Friday,24,8,False
CLS0368,SEM08,2022-03-14,Monday,25,9,False
CLS0369,SEM08,2022-03-16,Wednesday,26,9,False
CLS0370,SEM08,2022-03-18,Friday,27,9,False
CLS0371,SEM08,2022-03-21,Monday,28,10,False
CLS0372,SEM08,2022-03-23,Wednesday,29,10,False
CLS0373,SEM08,2022-03-25,Friday,30,10,False
CLS0374,SEM08,2022-03-28,Monday,31,11,False
CLS0375,SEM08,2022-03-30,Wednesday,32,11,False
CLS0376,SEM08,2022-04-01,Friday,33,11,False
CLS0377,SEM08,2022-04-04,Monday,34,12,False
CLS0378,SEM08,2022-04-06,Wednesday,35,12,False
CLS0379,SEM08,2022-04-08,Friday,36,12,False
CLS0380,SEM08,2022-04-11,Monday,37,13,False
CLS0381,SEM08,2022-04-13,Wednesday,38,13,False
CLS0382,SEM08,2022-04-15,Friday,39,13,False
CLS0383,SEM08,2022-04-18,Monday,40,14,False
CLS0384,SEM08,2022-04-20,Wednesday,41,14,False
CLS0385,SEM08,2022-04-22,Friday,42,14,False
CLS0386,SEM08,2022-04-25,Monday,43,15,False
CLS0387,SEM08,2022-04-27,Wednesday,44,15,False
CLS0388,SEM08,2022-04-29,Friday,45,15,False
CLS0389,SEM08,2022-05-02,Monday,46,16,False
CLS0390,SEM08,2022-05-04,Wednesday,47,16,False
CLS0391,SEM08,2022-05-06,Friday,48,16,False
CLS0392,SEM08,2022-05-09,Monday,49,17,False
