event_id,coder_id,event_year,event_type,event_description,previous_stage,subsequent_stage,is_turning_point
PN-3392-904-2553,PN-3392,904,job_change,Changed positions: promotion move,mid,mid,True
PN-3392-905-9726,PN-3392,905,education,Educational activity: course,mid,mid,False
PN-3392-906-1017,PN-3392,906,education,Educational activity: certification,late,late,True
PN-3392-907-5548,PN-3392,907,education,Educational activity: self study,late,late,False
PN-3392-907-1927,PN-3392,907,education,Educational activity: conference,late,late,False
VL-1056-892-8627,VL-1056,892,job_change,Changed positions: lateral move,early,early,True
VL-1056-892-7143,VL-1056,892,project_failure,Project outcome: delivered poorly,early,early,False
VL-1056-894-3105,VL-1056,894,job_change,Changed positions: involuntary departure,early,early,False
VL-1056-895-6783,VL-1056,895,project_failure,Project outcome: major bugs,early,early,False
VL-1056-895-4535,VL-1056,895,project_failure,Project outcome: cancelled,early,early,True
VL-1056-896-8342,VL-1056,896,recognition,Recognition received: patent,mid,mid,False
VL-1056-896-4673,VL-1056,896,recognition,Recognition received: publication,mid,mid,True
VL-1056-896-3132,VL-1056,896,education,Educational activity: conference,mid,mid,False
VL-1056-897-9147,VL-1056,897,recognition,Recognition received: patent,mid,mid,False
VL-1056-897-3830,VL-1056,897,education,Educational activity: self study,mid,mid,False
VL-1056-898-6583,VL-1056,898,education,Educational activity: certification,mid,mid,False
VL-1056-899-8496,VL-1056,899,project_completion,Project completed: delayed but completed,mid,mid,False
VL-1056-900-4651,VL-1056,900,recognition,Recognition received: industry recognition,mid,mid,False
VL-1056-901-3254,VL-1056,901,project_completion,Project completed: delayed but completed,mid,mid,False
VL-1056-903-7781,VL-1056,903,recognition,Recognition received: patent,late,late,False
VL-1056-904-8281,VL-1056,904,recognition,Recognition received: patent,late,late,True
VL-1056-905-9582,VL-1056,905,recognition,Recognition received: commendation,late,late,True
VL-1056-906-3997,VL-1056,906,recognition,Recognition received: commendation,late,late,False
SY-9520-883-7589,SY-9520,883,education,Educational activity: certification,early,early,False
SY-9520-884-7224,SY-9520,884,education,Educational activity: self study,early,early,False
SY-9520-885-5650,SY-9520,885,education,Educational activity: conference,early,early,False
SY-9520-886-6722,SY-9520,886,education,Educational activity: degree,early,early,False
SY-9520-887-6312,SY-9520,887,education,Educational activity: certification,early,early,False
SY-9520-888-9029,SY-9520,888,education,Educational activity: self study,early,early,False
SY-9520-889-4945,SY-9520,889,education,Educational activity: self study,mid,mid,False
SY-9520-889-4907,SY-9520,889,education,Educational activity: degree,mid,mid,False
SY-9520-890-9980,SY-9520,890,education,Educational activity: course,mid,mid,False
SY-9520-890-7249,SY-9520,890,education,Educational activity: degree,mid,mid,False
SY-9520-891-7121,SY-9520,891,education,Educational activity: conference,mid,mid,False
SY-9520-891-6534,SY-9520,891,education,Educational activity: conference,mid,mid,False
SY-9520-892-1206,SY-9520,892,education,Educational activity: self study,mid,mid,False
SY-9520-893-3832,SY-9520,893,education,Educational activity: self study,mid,mid,False
SY-9520-893-5954,SY-9520,893,job_change,Changed positions: lateral move,mid,mid,False
SY-9520-894-1220,SY-9520,894,education,Educational activity: course,mid,mid,False
SY-9520-894-1776,SY-9520,894,job_change,Changed positions: promotion move,mid,mid,False
SY-9520-895-5645,SY-9520,895,education,Educational activity: certification,mid,mid,False
SY-9520-896-7177,SY-9520,896,education,Educational activity: workshop,late,late,False
SY-9520-897-1286,SY-9520,897,education,Educational activity: degree,late,late,False
SY-9520-897-2602,SY-9520,897,project_completion,Project completed: minor success,late,late,False
SY-9520-898-9743,SY-9520,898,education,Educational activity: degree,late,late,True
SY-9520-898-7746,SY-9520,898,education,Educational activity: course,late,late,False
SY-9520-899-6963,SY-9520,899,education,Educational activity: course,late,late,False
SY-9520-900-3931,SY-9520,900,education,Educational activity: conference,late,late,False
SY-9520-900-3337,SY-9520,900,education,Educational activity: course,late,late,False
SY-9520-901-9700,SY-9520,901,education,Educational activity: certification,late,late,False
SY-9520-901-3649,SY-9520,901,education,Educational activity: conference,late,late,False
SY-9520-902-3456,SY-9520,902,education,Educational activity: conference,late,late,False
SY-9520-903-5172,SY-9520,903,education,Educational activity: course,late,late,False
SY-9520-903-7528,SY-9520,903,education,Educational activity: course,late,late,True
SY-9520-905-1328,SY-9520,905,education,Educational activity: degree,late,late,False
SY-9520-906-4236,SY-9520,906,education,Educational activity: certification,late,late,False
SY-9520-906-5808,SY-9520,906,education,Educational activity: certification,late,late,False
SY-9520-908-3541,SY-9520,908,education,Educational activity: conference,late,late,True
SY-9520-908-6833,SY-9520,908,education,Educational activity: workshop,late,late,False
CD-4681-880-1683,CD-4681,880,project_completion,Project completed: delayed but completed,early,early,False
CD-4681-880-7300,CD-4681,880,promotion,Promoted: mid to senior,early,early,True
CD-4681-880-4565,CD-4681,880,project_completion,Project completed: major success,early,early,False
CD-4681-880-8402,CD-4681,880,project_completion,Project completed: minor success,early,early,False
CD-4681-881-8613,CD-4681,881,promotion,Promoted: special recognition,early,early,True
CD-4681-881-2455,CD-4681,881,recognition,Recognition received: commendation,early,early,False
CD-4681-882-6648,CD-4681,882,recognition,Recognition received: commendation,early,early,True
CD-4681-882-4202,CD-4681,882,project_completion,Project completed: exceptional quality,early,early,False
CD-4681-883-1892,CD-4681,883,recognition,Recognition received: award,early,early,False
CD-4681-883-3508,CD-4681,883,project_completion,Project completed: on time,early,early,False
CD-4681-883-3606,CD-4681,883,project_completion,Project completed: minor success,early,early,False
CD-4681-884-1884,CD-4681,884,project_completion,Project completed: exceptional quality,early,early,False
CD-4681-884-4211,CD-4681,884,recognition,Recognition received: publication,early,early,True
CD-4681-885-5436,CD-4681,885,project_completion,Project completed: major success,early,early,False
CD-4681-886-9397,CD-4681,886,extended_leave,Extended leave: personal,mid,post,True
CD-4681-886-7749,CD-4681,886,extended_leave,Extended leave: burnout,mid,mid,False
CD-4681-887-8346,CD-4681,887,extended_leave,Extended leave: illness,mid,post,True
CD-4681-887-9365,CD-4681,887,project_failure,Project outcome: abandoned,mid,mid,True
CD-4681-890-7822,CD-4681,890,project_failure,Project outcome: abandoned,mid,mid,False
CD-4681-890-8176,CD-4681,890,project_completion,Project completed: major success,mid,mid,True
CD-4681-893-9082,CD-4681,893,extended_leave,Extended leave: illness,late,late,False
CD-4681-898-5014,CD-4681,898,extended_leave,Extended leave: illness,late,post,True
CD-4681-899-4181,CD-4681,899,job_change,Changed positions: lateral move,late,late,False
CD-4681-900-8180,CD-4681,900,demotion,Position change: performance based,late,late,False
CD-4681-902-2312,CD-4681,902,job_change,Changed positions: promotion move,late,late,False
CD-4681-905-4645,CD-4681,905,job_change,Changed positions: involuntary departure,late,late,False
CD-4681-905-7591,CD-4681,905,demotion,Position change: performance based,late,late,False
CD-4681-906-4445,CD-4681,906,demotion,Position change: restructuring,late,late,False
CD-4681-907-5119,CD-4681,907,demotion,Position change: personal reasons,late,post,True
NW-7636-889-2159,NW-7636,889,job_change,Changed positions: promotion move,early,early,False
NW-7636-889-4198,NW-7636,889,job_change,Changed positions: involuntary departure,early,early,True
NW-7636-890-2993,NW-7636,890,job_change,Changed positions: lateral move,early,early,False
NW-7636-891-7105,NW-7636,891,job_change,Changed positions: voluntary departure,early,early,False
NW-7636-891-8391,NW-7636,891,project_failure,Project outcome: abandoned,early,early,False
NW-7636-892-8840,NW-7636,892,project_failure,Project outcome: major bugs,early,early,False
NW-7636-893-6854,NW-7636,893,job_change,Changed positions: voluntary departure,early,early,False
NW-7636-894-7815,NW-7636,894,job_change,Changed positions: lateral move,early,early,False
NW-7636-895-2593,NW-7636,895,recognition,Recognition received: award,mid,mid,True
NW-7636-896-3606,NW-7636,896,project_completion,Project completed: exceptional quality,mid,mid,False
NW-7636-897-2630,NW-7636,897,recognition,Recognition received: award,mid,mid,False
NW-7636-897-9581,NW-7636,897,project_completion,Project completed: on time,mid,mid,False
NW-7636-898-1137,NW-7636,898,education,Educational activity: course,mid,mid,False
NW-7636-900-5520,NW-7636,900,education,Educational activity: self study,mid,mid,False
NW-7636-901-8048,NW-7636,901,recognition,Recognition received: commendation,mid,mid,False
NW-7636-904-3493,NW-7636,904,project_completion,Project completed: exceptional quality,late,late,True
NW-7636-904-4138,NW-7636,904,promotion,Promoted: mid to senior,late,late,True
NW-7636-905-4716,NW-7636,905,recognition,Recognition received: commendation,late,late,False
NW-7636-906-6718,NW-7636,906,recognition,Recognition received: industry recognition,late,late,False
NW-7636-908-4114,NW-7636,908,recognition,Recognition received: publication,late,late,True
NW-7636-909-8759,NW-7636,909,recognition,Recognition received: industry recognition,late,late,True
NW-7636-909-2330,NW-7636,909,recognition,Recognition received: patent,late,late,True
AN-2835-899-2105,AN-2835,899,project_completion,Project completed: exceptional quality,early,early,False
AN-2835-902-5533,AN-2835,902,education,Educational activity: certification,early,early,True
AN-2835-904-8875,AN-2835,904,education,Educational activity: self study,mid,mid,False
AN-2835-907-5327,AN-2835,907,project_completion,Project completed: delayed but completed,mid,mid,False
CD-6645-897-6346,CD-6645,897,education,Educational activity: workshop,early,early,False
CD-6645-898-8789,CD-6645,898,education,Educational activity: course,early,early,False
CD-6645-904-1601,CD-6645,904,project_completion,Project completed: on time,mid,mid,False
CD-6645-905-5749,CD-6645,905,job_change,Changed positions: internal transfer,mid,mid,True
CD-6645-908-1312,CD-6645,908,promotion,Promoted: junior to mid,late,post,True
CD-6645-910-9197,CD-6645,910,recognition,Recognition received: publication,late,post,True
IM-5062-881-8805,IM-5062,881,job_change,Changed positions: voluntary departure,early,early,False
IM-5062-883-1607,IM-5062,883,job_change,Changed positions: promotion move,early,early,False
IM-5062-884-7393,IM-5062,884,project_failure,Project outcome: scope failure,early,early,True
IM-5062-885-3530,IM-5062,885,job_change,Changed positions: promotion move,early,early,False
IM-5062-887-6354,IM-5062,887,project_completion,Project completed: minor success,mid,mid,False
IM-5062-887-4898,IM-5062,887,recognition,Recognition received: patent,mid,mid,True
IM-5062-888-2513,IM-5062,888,recognition,Recognition received: patent,mid,mid,False
IM-5062-888-7908,IM-5062,888,education,Educational activity: certification,mid,mid,False
IM-5062-890-7624,IM-5062,890,recognition,Recognition received: publication,mid,mid,False
IM-5062-891-1521,IM-5062,891,education,Educational activity: course,mid,mid,False
IM-5062-891-4484,IM-5062,891,recognition,Recognition received: commendation,mid,mid,True
IM-5062-892-2653,IM-5062,892,project_completion,Project completed: on time,mid,mid,False
IM-5062-893-1646,IM-5062,893,project_completion,Project completed: major success,mid,mid,False
IM-5062-894-2129,IM-5062,894,promotion,Promoted: mid to senior,late,late,False
IM-5062-895-8485,IM-5062,895,project_completion,Project completed: major success,late,late,False
IM-5062-895-9619,IM-5062,895,project_completion,Project completed: on time,late,late,False
IM-5062-896-9625,IM-5062,896,project_completion,Project completed: minor success,late,late,False
IM-5062-897-4240,IM-5062,897,promotion,Promoted: lead to director,late,late,True
IM-5062-898-6705,IM-5062,898,recognition,Recognition received: industry recognition,late,late,True
IM-5062-899-6964,IM-5062,899,recognition,Recognition received: industry recognition,late,late,False
IM-5062-900-1741,IM-5062,900,promotion,Promoted: mid to senior,late,late,True
IM-5062-900-6355,IM-5062,900,promotion,Promoted: senior to lead,late,late,False
IM-5062-901-2445,IM-5062,901,recognition,Recognition received: publication,late,late,False
IM-5062-902-1757,IM-5062,902,project_completion,Project completed: on time,late,late,False
IM-5062-904-2438,IM-5062,904,recognition,Recognition received: patent,late,late,False
IM-5062-906-7063,IM-5062,906,recognition,Recognition received: commendation,late,late,False
IM-5062-907-8908,IM-5062,907,promotion,Promoted: junior to mid,late,late,False
IM-5062-908-8235,IM-5062,908,recognition,Recognition received: publication,late,late,True
IM-5062-908-1783,IM-5062,908,promotion,Promoted: special recognition,late,late,True
IM-5062-909-7391,IM-5062,909,project_completion,Project completed: major success,late,late,False
IM-5062-910-4729,IM-5062,910,project_completion,Project completed: minor success,late,late,False
IM-8432-897-2622,IM-8432,897,education,Educational activity: certification,early,early,False
IM-8432-898-8923,IM-8432,898,education,Educational activity: course,early,early,False
IM-8432-899-7913,IM-8432,899,education,Educational activity: workshop,early,early,False
IM-8432-899-2615,IM-8432,899,education,Educational activity: self study,early,early,False
IM-8432-900-8999,IM-8432,900,education,Educational activity: self study,early,early,False
IM-8432-900-8960,IM-8432,900,education,Educational activity: course,early,early,False
IM-8432-901-5742,IM-8432,901,education,Educational activity: course,early,early,True
IM-8432-902-6410,IM-8432,902,education,Educational activity: degree,early,early,True
IM-8432-902-5652,IM-8432,902,education,Educational activity: degree,early,early,False
IM-8432-903-8640,IM-8432,903,education,Educational activity: certification,mid,mid,False
IM-8432-903-7011,IM-8432,903,education,Educational activity: self study,mid,mid,True
IM-8432-904-9307,IM-8432,904,education,Educational activity: workshop,mid,mid,False
IM-8432-905-6616,IM-8432,905,education,Educational activity: course,mid,mid,False
IM-8432-906-6083,IM-8432,906,education,Educational activity: degree,mid,mid,False
IM-8432-906-1210,IM-8432,906,job_change,Changed positions: internal transfer,mid,mid,True
IM-8432-907-2022,IM-8432,907,education,Educational activity: certification,mid,mid,False
IM-8432-907-5302,IM-8432,907,education,Educational activity: self study,mid,mid,False
IM-8432-908-4464,IM-8432,908,education,Educational activity: degree,mid,mid,False
IM-8432-908-6388,IM-8432,908,job_change,Changed positions: lateral move,mid,mid,True
IM-6667-890-4018,IM-6667,890,education,Educational activity: certification,early,early,False
IM-6667-890-1096,IM-6667,890,education,Educational activity: course,early,early,False
IM-6667-891-4884,IM-6667,891,education,Educational activity: certification,early,early,False
IM-6667-891-9369,IM-6667,891,education,Educational activity: course,early,early,False
IM-6667-892-7574,IM-6667,892,education,Educational activity: conference,early,early,False
IM-6667-893-8921,IM-6667,893,education,Educational activity: self study,early,early,False
IM-6667-893-4373,IM-6667,893,education,Educational activity: certification,early,early,False
IM-6667-894-4724,IM-6667,894,education,Educational activity: certification,early,early,False
IM-6667-894-4541,IM-6667,894,education,Educational activity: self study,early,early,False
IM-6667-895-3639,IM-6667,895,education,Educational activity: self study,early,early,False
IM-6667-895-3395,IM-6667,895,education,Educational activity: certification,early,early,False
IM-6667-895-3222,IM-6667,895,education,Educational activity: certification,early,early,True
IM-6667-896-5474,IM-6667,896,education,Educational activity: workshop,mid,mid,False
IM-6667-896-4065,IM-6667,896,education,Educational activity: certification,mid,mid,False
IM-6667-897-5252,IM-6667,897,education,Educational activity: conference,mid,mid,False
IM-6667-897-8227,IM-6667,897,education,Educational activity: certification,mid,mid,False
IM-6667-899-6278,IM-6667,899,education,Educational activity: conference,mid,mid,False
IM-6667-899-2236,IM-6667,899,education,Educational activity: self study,mid,mid,False
IM-6667-900-2279,IM-6667,900,education,Educational activity: course,mid,mid,False
IM-6667-900-3765,IM-6667,900,job_change,Changed positions: internal transfer,mid,mid,True
IM-6667-901-6747,IM-6667,901,education,Educational activity: self study,mid,mid,False
IM-6667-902-8395,IM-6667,902,education,Educational activity: workshop,mid,mid,False
IM-6667-903-4787,IM-6667,903,education,Educational activity: conference,late,late,True
IM-6667-903-3206,IM-6667,903,project_completion,Project completed: major success,late,late,False
IM-6667-904-7117,IM-6667,904,education,Educational activity: degree,late,late,False
IM-6667-904-3303,IM-6667,904,project_completion,Project completed: minor success,late,late,False
IM-6667-905-2206,IM-6667,905,education,Educational activity: course,late,late,True
IM-6667-907-1998,IM-6667,907,education,Educational activity: conference,late,late,False
IM-6667-907-4147,IM-6667,907,project_completion,Project completed: exceptional quality,late,late,False
CD-9899-891-6053,CD-9899,891,project_completion,Project completed: major success,early,early,False
CD-9899-892-3446,CD-9899,892,education,Educational activity: self study,early,early,False
CD-9899-896-3548,CD-9899,896,project_completion,Project completed: major success,early,early,True
CD-9899-897-1486,CD-9899,897,project_completion,Project completed: on time,mid,mid,False
CD-9899-898-1883,CD-9899,898,education,Educational activity: self study,mid,mid,False
CD-9899-901-7610,CD-9899,901,job_change,Changed positions: voluntary departure,mid,mid,False
CD-9899-902-9433,CD-9899,902,education,Educational activity: degree,mid,mid,False
CD-9899-903-2760,CD-9899,903,education,Educational activity: course,mid,mid,False
CD-9899-904-3594,CD-9899,904,promotion,Promoted: junior to mid,late,late,False
CD-9899-906-8174,CD-9899,906,promotion,Promoted: mid to senior,late,late,False
CD-9899-907-4147,CD-9899,907,recognition,Recognition received: patent,late,late,False
BD-2840-885-5544,BD-2840,885,job_change,Changed positions: involuntary departure,early,early,True
BD-2840-886-5588,BD-2840,886,job_change,Changed positions: promotion move,early,early,True
BD-2840-886-8933,BD-2840,886,job_change,Changed positions: promotion move,early,early,True
BD-2840-887-1059,BD-2840,887,job_change,Changed positions: lateral move,early,early,False
BD-2840-887-5245,BD-2840,887,project_failure,Project outcome: abandoned,early,early,False
BD-2840-888-8778,BD-2840,888,job_change,Changed positions: lateral move,early,early,True
BD-2840-889-7047,BD-2840,889,job_change,Changed positions: lateral move,early,early,False
BD-2840-890-6897,BD-2840,890,job_change,Changed positions: internal transfer,early,early,True
BD-2840-891-4646,BD-2840,891,recognition,Recognition received: patent,mid,mid,False
BD-2840-891-3156,BD-2840,891,recognition,Recognition received: commendation,mid,mid,False
BD-2840-892-6184,BD-2840,892,recognition,Recognition received: patent,mid,mid,True
BD-2840-894-8479,BD-2840,894,education,Educational activity: certification,mid,mid,True
BD-2840-895-8574,BD-2840,895,education,Educational activity: self study,mid,mid,False
BD-2840-895-3027,BD-2840,895,recognition,Recognition received: award,mid,mid,False
BD-2840-896-7770,BD-2840,896,education,Educational activity: degree,mid,mid,False
BD-2840-896-6942,BD-2840,896,recognition,Recognition received: patent,mid,mid,False
BD-2840-897-1769,BD-2840,897,recognition,Recognition received: award,mid,mid,False
BD-2840-897-2957,BD-2840,897,project_completion,Project completed: on time,mid,mid,False
BD-2840-898-7092,BD-2840,898,project_completion,Project completed: delayed but completed,late,late,False
BD-2840-900-9881,BD-2840,900,promotion,Promoted: junior to mid,late,late,False
BD-2840-901-4216,BD-2840,901,recognition,Recognition received: award,late,late,False
BD-2840-902-3049,BD-2840,902,promotion,Promoted: junior to mid,late,late,False
BD-2840-903-6478,BD-2840,903,promotion,Promoted: mid to senior,late,late,True
BD-2840-903-5309,BD-2840,903,recognition,Recognition received: award,late,late,True
BD-2840-905-4397,BD-2840,905,promotion,Promoted: mid to senior,late,late,True
BD-2840-906-4725,BD-2840,906,project_completion,Project completed: delayed but completed,late,late,False
BD-2840-907-7109,BD-2840,907,promotion,Promoted: senior to lead,late,late,True
BD-2840-907-5479,BD-2840,907,project_completion,Project completed: minor success,late,late,True
AN-1088-889-3374,AN-1088,889,education,Educational activity: degree,early,early,False
AN-1088-889-6199,AN-1088,889,education,Educational activity: workshop,early,early,False
AN-1088-890-6459,AN-1088,890,education,Educational activity: conference,early,early,False
AN-1088-890-1366,AN-1088,890,education,Educational activity: course,early,early,False
AN-1088-891-2156,AN-1088,891,education,Educational activity: certification,early,early,False
AN-1088-892-3492,AN-1088,892,education,Educational activity: certification,early,early,False
AN-1088-893-9718,AN-1088,893,education,Educational activity: self study,early,early,False
AN-1088-894-1482,AN-1088,894,education,Educational activity: course,early,early,True
AN-1088-894-3732,AN-1088,894,education,Educational activity: degree,early,early,False
AN-1088-895-3737,AN-1088,895,education,Educational activity: self study,mid,mid,False
AN-1088-895-3202,AN-1088,895,education,Educational activity: conference,mid,mid,False
AN-1088-896-7167,AN-1088,896,education,Educational activity: workshop,mid,mid,False
AN-1088-897-4153,AN-1088,897,education,Educational activity: certification,mid,mid,False
AN-1088-897-8655,AN-1088,897,education,Educational activity: workshop,mid,mid,False
AN-1088-898-7406,AN-1088,898,education,Educational activity: certification,mid,mid,False
AN-1088-898-5956,AN-1088,898,education,Educational activity: certification,mid,mid,False
AN-1088-900-8224,AN-1088,900,education,Educational activity: workshop,mid,mid,False
AN-1088-901-8106,AN-1088,901,education,Educational activity: conference,mid,mid,False
AN-1088-902-9420,AN-1088,902,education,Educational activity: certification,late,late,False
AN-1088-902-7637,AN-1088,902,education,Educational activity: certification,late,late,True
AN-1088-904-5054,AN-1088,904,education,Educational activity: conference,late,late,False
AN-1088-904-6279,AN-1088,904,education,Educational activity: certification,late,late,False
AN-1088-905-3408,AN-1088,905,education,Educational activity: degree,late,late,False
AN-1088-905-9940,AN-1088,905,education,Educational activity: degree,late,late,False
AN-1088-906-9737,AN-1088,906,education,Educational activity: degree,late,late,False
AN-1088-906-2448,AN-1088,906,education,Educational activity: certification,late,late,False
AN-1088-907-4178,AN-1088,907,education,Educational activity: degree,late,late,False
SY-5487-896-3153,SY-5487,896,promotion,Promoted: special recognition,early,early,True
SY-5487-896-3483,SY-5487,896,recognition,Recognition received: patent,early,early,False
SY-5487-896-5473,SY-5487,896,project_completion,Project completed: minor success,early,early,False
SY-5487-897-5284,SY-5487,897,promotion,Promoted: lead to director,early,early,False
SY-5487-897-5068,SY-5487,897,recognition,Recognition received: publication,early,early,False
SY-5487-897-2504,SY-5487,897,project_completion,Project completed: major success,early,early,False
SY-5487-898-5807,SY-5487,898,project_completion,Project completed: exceptional quality,early,early,False
SY-5487-898-4494,SY-5487,898,recognition,Recognition received: patent,early,early,True
SY-5487-899-4248,SY-5487,899,recognition,Recognition received: patent,early,early,True
SY-5487-899-8353,SY-5487,899,promotion,Promoted: junior to mid,early,early,False
SY-5487-900-7887,SY-5487,900,project_completion,Project completed: delayed but completed,early,early,True
SY-5487-900-5144,SY-5487,900,recognition,Recognition received: patent,early,early,False
SY-5487-900-5008,SY-5487,900,recognition,Recognition received: industry recognition,early,early,False
SY-5487-900-4731,SY-5487,900,promotion,Promoted: lead to director,early,early,True
SY-5487-901-2689,SY-5487,901,project_completion,Project completed: delayed but completed,early,early,False
SY-5487-902-2408,SY-5487,902,extended_leave,Extended leave: illness,mid,mid,False
SY-5487-902-8206,SY-5487,902,extended_leave,Extended leave: burnout,mid,post,True
SY-5487-903-2933,SY-5487,903,project_failure,Project outcome: cancelled,mid,mid,True
SY-5487-906-2815,SY-5487,906,extended_leave,Extended leave: personal,mid,mid,False
SY-5487-907-1400,SY-5487,907,project_failure,Project outcome: cancelled,mid,mid,True
SY-5487-908-4032,SY-5487,908,project_completion,Project completed: exceptional quality,mid,mid,False
SY-5487-908-2738,SY-5487,908,project_completion,Project completed: exceptional quality,mid,mid,False
NW-6405-895-5347,NW-6405,895,education,Educational activity: workshop,early,early,False
NW-6405-895-1654,NW-6405,895,education,Educational activity: self study,early,early,False
NW-6405-896-2468,NW-6405,896,education,Educational activity: degree,early,early,False
NW-6405-896-1429,NW-6405,896,education,Educational activity: certification,early,early,False
NW-6405-897-2522,NW-6405,897,education,Educational activity: course,early,early,False
NW-6405-897-3035,NW-6405,897,education,Educational activity: course,early,early,False
NW-6405-898-8245,NW-6405,898,education,Educational activity: workshop,early,early,False
NW-6405-898-3921,NW-6405,898,education,Educational activity: course,early,early,False
NW-6405-899-5049,NW-6405,899,education,Educational activity: certification,early,early,False
NW-6405-899-8867,NW-6405,899,education,Educational activity: conference,early,early,False
NW-6405-900-7817,NW-6405,900,education,Educational activity: degree,early,early,False
NW-6405-900-3448,NW-6405,900,education,Educational activity: self study,early,early,False
NW-6405-901-2663,NW-6405,901,job_change,Changed positions: involuntary departure,mid,mid,True
NW-6405-902-9076,NW-6405,902,education,Educational activity: workshop,mid,mid,False
NW-6405-902-3695,NW-6405,902,education,Educational activity: conference,mid,mid,False
NW-6405-903-4024,NW-6405,903,education,Educational activity: self study,mid,mid,False
NW-6405-903-7205,NW-6405,903,job_change,Changed positions: promotion move,mid,mid,False
NW-6405-904-9389,NW-6405,904,education,Educational activity: conference,mid,mid,False
NW-6405-905-6343,NW-6405,905,job_change,Changed positions: lateral move,mid,mid,False
NW-6405-906-5692,NW-6405,906,education,Educational activity: certification,mid,mid,False
NW-6405-906-5171,NW-6405,906,education,Educational activity: degree,mid,mid,False
NW-6405-907-6852,NW-6405,907,education,Educational activity: conference,mid,mid,False
SY-7604-895-1035,SY-7604,895,project_completion,Project completed: minor success,early,early,False
SY-7604-895-1383,SY-7604,895,project_completion,Project completed: minor success,early,early,True
