term,common_definition,stone_school_definition,water_school_definition,pebble_school_definition,first_attested_manuscript_id,disputes,related_terms
family tree,Genealogical record,Lineage of word-keeping traditions,Records of dissolved generations,A lending history,MS-0073,"Yeller Quarry family trees essential for expedition guides.","lineage;Quarry;guide"
guide,One who leads through terrain,A translator of local word-traditions,One familiar with local dissolutions,A lending intermediary,MS-0034,"Quarry guides grow off complex family tree branches.","expedition;Quarry;family tree"
survey,Systematic examination,Cataloging of word-occurrences,Mapping dissolution patterns,Assessment of lending opportunities,MS-0025,"Survey expeditions document creatures and terrain.","expedition;mapping;catalog"
map,A representation of terrain,A preservation of spatial words,A memorial to explored dissolutions,A guide to lending sites,MS-0055,"Maps are soothsayers according to Bagbu.","cartography;terrain;travel"
sketch,A rough drawing,A quick word-capture,An impression before dissolution,A temporary pebble-trace,MS-0055,"Bagbu sketches maps. Second sketch-artists make copies.","drawing;map;copy"
copy,A duplicate,A new instance of the same word-stone,An impossibility; each dissolution unique,A re-lending of the same pebble,MS-0057,"Can words be copied? Schools disagree.","duplicate;original;forgery"
forgery,A fraudulent imitation,A false word-stone,A pretense of dissolved authenticity,A fraudulent lending claim,MS-0156,"Suspected forgeries in the archive. Authentication disputes.","fraud;authenticity;copy"
authenticity,Genuine origin,True word-stone provenance,Verified dissolution history,Confirmed lending chain,MS-0074,"Authentication methods contested between legal scholars.","genuine;forgery;provenance"
provenance,Origin history,The path of a word-stone through time,The dissolution sequence,The lending history,MS-0074,"Essential for manuscript authentication.","origin;authenticity;history"
literalism,Taking words at face value,The demand that all sides of a symbol be visible at once,A naive approach to dissolution,Ignoring the lending relationship,MS-0039,"The siege of Mirado equals the pursuit of literalism.","symbol;Mirado;meaning"
symbol,Something representing something else,A complex word-stone with hidden facets,A dissolution that leaves traces,A pebble worn into specific shape,MS-0040,"Literalists demand all facets visible simultaneously.","meaning;literalism;representation"
siege,Prolonged military blockade,An attempt to extract word-stones by force,A prolonged dissolution,A forced lending,MS-0061,"The Colonel's siege of Mirado ongoing for decades.","Mirado;Colonel;military"
tower,A tall structure,A repository of hoarded words,The source of water-school philosophy,The origin point of pebbles,MS-0001,"Tower of Mirado. Hovering above desert. Seventy pools.","Mirado;pool;height"
spiraling,Moving in a spiral pattern,The path of word-stones through the archive,The pattern of dissolution,The shape of lending cycles,MS-0001,"Mirado: city of spiraling streets.","Mirado;street;pattern"
pool,A body of water,See earlier entry on pool,,,,,"water;Mirado;dissolution"
pipe,A tube for conveying fluid,A channel for word-transmission,A conduit for dissolution,A lending channel,MS-0001,"Seventy great pipes in Mirado. Half suck water up half return it.","Mirado;water;channel"
dirt,Earth particles,Contamination of word-stones,Physical impurity,Lost pebbles ground to dust,MS-0001,"Mirado has antipathy to dirt. No dirt in the city.","Mirado;purity;contamination"
pristine,Pure and unspoiled,Words in perfect preserved state,Pre-dissolution state,Unused pebbles,MS-0001,"Mirado pools kept pristine. No dirt allowed.","pure;Mirado;pool"
fountain,A water feature,A display of word-circulation,Active dissolution site,A lending demonstration,MS-0001,"Muddy fountain at bottom of Mirado. Three specks of dirt.","water;Mirado;circulation"
cardhouse,A gambling establishment,A site of word-exchange games,A dissolution parlor,A lending parlor,MS-0109,"The Gilt Cardhouse. Scholars play kachot and debate.","kachot;game;debate"
knot,A fastening of rope,A scoring element in kachot,Tangled dissolution,A lending complication,MS-0125,"Kachot uses cards knots and scoring hooks.","kachot;game;scoring"
hook,A curved implement,A scoring element in kachot,A tool for capturing dissolving words,A lending implement,MS-0125,"Scoring hooks used in kachot.","kachot;game;scoring"
old rules,Traditional game rules,The authentic kachot rules,Earlier dissolution customs,Original lending protocols,MS-0125,"Grigsu accused Mink of playing with new rules.","kachot;tradition;dispute"
new rules,Modified game rules,Corrupted kachot rules used by swindlers,Evolved dissolution customs,Modified lending protocols,MS-0125,"Swindlers play with new rules according to Bagbu.","kachot;corruption;dispute"
manuscript,A handwritten document,A preserved assemblage of word-stones,A memorial to dissolved speech,A record of past lendings,MS-0070,"Manuscripts stored in archive shops.","document;archive;record"
treatise,A formal written work,A systematic presentation of word-stones,A comprehensive dissolution,A thorough lending,MS-0012,"Philosophical treatises on word theory.","document;philosophy;formal"
correspondence,Letters exchanged,Word-stones sent between people,Dissolution at distance,Remote lending,MS-0063,"Letters between scholars and expedition members.","letter;communication;distance"
marginalia,Notes in margins,Word-stones added to existing texts,Secondary dissolutions,Additional lendings,MS-0110,"Marginal annotations reveal reader responses.","notes;annotation;reading"
annotation,Explanatory notes,Clarifying word-stones,Dissolution commentary,Lending notes,MS-0110,"Annotations added by readers and copyists.","marginalia;notes;explanation"
transcription,Copying of text,Reproduction of word-stones,Attempt to capture dissolution,Re-lending from written source,MS-0109,"Debate transcripts preserved in archive.","copy;record;transcript"
fragment,An incomplete piece,A partial word-stone,Incomplete dissolution,Partial pebble,MS-0088,"Fragmentary manuscripts common in damaged collections.","incomplete;partial;damaged"
damaged,Harmed condition,Word-stones with wear,Dissolution in progress,Worn pebble,MS-0088,"Damaged manuscripts require careful handling.","condition;preservation;wear"
restoration,Repair,Reconstruction of word-stones,Reversal of dissolution (impossible),Re-shaping of pebbles,MS-0088,"Restoration of damaged texts controversial.","repair;preservation;reconstruction"
